,InputCategories,UserDefinedCategories,Type,NumOverlap,Pvalues,CorrectedPvalues
96,brown,PGBObyQGBO_GSE114574_Tejero_FC5___,User,142,0.00267751,1
97,brown,PNSCbyQNSC_Ben_FC5___,User,16,0.999916677,1
98,brown,preoligoBYoFC5__,User,0,1,1
99,brown,PreOligoByothers_Zhang_Cuffdiff2FCover20__,User,3,0.980300395,1
100,brown,PSVZbyQSVZ_Morizur_FC5___,User,399,1.03E-15,1.04E-12
101,brown,QGBCbyPGBC_Aulestia_FC5___,User,5,0.912153043,1
102,brown,QGBObyPGBO_GSE114574_Tejero_FC5___,User,153,0.000169468,0.170823325
103,brown,qnpBYtap_Mukherjee_FC5___,User,109,0.213042242,1
104,brown,QNSCbyPNSC_Ben_FC5___,User,43,0.987871199,1
105,brown,qRG_BY_aRG_ThanTrong_up__,User,5,0.61384081,1
106,brown,qRP_BY_aNP_ThanTrong_up__,User,21,0.189232399,1
107,brown,QSVZbyPSVZ_Morizur_FC5___,User,82,0.959066935,1
108,brown,tapBYqnp_Mukherjee_FC5___,User,64,0.071064581,1
109,cyan,aNP_BY_qRP_ThanTrong_up__,User,2,0.427250948,1
110,cyan,aRG_BY_qRG_ThanTrong_up__,User,2,0.755486057,1
111,cyan,astroBYoFC5__,User,24,0.749291749,1
112,cyan,AstroByothers_Zhang_Cuffdiff2FCover20__,User,7,0.933080568,1
113,cyan,endoBYoFC5__,User,4,0.980795272,1
114,cyan,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,6,0.994413086,1
115,cyan,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,3,0.84608566,1
116,cyan,macrophagesBYoFC5__,User,3,0.995596939,1
117,cyan,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,20,0.004566489,1
118,cyan,MicroByMono_Zhang_Cuffdiff2FCover20__,User,33,1.99E-08,2.00E-05
119,cyan,microgliaBYoFC5__,User,7,0.482694437,1
120,cyan,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,16,0.989537832,1
121,cyan,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,8,0.977270874,1
122,cyan,monocytesBYoFC5__,User,4,0.950696502,1
123,cyan,myeoligoBYoFC5__,User,3,0.354915179,1
124,cyan,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,9,0.190003056,1
125,cyan,neuronBYoFC5__,User,133,3.62E-83,3.65E-80
126,cyan,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,75,9.74E-27,9.82E-24
127,cyan,newoligoBYoFC5__,User,6,0.078927528,1
128,cyan,NewOligoByothers_Zhang_Cuffdiff2FCover20__,User,2,0.664664691,1
129,cyan,npcBYnsc_Walker_FC5___,User,53,7.14E-09,7.20E-06
130,cyan,nscBYnpc_Walker_FC5___,User,10,0.958039202,1
131,cyan,PGBCbyQGBC_Aulestia_FC5___,User,40,2.12E-05,0.02135507
132,cyan,PGBObyQGBO_GSE114574_Tejero_FC5___,User,49,0.275604591,1
133,cyan,PNSCbyQNSC_Ben_FC5___,User,19,0.096217546,1
134,cyan,preoligoBYoFC5__,User,0,1,1
135,cyan,PreOligoByothers_Zhang_Cuffdiff2FCover20__,User,6,0.070592861,1
136,cyan,PSVZbyQSVZ_Morizur_FC5___,User,76,0.999919005,1
137,cyan,QGBCbyPGBC_Aulestia_FC5___,User,2,0.831992426,1
138,cyan,QGBObyPGBO_GSE114574_Tejero_FC5___,User,61,0.012898403,1
139,cyan,qnpBYtap_Mukherjee_FC5___,User,57,0.004613361,1
140,cyan,QNSCbyPNSC_Ben_FC5___,User,40,0.000550947,0.555354216
141,cyan,qRG_BY_aRG_ThanTrong_up__,User,13,1.33E-07,0.000134099
142,cyan,qRP_BY_aNP_ThanTrong_up__,User,5,0.808525865,1
143,cyan,QSVZbyPSVZ_Morizur_FC5___,User,61,0.00026505,0.267170048
144,cyan,tapBYqnp_Mukherjee_FC5___,User,19,0.710046916,1
145,darkgreen,aNP_BY_qRP_ThanTrong_up__,User,2,0.100002109,1
