"","HuAgeMSNDsplitRnaseq_06....PSVZbyQSVZ_Morizur_FC5___"
"197","MRPS25"
"198","MRPS35"
"199","MSL3"
"200","MTA3"
"201","MTMR12"
"202","MYBL1"
"203","MYO7A"
"204","MYO9B"
"205","NANP"
"206","NANS"
"207","NATD1"
"208","NCAPD2"
"209","NCAPG2"
"210","NCF1"
"211","NCOA5"
"212","NDC1"
"213","NDOR1"
"214","NDUFA10"
"215","NFATC2IP"
"216","NIT2"
"217","NKAP"
"218","NMRAL1"
"219","NOC3L"
"220","NOL11"
"221","NOL9"
"222","NRM"
"223","NUDT22"
"224","NUFIP1"
"225","NUP54"
"226","NXF1"
"227","ODF2"
"228","ORC5"
"229","PABPC4"
"230","PAK1IP1"
"231","PAN2"
"232","PAOX"
"233","PCED1A"
"234","PDCD2L"
"235","PEX14"
"236","PHF20"
"237","PHF6"
"238","PI4K2A"
"239","PIDD1"
"240","PIGX"
"241","PLCG1"
"242","PLEKHM3"
"243","PMS2"
"244","POFUT1"
"245","POLD1"
"246","POLE2"
"247","POLG2"
"248","POLR1A"
"249","POLR1C"
"250","POLR2M"
"251","POLR3F"
"252","POM121"
"253","POM121C"
"254","POMT1"
"255","POP4"
"256","PPIE"
"257","PPOX"
"258","PPP1CA"
"259","PPP1R18"
"260","PPP1R26"
"261","PPP4R1"
"262","PRKAB1"
"263","PRKAG2"
"264","PRKAR2A"
"265","PRPF31"
"266","PRSS56"
"267","PSMG2"
"268","PTBP3"
"269","PTGS1"
"270","PUS7"
"271","PYCARD"
"272","QTRT1"
"273","RABIF"
"274","RAD17"
"275","RBL1"
"276","RCC2"
"277","RCN3"
"278","RCOR1"
"279","RERE"
"280","RFC5"
"281","RFWD3"
"282","RGS10"
"283","RGS19"
"284","RIN3"
"285","RIPK1"
"286","RMND1"
"287","RNASEH2B"
"288","RPA1"
"289","RPA2"
"290","RPIA"
"291","RPRD2"
"292","RRAGC"
"293","RRP15"
"294","RSAD1"
"295","RTF1"
"296","SACS"
"297","SAP30"
"298","SCYL3"
"299","SDAD1"
"300","SELPLG"
"301","SETD6"
"302","SFPQ"
"303","SH3GL1"
"304","SHKBP1"
"305","SIVA1"
"306","SLC16A3"
"307","SLC1A5"
"308","SLC24A4"
"309","SLC25A24"
"310","SLC2A4"
"311","SLC38A10"
"312","SLC7A7"
"313","SLCO2B1"
"314","SMARCAL1"
"315","SMCO4"
"316","SMIM19"
"317","SNAPC4"
"318","SOCS6"
"319","SORD"
"320","SP3"
"321","SP4"
"322","SRR"
"323","SRSF6"
"324","ST14"
"325","ST8SIA4"
"326","STK3"
"327","SUFU"
"328","SUSD3"
"329","SZT2"
"330","TAF12"
"331","TAF1C"
"332","TBL3"
"333","TCF15"
"334","TCF19"
"335","TCF20"
"336","TCF3"
"337","TEFM"
"338","TELO2"
"339","TEX10"
"340","TGFBR1"
"341","THEM4"
"342","THG1L"
"343","THOC5"
"344","THOC6"
"345","TIPIN"
"346","TMEM216"
"347","TMEM63B"
"348","TMEM86A"
"349","TMPO"
"350","TNFRSF10B"
"351","TNFRSF13C"
"352","TNFRSF19"
"353","TNFRSF1B"
"354","TOP1MT"
"355","TOR1A"
"356","TRAF3IP1"
"357","TRIP11"
"358","TRMT2B"
"359","TRMT61A"
"360","TSPO"
"361","TTL"
"362","TUBD1"
"363","TUBGCP6"
"364","TWISTNB"
"365","TXNRD2"
"366","TYROBP"
"367","UBE2O"
"368","UBE2Q2"
"369","UBTF"
"370","UHRF1"
"371","UPF3A"
"372","URB2"
"373","USP39"
"374","UTP15"
"375","UTP20"
"376","UTP6"
"377","VAC14"
"378","VAV1"
"379","VKORC1L1"
"380","VPS16"
"381","VPS36"
"382","VPS9D1"
"383","VRK3"
"384","WDFY1"
"385","WDR44"
"386","WDR46"
"387","WDR90"
"388","WDTC1"
"389","WRAP73"
"390","XRCC1"
"391","ZBTB2"
"392","ZBTB48"
"393","ZC3H3"
"394","ZCCHC14"
"395","ZDHHC16"
"396","ZMYND8"
"397","ZNF22"
"398","ZNF395"
"399","ZNF711"
"400","ZNF784"
"401","ZNF845"
"402","ZNF850"
"403","ZNHIT3"
