"","HuAgeMSNDsplitRnaseq_06....MicrogliByothers_Zhang_Cuffdiff2FCover20__"
"215","RNASE2"
"216","RNASE3"
"217","RNASE6"
"218","RPS6KA1"
"219","RPTOR"
"220","RUBCNL"
"221","SASH3"
"222","SELPLG"
"223","SH3TC1"
"224","SIGLEC10"
"225","SIGLEC7"
"226","SIGLEC8"
"227","SIGLEC9"
"228","SKAP2"
"229","SLC15A3"
"230","SLC16A3"
"231","SLC17A9"
"232","SLC29A1"
"233","SLC2A5"
"234","SLC30A6"
"235","SLC37A2"
"236","SLC37A4"
"237","SLC38A7"
"238","SLC7A7"
"239","SLCO2B1"
"240","SNX14"
"241","SNX20"
"242","SPI1"
"243","ST14"
"244","STAB1"
"245","STK11IP"
"246","SUSD3"
"247","SYK"
"248","TAF1C"
"249","TAL1"
"250","TBXAS1"
"251","TCIRG1"
"252","TEP1"
"253","TEX10"
"254","THEMIS2"
"255","THOC6"
"256","TLR1"
"257","TLR2"
"258","TLR5"
"259","TLR7"
"260","TMC8"
"261","TMEM106A"
"262","TMEM119"
"263","TMEM156"
"264","TMEM221"
"265","TNFAIP2"
"266","TNFRSF10B"
"267","TNFRSF1B"
"268","TNNI2"
"269","TOR4A"
"270","TRAF3IP3"
"271","TREM2"
"272","TRPM2"
"273","TRPV2"
"274","TSEN54"
"275","TSPAN32"
"276","TWF2"
"277","TYROBP"
"278","UCP2"
"279","UNC93B1"
"280","VAV1"
"281","WAS"
"282","WDFY4"
"283","ZBTB32"
"284","ZMYND15"
"285","ZNF691"
