"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"Hist1h4i",3.25147056523671,3.11296661897669,3.06855173568136,3.22513439406636,6.09549992047766,6.11170431776412,6.05799329095308,6.09143516537731,5.24151122924314,6.24115735183173,4.00453473491406,5.01966787866771,3.79212011119268,3.6704488750264,5.51781375243679,4.90456169815101,5.17724567897391,6.58570009311663,6.21761261303392,5.9840527495759,5.9035992202844,5.06083744993551,7.00077303809882,6.98250480480349,3.28732726027014,2.41646137881127,6.5104709126424,6.13134371422176,3.94102691922959,3.66277327211775
"Inf2",4.62332715672283,3.93081490021556,4.52264553045688,4.37707948959477,0.937186114609973,1.07746955199985,0.672630891881262,0.629759255192006,0.263056032352144,0.634845639897695,1.84672948001055,2.00078956478937,0.255667577280132,0.173038491673005,0.251137283729029,0.244852432684772,0.628452390652056,2.6548048470952,3.00907247931408,2.67496829561246,2.52400899955601,2.5934181676498,6.72905059049472,6.73528365945746,3.17363540315134,3.4949844845602,5.62353221532234,5.0905446865197,3.42123889109865,3.56311044129809
"Insc",0,0.0102210759590989,0.0153735834491804,0.0245735849778005,0.0363380849542751,0.0265535502922064,0.0699584494748851,0.126397931951876,0.0533144659270321,0.0652132739178534,0,0.0388829247834203,0,0.045413409981974,0.0975907406779278,0.0331014676911482,0.0722751713657819,0.0641254979195099,0.28645566925,0.264328936674282,0.333623440049279,0.465805277394567,3.18234944857107,2.77165624545752,0.0683493078042329,0.11698748914272,2.18884988169328,1.80594816745986,0.365461781435532,0.448812704641505
"Itgb4",0.223871158564558,0.301663581107951,0.410287395850304,0.19250707319529,0.4892555841957,0.371849570834559,0.210741009527383,0.283787312587761,0.308404403205329,0.0687264855501605,0.0918685025613993,0.149561148056355,0.0862522588456995,0.265986630333524,0.597950734523022,0.287363947120566,0.5197030611033,1.15246874426693,0.510848440773988,0.801237254095157,0.89367128375615,1.0339380383095,5.85556231259233,5.7137832546118,0.405858783654529,0.163914152014631,4.32821950073365,3.92500628331105,0.172756464615098,0.0645355708866997
"Josd2",5.52316632024731,5.38947856740958,4.74692383971271,4.84204960964074,6.9673594592197,6.70483814901611,6.73864163254067,6.72482370725815,6.30661611303848,6.45318274641888,4.7500852424621,5.25369016509865,5.34864580170507,5.6731048934127,5.67871629778691,5.67810300246199,5.85916355567045,5.88901481342797,5.49776089929203,5.7306418051846,4.59922530518412,4.80826110974008,9.63317626291346,9.48001315281109,5.12484627920071,4.88294888497873,8.91563087495342,8.85259509176858,5.9796547486211,6.32983026446227
"Kcna1",0,0.116966750379752,0.0272785164560453,0.156760698703577,0,0,0,0,0,0,0.454257532721012,0.822548881921284,0,0,0.647815199382245,0.0961560055107228,0.68726124957693,0,0.520871607401489,0,0.254775737915813,0,7.1126455426709,7.2383527710508,2.96637440414143,2.76430766837877,7.60001263367964,6.35072416035054,4.56648151477381,4.34885086147109
"Kif5a",2.8050545409973,2.82457356638656,0.611823677855743,0.296513226231405,0.194782349210788,0.0740053363219359,0,0.175971464213608,0.0991115127881071,0.12081211881947,4.37728011337861,4.57647301767453,0.0392418438590262,0.125138298514991,4.60666315700446,5.41375152307623,6.24914186794897,0.215345897586234,0.728510104650196,0.841026627003005,0.419955179030831,0.595972780435273,8.7143114353236,8.55478514770878,6.96742038843905,7.8394414959954,7.13380898738692,7.10981685435263,5.08670955332668,6.17161649935322
"Klk6",0,0,0,0,0,0,0,0,0,0,0.0262879075497503,0,0,0,0.124488405037414,0,0,0,0,0,0,0,5.61414764112737,5.39875928674873,0,0,3.44276850022098,3.66777027904875,0.0352711672442983,0
"Larp6",0.729040078422736,0.949026780872063,0.139918200092537,0.0929736526422739,0.276025955940258,0,0,0,0,0,0.267705667273341,0.439953082301193,0,0.0923256100394927,0.243761251863631,0,0.0986603242549113,0,0.0709857175235172,0.0651196180597978,0.291640393407822,0.367540610036212,4.81815454480673,4.82275935946499,3.30635042413824,3.15220966964164,3.92053573095916,3.57059546448659,1.88787585341672,2.56936315320996
"Lgi3",4.49253680757015,3.99032217559874,0.25639099671678,0.182620019212567,0.439574177125054,0.332744290108254,0.429671869791921,0,0,0.281241340367419,2.16371329863757,2.98311805173724,0.346858687129251,1.35783819234089,0.180492511696905,0.344934341870197,0.563914589448465,0,0,0.209139683844423,0,0,10.3217343486322,10.255765661706,3.8758358064058,3.27348858451304,10.244715299233,10.3985257239565,4.43250677230978,4.83150430572638
