"","F","M"
"IGSF1",0.431749469330618,0.148502487809285
"IGSF10",1.01945460132952,0.274601621980411
"IGSF11",2.03939903232831,0.89319968657798
"IGSF21",1.52254332056169,1.20292391602865
"IGSF22",0.575797769603857,0.573562592424286
"IGSF3",1.16355351149069,0.909577300919263
"IGSF5",0.454798960901352,0.144203747576329
"IGSF8",6.33603527378313,7.16909349681912
"IGSF9",0.330153686423165,0.169542184657968
"IGSF9B",2.75696550779678,1.0259095998449
"IK",4.40391710495099,4.6040329310415
"IKBIP",0.947622383235972,0.626667925705711
"IKBKB",2.58933092381302,1.98453588335481
"IKBKE",0.912122157004545,0.316071694382125
"IKBKG",1.36939889453178,1.96928108820928
"IKZF1",0.881199846430402,0.251085682912376
"IKZF2",1.17341868222958,0.124991188485174
"IKZF4",1.46101074663548,0.610482844129856
"IKZF5",2.43073444301172,1.29120211955228
"IL10RA",2.59540711451408,1.49240464342829
"IL11",0.664437431747867,0.850428570369712
"IL11RA",2.15863663257042,2.92308537266747
"IL12RB2",1.0110969470561,0.425746066473288
"IL13RA1",2.02796053785405,1.39496524855414
"IL13RA2",1.07392489674703,0.51400309826963
"IL15RA",0.67791126619845,0.520348998958344
"IL16",0.462085535076478,0.20967000839183
"IL17D",3.46699319745206,3.86969410602953
"IL17RA",2.73037886888572,1.91468672516352
"IL17RB",3.1762257395684,3.51080209905661
"IL17RC",2.42888344896971,3.04549002021586
"IL17RD",1.35279827436857,0.895378658697307
"IL17RE",0.769312707868954,0.828748988227581
"IL18BP",2.67447406803044,2.40729882956974
"IL18R1",0.440277436804763,0.224163250144005
"IL1B",1.25860433207407,0.940180007166423
"IL1R1",0.593674909896366,0.117726901757743
"IL1R2",0.403872666340081,0.135719589279542
"IL1RAP",1.29694734969648,0.492382436162096
"IL1RAPL1",2.33841352941213,0.327797906767905
"IL1RAPL2",0.442443452217926,0.039732186125568
"IL1RL2",0.591430683903486,0.418602373679782
"IL1RN",0.125732313036688,0.0626965485685948
"IL20RA",0.590202786383463,0.474906306043572
"IL23A",0.603635711160421,0.520269276101937
"IL27RA",1.03987798787946,1.22499253742486
"IL32",0.738512148215247,0.885272725197998
"IL33",1.65285702806308,1.25519494092939
"IL34",0.700569007454859,1.0485182539395
"IL3RA",3.14697657832902,2.71951299029413
"IL4R",2.15546778846142,1.53213018339174
"IL6",0.901151715887992,0.632211394400439
"IL6R",1.57174984319728,0.973150634785475
"IL6R-AS1",0.669897019361753,0.336560158744411
"IL6ST",3.31322024941031,1.21417329374121
"IL7",0.847232576689008,0.29032200349058
"IL7R",0.525998417079743,0.14552908715496
"IL9",0.828694752885928,0.658455408345388
"IL9RP3",0.297292569789301,0.099992643877846
"ILDR2",2.83872207667042,1.9753701021535
"ILF2",4.50636342634403,5.06315489867979
"ILF3",4.23044013548282,4.35439559504367
"ILF3-AS1",5.02327424587117,5.82856803221612
"ILK",1.87353395092978,1.34555890831793
"ILKAP",3.2861241707267,2.98150488389286
"ILVBL",3.19649694338647,4.07746886705414
"IMMP1L",1.79443637284989,1.08304200544299
"IMMP2L",1.35524857719837,0.183913866040021
"IMMT",3.01155528699206,2.9596834052766
"IMP3",2.36209729631328,3.48713679528352
"IMP3P2",0.817469968708611,0.292816659076284
"IMP4",4.73075932338606,5.58372177843666
