"","hippocampus","prefrontal_cortex","optic_chiasm"
"AC002064.1",0.946224023522561,0.479380412523145,0.731207711338954
"AC002069.1",0.316610061942889,0.0703093358650196,0.0290636334084874
"AC002069.2",1.21316865444309,0.0883087309922922,0
"AC002076.2",0,0.1375606218843,0.199159225401498
"AC002091.2",0.420920300600176,0.0713502826583886,0.557820467821385
"AC002116.2",0.419127910233563,0.505635214224756,0.748497808077529
"AC002310.2",0.926406806714048,0.448223390443862,0.674485573781034
"AC002310.4",1.82541774436461,1.53708163491695,2.16443295672459
"AC002310.5",1.60449339188015,0.652895308209308,0.898579237435498
"AC002347.1",0.255522155700263,0.250112441961132,1.10724299526432
"AC002368.1",0.617042230036872,0.0345474615586673,0.0406394123819934
"AC002383.1",0.428833521655731,0.110684505416483,0.0718985046480752
"AC002401.4",0.504315228805719,0.355269384179815,0.528169272461495
"AC002428.2",0.581196274026799,1.14550653188317,1.16749487297326
"AC002451.1",0.916680194429269,0.351454554879758,0.958113077668515
"AC002451.2",0.283586118109561,0.0247750841457517,1.38913488468109
"AC002460.1",0.946429268674073,0.126783211832449,0.0332155153014059
"AC002467.1",2.48061684863242,2.40977872105203,2.54563074904836
"AC002504.1",0.826405894841926,0.0487068068737452,0.0215337377253519
"AC002511.1",0.321163132546075,0.147487357330627,0.223180515859452
"AC002511.2",0.252076189742471,0.381130718930227,0.229936917608545
"AC002519.2",0.432533206819006,0.33294799062286,0.0636644179406487
"AC002524.1",4.19668784726657,4.74983453075163,3.6100917025291
"AC002540.1",1.60823431706129,0.521896317178441,0.358126965141953
"AC002984.1",1.83548309764221,0.777643397239385,1.25094628749541
"AC003002.2",1.72936947123777,1.39791048231074,1.34067047176165
"AC003005.2",0.767682804878754,0.496140842023082,0.612518579046264
"AC003035.1",0.694197805185802,0.228131659803386,0.883792828152042
"AC003043.2",0.235935582587727,0.0491212275864704,0.923461070808019
"AC003084.1",0.711501983190437,0.143011845933737,0.152138313649981
"AC003101.1",1.5026095189558,0.0940695557557971,0.183858270142913
