"","GSE33000","GSE26927","GSE108000","GSE43490","GSE20292","GSE20164","GSE20333"
"ACADSB",0.892233600176121,5.81675487552053,0.961645958259467,5.98684668509014,5.03915486152033,3.31530871596573,4.2438115472135
"ACADVL",0.971692749714847,12.066480807833,0.912765860546896,11.7866552130817,10.1652721552728,8.85583831193964,8.11244486016926
"ACAT1",0.840014148707432,11.3232826916195,1.06142908088254,10.5184078187765,9.43587172166348,8.74579768627227,8.72427976556433
"ACBD3",0.94817746811928,10.6172055473213,1.01209713749596,7.78489003840584,8.59694175355471,6.4907708062849,7.68203218270782
"ACE2",1.08459044935378,5.09867141039454,1.01710464716428,7.31474297502073,4.90016575179141,2.78358503397875,3.65334113955336
"ACHE",1.13656302330994,5.52094935075399,0.747194772849454,6.17946349145382,6.6861508127263,6.65198098219237,4.26189882285635
"ACLY",0.834060500548213,10.5030185246284,0.930623057364145,7.31474297502073,9.65340421680872,6.77703192494063,8.98658801355622
"ACO1",1.00165433654702,10.9426341965979,0.927731510570249,8.5836775654688,8.70335953242134,7.55718789146217,7.83727687677458
"ACO2",0.924943294536866,9.87471601215663,0.924273528268778,10.2170816545632,6.95072467476962,9.30144088732033,8.26883923503898
"ACOT7",0.946107499826103,11.2158157445748,0.671832870199338,9.14757263915051,8.45658543405921,6.49099349623773,7.84762726295606
"ACOT8",1.0091504202897,7.91793361990228,1.05253897668015,7.31474297502073,7.94077421822754,6.9238321032802,7.15234318606449
"ACOT9",1.01040079307284,7.41414541413351,0.962880291548098,7.92459600054405,7.41285847159553,5.34085831412068,6.21673524917114
"ACOX1",0.948372499226974,7.86538921469934,0.898668674527984,7.14720523669324,5.50703414700694,3.66768436235656,6.35595559732118
"ACOX2",1.06510412785326,8.02342090470471,0.88852323688084,7.31474297502073,6.16428176327313,4.84751295065253,5.62237634955079
"ACOX3",0.944970287572305,7.821749127244,1.07810169143851,7.31474297502073,7.21740099102005,3.4498911181327,6.1722699524506
"ACP1",0.957665870251349,10.0071721376248,0.898702012973975,7.31474297502073,7.44195889127866,7.43933495167335,7.67274848813902
"ACP2",0.969641060573998,8.14671628833668,1.00666042829166,4.68639541880189,8.72059858202749,7.44811532256536,7.24873340843897
"ACP5",1.08770503436897,4.39689208305935,0.777039504297052,5.98301012384282,6.51201887585275,3.13979341697858,4.33433669236264
"ACP6",0.996282267465028,7.52226435537484,1.07861058220892,7.31474297502073,8.2754214480759,6.73861965198428,6.53056376260345
"ACPP",1.00516521979149,4.45702739998678,0.966722450472391,7.31474297502073,5.65351901839253,4.244140817942,4.52994049232759
"ACR",1.05473618161907,5.31457061353888,1.04458667260447,4.79318047004174,7.2963617535704,5.12720857426285,5.06789199355185
"ACRV1",0.934969033791814,7.18944399410969,0.983522195910366,7.31474297502073,7.49626202446837,5.45056901871062,5.36457192748766
"ACSBG1",1.16148809637228,11.131914835126,1.12214755330778,8.8059571073662,5.922013034157,8.91695351658001,8.86337497463619
"ACSL1",0.821447537393906,9.69590064178106,0.915534223801401,8.17826339433934,8.57266279154588,8.21980579277914,7.00449137924063
"ACSL3",0.867366557250926,8.71201241492384,1.05322274519063,6.52235572346206,8.66534158947437,6.07950050015307,8.3197206245195
"ACSL4",1.01321346664996,10.305391114823,1.05047193351848,7.31474297502073,5.15430138657752,4.5213862487816,4.79914921532394
