"","AD","CON","HD","MS","PD"
"ADD1",2.52055068626985,2.53279625498151,2.51354346815358,2.48954353023612,2.60523701654226
"ADD2",1.90396133156123,1.92375251435953,1.91989352829104,1.91253226454565,1.81740643039993
"ADD3",1.89588400052018,1.7888206661205,1.86332360250297,1.8961945835114,1.90620624314474
"ADH1A",1.74906742451523,1.65804912436463,1.76092060317263,1.78877546153801,1.75489364953047
"ADH1B",1.72277336782242,1.53308007113421,1.70358039091201,1.6926178735742,1.75053915189362
"ADH1C",1.44464256218366,1.43335207517638,1.43744630903819,1.37315806341063,1.48707011116345
"ADH5",1.96582383974999,1.96092414997211,1.97406461616321,1.96489637336541,1.81338309806991
"ADH6",1.83292381244982,1.81463602849163,1.8524000590915,1.84111266183604,1.91456487257594
"ADK",1.87455334805579,1.87994113471504,1.87578808808202,1.8649957207038,1.73900940777133
"ADM",2.37629147240808,2.26646328548585,2.37752337620331,2.34827297893361,2.18582255614689
"ADORA1",1.99075809910714,2.0387889007429,1.98651405900578,1.88204539638093,2.02708050002594
"ADORA2A",2.01338358562271,1.89713835989171,2.01068941679896,2.04848371443118,2.05549089221346
"ADORA2B",1.9702899130466,1.88074243393998,1.97749655445998,2.01007492874911,1.89419865114236
"ADORA3",2.17520157890723,2.0860912238057,2.25334990156261,2.18288638036283,2.23874360301659
"ADPRH",1.72970930272547,1.67634741278595,1.70211781667722,1.75173428877211,1.77939946254222
"ADRA1A",1.8739269474776,1.88625237651301,1.83939230509508,1.87445982537745,1.83322472757561
"ADRA1B",1.77515550427224,1.78253239361038,1.79014635444721,1.72972230911548,1.77280433963407
"ADRA1D",1.82218990465216,1.82160522236363,1.80543220745515,1.79950350559272,1.81103443791169
"ADRA2A",1.78640236088578,1.84897524706194,1.72512903892139,1.77631388965543,1.7799805673124
"ADRA2B",1.78538270667697,1.77579455793287,1.78822724003176,1.80424229859729,1.73963891429619
"ADRA2C",1.84513076118506,1.81210198857074,1.83615695208484,1.90560454710167,1.73899258423121
"ADRB1",1.61152436300583,1.63802881308603,1.59507749724789,1.62911942065366,1.69046729502791
"ADRB2",2.02258861831149,1.9667833621136,2.01603650159563,2.06195858122621,1.97485991094469
"ADRB3",1.6292143853003,1.63631786150175,1.63483013685562,1.66732575329519,1.53644240659617
"ADRBK2",1.75065696461773,1.84836634025826,1.66417002955527,1.76854970977786,1.78950295202957
"ADRM1",2.34495379175464,2.31526522845294,2.38789157294773,2.33430198705547,2.41152301283016
"ADSL",2.1345111029067,2.10147256851078,2.14559137669294,2.13818162445954,2.13642824840636
"ADSS",1.73024333589313,1.77799814123721,1.69202514658049,1.69969441882883,1.76172101702988
"AEBP1",2.37440239596135,2.16052929904536,2.38078184936485,2.40137955518574,2.40433851703894
"AES",2.49117883289584,2.52893798180666,2.52611671047245,2.47303929637816,2.46503850271644
"AFF1",1.9244793397274,1.83035448145446,1.9523925882069,1.93520889868499,1.83281597494044
"AFF2",1.94986900839914,1.97022718937869,1.94688057157488,1.94893024690253,1.85995297473972
"AFF3",1.96354137067104,1.970691229523,1.94451479842132,1.94542869118491,1.83960381955708
"AFF4",2.00616249706564,1.99969526293602,2.00472111660195,1.9989050255074,2.03507620182391
"AFG3L2",2.09882691944176,2.14981344948535,2.09465756188439,2.0966214149652,2.01946023588629
"AFM",1.64798265068075,1.64526624917503,1.64482286617055,1.65876006161175,1.64671154033168
"AFP",1.64229701943568,1.66788700339463,1.63299111053662,1.64179146878738,1.62343018861393
"AGA",1.94368427154532,1.95154503270129,1.94292727372207,1.94148493064923,1.95399263986384
"AGER",1.70611643936158,1.68527806008145,1.72630910180938,1.73177042309468,1.77952393654503
"AGL",1.86659189061666,1.89076150452395,1.85966790246591,1.82523090088819,1.7684185701786
"AGPAT1",2.2324549145363,2.27014684770871,2.23564668250422,2.25813294311634,2.25281248238109
"AGPAT2",1.89934790862359,1.89002558387143,1.90073010746931,1.95577833033432,1.88784426284517
"AGPAT3",2.04552257089868,2.03812214361356,2.06310428341634,2.02866985906538,2.1505965402804
"AGPAT4",2.17785318128031,2.23306636171212,2.17356280926913,2.08117860941195,2.20994285890015
"AGPS",1.81950167942803,1.80127285087711,1.80021123266147,1.83480854940583,1.79114040995316
"AGR2",1.59220615980186,1.63161112805087,1.60297301106813,1.56476049137106,1.58533924357973
"AGRP",1.70035277545982,1.69973557425578,1.70839252157381,1.73550336125749,1.76415800042389
"AGT",2.51363571352587,2.43624590116654,2.55046727270301,2.53019691929866,2.51002188956676
"AGTR1",1.78449129579882,1.73613545026117,1.74050511044745,1.78980424914985,1.31156256409026
"AGTR2",1.77364867921124,1.77370326218402,1.78229590337053,1.76259636336726,1.74891617950677
"AHCY",2.11993991318216,2.17650335004849,2.12105666592951,2.0435361118603,2.09508079336869
"AHCYL1",2.60629763928246,2.56767090206816,2.60164198887945,2.71276541147723,2.6006499134764
"AHR",2.2028820345937,2.16526883339045,2.19171115075226,2.28069451937594,2.16727346568826
"AHSA1",2.33001083457159,2.28349768368963,2.32101043615504,2.34486461799241,2.35099521470009
"AIF1",2.20020563484139,2.13614989095877,2.27124076399134,2.26991616070397,2.12918637264157
"AIM2",1.88092308456656,1.84978392658052,1.88627016285843,1.95020887460822,1.82450212818874
"AIP",2.22399178282175,2.20137498290495,2.21798857489443,2.22191510929597,2.22814652001394
"AIPL1",1.71862529889723,1.7299621599113,1.71752223381203,1.69214761521943,1.66224414068131
"AIRE",1.55675540068996,1.53365092775548,1.53971177649857,1.54310529048977,1.50776647450676
"AK1",2.36253606162806,2.38847887908164,2.37026354545204,2.39256496592517,2.33257185930822
"AK2",2.11177103978293,2.07644625273391,2.12026740297074,2.1125540536356,2.16358536938431
"AK5",2.33770367704877,2.39592122068062,2.33269660764341,2.36343764139481,2.30203780196912
"AKAP1",1.94402483628512,1.9189214757128,1.95668308030745,1.93309169343289,1.89955898917867
"AKAP10",1.84303064982974,1.80868668076234,1.82097622022482,1.90774742594061,1.82223013056726
"AKAP11",1.85012317430368,1.88053815031415,1.83306112546046,1.86361378455712,1.89150670024336
"AKAP12",1.85308569712635,1.85544026567977,1.8324079704517,1.89430518529738,1.79577206802785
"AKAP3",1.77530442692969,1.73034729815829,1.81378223560407,1.76615539897395,1.78584787110335
"AKAP4",1.59282925729841,1.6157137778906,1.60543556274639,1.62320074610117,1.5562091958772
"AKAP5",1.49410239177716,1.53538822677677,1.44185272335234,1.43094639686766,1.46647864339912
"AKAP6",1.9117555162211,1.97997255800586,1.88557479736289,1.90981820719034,1.82740730714015
"AKAP7",2.01962079643147,2.03822617654291,1.98847999654788,1.98968799164571,1.90027611086839
"AKAP8",2.0902344168269,2.05912130976612,2.1127360614258,2.10267048284238,2.12249954203236
"AKAP8L",1.92624493509985,1.82758491475952,1.91925900897853,1.89590870587821,1.9548214868605
"AKAP9",1.88892943032113,1.92951382777628,1.8890861162043,1.88765917895825,1.75012566512919
"AKR1A1",2.09359160744304,2.1103600338954,2.0895133083001,2.09820032705564,2.09671622672667
"AKR1B1",2.40086002231658,2.38582296551501,2.38931931928964,2.41186326869126,2.33472990659133
"AKR1B10",1.64554217025787,1.65367698021613,1.64648008228147,1.64227431667709,1.63293155662568
"AKR1C3",2.19254965899049,2.06375338550803,2.19581052064647,2.26341596809216,2.18502039797125
"AKR7A2",2.33100663321813,2.30644716204816,2.34315381230258,2.32271590727382,2.32880697168156
"AKR7A3",1.86557532716752,1.89046890279018,1.84780575744549,1.84317835084263,1.85889634224523
"AKT1",1.80195724477345,1.82459509502458,1.78706969379057,1.73568153374237,1.77720422082924
"AKT3",1.90250273564539,1.93567822426651,1.95773233570095,1.87341203222516,1.9412224970704
"ALAD",2.00971528757427,2.07114475064813,1.97790683663178,1.92057697279928,1.98007585407594
"ALAS1",1.61938851104593,1.67465790487742,1.59982284140311,1.58753888727587,1.54493422905764
"ALB",1.52413598014344,1.57508742771698,1.50123279270341,1.48660681625209,1.52686155657218
"ALCAM",2.13992925041077,2.14760451619946,2.07447578919227,2.1137615580579,2.00580267259527
"ALDH1A1",2.0509449288687,2.20372050897936,1.96698913917799,2.01290486557279,1.60611412139599
"ALDH1A2",1.88272472364513,1.83526373687454,1.85876836182657,1.9132764177854,1.94687769006644
"ALDH1A3",1.74895673882567,1.89245704473123,1.70965241477073,1.69031172006603,1.75709886545461
"ALDH1L1",2.23183039724715,2.20017903719454,2.24240863862882,2.23848421653413,2.19251718078103
"ALDH2",2.53471389352246,2.49859557183277,2.53741687050227,2.54894199290031,2.47398003585448
"ALDH3A1",1.67726501674098,1.68641782071781,1.67935255434595,1.67750709096603,1.6426121439921
"ALDH3A2",2.22337714033233,2.16736210409962,2.21699017278497,2.26804567398297,2.15295827677068
"ALDH3B1",1.86960295015322,1.85384142805975,1.87504216661076,1.86751170312467,1.9504769939036
"ALDH3B2",1.57034848516799,1.59643370266223,1.56401367660981,1.57582648672545,1.54662819619675
"ALDH4A1",2.19367680026761,2.16930154337334,2.19314679665257,2.17117606307129,2.11536851554388
"ALDH5A1",2.18588566487735,2.23613770394482,2.18796936895521,2.18967165304994,2.09527627168197
"ALDH6A1",2.42897983039702,2.38267505167067,2.44292711329071,2.44624691851744,2.41650829280245
"ALDH7A1",2.28853903112486,2.27681740533433,2.289343850929,2.2606311545299,2.18156555711358
"ALDH8A1",1.66869396036133,1.66533435508977,1.6705386447433,1.67866471887585,1.6971667056095
"ALDH9A1",2.55080007053677,2.4741294546321,2.58267770570965,2.60338944871036,2.5644425801401
"ALDOB",1.7753958992591,1.75662230843494,1.76494516120471,1.7649415006515,1.72558164294623
"ALG3",1.97113563829613,1.9637899377637,1.97670114403461,1.99296369534541,2.01156376577551
"ALG5",2.06601518999719,2.08462411561336,2.05216876072605,2.04705120382869,2.03905560827804
"ALG6",1.98923979176431,2.00005305405642,1.99630567100907,1.96230606068983,1.99904799979888
"ALLC",1.71343447395953,1.68286057481203,1.71617011752565,1.70836298131932,1.58750866065986
"ALOX12",1.68550098729023,1.69441600521729,1.71407098321117,1.73925079502596,1.64115993497225
"ALOX12B",1.7037179235915,1.75268307395337,1.68623600921064,1.68294563677195,1.72820858139172
"ALOX15",1.61649939943178,1.66123979458622,1.68624926406904,1.68977006346132,1.63693310872909
"ALOX15B",1.76953537539153,1.70922595832765,1.84677076339788,1.86162058579557,1.76667026351874
"ALOX5",2.00733180723722,1.90786111792596,2.00335846850537,2.03063333811597,1.94382415319981
"ALOX5AP",2.16344256781305,2.03239286699926,2.16351873885021,2.21812994918029,2.05665985899834
"ALOXE3",1.7808177470525,1.79358259135178,1.79389027442965,1.7543395733204,1.86964616918093
"ALPI",1.65320887095211,1.65478051001247,1.65701797897244,1.65425707013586,1.65874376785308
"ALPL",2.10610344367058,2.09941856117303,2.15733705193922,2.0631900355204,2.20508554698681
"ALPP",2.2634504350353,2.29985901403587,2.25717606958345,2.27251669548003,2.27331266177675
"ALX3",1.88872831213247,1.79491580573321,1.84762736724488,1.87070236797064,1.862886713232
"AMACR",1.71598864969841,1.74154361710968,1.70864185009575,1.7102303756251,1.68586294664514
"AMBN",1.6311199743257,1.62754819613291,1.61829749773273,1.62992677240748,1.62543534485735
"AMBP",1.55369933135545,1.55576401683301,1.55040686086864,1.56083530071591,1.54997627174022
"AMD1",2.16387079256797,2.09163282800569,2.17222551460477,2.23307893542945,2.24348507098796
"AMELX",1.64145683401896,1.65898413992149,1.6613267143677,1.61135825903511,1.67617266594301
"AMFR",2.10547873042196,2.13573159049574,2.13519670662073,2.22239575106312,2.15511095761728
"AMH",1.72820331249504,1.75113846597449,1.77465219733512,1.72124695288171,1.83177060478943
"AMMECR1",1.75772755372299,1.79335869861453,1.71315575635016,1.76699015712795,1.68797041027525
"AMN",1.6943330227433,1.7203246566762,1.65835232614207,1.65099902240538,1.64160726978214
"AMOTL2",1.8664765659477,1.80163576199129,1.85028735528361,1.84604555825193,1.94395547149551
"AMPD2",1.84177619953521,1.82503979328778,1.80617487338841,1.80198005711115,1.8519759070934
"AMPD3",1.73241150880204,1.75594669276723,1.74076207460816,1.71974643237566,1.7656651541121
"AMPH",2.0802494496249,2.15968891720536,2.05392626645407,2.02645687608569,1.74009597540088
"AMT",2.08089440140392,2.0815805569531,2.08325594796537,2.03619529632735,2.10591464822183
"ANAPC1",2.06855142018411,2.07134152299247,2.06611010737581,2.09909428885458,2.04970559073564
"ANAPC10",1.89392425940104,1.91520368817491,1.88074892288676,1.89514881488963,1.84767113827121
"ANAPC2",2.0640142865003,2.08879031673111,2.04860801912054,2.02192177125925,2.07441801679775
"ANAPC5",2.3961067604862,2.40141705381793,2.39015043165947,2.34557976204906,2.49660081434887
"ANG",1.92708423904907,1.84836422817404,1.95161210483327,1.94332963825739,1.95647587658502
"ANGPT2",1.88078596836322,1.67859717486353,1.81922191536285,1.94153615276229,1.73492493509312
"ANGPT4",1.64979141815404,1.65386248338499,1.65521879456689,1.67590515309056,1.61035340775789
"ANGPTL2",1.85408775994419,1.90611586442157,1.81613163788341,1.82541437905655,1.97319300844428
"ANGPTL3",1.85536573239884,1.86055587400342,1.85997417641928,1.86652537369262,1.81955961829383
"ANGPTL4",2.32646612002847,2.17790401861954,2.32003690664486,2.41986582461592,2.21034595351233
"ANGPTL7",1.63608924918816,1.64683424724024,1.63190079177287,1.64068318082094,1.6362328712483
"ANK2",2.14445966120212,2.1791238348561,2.08620615467184,2.12107593455599,2.0127592408778
"ANK3",2.0383178877496,2.13040107148079,1.9922606126848,2.0101195272471,2.04578321303967
"ANKH",1.56250477344152,1.63008664624032,1.56043558082238,1.51427480090265,1.49891620082356
"ANKMY1",1.70597993427771,1.75564677781623,1.72429965107289,1.60293044906504,1.71907827723729
"ANKRA2",1.85450395110511,1.87933906303962,1.86239414314011,1.77235825724862,1.84422530594285
"ANKRD1",1.60191403540553,1.59534298935503,1.61142015692537,1.59924014885048,1.62233205935282
"ANKRD11",1.6970550458449,1.70598924832468,1.71152265095134,1.73398620914534,1.75872145301036
"ANKRD2",1.55617628707422,1.54934614393799,1.5579185193668,1.56501178300922,1.53089520746477
"ANKRD7",1.63096360637571,1.64969361431956,1.63842361812879,1.63039162764755,1.64955605929023
"ANP32A",1.99217072928885,1.97687333464796,1.93774103858636,1.98023500074461,1.98086054327016
"ANP32C",1.66782631626933,1.67194375139177,1.65837009596701,1.68122424869334,1.66068497683367
"ANPEP",1.72788781867292,1.67800968546375,1.76698814320829,1.71608511313409,1.87954911686662
"ANXA1",2.09162930834603,1.9790671588594,2.08174347752469,2.21042579322777,2.07256416164529
"ANXA11",1.71354380819335,1.73338268714991,1.68376576827568,1.71943305461134,1.67728933085422
"ANXA13",1.6730862390604,1.64006986209781,1.69105051375887,1.66355538493749,1.80428665852737
