"","cortex_brain","substantia_nigra_brain","brain"
"ABHD2",1.1491770660055,6.32803876041859,2.2649618213932
"ABI1",1.11206767870385,7.05387382087369,2.63161592251082
"ABI2",1.16317138614163,7.29365185054728,3.5097532684642
"ABL1",1.24805225510971,7.59789042308969,2.34291638154339
"ABL2",1.13031696357097,5.87668197942156,2.31022767445032
"ABLIM1",1.16115100593145,8.76531146139965,2.1207940554098
"ACAA1",1.31205962488209,8.57008174270748,3.92421529319626
"ACAA2",1.29590176166752,7.54066499655762,3.59796348450369
"ACACA",1.18660349316049,8.37361304943352,4.27185248474142
"ACACB",1.31329668999774,7.56820076173294,3.76611648962584
"ACAD8",1.0892495802578,6.5036992940863,2.76642401476927
"ACADL",1.2173152517384,5.65357514105518,2.46987286453977
"ACADM",1.20631104344055,8.37048408855558,4.19223530300742
"ACADSB",1.03425802622632,4.89690891863624,2.72153952004811
"ACADVL",1.27594808713151,10.4603403522099,4.63472283065223
"ACAT1",1.13073474957342,9.90749745729294,4.46661642602704
"ACBD3",1.21703967922398,8.60015475856991,4.16165507066168
"ACE2",1.20150431093993,4.87631715925508,2.31538817790194
"ACHE",1.25169770136938,6.05040325565406,2.30137852930845
"ACLY",1.09725985355968,9.06435669914659,4.12670415665133
"ACO1",1.27927097985303,9.00183795290565,4.20705356913913
"ACO2",1.17253996309086,8.66598370847625,3.97617648102962
"ACOT7",1.23479096838928,8.80193092386537,4.29382819384178
"ACOT8",1.19802873915262,7.5615596524355,3.42352148274434
"ACOT9",1.18251182564988,7.08318790973153,3.13560121013084
"ACOX1",1.14442788262862,6.28343351481577,3.11120105236356
"ACOX2",1.26125850552542,6.61725805429379,3.15558899835486
"ACOX3",1.13412834154222,6.74783775836319,3.32956685329297
"ACP1",1.20789365682609,8.04747897329496,4.01791367033485
"ACP2",1.17956369362855,7.40571511620641,3.49760376402566
"ACP5",1.17441706674148,5.28143327799498,1.85695611781982
"ACP6",1.18096381995388,7.51417402319339,3.15865076890566
"ACPP",1.09734577540184,5.38090892345742,2.02995088158836
"ACR",1.17106842463884,5.88666122139121,2.38137568317346
"ACRV1",1.11678398953866,6.6371816844361,3.21417818034009
"ACSBG1",1.44733183290005,8.59737925967595,4.23383613920862
"ACSL1",1.07170961149293,8.74799528955099,3.49786836942626
"ACSL3",1.08955930627917,7.83267605208488,3.7281084903809
"ACSL4",1.26875157835807,6.58531942116522,4.23117655658976
"ACSL5",1.13267506770501,6.11225059547784,1.95729826280327
"ACSM3",1.08148213589946,5.15680275205253,1.73573628916299
"ACTA2",1.52424772212691,9.3527039149871,3.99833332402245
"ACTB",1.48011589020216,10.565720773842,4.74384614374315
"ACTG2",1.27622202782307,6.71848837418297,2.93015830659133
"ACTL6A",1.25204984328097,6.8754475775879,3.58195070449676
"ACTL6B",1.28402778254184,5.75564157997755,3.89544163055426
"ACTL7A",1.09036166639013,5.46244373919812,2.13288596541627
"ACTN1",1.22275329170019,7.28559809501959,4.13243493694968
"ACTN2",0.906102127539822,6.27087007209476,3.54041668325614
"ACTN3",1.13818800309413,5.76811683375626,2.372667697959
"ACTN4",1.37922607784338,8.3081742574539,3.88458167197463
"ACTR1A",1.26174871471149,8.61030046800448,4.38876596222417
"ACTR1B",1.2096328321738,8.67737322211219,3.98518373594044
"ACTR2",1.07052538440616,8.29754937055829,4.9757083564501
"ACTR3",1.15487238209503,8.71316945165847,3.86344281255155
"ACTR3B",0.998825289467685,5.99601958541601,2.79246011515328
"ACVR1",1.23851338548439,7.48120032017276,3.93524883482675
"ACVR1B",1.29138494704888,6.46375628038489,4.23581919725924
"ACVR2A",1.09995126016918,7.29142152399076,3.13459828074953
"ACVR2B",1.25776988303203,7.21261556364046,2.87645128522403
"ACVRL1",1.28075930243476,6.8111588206201,2.73954150281063
"ACYP1",1.19971801362705,7.61574291170744,3.81458733989374
