"","cerebral_cortex","peritoneum","brain","blood"
"Gprc5b",4.84871786674239,3.13947035529131,0.235951461399802,0.250333475146144
"Gsn",4.15527980206403,0.996690931706764,1.74400281499284,5.90805055748617
"Gstm7",4.99222188999027,0.690325242455311,1.15081826914478,0.772644341463476
"Hapln2",2.144592896493,0.0496758537830175,0.216196764407942,0.412450794568898
"Hcn2",4.37400255234593,0.0605316411600273,0.297197623963622,0.187839710860848
"Hist1h1e",3.16712739516027,0.574324741641048,4.27485016050938,5.88520568388185
"Hist1h2al",4.8977557423198,0,0,0.623557948882908
"Hist1h2bc",4.44618673122247,5.32622844152513,5.70480268927212,6.49121740827032
"Hist1h3d",2.32328453509172,0.377162221872473,2.69795391160791,5.48437008741102
"Hist1h4c",1.28850644007806,0,3.88748230555778,4.73431471472383
"Hist1h4h",3.73046001206857,2.98378914495807,4.861424979246,3.80359345589664
"Hist1h4i",4.40107194483844,5.97321687927451,4.61243802315616,5.95036042518927
"Hist3h2ba",6.36180495762059,2.31278239521676,3.26714320045565,0.63960602705633
"Igsf8",4.35242311730261,4.3435386708316,3.00300872788748,2.7672228703583
"Il23a",2.44775019964179,2.64291722793217,1.48233344644215,0.372002762296758
"Inf2",4.22376903526375,0.702491247655488,0.310629635203799,2.69125455784551
"Insc",0.788390442526801,0.0629626260863547,0.0496761579433664,0.282867764257528
"Insm1",2.67485584246656,0,0.0571313857400062,0.177038264400616
"Itgb4",1.5713853701254,0.288794060983482,0.351451326385222,0.878432752240345
"Josd2",6.40743495030575,6.649243634582,5.64754671020742,5.30498078656576
"Kcna1",3.18039728119276,0,0.28624649089398,0.15512946906346
"Kif19a",2.49453954362219,1.15719841679879,0.606129704128275,0.747053788245661
"Kif1a",5.08605556988203,0.0296256683969618,0.961575802615564,0.195560320455766
"Kif5a",5.21925917888646,0.110780463558985,3.28678733808074,0.560162117741108
"Klhl2",2.96214981053372,1.22055620628505,1.06497332295525,3.64507094783742
"Klk6",1.29892891299571,0,0.0248976810074828,0
"Kndc1",2.98123865628189,0.0254553962816219,0.110979734049985,0.201073836744288
"Larp6",2.1904615472663,0.046004325990043,0.086949437231607,0.15905726780547
"Ldlrap1",3.21068727672263,2.93634465619353,2.8878096346357,4.58858486430024
"Lgi3",5.12162698942541,0.247205279565441,0.558807664497142,0.0418279367688846
"Lpar1",1.7660804416691,0.715844449705224,0.189179061443066,0.50867885277181
"Lrrn1",3.52448776330611,0.121043588730733,0.109021733713034,0.458725107397057
"Ly6g6f",0.797973140679445,0,0.253151046812103,2.99171170791925
"Mag",4.81117926573124,0.860754776089578,3.82620519901666,0.736109479574806
"Mal",4.30731084467075,0.0296223707036676,0.830564991313469,0.341073301947865
"Map1a",5.87179852273041,0.087814383586217,0.53312455850934,0.290026175117275
"Map6d1",4.32042896782005,0.251536828319973,0.719751530495195,0.575865948963907
"Mapk8ip1",5.886238255137,0.0817580900680567,0.53699280696285,0.626899302459174
"Mbp",5.76281936676473,1.21646682300434,2.49405217836324,5.7770795378626
"Mcam",5.84117254136043,0.283526447660734,0.938501328701972,0.851897068456832
"Micall1",3.32420796357583,0.0223005611622872,0.907870703086516,1.92989402477779
"Mir219a-2",2.76748658473264,0,0,0
"Mobp",3.72127164226576,0.0646916660726105,0.874843459758442,0.33658652950271
"Mog",3.94036729168043,0.192984040284614,0.662284489170645,0.681530729056257
"Myrf",3.34141779501965,0.322268802098624,0.149932268713226,0.260000331071452
"Nacad",4.4868837242803,0.846721051437758,0.442564315397093,1.77210899478106
"Ndrg1",2.16558283009122,0.543178258178346,0.622890522028657,2.38302100547522
"Nfasc",4.0519896707169,0.041574992050591,0.0765360721492653,0.336911951389574
"Nipal4",1.81686801307553,1.00461852563295,0.236731102502212,0.829742761356806
"Nkain1",2.72916740451313,0.0258402869006909,0.0305797715112762,0.441773296786563
"Nkx6-2",2.71293140173631,0,0.601660826857267,1.4017676294681
"Nmral1",4.12184455900261,3.86093220844714,3.83340691233253,3.31931256372785
"Nol3",2.98359916057209,0,0.139696911059783,0
"Npb",3.28624678723,0,0,0
"Nrbp2",5.01674792906676,0,0.249613830091857,0.323914092280117
"Nrsn1",3.17247744580683,0.0853340840545255,2.36385969760397,0.207279294246948
"Nrtn",1.33871156376513,0.23875891069025,0.0339402987187616,0.155741871106153
"Olig1",9.27505380741251,0,2.47349131437139,0.24269666371771
"Olig2",6.83913714270774,0,0.353081999374026,0.0931467722739908
"Opalin",2.18688323064738,0.0981491866772067,0.240408414661935,0.100734112218246
