"","other","myeoligo"
"Gm12390",0.201766668125892,0.91908795273832
"Gm14516",0.11595240017536,1.04305968500506
"Gm14808",0.175946453595959,2.18988743475425
"Gm19439",0.266786227193363,2.86029230420975
"Gm19963",0.0609413833755366,0.679031766824934
"Gm21168",0.354005557648486,4.37707106803481
"Gm23814",0.0989205523957786,1.16237927451081
"Gm24803",0.131669586403175,1.0899306827506
"Gm24978",0.29549978386726,0.770812491930185
"Gm33594",0.286846100996614,4.17217037847596
"Gm36961",0.852363641727162,4.49970170212502
"Gm37774",0,1.38128185948388
"Gm42495",0.0884040884931318,1.05010903944905
"Gm42500",0.232552226525277,2.29426653638152
"Gm43494",0.334156410264931,1.38728248731414
"Gm43653",0.352239421739992,0.984150217264224
"Gm45405",0.126405351779381,1.43216881134309
"Gm48395",0.1174670788694,1.33957467922431
"Gm4974",0.354428482192164,3.18218060766474
"Gm5067",0.580490854685689,5.48476690639701
"Gm7424",0.207702060611445,0.587085964648095
"Gng13",0.568186598224223,3.88762804081191
"Gng8",0.829160743934857,5.82999737434599
"Gpr37",1.10153633404414,8.04314936263041
"Gpr62",1.64458233841238,9.14402656834827
"Gsn",2.95112067121465,9.89147544376102
"Hapln2",0.647725219986986,7.66464365442433
"Hcn2",1.79162123158067,6.92950888483345
"Hist1h4c",1.91609254866443,3.74874194994836
"Hist1h4h",3.55251190898453,6.99196688142733
"Hist1h4i",4.8673222465075,6.99163892145116
"Hoxd1",0.0400659456596571,1.75081783447725
"Inf2",2.31760002481856,6.73216712497609
"Insc",0.254426995316758,2.97700284701429
"Itgb4",0.654008370485009,5.78467278360207
"Josd2",5.90174997071121,9.55659470786227
"Kcna1",1.15648012224158,7.17549915686085
"Kif5a",2.70357007078004,8.63454829151619
"Klk6",0.260592366396471,5.50645346393805
"Larp6",0.804700258520789,4.82045695213586
"Ldb3",0.285679031786627,1.95769638036435
"Lgi3",1.98613169733358,10.2887500051691
"Lpar1",0.783660612580415,5.28349265021073
"Ly6g6f",0.772824689697992,2.87842321581262
"Mag",2.54898656196826,11.9804940173105
"Mal",1.54191988066538,11.5822604286443
"Map6d1",1.82845306395486,8.63831406298005
"Mbp",3.60262207752021,14.2302562416479
"Micall1",1.74403900172369,6.01422322404679
"Mir7688",0.91585752932574,1.10889448281527
"Mobp",1.29295653189944,11.1701600206388
"Mog",1.44969448306165,11.225338445321
"Ndrg1",1.3014475825717,6.08312724792942
"Nipal4",0.895732063997676,5.85786743210768
"Nkain1",1.04930673387225,5.67228108882705
"Nkx2-9",0.0495009637216602,1.987171795384
"Nkx6-2",1.07089801945032,9.00651868066312
"Nmral1",3.70436021509347,6.45646421720206
"Nol3",1.04448915929736,6.61158817149106
"Nrtn",0.509096643858606,3.43411008896846
"Opalin",0.613362706787608,7.8684085967372
"Padi2",1.64875688508784,3.53143720436506
"Pdlim2",3.93184410406021,8.12737313472315
"Phlda3",3.45626356119066,9.07512356412122
"Pigz",1.57063742832141,4.34918208640308
"Pla2g16",2.68980096939956,5.43887967459787
"Plekhb1",2.86033593098468,10.9590327189298
"Plekhh1",0.947960839313205,5.58629537828284
"Plp1",3.20597958778567,13.9404117321435
"Plpp2",3.20289681672515,6.67837561233739
"Ppp1r14a",1.05667190377887,8.76346725612566
"Prr5l",1.13158117044435,3.3710284181855
"Qdpr",3.18618442644521,6.2870944658491
"Rab37",0.425021749714931,1.98337401525355
"Rftn1",1.30459753291947,2.4840199087067
"Rpl31-ps15",1.98358295235189,5.60362319210632
"S100b",1.86779936058559,7.47099323907054
"S1pr5",3.43995962974017,8.40565711906696
"Scd1",3.91593160167599,9.58237341533454
"Sec14l5",0.604624281401754,4.79419766475364
"Sept4",2.40000226154298,9.46518809072727
"Sh3d2c-ps1",0.968596438180381,6.05628761323815
"Sh3gl3",0.807208729123119,5.23837595450897
"Shisa8",1.16947429739936,5.17532388035425
"Slain1",1.25502566728561,5.67196101269389
"Slc48a1",5.10931814886651,8.96336992549213
"Slc5a11",0.324279021041116,1.27998409945069
"Slco3a1",0.666096029088629,2.4159147225321
"Smim1",2.41172949406974,6.93213305086666
"Smtnl2",0.499621530556518,3.6142413992814
"Sp7",0.333100816397328,4.75007483894927
"Tbc1d9b",4.32952865040424,7.38149308087078
"Tmem125",0.845107769129716,9.38211434454314
"Tmem151a",1.67789197158144,8.9725471177046
"Tmem88b",1.92618930872995,10.9948717925566
"Tmem95",0.421953112277145,1.61164214333583
"Tmod1",0.704517431409178,3.31340103383957
"Tnni1",0.280614835573759,2.32300098531413
"Tppp3",5.97552828854902,9.67497153244003
"Tprn",3.72994925147012,8.48165331302124
"Traj18",0.150404408999003,0.97473593164887
"Trak2",2.99821271761003,7.50974558005942
"Trp53inp2",5.16185224681074,12.0391458627045
"Wfdc18",2.00410109864958,2.19032950921195
"mt-Atp8",4.83054561128273,2.2527944089069
"mt-Rnr1",10.5252136082825,14.511186388814
