"","No_data","5_months"
"Clec10a",1.55277080234274,3.87900514085733
"Clec12a",1.53475358539006,2.20009058895908
"Clec1b",1.87292401736287,2.10469893920473
"Clec2d",1.95675564692607,1.07670040868223
"Clec2g",0.981147196476178,0.798912940696455
"Clec2i",1.9252094041196,1.70323818499042
"Clec4a1",1.99684546356912,4.31592850269769
"Clec4b1",0.69693953903395,0.0694732586532301
"Clec4d",1.16034693244583,6.35010303714487
"Clec4e",1.59235437202723,5.39057900769977
"Clec7a",2.80220752211708,6.71454016821419
"Clu",6.62572886850098,0.936327251282872
"Cmpk2",3.4865782007344,2.86120204712963
"Cnn2",5.02964601146483,5.22206833235078
"Crip1",4.18518569146415,10.315669899252
"Crybg1",0.698177270586264,0.122956867528814
"Csf2ra",6.0438550313601,7.23471294927523
"Ctse",1.27235901619985,0.317960236068264
"Ctsw",2.38417774759425,0.479098331015213
"Cxcr2",1.8976781056128,0.774635270564991
"Cybb",2.30144467241845,6.67500107769125
"Cyfip2",2.90072973640196,0.272360436578651
"Cyp2ab1",1.15456787812466,2.86300882678688
"Cyp4f16",4.19027312974454,2.82354033812786
"Cyp4f17",2.52982918547001,0.102549607259597
"Cyp4f18",1.75300382518452,0.0442888468871478
"Cytip",1.83151225401223,2.71389945240819
"Dcst2",1.13936436263124,0.111471534679175
"Defb40",0.871474934765896,0.0491088115442775
"Dennd2d",1.06903612024385,1.29312742009839
"Dgkg",1.00567343153227,0.403813035963383
"Dgkh",1.66845222866121,0.228579616187926
"Dhcr24",3.89062500780545,0.0744089028856681
"Dhrs9",0.98695046960906,0.242785483574324
"Diaph1",2.79054298858904,2.46678299349503
"Dna2",2.17551707426433,1.2549315524826
"Dnase1l1",3.18256166803001,3.2914237618567
"Dock5",1.17561139390859,0.69948507411093
"Dok2",1.89510239682098,3.30902124587597
"Dpep2",1.29035868119073,0.0702900433113015
"Dram1",1.27788073774335,1.02169577638204
"Dyrk3",2.34330516898093,1.15314993859075
"E230014E18Rik",1.35979962061126,0.0411310524062789
"E2f1",2.99125601929421,3.27743426825901
"E2f2",2.66544198898151,1.0173986167265
"Ecm1",4.03971083809424,8.94353907061755
"Ehd1",5.18415089056427,5.5932609900163
"Eif3f",7.46086841682428,8.08314647378564
"Elane",1.14115712037104,1.91828952465861
"Emb",2.51419392500798,1.95399472908021
"Emilin1",3.27647710473631,3.74083746474028
"Emp1",2.57676386264243,1.66183715688169
"Emp3",4.74025027966103,7.95624108281506
"Epsti1",1.71001220042204,1.35146638278707
"Esam",3.24024207090139,1.14684071957966
"Ezr",3.74702738518135,1.74495376792396
"F10",1.37709372510445,5.4654257245041
"F13a1",1.58698224665183,0.179349559477535
"F5",1.2940752340491,5.49599276149126
"F630028O10Rik",1.649088845824,1.70615255300493
"F830208F22Rik",1.33640982887499,0.104074705501213
"Fabp4",0.833713375555674,8.47823974207422
"Fam129a",1.82460046496506,0.599607168836039
"Fam209",2.37460400513502,0.270378561848091
"Fam241a",2.02242246283902,2.31631489462897
"Fam49a",1.57173240174834,0.0575179588870191
"Fam69a",2.5011025002556,1.02712896986754
"Fas",1.58093179479145,2.4885279187614
"Fcer2a",1.22125696094385,0.555325330246969
"Fcho1",3.48647075947031,0.34578979936377
"Fcmr",0.841969017490307,1.17620995971634
"Fcnb",0.898261703697884,0.543438417973635
"Fcor",3.27143767363274,6.36543864009053
"Fgr",2.32230181071569,3.76871014814965
"Fhl1",2.95609151591791,0.168924969147854
"Fkbp1b",2.72700702052542,4.28622131777306
"Flna",6.15767282460968,5.96093458914394
"Fn1",3.68857223550488,8.48362756212333
"Foxd2os",0.733095678015806,0.391530385452614
"Foxd4",0.912873830460877,0
"Foxred2",2.73666924182149,0.257295727989289
"Fpr1",1.5409773009747,3.52310362246474
"Fut7",2.0250364743976,1.36528842154606
"Fxyd5",3.98043945059825,8.75329398753871
