"","other","monocytes"
"1810044D09Rik",4.02212443278593,2.54416924074234
"1810055G02Rik",3.26446741003986,2.91116945314198
"1810058I24Rik",5.16066224608932,7.07393906016475
"1810062G17Rik",0.262629381539314,0.450325816934713
"1810063I02Rik",0.218964409974571,0
"1810064F22Rik",0.531147992218312,0.318096247210787
"2010001A14Rik",2.03053556079038,1.16987383444004
"2010007H06Rik",0.345438281487222,1.17156548365506
"2010008C14Rik",4.39249305375595,5.45519999049249
"2010013B24Rik",0.955753052187436,3.79448180917539
"2010016I18Rik",0.00285029449907867,2.45868368484234
"2010107E04Rik",6.88940077354382,5.56398006137894
"2010109A12Rik",0.3657833957101,1.78102634072115
"2010109I03Rik",0.197493245668126,1.44693975951311
"2010109P13Rik",0.220169096506808,0
"2010110E17Rik",0.170491069310443,1.099220109591
"2010110G14Rik",0.684294490423294,0.340190952356022
"2010110K18Rik",0.351663393306703,0.794421877430246
"2010111I01Rik",0.384774165093852,1.55053423182435
"2010203P06Rik",0.254288040235799,0
"2010300C02Rik",0.424829419307847,0.264821481623938
"2010310C07Rik",0.211957527836388,2.13797995197358
"2010315B03Rik",2.28435862738271,3.92579606571994
"2010320M18Rik",5.57542259595772,4.3844934684173
"2200002A13Rik",0.325587415739191,2.45949489544822
"2200002D01Rik",0.693537504247444,1.78132420218212
"2200002J24Rik",0.381402059345812,0.738952120939853
"2210008F06Rik",1.03877810174558,0.475455212458498
"2210011C24Rik",1.49055047535885,0.943849429139653
"2210016F16Rik",5.08890388661232,6.5770742524084
"2210016L21Rik",4.33083300926438,4.30317100959728
"2210039B01Rik",0.11790924095354,1.46881349256029
"2210408F21Rik",0.300757679972756,1.55913533003022
"2210414B05Rik",0.158631858688469,1.18138271357207
"2210417A02Rik",0.685856263176205,1.91492955044757
"2300009A05Rik",3.1143579538479,3.06611062037508
"2310001H17Rik",0.706221954675833,3.65553773816253
"2310009A05Rik",4.18203887676687,4.32069361140277
"2310009B15Rik",3.57245916301527,4.14125097027258
"2310010J17Rik",2.48495905812986,2.3962025901072
"2310011J03Rik",6.89070347934393,7.08409725788123
"2310014F06Rik",0.225196070354574,0.547276449545964
"2310015A10Rik",2.82763031061832,3.04270742433692
"2310022A10Rik",2.1710186301509,4.04456179085578
"2310022B05Rik",3.59903936889391,1.5645399799596
"2310026L22Rik",1.55634922675673,2.62910384075486
"2310031A07Rik",1.41958327937364,2.96769754823932
"2310033P09Rik",4.80989174600516,4.43993177109994
"2310034C09Rik",0,0.448760472670284
"2310034O05Rik",0.229624731481597,1.60400554287161
"2310035C23Rik",2.25203056367449,4.23409475045573
"2310040G24Rik",2.43782808340452,2.36108728527554
"2310047D07Rik",0.423315433262691,0.732517742380295
"2310058D17Rik",0.603714916596676,1.37264575349267
"2310061I04Rik",4.2386649732226,4.52938630921381
"2310074N15Rik",1.41367664648368,0.616780927839868
"2400006E01Rik",0.0480107650136389,0.634403615086978
"2410004B18Rik",4.66665087635192,4.89639674424274
"2410004P03Rik",0.783041740789036,2.50795542005371
"2410006H16Rik",8.03940517158882,8.14277593506555
"2410015M20Rik",6.49641175241855,6.27752281307856
"2410022M11Rik",3.78238515109174,3.59254884847811
"2410024N13Rik",0.0135858576158656,0.65841784875412
"2410080I02Rik",0.315291220201109,0.503633306784436
"2410089E03Rik",1.61582519037439,2.12521535519528
"2410131K14Rik",3.16472850648299,2.64595627745483
"2410137M14Rik",0.165719673707861,0.14864630975112
"2500002B13Rik",0.802314006242035,1.62233737907381
"2500004C02Rik",2.32264346642095,2.92753287585933
"2510009E07Rik",3.85586116590858,2.2090904075242
"2510039O18Rik",5.92768585246283,6.95836495555212
"2510046G10Rik",2.55750027485959,3.28857374154486
"2600006K01Rik",1.17958711835537,0.318354826431675
"2610001J05Rik",6.95016031179644,6.2102174252011
"2610002M06Rik",2.07680085240488,2.10790729846815
"2610005L07Rik",0.253175397077682,1.07298473713067
"2610008E11Rik",1.87654887488183,2.65325299281026
"2610017A05Rik",0.61327828463501,0.710875746655572
"2610020C07Rik",2.45964584860539,1.67142239977342
"2610021A01Rik",1.95584392987027,2.20418592880865
"2610035D17Rik",0.907149330078162,1.16618151264654
"2610035F20Rik",1.08070914848987,0.0636000637165318
"2610037D02Rik",0.382404928035671,2.04693915560415
"2610042L04Rik",0.394282641801834,0.0294334176498246
"2610044O15Rik8",2.10540297589388,2.92806398659357
"2610203C22Rik",0.242780171567806,0.372184962118829
"2610301B20Rik",2.37805907256696,2.37599313001621
"2610306M01Rik",4.78839090778671,3.18783863251901
"2610316D01Rik",0.614939968035261,0.511076587126579
"2610318N02Rik",0.548656376448433,0.431446157950858
"2610507B11Rik",5.13400038806905,5.63684855444724
"2610507I01Rik",1.40134512405967,5.49693152820665
"2610528A11Rik",1.07093090909482,0.79831100855619
"2700033N17Rik",1.56717874669447,0
"2700038G22Rik",1.77633038935365,2.44843380313632
"2700046A07Rik",1.17854068538869,0.116009997615263
"2700046G09Rik",2.04521763690797,0.972612523138546
"2700049A03Rik",1.00645640039092,1.89250893190225
"2700062C07Rik",3.35074824244294,3.54154690400502
"2700081O15Rik",3.77097471796496,0.327282365932095
"2700097O09Rik",1.70655079910946,1.97064325689662
"2700099C18Rik",0.478959266871511,0.425725504274259
"2810001G20Rik",2.55547273995688,2.32990638692382
"2810002D19Rik",2.54330986920964,4.03776474018785
"2810006K23Rik",2.08034346959784,2.55340265214525
"2810021J22Rik",1.777800198847,2.44292271039495
"2810025M15Rik",5.12664370767979,2.17330331455365
"2810029C07Rik",2.45066329322232,1.3098505378418
"2810030D12Rik",0.163364830534164,0.852613268692173
"2810039B14Rik",1.17257921928027,0.699292035890406
"2810049E08Rik",0.384120804537665,0.246514326046657
"2810402E24Rik",3.50719868372397,3.93171408487011
"2810403A07Rik",3.65385541491292,5.17828600838538
"2810403D21Rik",0.342078773009203,1.1892111090058
"2810403G07Rik",0.593462247700293,0.294760568293043
"2810405F17Rik",1.80261749616699,4.29197294049137
"2810408A11Rik",1.51835120721516,0.717820440318456
"2810408I11Rik",0.715352903407528,1.02644762114127
"2810410L24Rik",2.69429318905446,0.120712255364931
"2810414N06Rik",1.6384271108755,1.31004789290501
"2810428J06Rik",0.949670134535948,2.63223859961718
"2810429I04Rik",0.725765286559058,0.38448892574878
"2810433D01Rik",0.244801764068381,0.651580024251706
"2810454H06Rik",0.921680223535535,2.26559615752919
"2810459M11Rik",1.77528616052608,0.739783086211021
"2810468N07Rik",3.79321569051073,1.70565049164097
"2810474O19Rik",2.57045745634502,6.20356660760276
"2900005J15Rik",0.765157304830829,3.2608626481032
