Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
NT5C2,QuiBYPro_FC_,Pro,Qui,0.0459385,0.0738454,1.607483919
GON4L,QuiBYPro_FC_,Pro,Qui,0.0311005,0.049991,1.60740181
SLC39A13,QuiBYPro_FC_,Pro,Qui,0.0185295,0.0297777,1.607042824
SETDB2,QuiBYPro_FC_,Pro,Qui,0.0193626,0.031114,1.606912295
NEDD1,QuiBYPro_FC_,Pro,Qui,0.019754,0.0317412,1.606823934
IL17RE,QuiBYPro_FC_,Pro,Qui,1.61E-06,2.58E-06,1.606670196
CALM1,QuiBYPro_FC_,Pro,Qui,0.00221284,0.00355046,1.604481119
RECQL5,QuiBYPro_FC_,Pro,Qui,0.00558179,0.00894798,1.6030664
CALCR,QuiBYPro_FC_,Pro,Qui,1.57E-07,2.52E-07,1.602966242
FXYD6,QuiBYPro_FC_,Pro,Qui,2.80E-05,4.48E-05,1.602343051
SMIM19,QuiBYPro_FC_,Pro,Qui,0.11534,0.184667,1.601066412
SGCE,QuiBYPro_FC_,Pro,Qui,0.028659,0.045874,1.600683904
ZDHHC22,QuiBYPro_FC_,Pro,Qui,0.00125314,0.00200498,1.599964888
IFFO1,QuiBYPro_FC_,Pro,Qui,3.62E-05,5.79E-05,1.599840717
DRAIC,QuiBYPro_FC_,Pro,Qui,1.16E-06,1.85E-06,1.599414901
AL356056.1,QuiBYPro_FC_,Pro,Qui,5.59E-05,8.94E-05,1.599367578
DNM1,QuiBYPro_FC_,Pro,Qui,0.000164723,0.000263368,1.598853833
NVL,QuiBYPro_FC_,Pro,Qui,4.27E-05,6.83E-05,1.59818787
MIR762HG,QuiBYPro_FC_,Pro,Qui,0.00202049,0.00322869,1.597973759
ZEB1,QuiBYPro_FC_,Pro,Qui,0.000293639,0.000469156,1.597730547
FER1L4,QuiBYPro_FC_,Pro,Qui,0.00312111,0.0049862,1.597572658
ESRRG,QuiBYPro_FC_,Pro,Qui,3.93E-07,6.27E-07,1.597078664
ALPK1,QuiBYPro_FC_,Pro,Qui,0.00398048,0.00635524,1.596601415
PFKM,QuiBYPro_FC_,Pro,Qui,0.00600161,0.00957363,1.595176961
TCP11,QuiBYPro_FC_,Pro,Qui,0.00339113,0.00540806,1.594766346
CCDC78,QuiBYPro_FC_,Pro,Qui,0.0217003,0.034597,1.594309756
SPECC1,QuiBYPro_FC_,Pro,Qui,0.0667302,0.106386,1.59427066
CDK2,QuiBYPro_FC_,Pro,Qui,0.0186946,0.0298015,1.594123437
MYO19,QuiBYPro_FC_,Pro,Qui,0.00161161,0.0025689,1.593996066
SDK1,QuiBYPro_FC_,Pro,Qui,0.0808903,0.128935,1.593948842
EIF2D,QuiBYPro_FC_,Pro,Qui,0.000600717,0.000957243,1.593500767
LEF1,QuiBYPro_FC_,Pro,Qui,4.69E-05,7.47E-05,1.592779788
LMBRD1,QuiBYPro_FC_,Pro,Qui,3.42E-05,5.45E-05,1.592751997
CYP19A1,QuiBYPro_FC_,Pro,Qui,5.02E-06,8.00E-06,1.592711644
PCID2,QuiBYPro_FC_,Pro,Qui,0.175208,0.279051,1.592684124
C1RL,QuiBYPro_FC_,Pro,Qui,0.0109755,0.0174766,1.592328368
ATG7,QuiBYPro_FC_,Pro,Qui,0.000820604,0.00130667,1.592327115
EXOC7,QuiBYPro_FC_,Pro,Qui,0.000700079,0.00111428,1.591648942
TNFRSF1B,QuiBYPro_FC_,Pro,Qui,0.0368757,0.0586829,1.591370469
FIP1L1,QuiBYPro_FC_,Pro,Qui,0.000410928,0.00065378,1.590984309
L2HGDH,QuiBYPro_FC_,Pro,Qui,0.0390642,0.0621299,1.590456223
BCL11A,QuiBYPro_FC_,Pro,Qui,1.33E-05,2.12E-05,1.590293157
LMO7,QuiBYPro_FC_,Pro,Qui,0.00117671,0.00187106,1.590077419
CRB1,QuiBYPro_FC_,Pro,Qui,5.31E-07,8.44E-07,1.589681705
TTC39A,QuiBYPro_FC_,Pro,Qui,5.35E-06,8.50E-06,1.588940704
PROX1-AS1,QuiBYPro_FC_,Pro,Qui,0.0105314,0.0167328,1.588848586
NFATC3,QuiBYPro_FC_,Pro,Qui,0.00898199,0.0142677,1.588478722
POLR1D,QuiBYPro_FC_,Pro,Qui,0.0897161,0.142481,1.588131896
ANK3,QuiBYPro_FC_,Pro,Qui,0.00023068,0.000366207,1.587510838
PARP6,QuiBYPro_FC_,Pro,Qui,0.000888085,0.0014095,1.587122854
MUC20-OT1,QuiBYPro_FC_,Pro,Qui,0.0320077,0.0507945,1.586946266
HID1,QuiBYPro_FC_,Pro,Qui,5.55E-05,8.81E-05,1.586430406
NUDCD3,QuiBYPro_FC_,Pro,Qui,0.00348142,0.00552283,1.586372802
MBNL2,QuiBYPro_FC_,Pro,Qui,0.113582,0.180156,1.586131605
SNX10,QuiBYPro_FC_,Pro,Qui,0.187755,0.297767,1.585933797
KCNC2,QuiBYPro_FC_,Pro,Qui,4.97E-08,7.89E-08,1.58577453
PCAT6,QuiBYPro_FC_,Pro,Qui,0.00165314,0.00262125,1.585618883
C17orf53,QuiBYPro_FC_,Pro,Qui,0.00361328,0.005729,1.585540008
COL11A1,QuiBYPro_FC_,Pro,Qui,3.24E-08,5.13E-08,1.58538191
NDUFAF2,QuiBYPro_FC_,Pro,Qui,0.00012046,0.000190966,1.585306326
SLC25A5,QuiBYPro_FC_,Pro,Qui,0.96742,1.53357,1.585216349
ORAOV1,QuiBYPro_FC_,Pro,Qui,0.0028042,0.00444299,1.584405535
EIF2B5,QuiBYPro_FC_,Pro,Qui,0.057263,0.0907272,1.58439481
AC093495.1,QuiBYPro_FC_,Pro,Qui,0.00134101,0.00212466,1.584372973
ABCC8,QuiBYPro_FC_,Pro,Qui,4.94E-06,7.82E-06,1.584162427
SLC25A45,QuiBYPro_FC_,Pro,Qui,0.000463687,0.000734504,1.58405131
QARS,QuiBYPro_FC_,Pro,Qui,0.000964165,0.00152719,1.58395088
PIK3R4,QuiBYPro_FC_,Pro,Qui,0.000170622,0.000270244,1.583875467
ZNF671,QuiBYPro_FC_,Pro,Qui,0.00325462,0.00515426,1.583674899
CLN3,QuiBYPro_FC_,Pro,Qui,0.0579233,0.0917281,1.583613157
EYA1,QuiBYPro_FC_,Pro,Qui,0.000262588,0.000415822,1.583552942
USP10,QuiBYPro_FC_,Pro,Qui,0.000125258,0.000198339,1.583443772
ASB2,QuiBYPro_FC_,Pro,Qui,1.00E-06,1.58E-06,1.581325211
NAT9,QuiBYPro_FC_,Pro,Qui,0.0120809,0.0190947,1.580569328
GOSR2,QuiBYPro_FC_,Pro,Qui,0.00152363,0.00240807,1.580482138
KATNAL2,QuiBYPro_FC_,Pro,Qui,0.00654465,0.0103424,1.580283132
ZNF638,QuiBYPro_FC_,Pro,Qui,0.123497,0.195136,1.580086966
ABCC8,QuiBYPro_FC_,Pro,Qui,3.08E-05,4.87E-05,1.580067171
PLEKHA8P1,QuiBYPro_FC_,Pro,Qui,0.0053896,0.0085126,1.57944931
ZFAND1,QuiBYPro_FC_,Pro,Qui,0.0320866,0.0506682,1.57910779
TIMP2,QuiBYPro_FC_,Pro,Qui,0.00038739,0.000611442,1.57836289
ARHGEF1,QuiBYPro_FC_,Pro,Qui,0.000443546,0.000699941,1.578057293
LETMD1,QuiBYPro_FC_,Pro,Qui,0.0831041,0.1311,1.577539496
AL035530.1,QuiBYPro_FC_,Pro,Qui,0.00185842,0.00293158,1.577458271
ISY1,QuiBYPro_FC_,Pro,Qui,0.0532676,0.0839855,1.576671372
CLCN7,QuiBYPro_FC_,Pro,Qui,0.0856492,0.135036,1.576617178
ZNF549,QuiBYPro_FC_,Pro,Qui,0.00111317,0.00175487,1.576461816
WFDC3,QuiBYPro_FC_,Pro,Qui,9.78E-07,1.54E-06,1.575956345
PRMT5,QuiBYPro_FC_,Pro,Qui,0.390227,0.614645,1.575096034
ARHGEF9,QuiBYPro_FC_,Pro,Qui,0.000146826,0.000231261,1.575068448
POR,QuiBYPro_FC_,Pro,Qui,0.0470765,0.0741424,1.574934415
AC084759.2,QuiBYPro_FC_,Pro,Qui,9.47E-08,1.49E-07,1.57489979
DLG1,QuiBYPro_FC_,Pro,Qui,0.0691076,0.108837,1.574891908
BBS4,QuiBYPro_FC_,Pro,Qui,0.0612835,0.0965073,1.574768086
NUP205,QuiBYPro_FC_,Pro,Qui,0.0945254,0.14884,1.574603228
TANK,QuiBYPro_FC_,Pro,Qui,0.140323,0.220909,1.574289318
ATP5F1D,QuiBYPro_FC_,Pro,Qui,0.0454591,0.071559,1.574140271
HAP1,QuiBYPro_FC_,Pro,Qui,0.110881,0.174512,1.57386748
BMP2K,QuiBYPro_FC_,Pro,Qui,0.0381757,0.060078,1.573723599
MEF2C,QuiBYPro_FC_,Pro,Qui,0.00795698,0.0125218,1.573687505
SBNO2,QuiBYPro_FC_,Pro,Qui,0.000177066,0.000278646,1.573684389
ACTN4,QuiBYPro_FC_,Pro,Qui,0.138821,0.218437,1.573515534
DNAJC16,QuiBYPro_FC_,Pro,Qui,8.84E-06,1.39E-05,1.573418503
ICA1,QuiBYPro_FC_,Pro,Qui,4.23E-05,6.66E-05,1.573416656
PMS1,QuiBYPro_FC_,Pro,Qui,0.0419304,0.0659276,1.572310305
IL18,QuiBYPro_FC_,Pro,Qui,0.00991018,0.0155805,1.572171242
WDR73,QuiBYPro_FC_,Pro,Qui,0.0208262,0.0327383,1.571976645
CEP57L1,QuiBYPro_FC_,Pro,Qui,9.66E-06,1.52E-05,1.571557919
PIN1,QuiBYPro_FC_,Pro,Qui,0.00372183,0.00584885,1.57149843
ALKBH6,QuiBYPro_FC_,Pro,Qui,0.0241702,0.0379828,1.571472309
ERMARD,QuiBYPro_FC_,Pro,Qui,0.0673153,0.105778,1.571381246
ABCC8,QuiBYPro_FC_,Pro,Qui,0.000536947,0.000843613,1.571128994
IFT57,QuiBYPro_FC_,Pro,Qui,0.11119,0.174674,1.570950625
ERCC3,QuiBYPro_FC_,Pro,Qui,0.00325042,0.0051061,1.570904683
LINS1,QuiBYPro_FC_,Pro,Qui,0.0444797,0.0698705,1.570840181
CCND3,QuiBYPro_FC_,Pro,Qui,0.0237399,0.0372839,1.570516304
LINC02024,QuiBYPro_FC_,Pro,Qui,0.000392531,0.000616429,1.570395714
CALCR,QuiBYPro_FC_,Pro,Qui,2.80E-07,4.40E-07,1.569885637
BCAT1,QuiBYPro_FC_,Pro,Qui,0.171743,0.269603,1.569804883
ASAH1,QuiBYPro_FC_,Pro,Qui,0.00277575,0.00435495,1.568927317
ABCA8,QuiBYPro_FC_,Pro,Qui,0.00466933,0.00732493,1.568732559
LAMTOR4,QuiBYPro_FC_,Pro,Qui,0.000360504,0.000565502,1.568642789
PSMA2,QuiBYPro_FC_,Pro,Qui,0.000636644,0.000998639,1.568598777
SKIV2L,QuiBYPro_FC_,Pro,Qui,0.000270253,0.000423915,1.568585733
TATDN1,QuiBYPro_FC_,Pro,Qui,0.0119593,0.0187544,1.568185429
TRMT11,QuiBYPro_FC_,Pro,Qui,0.0485658,0.0761584,1.56814878
MTHFD1,QuiBYPro_FC_,Pro,Qui,0.00224392,0.00351836,1.567952512
KYAT1,QuiBYPro_FC_,Pro,Qui,0.00150992,0.00236702,1.567645968
SPIDR,QuiBYPro_FC_,Pro,Qui,0.00545831,0.00855435,1.56721586
SLC50A1,QuiBYPro_FC_,Pro,Qui,0.00497541,0.00779743,1.567193457
HJURP,QuiBYPro_FC_,Pro,Qui,0.00844245,0.0132294,1.567009577
PDGFA,QuiBYPro_FC_,Pro,Qui,1.17E-06,1.84E-06,1.566860614
CSF2RA,QuiBYPro_FC_,Pro,Qui,9.38E-07,1.47E-06,1.566548165
CCDC110,QuiBYPro_FC_,Pro,Qui,1.31E-06,2.05E-06,1.566533968
KIF1A,QuiBYPro_FC_,Pro,Qui,0.00470605,0.00737166,1.566421946
PPP6R3,QuiBYPro_FC_,Pro,Qui,9.28E-05,0.00014542,1.566313594
CSF2RA,QuiBYPro_FC_,Pro,Qui,3.88E-06,6.08E-06,1.566312474
FANCM,QuiBYPro_FC_,Pro,Qui,8.87E-06,1.39E-05,1.566256506
CNTNAP3,QuiBYPro_FC_,Pro,Qui,0.00822468,0.0128788,1.565872472
AL392172.1,QuiBYPro_FC_,Pro,Qui,0.00790011,0.0123704,1.565851615
STK19,QuiBYPro_FC_,Pro,Qui,0.000145897,0.000228425,1.565659335
PGAP2,QuiBYPro_FC_,Pro,Qui,0.0671764,0.105157,1.565386058
AMPD3,QuiBYPro_FC_,Pro,Qui,0.000169711,0.000265652,1.565319867
ATP7B,QuiBYPro_FC_,Pro,Qui,0.0138241,0.0216374,1.565194118
ID2-AS1,QuiBYPro_FC_,Pro,Qui,0.0065319,0.0102234,1.565149497
PSMB9,QuiBYPro_FC_,Pro,Qui,0.00267638,0.00418878,1.565091654
NPAS1,QuiBYPro_FC_,Pro,Qui,0.00945612,0.0147992,1.565039361
IMP4,QuiBYPro_FC_,Pro,Qui,0.246378,0.385497,1.564656747
AIF1L,QuiBYPro_FC_,Pro,Qui,0.000117142,0.000183263,1.564451691
LINC00460,QuiBYPro_FC_,Pro,Qui,0.0407693,0.0637773,1.564346211
CSNK1G3,QuiBYPro_FC_,Pro,Qui,0.0472909,0.0739765,1.564286152
USF1,QuiBYPro_FC_,Pro,Qui,0.000335533,0.000524702,1.563786572
ARMC4,QuiBYPro_FC_,Pro,Qui,3.71E-06,5.79E-06,1.563683421
FBXW9,QuiBYPro_FC_,Pro,Qui,1.63E-05,2.55E-05,1.563530096
ELAC2,QuiBYPro_FC_,Pro,Qui,0.000361406,0.000564953,1.563208691
GMDS-AS1,QuiBYPro_FC_,Pro,Qui,0.00760036,0.0118799,1.563070697
APOBEC3D,QuiBYPro_FC_,Pro,Qui,0.0124221,0.0194164,1.563052946
ADGRG1,QuiBYPro_FC_,Pro,Qui,0.0124174,0.0193981,1.562170825
IP6K2,QuiBYPro_FC_,Pro,Qui,0.0307224,0.0479805,1.561743223
PCDH9,QuiBYPro_FC_,Pro,Qui,0.0136197,0.0212689,1.561627642
BDNF,QuiBYPro_FC_,Pro,Qui,9.20E-06,1.44E-05,1.561077708
LINC01535,QuiBYPro_FC_,Pro,Qui,0.00307035,0.00479299,1.561056557
IMMP1L,QuiBYPro_FC_,Pro,Qui,0.00157074,0.0024518,1.560920331
TSC2,QuiBYPro_FC_,Pro,Qui,0.0463289,0.0723143,1.560889639
ANO10,QuiBYPro_FC_,Pro,Qui,0.0429493,0.0670062,1.560123215
CELF2,QuiBYPro_FC_,Pro,Qui,0.000154703,0.000241352,1.560099028
HDAC7,QuiBYPro_FC_,Pro,Qui,0.0320453,0.0499913,1.560019722
FN1,QuiBYPro_FC_,Pro,Qui,0.0281285,0.0438748,1.559798781
ATP6V1H,QuiBYPro_FC_,Pro,Qui,0.176094,0.274658,1.559723784
GPR132,QuiBYPro_FC_,Pro,Qui,7.71E-05,0.000120205,1.559694095
SLC43A2,QuiBYPro_FC_,Pro,Qui,0.0254844,0.0397196,1.55858486
NPIPB5,QuiBYPro_FC_,Pro,Qui,6.71E-05,0.000104508,1.558367195
KIF17,QuiBYPro_FC_,Pro,Qui,0.0101116,0.0157552,1.558131255
"CTXN2,SLC12A1",QuiBYPro_FC_,Pro,Qui,0.00129954,0.00202476,1.558059005
SNX15,QuiBYPro_FC_,Pro,Qui,0.000102754,0.000160095,1.558041536
ZNF611,QuiBYPro_FC_,Pro,Qui,0.000197613,0.000307819,1.557685982
AC025165.3,QuiBYPro_FC_,Pro,Qui,0.0563805,0.0878166,1.557570437
CSTF1,QuiBYPro_FC_,Pro,Qui,0.0194762,0.0303355,1.557567698
ARMC12,QuiBYPro_FC_,Pro,Qui,0.00847399,0.0131988,1.557566152
LRP8,QuiBYPro_FC_,Pro,Qui,0.112671,0.175483,1.557481517
SLC4A7,QuiBYPro_FC_,Pro,Qui,0.0135173,0.0210501,1.557271053
PLEKHG2,QuiBYPro_FC_,Pro,Qui,0.0124868,0.0194409,1.556916103
C1orf123,QuiBYPro_FC_,Pro,Qui,0.0197835,0.0308002,1.556863042
PIGG,QuiBYPro_FC_,Pro,Qui,0.0182912,0.0284763,1.556830607
ZNF525,QuiBYPro_FC_,Pro,Qui,0.00625905,0.00974227,1.556509374
GPR1,QuiBYPro_FC_,Pro,Qui,0.00341896,0.00531946,1.555870791
MAT2B,QuiBYPro_FC_,Pro,Qui,0.0341401,0.0531096,1.55563692
AL009172.2,QuiBYPro_FC_,Pro,Qui,0.00165606,0.00257596,1.555475043
CARD9,QuiBYPro_FC_,Pro,Qui,0.00445448,0.00692851,1.555402651
SEC31A,QuiBYPro_FC_,Pro,Qui,0.00184611,0.0028711,1.555216103
CYP2E1,QuiBYPro_FC_,Pro,Qui,0.00471566,0.00733119,1.554647706
SELENOS,QuiBYPro_FC_,Pro,Qui,0.155896,0.242348,1.554549187
RRM2,QuiBYPro_FC_,Pro,Qui,0.00235876,0.00366676,1.554528651
CRB1,QuiBYPro_FC_,Pro,Qui,2.41E-07,3.74E-07,1.554274301
IQCD,QuiBYPro_FC_,Pro,Qui,0.0056832,0.00883323,1.554270481
CTNND1,QuiBYPro_FC_,Pro,Qui,0.0262173,0.0407473,1.554214202
SEPHS1,QuiBYPro_FC_,Pro,Qui,0.0245143,0.0380984,1.55412963
NUP214,QuiBYPro_FC_,Pro,Qui,0.0296871,0.0461351,1.55404536
COG4,QuiBYPro_FC_,Pro,Qui,6.77E-05,0.000105198,1.553942169
ATP6V0A1,QuiBYPro_FC_,Pro,Qui,0.245535,0.381514,1.553806993
SYNRG,QuiBYPro_FC_,Pro,Qui,0.0167018,0.0259485,1.553634938
COL4A3BP,QuiBYPro_FC_,Pro,Qui,0.0214099,0.0332626,1.553608377
TCEAL4,QuiBYPro_FC_,Pro,Qui,0.00204247,0.00317273,1.553378997
ZFYVE21,QuiBYPro_FC_,Pro,Qui,0.0307365,0.0477394,1.553182698
SLC2A14,QuiBYPro_FC_,Pro,Qui,0.00167685,0.00260398,1.552899782
ERBB3,QuiBYPro_FC_,Pro,Qui,0.00253732,0.00393945,1.552602746
NSRP1,QuiBYPro_FC_,Pro,Qui,0.0146021,0.0226706,1.552557509
ZNF79,QuiBYPro_FC_,Pro,Qui,0.0198787,0.0308547,1.552148782
WDR59,QuiBYPro_FC_,Pro,Qui,0.0430823,0.0668646,1.552020203
PTK2,QuiBYPro_FC_,Pro,Qui,0.058567,0.0908795,1.551718545
FERMT2,QuiBYPro_FC_,Pro,Qui,0.270073,0.419054,1.551632336
SH3BP2,QuiBYPro_FC_,Pro,Qui,0.0509437,0.0790324,1.55136749
RABGAP1L,QuiBYPro_FC_,Pro,Qui,2.65E-05,4.10E-05,1.551155627
MAEA,QuiBYPro_FC_,Pro,Qui,0.0209173,0.0324445,1.551084509
RBMS3-AS2,QuiBYPro_FC_,Pro,Qui,0.0034989,0.00542701,1.551061762
RPAP1,QuiBYPro_FC_,Pro,Qui,0.0451465,0.0700203,1.550957439
LINC02539,QuiBYPro_FC_,Pro,Qui,1.05E-07,1.63E-07,1.550937331
SYNPR,QuiBYPro_FC_,Pro,Qui,3.62E-06,5.62E-06,1.550864444
NMU,QuiBYPro_FC_,Pro,Qui,4.53E-06,7.03E-06,1.550604456
VWC2L,QuiBYPro_FC_,Pro,Qui,6.05E-06,9.38E-06,1.550399196
PPEF1,QuiBYPro_FC_,Pro,Qui,1.60E-06,2.48E-06,1.550010917
LINC01341,QuiBYPro_FC_,Pro,Qui,0.00199765,0.00309634,1.54999124
ALG8,QuiBYPro_FC_,Pro,Qui,0.0995324,0.154247,1.549716474
CREBBP,QuiBYPro_FC_,Pro,Qui,0.112003,0.173555,1.549556708
RASGRP3,QuiBYPro_FC_,Pro,Qui,3.32E-07,5.15E-07,1.549490344
INSIG2,QuiBYPro_FC_,Pro,Qui,0.0283651,0.0439508,1.549467479
DDX52,QuiBYPro_FC_,Pro,Qui,4.30E-05,6.66E-05,1.549351707
CFLAR-AS1,QuiBYPro_FC_,Pro,Qui,0.00325941,0.00504959,1.549234371
B3GALNT2,QuiBYPro_FC_,Pro,Qui,0.141093,0.21857,1.549120084
SARM1,QuiBYPro_FC_,Pro,Qui,0.00623329,0.00965596,1.549095261
USP2,QuiBYPro_FC_,Pro,Qui,0.00373829,0.00579095,1.549090627
ABCG4,QuiBYPro_FC_,Pro,Qui,6.26E-07,9.69E-07,1.549026346
CPSF7,QuiBYPro_FC_,Pro,Qui,0.00511801,0.00792774,1.548988767
WDR61,QuiBYPro_FC_,Pro,Qui,0.00527137,0.00816419,1.548779539
BAP1,QuiBYPro_FC_,Pro,Qui,0.0159924,0.0247612,1.548310447
AL136311.1,QuiBYPro_FC_,Pro,Qui,0.00723654,0.0112044,1.548308998
TBC1D5,QuiBYPro_FC_,Pro,Qui,0.0261726,0.040523,1.548298602
ZNF395,QuiBYPro_FC_,Pro,Qui,0.00150818,0.00233498,1.548210426
AKAP1,QuiBYPro_FC_,Pro,Qui,1.67E-05,2.59E-05,1.547967732
ARHGEF6,QuiBYPro_FC_,Pro,Qui,2.65E-05,4.11E-05,1.547895276
LDHB,QuiBYPro_FC_,Pro,Qui,0.643905,0.996674,1.547858768
AL121985.1,QuiBYPro_FC_,Pro,Qui,0.00779104,0.0120592,1.547829301
CXXC1,QuiBYPro_FC_,Pro,Qui,0.00517291,0.00800597,1.547672393
ADTRP,QuiBYPro_FC_,Pro,Qui,1.32E-06,2.04E-06,1.547402193
CLPTM1L,QuiBYPro_FC_,Pro,Qui,0.46828,0.724589,1.547341334
ATP5F1A,QuiBYPro_FC_,Pro,Qui,0.0303154,0.0469082,1.547338976
SEC14L2,QuiBYPro_FC_,Pro,Qui,0.0169409,0.0262044,1.546812743
ZNF345,QuiBYPro_FC_,Pro,Qui,3.51E-05,5.44E-05,1.546714545
CCDC117,QuiBYPro_FC_,Pro,Qui,0.000130117,0.000201247,1.54666185
PCGF1,QuiBYPro_FC_,Pro,Qui,3.92E-05,6.06E-05,1.546372866
NAA60,QuiBYPro_FC_,Pro,Qui,0.104082,0.160935,1.546232778
ENSA,QuiBYPro_FC_,Pro,Qui,0.130281,0.201415,1.546004406
IFT80,QuiBYPro_FC_,Pro,Qui,0.0137004,0.0211773,1.54574319
SENP1,QuiBYPro_FC_,Pro,Qui,0.0312875,0.0483585,1.545617259
LEPROT,QuiBYPro_FC_,Pro,Qui,0.00014387,0.000222366,1.54560367
NELL2,QuiBYPro_FC_,Pro,Qui,0.0101992,0.0157637,1.545582006
DCC,QuiBYPro_FC_,Pro,Qui,0.00579255,0.00894934,1.544974148
LINC02487,QuiBYPro_FC_,Pro,Qui,1.25E-07,1.93E-07,1.544813149
ECM1,QuiBYPro_FC_,Pro,Qui,0.00709511,0.0109603,1.544768157
APOBEC3D,QuiBYPro_FC_,Pro,Qui,0.000110214,0.000170251,1.544731159
BTBD2,QuiBYPro_FC_,Pro,Qui,0.0384357,0.0593715,1.544696727
MCFD2,QuiBYPro_FC_,Pro,Qui,0.00801373,0.0123785,1.544661475
SEPT7P2,QuiBYPro_FC_,Pro,Qui,0.0654689,0.101126,1.544641807
TLE2,QuiBYPro_FC_,Pro,Qui,0.0413785,0.0639141,1.544620999
TMEM130,QuiBYPro_FC_,Pro,Qui,5.62E-07,8.69E-07,1.544620998
EXOSC8,QuiBYPro_FC_,Pro,Qui,0.0946353,0.146152,1.544370864
WASH6P,QuiBYPro_FC_,Pro,Qui,0.0683054,0.105488,1.544358133
MND1,QuiBYPro_FC_,Pro,Qui,0.00149136,0.00230302,1.544241498
SNHG16,QuiBYPro_FC_,Pro,Qui,5.04E-05,7.79E-05,1.54417654
RPS6KA3,QuiBYPro_FC_,Pro,Qui,0.0968729,0.149587,1.544157344
THEMIS2,QuiBYPro_FC_,Pro,Qui,6.50E-05,0.000100347,1.543852253
ZSCAN31,QuiBYPro_FC_,Pro,Qui,0.0522558,0.0806655,1.543665966
COPS3,QuiBYPro_FC_,Pro,Qui,0.112791,0.174051,1.543128441
DHX36,QuiBYPro_FC_,Pro,Qui,0.11407,0.176024,1.543122644
SLC14A1,QuiBYPro_FC_,Pro,Qui,0.000477873,0.000737146,1.542556286
VAX2,QuiBYPro_FC_,Pro,Qui,0.00166462,0.00256774,1.542538237
AC005537.1,QuiBYPro_FC_,Pro,Qui,9.27E-07,1.43E-06,1.542537813
SYBU,QuiBYPro_FC_,Pro,Qui,0.00126831,0.00195629,1.542438363
ETFRF1,QuiBYPro_FC_,Pro,Qui,0.049596,0.0764971,1.542404629
SGCE,QuiBYPro_FC_,Pro,Qui,0.0536228,0.0827073,1.54239055
TECTA,QuiBYPro_FC_,Pro,Qui,3.03E-06,4.67E-06,1.542191348
DPF3,QuiBYPro_FC_,Pro,Qui,0.146524,0.225956,1.542109143
TGFA,QuiBYPro_FC_,Pro,Qui,9.56E-05,0.000147363,1.542091136
VDAC1P8,QuiBYPro_FC_,Pro,Qui,0.00421863,0.00650486,1.5419366
GVQW3,QuiBYPro_FC_,Pro,Qui,8.68E-06,1.34E-05,1.541901011
PAPD4,QuiBYPro_FC_,Pro,Qui,0.121686,0.187626,1.541886495
KIAA1522,QuiBYPro_FC_,Pro,Qui,0.0197242,0.0304098,1.541750743
ATP6V0A1,QuiBYPro_FC_,Pro,Qui,0.170486,0.262845,1.541739498
EXOC1,QuiBYPro_FC_,Pro,Qui,0.101334,0.156225,1.541683936
ACTG2,QuiBYPro_FC_,Pro,Qui,2.21E-06,3.41E-06,1.541600091
DHFR,QuiBYPro_FC_,Pro,Qui,0.0186696,0.0287795,1.54151669
COL4A3BP,QuiBYPro_FC_,Pro,Qui,0.00797518,0.0122935,1.54146991
NPC2,QuiBYPro_FC_,Pro,Qui,2.84405,4.384,1.541463758
KDELC2,QuiBYPro_FC_,Pro,Qui,1.25E-05,1.93E-05,1.541445941
STRADA,QuiBYPro_FC_,Pro,Qui,0.000421493,0.000649705,1.541437224
PPHLN1,QuiBYPro_FC_,Pro,Qui,0.000151346,0.000233273,1.541322532
ALDH7A1,QuiBYPro_FC_,Pro,Qui,0.0273486,0.0421406,1.540868637
NHEJ1,QuiBYPro_FC_,Pro,Qui,8.20E-06,1.26E-05,1.540705687
ADD1,QuiBYPro_FC_,Pro,Qui,0.000113924,0.000175519,1.540667463
DGKI,QuiBYPro_FC_,Pro,Qui,8.96E-07,1.38E-06,1.540497907
PYGM,QuiBYPro_FC_,Pro,Qui,3.53E-06,5.43E-06,1.540349286
ATPAF1,QuiBYPro_FC_,Pro,Qui,0.00240564,0.00370475,1.54002677
SUPT20H,QuiBYPro_FC_,Pro,Qui,0.00258554,0.00398137,1.539860145
PALLD,QuiBYPro_FC_,Pro,Qui,0.0198091,0.0305017,1.539782221
HNMT,QuiBYPro_FC_,Pro,Qui,0.012381,0.0190627,1.539673694
USP3,QuiBYPro_FC_,Pro,Qui,0.118241,0.182036,1.539533664
ASAH1,QuiBYPro_FC_,Pro,Qui,0.0130837,0.0201426,1.539518638
HEXDC,QuiBYPro_FC_,Pro,Qui,0.0513199,0.0790038,1.539437918
TMEM106C,QuiBYPro_FC_,Pro,Qui,0.222896,0.343116,1.539354677
LINC01799,QuiBYPro_FC_,Pro,Qui,1.11E-07,1.70E-07,1.539210364
MBD1,QuiBYPro_FC_,Pro,Qui,0.00849194,0.0130658,1.538611907
ALG13,QuiBYPro_FC_,Pro,Qui,0.0592477,0.0911263,1.53805633
CCDC80,QuiBYPro_FC_,Pro,Qui,0.0012124,0.00186468,1.538007258
FOXP1,QuiBYPro_FC_,Pro,Qui,5.46E-06,8.39E-06,1.537910809
PPP2R2A,QuiBYPro_FC_,Pro,Qui,0.0957825,0.147298,1.537838332
