Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
TOR2A,QuiBYPro_FC_,Pro,Qui,0.000549954,0.00102301,1.86017376
ST3GAL3,QuiBYPro_FC_,Pro,Qui,0.00369149,0.00683569,1.851742792
IFI44,QuiBYPro_FC_,Pro,Qui,3.20E-05,5.90E-05,1.844640708
CAPN8,QuiBYPro_FC_,Pro,Qui,0.000362311,0.000667317,1.841834777
BSDC1,QuiBYPro_FC_,Pro,Qui,0.00167315,0.0030758,1.838328901
HSD3B2,QuiBYPro_FC_,Pro,Qui,0.000741927,0.00136365,1.83798406
ZNF101,QuiBYPro_FC_,Pro,Qui,0.000495491,0.000910107,1.836778065
FAM192A,QuiBYPro_FC_,Pro,Qui,0.00920078,0.0168991,1.836702975
TSC1,QuiBYPro_FC_,Pro,Qui,4.48E-05,8.22E-05,1.833755621
SYVN1,QuiBYPro_FC_,Pro,Qui,0.0243355,0.044473,1.827494812
SEPT5,QuiBYPro_FC_,Pro,Qui,0.00025093,0.000457566,1.823480652
RAD51B,QuiBYPro_FC_,Pro,Qui,0.000873589,0.00159286,1.823351713
RASGRP2,QuiBYPro_FC_,Pro,Qui,0.0152468,0.0277905,1.822710339
KLHDC4,QuiBYPro_FC_,Pro,Qui,0.00106455,0.00194007,1.822432014
DCK,QuiBYPro_FC_,Pro,Qui,0.00434781,0.00791231,1.819838033
AC092821.3,QuiBYPro_FC_,Pro,Qui,8.66E-05,0.000157483,1.817828182
AP2A2,QuiBYPro_FC_,Pro,Qui,0.00404262,0.00734809,1.817655382
SMYD3,QuiBYPro_FC_,Pro,Qui,0.0105035,0.0190854,1.817051459
CSTF2,QuiBYPro_FC_,Pro,Qui,0.0128659,0.0233442,1.814424176
ST7,QuiBYPro_FC_,Pro,Qui,0.0347835,0.063108,1.814308508
NT5C3B,QuiBYPro_FC_,Pro,Qui,0.0543953,0.0983114,1.807351003
GSTZ1,QuiBYPro_FC_,Pro,Qui,0.00416677,0.00752584,1.806156807
C21orf62-AS1,QuiBYPro_FC_,Pro,Qui,0.00134593,0.00242876,1.80452178
TBX5,QuiBYPro_FC_,Pro,Qui,2.03E-08,3.66E-08,1.804256431
SAP30BP,QuiBYPro_FC_,Pro,Qui,0.0306875,0.0553429,1.803434623
IP6K2,QuiBYPro_FC_,Pro,Qui,0.0099199,0.0178848,1.8029214
ADCY9,QuiBYPro_FC_,Pro,Qui,0.0037708,0.00678923,1.8004747
TNFRSF14,QuiBYPro_FC_,Pro,Qui,0.000194705,0.00034905,1.792712052
AC244517.5,QuiBYPro_FC_,Pro,Qui,7.68E-06,1.37E-05,1.789185359
FUT10,QuiBYPro_FC_,Pro,Qui,0.0002074,0.000370938,1.788514947
TMEM255A,QuiBYPro_FC_,Pro,Qui,0.000410524,0.000733945,1.787824829
DEPDC5,QuiBYPro_FC_,Pro,Qui,0.00032805,0.000586354,1.787392166
TUBB3,QuiBYPro_FC_,Pro,Qui,0.0130984,0.0234115,1.787355708
ZNF383,QuiBYPro_FC_,Pro,Qui,0.00176368,0.00315219,1.787280005
AHDC1,QuiBYPro_FC_,Pro,Qui,0.00105001,0.001868,1.779030676
HIVEP3,QuiBYPro_FC_,Pro,Qui,1.63E-06,2.91E-06,1.778982358
MBD5,QuiBYPro_FC_,Pro,Qui,0.000558926,0.000992746,1.776167149
GID4,QuiBYPro_FC_,Pro,Qui,0.000629906,0.00111853,1.775709392
THAP9,QuiBYPro_FC_,Pro,Qui,0.00389971,0.00691446,1.773070305
CALCOCO2,QuiBYPro_FC_,Pro,Qui,0.000357955,0.000634538,1.772675336
SAMHD1,QuiBYPro_FC_,Pro,Qui,0.00375238,0.00664008,1.769564916
DCTD,QuiBYPro_FC_,Pro,Qui,0.00919153,0.0162636,1.769411621
BRDT,QuiBYPro_FC_,Pro,Qui,0.000933334,0.00165049,1.76838088
ZNF586,QuiBYPro_FC_,Pro,Qui,0.00428669,0.00757485,1.767062699
AC068506.1,QuiBYPro_FC_,Pro,Qui,2.30E-06,4.07E-06,1.766929797
SH3BP1,QuiBYPro_FC_,Pro,Qui,3.24E-05,5.72E-05,1.766499705
BCAM,QuiBYPro_FC_,Pro,Qui,0.000170193,0.000300484,1.765548524
CPB1,QuiBYPro_FC_,Pro,Qui,5.88E-06,1.04E-05,1.763736516
APBB3,QuiBYPro_FC_,Pro,Qui,0.000137245,0.000242017,1.763393931
NEDD9,QuiBYPro_FC_,Pro,Qui,0.000788587,0.00138963,1.76217716
NECAP1,QuiBYPro_FC_,Pro,Qui,0.000254494,0.000448436,1.762069047
DPP7,QuiBYPro_FC_,Pro,Qui,0.0440808,0.0776674,1.761932633
MUC1,QuiBYPro_FC_,Pro,Qui,9.83E-05,0.000172722,1.757712802
RAP1B,QuiBYPro_FC_,Pro,Qui,0.008694,0.0152679,1.756142167
TRAPPC4,QuiBYPro_FC_,Pro,Qui,0.0534254,0.0937937,1.755601268
PSPH,QuiBYPro_FC_,Pro,Qui,0.126794,0.222399,1.754018329
ATG5,QuiBYPro_FC_,Pro,Qui,0.0312184,0.0547334,1.753241678
ENPP2,QuiBYPro_FC_,Pro,Qui,1.86E-05,3.25E-05,1.75016169
TM9SF3,QuiBYPro_FC_,Pro,Qui,0.0913125,0.159638,1.748260096
AP4S1,QuiBYPro_FC_,Pro,Qui,0.0347128,0.0606862,1.748236962
ALKAL2,QuiBYPro_FC_,Pro,Qui,0.00482025,0.00841556,1.745876251
SGCE,QuiBYPro_FC_,Pro,Qui,0.00946889,0.0165276,1.745463301
REPIN1,QuiBYPro_FC_,Pro,Qui,0.00785212,0.0136817,1.742421155
LETMD1,QuiBYPro_FC_,Pro,Qui,0.014026,0.0244247,1.741387423
ANXA6,QuiBYPro_FC_,Pro,Qui,0.000146066,0.000254101,1.7396314
APEH,QuiBYPro_FC_,Pro,Qui,0.000305111,0.000530528,1.738803255
HDAC6,QuiBYPro_FC_,Pro,Qui,0.00195221,0.00339301,1.738035355
APBA3,QuiBYPro_FC_,Pro,Qui,0.00478872,0.0083093,1.735181844
ANXA11,QuiBYPro_FC_,Pro,Qui,0.000142252,0.000246728,1.734443101
PARD3B,QuiBYPro_FC_,Pro,Qui,7.05E-05,0.000122288,1.7334112
AJUBA,QuiBYPro_FC_,Pro,Qui,0.0304393,0.0527126,1.731728391
SCMH1,QuiBYPro_FC_,Pro,Qui,5.15E-05,8.91E-05,1.729703482
KMT5B,QuiBYPro_FC_,Pro,Qui,0.00852334,0.0147366,1.728970099
TSPAN15,QuiBYPro_FC_,Pro,Qui,1.57E-05,2.72E-05,1.728010619
