Gene,Category
BMP4,ADbyCON_FC1.25
C3AR1,ADbyCON_FC1.25
CHST3,ADbyCON_FC1.25
LTBR,ADbyCON_FC1.25
RASL12,ADbyCON_FC1.25
RAB13,ADbyCON_FC1.25
MKNK2,ADbyCON_FC1.25
ERBB2IP,ADbyCON_FC1.25
FPR1,ADbyCON_FC1.25
G0S2,ADbyCON_FC1.25
IFITM3,ADbyCON_FC1.25
BAG3,ADbyCON_FC1.25
RGS1,ADbyCON_FC1.25
SERPINA3,ADbyCON_FC1.25
SMTN,ADbyCON_FC1.25
CDK2,ADbyCON_FC1.25
FOXF1,ADbyCON_FC1.25
RCC1,ADbyCON_FC1.25
PTGDS,ADbyCON_FC1.25
IL6,ADbyCON_FC1.25
DNAJB1,ADbyCON_FC1.25
SERPINH1,ADbyCON_FC1.25
TTR,ADbyCON_FC1.25
PDLIM4,ADbyCON_FC1.25
SI,ADbyCON_FC1.25
B4GALT1,ADbyCON_FC1.25
AFM,ADbyCON_FC1.25
SLC12A7,ADbyCON_FC1.25
LSS,ADbyCON_FC1.25
IL7,ADbyCON_FC1.25
ERBB2,ADbyCON_FC1.25
DOK1,ADbyCON_FC1.25
IL1RL1,ADbyCON_FC1.25
PSAT1,ADbyCON_FC1.25
SOD3,ADbyCON_FC1.25
TCAP,ADbyCON_FC1.25
SLC6A14,ADbyCON_FC1.25
CDKN1C,ADbyCON_FC1.25
CXCL11,ADbyCON_FC1.25
RGS3,ADbyCON_FC1.25
KTN1,ADbyCON_FC1.25
IL4R,ADbyCON_FC1.25
HSF1,ADbyCON_FC1.25
PODXL,ADbyCON_FC1.25
CD36,ADbyCON_FC1.25
SELE,ADbyCON_FC1.25
ENSA,HDbyCON_FC1.25
SNAP25,HDbyCON_FC1.25
GFRA3,HDbyCON_FC1.25
VIP,HDbyCON_FC1.25
SLC4A10,HDbyCON_FC1.25
SYT1,HDbyCON_FC1.25
DUSP4,HDbyCON_FC1.25
PITPNB,HDbyCON_FC1.25
NEUROD6,HDbyCON_FC1.25
SYN2,HDbyCON_FC1.25
SST,HDbyCON_FC1.25
WIF1,HDbyCON_FC1.25
UCHL1,HDbyCON_FC1.25
EGR1,HDbyCON_FC1.25
MBP,HDbyCON_FC1.25
LMO3,HDbyCON_FC1.25
B3GALT2,HDbyCON_FC1.25
SLC1A2,HDbyCON_FC1.25
MUTYH,HDbyCON_FC1.25
GRIK2,HDbyCON_FC1.25
PCSK1,HDbyCON_FC1.25
CAMK4,HDbyCON_FC1.25
ADCYAP1,HDbyCON_FC1.25
VGF,HDbyCON_FC1.25
SNCB,HDbyCON_FC1.25
SLN,HDbyCON_FC1.25
BDNF,HDbyCON_FC1.25
PLP1,HDbyCON_FC1.25
ATP6V1A,HDbyCON_FC1.25
FGF12,HDbyCON_FC1.25
NEFL,HDbyCON_FC1.25
TAC1,HDbyCON_FC1.25
UBE2V2,HDbyCON_FC1.25
EGR2,HDbyCON_FC1.25
CRYM,HDbyCON_FC1.25
CRYBB2,HDbyCON_FC1.25
RBM3,HDbyCON_FC1.25
DKK3,HDbyCON_FC1.25
KRT5,HDbyCON_FC1.25
SCN3B,HDbyCON_FC1.25
NRXN3,HDbyCON_FC1.25
TOMM20,HDbyCON_FC1.25
CD24,HDbyCON_FC1.25
GAPDH,HDbyCON_FC1.25
HBB,HDbyCON_FC1.25
CHN1,HDbyCON_FC1.25
PCP4,HDbyCON_FC1.25
ACTR2,HDbyCON_FC1.25
NLK,HDbyCON_FC1.25
FOLH1,HDbyCON_FC1.25
GDAP1,HDbyCON_FC1.25
RPS4Y1,HDbyCON_FC1.25
CA10,HDbyCON_FC1.25
RTN1,HDbyCON_FC1.25
ALDH1A1,HDbyCON_FC1.25
DUSP6,HDbyCON_FC1.25
LIG4,HDbyCON_FC1.25
GABRG2,HDbyCON_FC1.25
GRIA1,HDbyCON_FC1.25
SEMA3E,HDbyCON_FC1.25
EIF4A2,HDbyCON_FC1.25
ANK3,HDbyCON_FC1.25
PVALB,HDbyCON_FC1.25
RAN,HDbyCON_FC1.25
TARBP1,HDbyCON_FC1.25
NELL1,HDbyCON_FC1.25
ATP1B1,HDbyCON_FC1.25
CRHBP,HDbyCON_FC1.25
B4GALT6,HDbyCON_FC1.25
KCNIP1,HDbyCON_FC1.25
LAMP1,HDbyCON_FC1.25
ROCK2,HDbyCON_FC1.25
KCNK1,HDbyCON_FC1.25
BASP1,HDbyCON_FC1.25
LDB2,HDbyCON_FC1.25
SMARCA2,HDbyCON_FC1.25
ACTN2,HDbyCON_FC1.25
NR4A1,HDbyCON_FC1.25
RIT2,HDbyCON_FC1.25
PAK1,HDbyCON_FC1.25
ALDH1A3,HDbyCON_FC1.25
ITGA2,HDbyCON_FC1.25
IGF1,HDbyCON_FC1.25
PAX3,HDbyCON_FC1.25
NAPG,HDbyCON_FC1.25
NRN1,HDbyCON_FC1.25
CDK5R2,HDbyCON_FC1.25
EML2,HDbyCON_FC1.25
ADSS,HDbyCON_FC1.25
PTP4A1,HDbyCON_FC1.25
MAPK8,HDbyCON_FC1.25
RASGRP1,HDbyCON_FC1.25
EGR3,HDbyCON_FC1.25
PAK3,HDbyCON_FC1.25
ATP6V1B2,HDbyCON_FC1.25
EPB41L3,HDbyCON_FC1.25
CHGB,HDbyCON_FC1.25
CIDEA,HDbyCON_FC1.25
RAB3B,HDbyCON_FC1.25
KLF10,HDbyCON_FC1.25
HIVEP2,HDbyCON_FC1.25
DLG3,HDbyCON_FC1.25
CDC42,HDbyCON_FC1.25
RGS4,HDbyCON_FC1.25
DUSP2,HDbyCON_FC1.25
GOLGA8A,HDbyCON_FC1.25
ZNF91,HDbyCON_FC1.25
GUCY1B3,HDbyCON_FC1.25
NDUFA4,HDbyCON_FC1.25
CIRBP,HDbyCON_FC1.25
CA14,HDbyCON_FC1.25
SNCA,HDbyCON_FC1.25
ETV5,HDbyCON_FC1.25
SPTBN1,HDbyCON_FC1.25
PTPRD,HDbyCON_FC1.25
CLUL1,HDbyCON_FC1.25
SCN8A,HDbyCON_FC1.25
LRRC2,HDbyCON_FC1.25
GABRA1,HDbyCON_FC1.25
ABCE1,HDbyCON_FC1.25
GHITM,HDbyCON_FC1.25
RALB,HDbyCON_FC1.25
SCG3,HDbyCON_FC1.25
KIFAP3,HDbyCON_FC1.25
HTR2A,HDbyCON_FC1.25
PDE1A,HDbyCON_FC1.25
HMGCS1,HDbyCON_FC1.25
USP9Y,HDbyCON_FC1.25
NIT2,HDbyCON_FC1.25
PLA2G5,HDbyCON_FC1.25
SCG2,HDbyCON_FC1.25
SYNJ1,HDbyCON_FC1.25
EDIL3,HDbyCON_FC1.25
TRPC3,HDbyCON_FC1.25
GRIA2,HDbyCON_FC1.25
NGFRAP1,HDbyCON_FC1.25
PEBP1,HDbyCON_FC1.25
ATP6AP2,HDbyCON_FC1.25
ANK2,HDbyCON_FC1.25
ATP2B1,HDbyCON_FC1.25
SEC23A,HDbyCON_FC1.25
PRMT1,HDbyCON_FC1.25
DGKE,HDbyCON_FC1.25
FBXO16,HDbyCON_FC1.25
HTR2C,HDbyCON_FC1.25
GABRD,HDbyCON_FC1.25
FZD3,HDbyCON_FC1.25
CAP2,HDbyCON_FC1.25
OPN3,HDbyCON_FC1.25
ARL4C,HDbyCON_FC1.25
NRCAM,HDbyCON_FC1.25
PGAM1,HDbyCON_FC1.25
PRKAR1A,HDbyCON_FC1.25
VPS4B,HDbyCON_FC1.25
CACNB4,HDbyCON_FC1.25
NELL2,HDbyCON_FC1.25
CCNI,HDbyCON_FC1.25
MAP2K1,HDbyCON_FC1.25
HOMER1,HDbyCON_FC1.25
ENC1,HDbyCON_FC1.25
HPRT1,HDbyCON_FC1.25
GOT1,HDbyCON_FC1.25
GLRB,HDbyCON_FC1.25
TPBG,HDbyCON_FC1.25
PIK3CB,HDbyCON_FC1.25
VSNL1,HDbyCON_FC1.25
RAB1A,HDbyCON_FC1.25
GALR1,HDbyCON_FC1.25
NDUFA5,HDbyCON_FC1.25
ATP2A2,HDbyCON_FC1.25
DOPEY2,HDbyCON_FC1.25
MTMR4,HDbyCON_FC1.25
COPS4,HDbyCON_FC1.25
GNB5,HDbyCON_FC1.25
AKAP5,HDbyCON_FC1.25
TM6SF1,HDbyCON_FC1.25
CNTN6,HDbyCON_FC1.25
DYNC1I1,HDbyCON_FC1.25
ATP1A3,HDbyCON_FC1.25
DIO2,HDbyCON_FC1.25
LRP8,HDbyCON_FC1.25
RPS6KA3,HDbyCON_FC1.25
CDK5R1,HDbyCON_FC1.25
CALML3,HDbyCON_FC1.25
PENK,HDbyCON_FC1.25
PREP,HDbyCON_FC1.25
PCMT1,HDbyCON_FC1.25
TMED2,HDbyCON_FC1.25
NEK2,HDbyCON_FC1.25
NDRG4,HDbyCON_FC1.25
NME5,HDbyCON_FC1.25
CYCS,HDbyCON_FC1.25
FGF7,HDbyCON_FC1.25
DCC,HDbyCON_FC1.25
SPAG6,HDbyCON_FC1.25
ATP8A2,HDbyCON_FC1.25
BCL2L2,HDbyCON_FC1.25
GCNT1,HDbyCON_FC1.25
PLK2,HDbyCON_FC1.25
CDH8,HDbyCON_FC1.25
SCAMP1,HDbyCON_FC1.25
YWHAH,HDbyCON_FC1.25
GPLD1,HDbyCON_FC1.25
HSPA8,HDbyCON_FC1.25
DLG1,HDbyCON_FC1.25
GNAL,HDbyCON_FC1.25
STMN2,HDbyCON_FC1.25
WSB2,HDbyCON_FC1.25
GRIK1,HDbyCON_FC1.25
YWHAZ,HDbyCON_FC1.25
AP1S2,HDbyCON_FC1.25
PTPRR,HDbyCON_FC1.25
BCL11B,HDbyCON_FC1.25
PRNP,HDbyCON_FC1.25
OCA2,HDbyCON_FC1.25
PPFIA2,HDbyCON_FC1.25
PCCB,HDbyCON_FC1.25
OLFM1,HDbyCON_FC1.25
RTN3,HDbyCON_FC1.25
ACP1,HDbyCON_FC1.25
SERINC3,HDbyCON_FC1.25
ATP2B2,HDbyCON_FC1.25
IDH3A,HDbyCON_FC1.25
UBB,HDbyCON_FC1.25
BNIP3,HDbyCON_FC1.25
CDKN3,HDbyCON_FC1.25
SERPINI1,HDbyCON_FC1.25
HN1,HDbyCON_FC1.25
CMAS,HDbyCON_FC1.25
FGF9,HDbyCON_FC1.25
ATPIF1,HDbyCON_FC1.25
DYNLT3,HDbyCON_FC1.25
GNG3,HDbyCON_FC1.25
RFC3,HDbyCON_FC1.25
IPO7,HDbyCON_FC1.25
PNOC,HDbyCON_FC1.25
VDAC1,HDbyCON_FC1.25
HSPB3,HDbyCON_FC1.25
SRD5A1,HDbyCON_FC1.25
ELAVL2,HDbyCON_FC1.25
RGS7,HDbyCON_FC1.25
TSPAN7,HDbyCON_FC1.25
ZMYND11,HDbyCON_FC1.25
PPEF1,MSbyCON_FC1.25
SCTR,MSbyCON_FC1.25
MAG,MSbyCON_FC1.25
SLC30A3,MSbyCON_FC1.25
NEUROD6,MSbyCON_FC1.25
KLK6,MSbyCON_FC1.25
CCKBR,MSbyCON_FC1.25
PDE6B,MSbyCON_FC1.25
RASAL1,MSbyCON_FC1.25
COL9A3,MSbyCON_FC1.25
SMPD1,MSbyCON_FC1.25
HBQ1,MSbyCON_FC1.25
COL10A1,MSbyCON_FC1.25
MYL5,MSbyCON_FC1.25
RNASE1,MSbyCON_FC1.25
ANKMY1,MSbyCON_FC1.25
MOG,MSbyCON_FC1.25
SEMA4D,MSbyCON_FC1.25
MVK,MSbyCON_FC1.25
TM7SF2,MSbyCON_FC1.25
PVRL1,MSbyCON_FC1.25
STX1A,MSbyCON_FC1.25
CDKN1C,MSbyCON_FC1.25
CNTN2,MSbyCON_FC1.25
CRYM,MSbyCON_FC1.25
CA4,MSbyCON_FC1.25
SEPT4,MSbyCON_FC1.25
SLC7A4,MSbyCON_FC1.25
RBM3,MSbyCON_FC1.25
PCSK1,MSbyCON_FC1.25
KCNF1,MSbyCON_FC1.25
CIDEA,MSbyCON_FC1.25
NAT6,MSbyCON_FC1.25
ENPP2,MSbyCON_FC1.25
GAL3ST1,MSbyCON_FC1.25
GNG3,MSbyCON_FC1.25
FXYD7,MSbyCON_FC1.25
TF,MSbyCON_FC1.25
SLC25A10,MSbyCON_FC1.25
SLCO1A2,MSbyCON_FC1.25
ALDH1A3,MSbyCON_FC1.25
CIRBP,MSbyCON_FC1.25
DHCR7,MSbyCON_FC1.25
SST,MSbyCON_FC1.25
NPY,MSbyCON_FC1.25
CYB5R2,MSbyCON_FC1.25
LIPE,MSbyCON_FC1.25
CD2BP2,MSbyCON_FC1.25
ADAMTS8,MSbyCON_FC1.25
VGF,MSbyCON_FC1.25
PLD1,MSbyCON_FC1.25
PVALB,MSbyCON_FC1.25
CABP1,MSbyCON_FC1.25
PCSK2,MSbyCON_FC1.25
MYH7B,MSbyCON_FC1.25
HS3ST2,MSbyCON_FC1.25
TYMS,MSbyCON_FC1.25
FSCN1,MSbyCON_FC1.25
NINJ2,MSbyCON_FC1.25
TNNT2,MSbyCON_FC1.25
SCN1B,MSbyCON_FC1.25
NASP,MSbyCON_FC1.25
MOBP,MSbyCON_FC1.25
HAPLN2,MSbyCON_FC1.25
STAT4,MSbyCON_FC1.25
GABRA1,MSbyCON_FC1.25
KCNJ9,MSbyCON_FC1.25
HSPB3,MSbyCON_FC1.25
TSPAN15,MSbyCON_FC1.25
PAQR4,MSbyCON_FC1.25
GREM1,MSbyCON_FC1.25
RGS4,MSbyCON_FC1.25
RAB3B,MSbyCON_FC1.25
COL4A5,MSbyCON_FC1.25
VSNL1,MSbyCON_FC1.25
STMN4,MSbyCON_FC1.25
MOAP1,MSbyCON_FC1.25
ADRA1B,MSbyCON_FC1.25
PLXNB3,MSbyCON_FC1.25
PTGDS,MSbyCON_FC1.25
CDH13,MSbyCON_FC1.25
CHGB,MSbyCON_FC1.25
ACOT7,MSbyCON_FC1.25
SYN2,MSbyCON_FC1.25
MBP,MSbyCON_FC1.25
HTR2C,MSbyCON_FC1.25
GJB1,MSbyCON_FC1.25
HSD11B1,MSbyCON_FC1.25
RPS4Y1,MSbyCON_FC1.25
FLRT1,MSbyCON_FC1.25
MYCN,MSbyCON_FC1.25
KEAP1,MSbyCON_FC1.25
BCAS1,MSbyCON_FC1.25
FA2H,MSbyCON_FC1.25
THBS2,MSbyCON_FC1.25
CA14,MSbyCON_FC1.25
BFSP1,MSbyCON_FC1.25
POSTN,MSbyCON_FC1.25
INSIG1,MSbyCON_FC1.25
QDPR,MSbyCON_FC1.25
MCAM,MSbyCON_FC1.25
GALNS,MSbyCON_FC1.25
NDOR1,MSbyCON_FC1.25
ACTR3B,MSbyCON_FC1.25
TTR,MSbyCON_FC1.25
ASPA,MSbyCON_FC1.25
SLC2A11,MSbyCON_FC1.25
PMP22,MSbyCON_FC1.25
NRN1,MSbyCON_FC1.25
MPPED1,MSbyCON_FC1.25
NTSR1,MSbyCON_FC1.25
TIMM13,MSbyCON_FC1.25
SCRT1,MSbyCON_FC1.25
TAC3,MSbyCON_FC1.25
USP9Y,MSbyCON_FC1.25
FBXO7,MSbyCON_FC1.25
WNT4,MSbyCON_FC1.25
SLC13A3,MSbyCON_FC1.25
CDC42EP2,MSbyCON_FC1.25
USH1C,MSbyCON_FC1.25
HR,MSbyCON_FC1.25
POLL,MSbyCON_FC1.25
ARL4D,MSbyCON_FC1.25
CENPF,MSbyCON_FC1.25
ARSA,MSbyCON_FC1.25
PENK,MSbyCON_FC1.25
MAL,MSbyCON_FC1.25
SLIT1,MSbyCON_FC1.25
SLC25A32,MSbyCON_FC1.25
EFS,MSbyCON_FC1.25
CXCL2,MSbyCON_FC1.25
CRABP1,MSbyCON_FC1.25
ENOSF1,MSbyCON_FC1.25
SNRPN,MSbyCON_FC1.25
RAB3A,MSbyCON_FC1.25
SLC13A4,MSbyCON_FC1.25
HBB,MSbyCON_FC1.25
SCN3B,MSbyCON_FC1.25
IL1R2,MSbyCON_FC1.25
CAPN11,MSbyCON_FC1.25
PKP2,MSbyCON_FC1.25
PRKCQ,MSbyCON_FC1.25
COL13A1,MSbyCON_FC1.25
ANGPTL2,MSbyCON_FC1.25
MPL,MSbyCON_FC1.25
LRRC17,MSbyCON_FC1.25
COX6A2,MSbyCON_FC1.25
DUSP2,MSbyCON_FC1.25
PTP4A1,MSbyCON_FC1.25
PRMT8,MSbyCON_FC1.25
GAL,MSbyCON_FC1.25
VILL,MSbyCON_FC1.25
FANCF,MSbyCON_FC1.25
SEC23IP,MSbyCON_FC1.25
PRTN3,MSbyCON_FC1.25
TRIM17,MSbyCON_FC1.25
GAS2,MSbyCON_FC1.25
POLR3C,MSbyCON_FC1.25
WDR61,MSbyCON_FC1.25
CYP26B1,MSbyCON_FC1.25
GNB1L,MSbyCON_FC1.25
CDKN3,MSbyCON_FC1.25
TARBP1,MSbyCON_FC1.25
NFYB,MSbyCON_FC1.25
PFKFB2,MSbyCON_FC1.25
MRPL28,MSbyCON_FC1.25
COCH,MSbyCON_FC1.25
CES2,MSbyCON_FC1.25
DHCR24,MSbyCON_FC1.25
CACNB1,MSbyCON_FC1.25
ACP2,MSbyCON_FC1.25
RAB36,MSbyCON_FC1.25
SNRPD1,MSbyCON_FC1.25
RPA3,MSbyCON_FC1.25
SRP72,MSbyCON_FC1.25
HOMER1,MSbyCON_FC1.25
PTHLH,MSbyCON_FC1.25
HRASLS,MSbyCON_FC1.25
EDN3,MSbyCON_FC1.25
WNT7A,MSbyCON_FC1.25
RAD23B,MSbyCON_FC1.25
PMM2,MSbyCON_FC1.25
ANKRA2,MSbyCON_FC1.25
PARK2,MSbyCON_FC1.25
HIST1H3A,MSbyCON_FC1.25
SULT2B1,MSbyCON_FC1.25
PRSS16,MSbyCON_FC1.25
OVOL2,MSbyCON_FC1.25
ALB,MSbyCON_FC1.25
COL9A2,MSbyCON_FC1.25
RASGRF1,MSbyCON_FC1.25
PEX1,MSbyCON_FC1.25
BNIP3L,MSbyCON_FC1.25
CACNA1G,MSbyCON_FC1.25
IL9,MSbyCON_FC1.25
YBX2,MSbyCON_FC1.25
IFI44L,MSbyCON_FC1.25
NME5,MSbyCON_FC1.25
HMGCS1,MSbyCON_FC1.25
SLC25A17,MSbyCON_FC1.25
AMACR,MSbyCON_FC1.25
MYH3,MSbyCON_FC1.25
PPAP2C,MSbyCON_FC1.25
CDH12,MSbyCON_FC1.25
BAGE,MSbyCON_FC1.25
NPY5R,MSbyCON_FC1.25
CHAF1B,MSbyCON_FC1.25
FKBP2,MSbyCON_FC1.25
F12,MSbyCON_FC1.25
GABRD,MSbyCON_FC1.25
NNAT,MSbyCON_FC1.25
CREB5,MSbyCON_FC1.25
EEF1E1,MSbyCON_FC1.25
MEPE,MSbyCON_FC1.25
TRPC3,MSbyCON_FC1.25
SLC35E3,MSbyCON_FC1.25
SFTPD,MSbyCON_FC1.25
NET1,MSbyCON_FC1.25
SNX4,MSbyCON_FC1.25
LAMC3,MSbyCON_FC1.25
FRZB,MSbyCON_FC1.25
GAD2,MSbyCON_FC1.25
POMZP3,MSbyCON_FC1.25
MAD2L1,MSbyCON_FC1.25
ENTPD3,MSbyCON_FC1.25
CGREF1,MSbyCON_FC1.25
SPAG8,MSbyCON_FC1.25
UBE2G1,MSbyCON_FC1.25
RASGRP1,MSbyCON_FC1.25
CLEC3B,MSbyCON_FC1.25
TSNAX,MSbyCON_FC1.25
TRO,MSbyCON_FC1.25
RGS7,MSbyCON_FC1.25
IDUA,MSbyCON_FC1.25
NOV,MSbyCON_FC1.25
GPR68,MSbyCON_FC1.25
HPRT1,MSbyCON_FC1.25
RAB40B,MSbyCON_FC1.25
B4GALT6,MSbyCON_FC1.25
GNAI1,MSbyCON_FC1.25
CORO2A,MSbyCON_FC1.25
ABCA8,MSbyCON_FC1.25
SLC24A3,MSbyCON_FC1.25
PCP4,MSbyCON_FC1.25
SLCO2A1,MSbyCON_FC1.25
PDE1A,MSbyCON_FC1.25
TUBB3,MSbyCON_FC1.25
SERPINI1,MSbyCON_FC1.25
RIT2,MSbyCON_FC1.25
TYRP1,MSbyCON_FC1.25
KCNK1,MSbyCON_FC1.25
SUCLA2,MSbyCON_FC1.25
DUSP6,MSbyCON_FC1.25
DUSP4,MSbyCON_FC1.25
DYNC1I1,MSbyCON_FC1.25
EDIL3,MSbyCON_FC1.25
SNAP25,MSbyCON_FC1.25
CTAG1A,MSbyCON_FC1.25
STMN2,MSbyCON_FC1.25
RAC3,MSbyCON_FC1.25
IL12RB2,MSbyCON_FC1.25
ADCYAP1,MSbyCON_FC1.25
WIF1,MSbyCON_FC1.25
EGR2,MSbyCON_FC1.25
VIP,MSbyCON_FC1.25
ACTR1B,MSbyCON_FC1.25
GAMT,MSbyCON_FC1.25
UBE2S,MSbyCON_FC1.25
