"GeneHu","Category"
"ASTN2","QNSCbyPNSCBen_FC5_"
"ATAD5","PNSCbyQNSCBen_FC5_"
"ATF3","QNSCbyPNSCBen_FC5_"
"ATG9B","QNSCbyPNSCBen_FC5_"
"ATL1","QNSCbyPNSCBen_FC5_"
"ATOH8","QNSCbyPNSCBen_FC5_"
"ATP13A4","QNSCbyPNSCBen_FC5_"
"ATP1A1","QNSCbyPNSCBen_FC5_"
"ATP1A2","PNSCbyQNSCBen_FC5_"
"ATP1B1","QNSCbyPNSCBen_FC5_"
"ATP1B2","QNSCbyPNSCBen_FC5_"
"ATP2B4","QNSCbyPNSCBen_FC5_"
"ATP6V1E2","PNSCbyQNSCBen_FC5_"
"ATXN1","QNSCbyPNSCBen_FC5_"
"AURKA","PNSCbyQNSCBen_FC5_"
"AURKB","PNSCbyQNSCBen_FC5_"
"AUTS2","QNSCbyPNSCBen_FC5_"
"AXL","QNSCbyPNSCBen_FC5_"
"B3GALT5","PNSCbyQNSCBen_FC5_"
"B3GNT2","QNSCbyPNSCBen_FC5_"
"B4GALNT4","PNSCbyQNSCBen_FC5_"
"BAMBI","QNSCbyPNSCBen_FC5_"
"BARD1","PNSCbyQNSCBen_FC5_"
"BASP1","PNSCbyQNSCBen_FC5_"
"BATF3","QNSCbyPNSCBen_FC5_"
"BBOX1","QNSCbyPNSCBen_FC5_"
"C17orf53","PNSCbyQNSCBen_FC5_"
"C1orf112","PNSCbyQNSCBen_FC5_"
"BCAM","QNSCbyPNSCBen_FC5_"
"BCAT1","PNSCbyQNSCBen_FC5_"
"BCL11A","PNSCbyQNSCBen_FC5_"
"BEX4","PNSCbyQNSCBen_FC5_"
"BFSP2","QNSCbyPNSCBen_FC5_"
"BGN","QNSCbyPNSCBen_FC5_"
"BIRC5","PNSCbyQNSCBen_FC5_"
"BLM","PNSCbyQNSCBen_FC5_"
"BMF","QNSCbyPNSCBen_FC5_"
"BMP7","PNSCbyQNSCBen_FC5_"
"BMPR1A","QNSCbyPNSCBen_FC5_"
"BOC","QNSCbyPNSCBen_FC5_"
"BOK","PNSCbyQNSCBen_FC5_"
"BRCA1","PNSCbyQNSCBen_FC5_"
"BRIP1","PNSCbyQNSCBen_FC5_"
"BRSK2","PNSCbyQNSCBen_FC5_"
"BTBD17","PNSCbyQNSCBen_FC5_"
"BTG2","QNSCbyPNSCBen_FC5_"
"BTLA","PNSCbyQNSCBen_FC5_"
"BUB1","PNSCbyQNSCBen_FC5_"
"BUB1B","PNSCbyQNSCBen_FC5_"
"BVES","PNSCbyQNSCBen_FC5_"
"C1QL1","QNSCbyPNSCBen_FC5_"
"C1QTNF1","QNSCbyPNSCBen_FC5_"
"C1QTNF3-AMACR","QNSCbyPNSCBen_FC5_"
"C1QTNF3","QNSCbyPNSCBen_FC5_"
"C1QTNF5","QNSCbyPNSCBen_FC5_"
"C1QTNF6","QNSCbyPNSCBen_FC5_"
"C1R","QNSCbyPNSCBen_FC5_"
"C1RL","QNSCbyPNSCBen_FC5_"
"C3","QNSCbyPNSCBen_FC5_"
"C4B","QNSCbyPNSCBen_FC5_"
"C4A","QNSCbyPNSCBen_FC5_"
"CABP1","QNSCbyPNSCBen_FC5_"
"CACNA1G","QNSCbyPNSCBen_FC5_"
"CACNA2D2","QNSCbyPNSCBen_FC5_"
"CACNB1","QNSCbyPNSCBen_FC5_"
"CACNB4","QNSCbyPNSCBen_FC5_"
"CADPS2","PNSCbyQNSCBen_FC5_"
"CALML4","QNSCbyPNSCBen_FC5_"
"CAMK1G","PNSCbyQNSCBen_FC5_"
"CAMK2N1","QNSCbyPNSCBen_FC5_"
"CAMKK2","PNSCbyQNSCBen_FC5_"
"CAMKV","PNSCbyQNSCBen_FC5_"
"CAPN1","QNSCbyPNSCBen_FC5_"
"CA14","QNSCbyPNSCBen_FC5_"
"CA5B","QNSCbyPNSCBen_FC5_"
"CA8","PNSCbyQNSCBen_FC5_"
"CARNS1","QNSCbyPNSCBen_FC5_"
"CASP12","QNSCbyPNSCBen_FC5_"
"CAST","QNSCbyPNSCBen_FC5_"
"CAV1","QNSCbyPNSCBen_FC5_"
"CAV2","QNSCbyPNSCBen_FC5_"
"CBFA2T2","QNSCbyPNSCBen_FC5_"
"CBLN3","QNSCbyPNSCBen_FC5_"
"CBX2","PNSCbyQNSCBen_FC5_"
"CCDC141","PNSCbyQNSCBen_FC5_"
"CCDC148","QNSCbyPNSCBen_FC5_"
"CCDC155","PNSCbyQNSCBen_FC5_"
"CCDC18","PNSCbyQNSCBen_FC5_"
"CCDC40","PNSCbyQNSCBen_FC5_"
"CCDC74B","QNSCbyPNSCBen_FC5_"
"CCDC74A","QNSCbyPNSCBen_FC5_"
"CCDC80","QNSCbyPNSCBen_FC5_"
"CCDC85A","QNSCbyPNSCBen_FC5_"
"CCNA1","PNSCbyQNSCBen_FC5_"
"CCNA2","PNSCbyQNSCBen_FC5_"
"CCNB1","PNSCbyQNSCBen_FC5_"
"CCNB2","PNSCbyQNSCBen_FC5_"
"CCND1","PNSCbyQNSCBen_FC5_"
"CCNE1","PNSCbyQNSCBen_FC5_"
"CCNE2","PNSCbyQNSCBen_FC5_"
"CCNF","PNSCbyQNSCBen_FC5_"
"CCNJL","PNSCbyQNSCBen_FC5_"
"CCNYL1","PNSCbyQNSCBen_FC5_"
"CCPG1","QNSCbyPNSCBen_FC5_"
"CD14","QNSCbyPNSCBen_FC5_"
"CD274","QNSCbyPNSCBen_FC5_"
"CD38","QNSCbyPNSCBen_FC5_"
"CD59","QNSCbyPNSCBen_FC5_"
"CDC20","PNSCbyQNSCBen_FC5_"
"CDC25A","PNSCbyQNSCBen_FC5_"
"CDC25B","PNSCbyQNSCBen_FC5_"
"CDC25C","PNSCbyQNSCBen_FC5_"
"CDC45","PNSCbyQNSCBen_FC5_"
"CDC6","PNSCbyQNSCBen_FC5_"
"CDC7","PNSCbyQNSCBen_FC5_"
"CDCA2","PNSCbyQNSCBen_FC5_"
"CDCA3","PNSCbyQNSCBen_FC5_"
"CDCA5","PNSCbyQNSCBen_FC5_"
"CDCA7","PNSCbyQNSCBen_FC5_"
"CDCA7L","PNSCbyQNSCBen_FC5_"
"CDCA8","PNSCbyQNSCBen_FC5_"
"CDH22","QNSCbyPNSCBen_FC5_"
"CDH4","PNSCbyQNSCBen_FC5_"
"CDK1","PNSCbyQNSCBen_FC5_"
"CDK15","QNSCbyPNSCBen_FC5_"
"CDK2AP1","PNSCbyQNSCBen_FC5_"
"CDK5R2","PNSCbyQNSCBen_FC5_"
"CDK6","PNSCbyQNSCBen_FC5_"
"CDKN1C","PNSCbyQNSCBen_FC5_"
"CDKN2B","QNSCbyPNSCBen_FC5_"
"CDKN3","PNSCbyQNSCBen_FC5_"
"CDNF","QNSCbyPNSCBen_FC5_"
"CDSN","QNSCbyPNSCBen_FC5_"
"CDT1","PNSCbyQNSCBen_FC5_"
"CEBPB","QNSCbyPNSCBen_FC5_"
"CEBPD","QNSCbyPNSCBen_FC5_"
"CELA1","QNSCbyPNSCBen_FC5_"
"CENPA","PNSCbyQNSCBen_FC5_"
"CENPE","PNSCbyQNSCBen_FC5_"
"CENPF","PNSCbyQNSCBen_FC5_"
"CENPH","PNSCbyQNSCBen_FC5_"
"CENPI","PNSCbyQNSCBen_FC5_"
"CENPJ","PNSCbyQNSCBen_FC5_"
"CENPK","PNSCbyQNSCBen_FC5_"
"CENPL","PNSCbyQNSCBen_FC5_"
"CENPM","PNSCbyQNSCBen_FC5_"
"CENPN","PNSCbyQNSCBen_FC5_"
"CENPW","PNSCbyQNSCBen_FC5_"
"CEP55","PNSCbyQNSCBen_FC5_"
"CEP72","PNSCbyQNSCBen_FC5_"
"CERCAM","QNSCbyPNSCBen_FC5_"
"CGN","PNSCbyQNSCBen_FC5_"
"CHAF1A","PNSCbyQNSCBen_FC5_"
"CHAF1B","PNSCbyQNSCBen_FC5_"
"CHD5","QNSCbyPNSCBen_FC5_"
"CHEK1","PNSCbyQNSCBen_FC5_"
"CHODL","QNSCbyPNSCBen_FC5_"
"CHST7","PNSCbyQNSCBen_FC5_"
"CHST8","QNSCbyPNSCBen_FC5_"
"CHTF18","PNSCbyQNSCBen_FC5_"
"CIDEA","QNSCbyPNSCBen_FC5_"
"CIT","PNSCbyQNSCBen_FC5_"
"CITED1","PNSCbyQNSCBen_FC5_"
"CITED2","QNSCbyPNSCBen_FC5_"
"CKAP2","PNSCbyQNSCBen_FC5_"
"CKAP2L","PNSCbyQNSCBen_FC5_"
"CKMT1B","QNSCbyPNSCBen_FC5_"
"CKMT1A","QNSCbyPNSCBen_FC5_"
"CKS1B","PNSCbyQNSCBen_FC5_"
"CKS2","PNSCbyQNSCBen_FC5_"
"CLCF1","QNSCbyPNSCBen_FC5_"
"CLDN15","QNSCbyPNSCBen_FC5_"
"CLDN2","QNSCbyPNSCBen_FC5_"
"CLDN9","QNSCbyPNSCBen_FC5_"
"CLEC2D","QNSCbyPNSCBen_FC5_"
"CLEC3B","QNSCbyPNSCBen_FC5_"
"CLIP4","QNSCbyPNSCBen_FC5_"
"CLN3","QNSCbyPNSCBen_FC5_"
"CLSPN","PNSCbyQNSCBen_FC5_"
"CLU","QNSCbyPNSCBen_FC5_"
"CMAS","QNSCbyPNSCBen_FC5_"
"CMBL","QNSCbyPNSCBen_FC5_"
"CMTM5","PNSCbyQNSCBen_FC5_"
"CMTM8","PNSCbyQNSCBen_FC5_"
"CMYA5","QNSCbyPNSCBen_FC5_"
"CNIH2","PNSCbyQNSCBen_FC5_"
"CNTF","QNSCbyPNSCBen_FC5_"
"CNTFR","QNSCbyPNSCBen_FC5_"
"CNTLN","PNSCbyQNSCBen_FC5_"
"CNTN1","QNSCbyPNSCBen_FC5_"
"CNTN2","QNSCbyPNSCBen_FC5_"
"COL12A1","QNSCbyPNSCBen_FC5_"
"COL23A1","QNSCbyPNSCBen_FC5_"
"COL28A1","PNSCbyQNSCBen_FC5_"
"COL4A5","QNSCbyPNSCBen_FC5_"
"COL4A6","QNSCbyPNSCBen_FC5_"
"COL5A1","QNSCbyPNSCBen_FC5_"
"COL6A1","QNSCbyPNSCBen_FC5_"
"COPZ2","QNSCbyPNSCBen_FC5_"
"COX6B2","QNSCbyPNSCBen_FC5_"
"COX7A1","QNSCbyPNSCBen_FC5_"
"CP","QNSCbyPNSCBen_FC5_"
"CPEB3","QNSCbyPNSCBen_FC5_"
"CPM","QNSCbyPNSCBen_FC5_"
"CPNE2","QNSCbyPNSCBen_FC5_"
"CPNE4","QNSCbyPNSCBen_FC5_"
"CPNE5","QNSCbyPNSCBen_FC5_"
"CPXM1","QNSCbyPNSCBen_FC5_"
"CRABP1","QNSCbyPNSCBen_FC5_"
"CRB1","PNSCbyQNSCBen_FC5_"
"CREBL2","QNSCbyPNSCBen_FC5_"
"CRIP3","QNSCbyPNSCBen_FC5_"
"CRISPLD2","PNSCbyQNSCBen_FC5_"
"CRYAB","QNSCbyPNSCBen_FC5_"
"CRYBA4","QNSCbyPNSCBen_FC5_"
"CRYGS","QNSCbyPNSCBen_FC5_"
"CSDC2","QNSCbyPNSCBen_FC5_"
"CSF1","QNSCbyPNSCBen_FC5_"
"CSRNP1","QNSCbyPNSCBen_FC5_"
"CSRP1","QNSCbyPNSCBen_FC5_"
"CST3","QNSCbyPNSCBen_FC5_"
"CSTB","QNSCbyPNSCBen_FC5_"
"CTNNA2","QNSCbyPNSCBen_FC5_"
"CTNNA3","QNSCbyPNSCBen_FC5_"
"CTR9","QNSCbyPNSCBen_FC5_"
"CTSB","QNSCbyPNSCBen_FC5_"
"CTSF","QNSCbyPNSCBen_FC5_"
"CXADR","QNSCbyPNSCBen_FC5_"
"CXXC5","QNSCbyPNSCBen_FC5_"
"CYB5R3","QNSCbyPNSCBen_FC5_"
"CYFIP2","PNSCbyQNSCBen_FC5_"
"CYGB","QNSCbyPNSCBen_FC5_"
"CYP1A1","QNSCbyPNSCBen_FC5_"
"CYP46A1","QNSCbyPNSCBen_FC5_"
"C10orf90","PNSCbyQNSCBen_FC5_"
"DBF4","PNSCbyQNSCBen_FC5_"
"DBP","QNSCbyPNSCBen_FC5_"
"DCC","PNSCbyQNSCBen_FC5_"
"DCK","PNSCbyQNSCBen_FC5_"
"DCLK3","QNSCbyPNSCBen_FC5_"
"DCN","QNSCbyPNSCBen_FC5_"
"DCTD","PNSCbyQNSCBen_FC5_"
"DCTPP1","PNSCbyQNSCBen_FC5_"
"DDC","PNSCbyQNSCBen_FC5_"
"DDO","QNSCbyPNSCBen_FC5_"
"DDR1","QNSCbyPNSCBen_FC5_"
"DDR2","PNSCbyQNSCBen_FC5_"
"DDX11","PNSCbyQNSCBen_FC5_"
"DDX25","PNSCbyQNSCBen_FC5_"
"DDX39A","PNSCbyQNSCBen_FC5_"
"DDX58","QNSCbyPNSCBen_FC5_"
"DEFB136","QNSCbyPNSCBen_FC5_"
"DEPDC1B","PNSCbyQNSCBen_FC5_"
"DERL3","QNSCbyPNSCBen_FC5_"
"DES","QNSCbyPNSCBen_FC5_"
"DGKG","PNSCbyQNSCBen_FC5_"
"DGKK","PNSCbyQNSCBen_FC5_"
"DHFR","PNSCbyQNSCBen_FC5_"
"DHFR2","PNSCbyQNSCBen_FC5_"
"DHRS2","PNSCbyQNSCBen_FC5_"
"DHRS3","QNSCbyPNSCBen_FC5_"
"DIRAS1","QNSCbyPNSCBen_FC5_"
"DIRAS2","QNSCbyPNSCBen_FC5_"
"DISC1","PNSCbyQNSCBen_FC5_"
"DIXDC1","QNSCbyPNSCBen_FC5_"
"DKC1","PNSCbyQNSCBen_FC5_"
"DKK3","QNSCbyPNSCBen_FC5_"
"DLGAP3","PNSCbyQNSCBen_FC5_"
"DLGAP5","PNSCbyQNSCBen_FC5_"
"DLK2","QNSCbyPNSCBen_FC5_"
"DLX4","QNSCbyPNSCBen_FC5_"
"DMP1","PNSCbyQNSCBen_FC5_"
"DMPK","QNSCbyPNSCBen_FC5_"
"DMRTB1","PNSCbyQNSCBen_FC5_"
"DNA2","PNSCbyQNSCBen_FC5_"
"DNAJB4","QNSCbyPNSCBen_FC5_"
"DNALI1","QNSCbyPNSCBen_FC5_"
"DNASE1L1","QNSCbyPNSCBen_FC5_"
"DOCK10","PNSCbyQNSCBen_FC5_"
"DOCK11","QNSCbyPNSCBen_FC5_"
"DOCK5","QNSCbyPNSCBen_FC5_"
"DOK5","QNSCbyPNSCBen_FC5_"
"DPP6","PNSCbyQNSCBen_FC5_"
"DRP2","QNSCbyPNSCBen_FC5_"
"DSC1","PNSCbyQNSCBen_FC5_"
"DSCAM","PNSCbyQNSCBen_FC5_"
"DSCC1","PNSCbyQNSCBen_FC5_"
"DTL","PNSCbyQNSCBen_FC5_"
"DUOXA1","QNSCbyPNSCBen_FC5_"
"DUSP1","QNSCbyPNSCBen_FC5_"
"DUSP15","QNSCbyPNSCBen_FC5_"
"DUSP6","PNSCbyQNSCBen_FC5_"
"DUSP7","PNSCbyQNSCBen_FC5_"
"DUT","PNSCbyQNSCBen_FC5_"
"E2F2","PNSCbyQNSCBen_FC5_"
"E2F7","PNSCbyQNSCBen_FC5_"
"EBF4","QNSCbyPNSCBen_FC5_"
"ECEL1","QNSCbyPNSCBen_FC5_"
"ECM1","QNSCbyPNSCBen_FC5_"
"ECT2","PNSCbyQNSCBen_FC5_"
"EDNRB","PNSCbyQNSCBen_FC5_"
"EFHC1","QNSCbyPNSCBen_FC5_"
"EGFR","PNSCbyQNSCBen_FC5_"
"EGR2","QNSCbyPNSCBen_FC5_"
"EHD3","QNSCbyPNSCBen_FC5_"
"ELAVL2","PNSCbyQNSCBen_FC5_"
"ELAVL4","PNSCbyQNSCBen_FC5_"
"ELOVL2","PNSCbyQNSCBen_FC5_"
"ELOVL6","PNSCbyQNSCBen_FC5_"
"EMB","QNSCbyPNSCBen_FC5_"
"EMCN","PNSCbyQNSCBen_FC5_"
"EME1","PNSCbyQNSCBen_FC5_"
"EMID1","QNSCbyPNSCBen_FC5_"
"EML2","QNSCbyPNSCBen_FC5_"
"EMP1","QNSCbyPNSCBen_FC5_"
"EMP2","QNSCbyPNSCBen_FC5_"
"EMP3","QNSCbyPNSCBen_FC5_"
"ENG","QNSCbyPNSCBen_FC5_"
"ENPP2","PNSCbyQNSCBen_FC5_"
"ENPP3","PNSCbyQNSCBen_FC5_"
"ENPP5","QNSCbyPNSCBen_FC5_"
"ENPP6","QNSCbyPNSCBen_FC5_"
"ENTPD2","QNSCbyPNSCBen_FC5_"
"EPHB6","QNSCbyPNSCBen_FC5_"
"ERCC6L","PNSCbyQNSCBen_FC5_"
"ERRFI1","QNSCbyPNSCBen_FC5_"
"ESCO2","PNSCbyQNSCBen_FC5_"
"ESPL1","PNSCbyQNSCBen_FC5_"
"ESPNL","QNSCbyPNSCBen_FC5_"
"ESX1","PNSCbyQNSCBen_FC5_"
"KIAA1217","QNSCbyPNSCBen_FC5_"
"ETV1","PNSCbyQNSCBen_FC5_"
"ETV4","PNSCbyQNSCBen_FC5_"
"ETV5","PNSCbyQNSCBen_FC5_"
"EXO1","PNSCbyQNSCBen_FC5_"
"EYA2","PNSCbyQNSCBen_FC5_"
"EYA4","PNSCbyQNSCBen_FC5_"
"EZH2","PNSCbyQNSCBen_FC5_"
"FABP4","QNSCbyPNSCBen_FC5_"
"FABP5","QNSCbyPNSCBen_FC5_"
"FABP7","PNSCbyQNSCBen_FC5_"
"FADS3","QNSCbyPNSCBen_FC5_"
"FAM102A","QNSCbyPNSCBen_FC5_"
"FAM107A","QNSCbyPNSCBen_FC5_"
"FAM111A","PNSCbyQNSCBen_FC5_"
"FAM129B","QNSCbyPNSCBen_FC5_"
"FAM160A1","QNSCbyPNSCBen_FC5_"
"FAM166A","QNSCbyPNSCBen_FC5_"
"FAM169A","PNSCbyQNSCBen_FC5_"
"FAM180A","QNSCbyPNSCBen_FC5_"
"FAM189A2","QNSCbyPNSCBen_FC5_"
"INSYN2","QNSCbyPNSCBen_FC5_"
"GASK1A","QNSCbyPNSCBen_FC5_"
"FAM43A","QNSCbyPNSCBen_FC5_"
"FAM72D","PNSCbyQNSCBen_FC5_"
"FAM72A","PNSCbyQNSCBen_FC5_"
"FAM72B","PNSCbyQNSCBen_FC5_"
"FAM72C","PNSCbyQNSCBen_FC5_"
"FAM78A","PNSCbyQNSCBen_FC5_"
"FAM84A","QNSCbyPNSCBen_FC5_"
"FANCA","PNSCbyQNSCBen_FC5_"
"FANCB","PNSCbyQNSCBen_FC5_"
"FANCD2","PNSCbyQNSCBen_FC5_"
"FANCI","PNSCbyQNSCBen_FC5_"
"FANCL","PNSCbyQNSCBen_FC5_"
"FANK1","QNSCbyPNSCBen_FC5_"
"FAS","QNSCbyPNSCBen_FC5_"
"FBLN2","PNSCbyQNSCBen_FC5_"
"FBLN7","QNSCbyPNSCBen_FC5_"
"FBP1","PNSCbyQNSCBen_FC5_"
"FBXO2","QNSCbyPNSCBen_FC5_"
"FBXO48","PNSCbyQNSCBen_FC5_"
"FBXO5","PNSCbyQNSCBen_FC5_"
"FCGR3A","QNSCbyPNSCBen_FC5_"
"FCGR3B","QNSCbyPNSCBen_FC5_"
"FCGRT","QNSCbyPNSCBen_FC5_"
"FEZ2","QNSCbyPNSCBen_FC5_"
"FGF18","QNSCbyPNSCBen_FC5_"
"FGF2","QNSCbyPNSCBen_FC5_"
"FGFR2","QNSCbyPNSCBen_FC5_"
"FGGY","QNSCbyPNSCBen_FC5_"
"FGL1","QNSCbyPNSCBen_FC5_"
"FGR","PNSCbyQNSCBen_FC5_"
"FHDC1","QNSCbyPNSCBen_FC5_"
"FHL1","QNSCbyPNSCBen_FC5_"
"FHL2","QNSCbyPNSCBen_FC5_"
"FIBCD1","QNSCbyPNSCBen_FC5_"
"FIGN","PNSCbyQNSCBen_FC5_"
"FIGNL1","PNSCbyQNSCBen_FC5_"
"FKBP1B","QNSCbyPNSCBen_FC5_"
"FLOT1","QNSCbyPNSCBen_FC5_"
"FLRT1","QNSCbyPNSCBen_FC5_"
"FLRT3","PNSCbyQNSCBen_FC5_"
"FLT3LG","QNSCbyPNSCBen_FC5_"
"FMN1","QNSCbyPNSCBen_FC5_"
"FMO1","PNSCbyQNSCBen_FC5_"
"FMOD","QNSCbyPNSCBen_FC5_"
"FN1","QNSCbyPNSCBen_FC5_"
"FN3K","QNSCbyPNSCBen_FC5_"
"FNDC5","QNSCbyPNSCBen_FC5_"
"FOLH1","QNSCbyPNSCBen_FC5_"
"FOLR1","QNSCbyPNSCBen_FC5_"
"FOLR2","QNSCbyPNSCBen_FC5_"
"FOS","QNSCbyPNSCBen_FC5_"
"FOSB","QNSCbyPNSCBen_FC5_"
"FOSL2","QNSCbyPNSCBen_FC5_"
"FOXM1","PNSCbyQNSCBen_FC5_"
"FREM3","QNSCbyPNSCBen_FC5_"
"FRMD5","QNSCbyPNSCBen_FC5_"
"FRMPD3","QNSCbyPNSCBen_FC5_"
"FRMPD4","QNSCbyPNSCBen_FC5_"
"FSCN2","QNSCbyPNSCBen_FC5_"
"FSTL3","QNSCbyPNSCBen_FC5_"
"FUCA2","QNSCbyPNSCBen_FC5_"
"FXYD1","QNSCbyPNSCBen_FC5_"
"G2E3","PNSCbyQNSCBen_FC5_"
"GABARAPL1","QNSCbyPNSCBen_FC5_"
"GADD45B","QNSCbyPNSCBen_FC5_"
"GADD45G","QNSCbyPNSCBen_FC5_"
"GAL3ST4","QNSCbyPNSCBen_FC5_"
"GALM","QNSCbyPNSCBen_FC5_"
"GALT","QNSCbyPNSCBen_FC5_"
