Gene,Category,QNP_avg,TAP_avg,FC5
ZNF599,QNPbyTAP_FC5_,0.22153,0.0051935,42.65524213
MAMDC4,QNPbyTAP_FC5_,2.785,0.06769625,41.13964954
LL0XNC01-237H1.2,QNPbyTAP_FC5_,0.758487143,0.0184575,41.09370949
Metazoa_SRP,QNPbyTAP_FC5_,-0.621161286,-0.01515125,40.99736231
CHMP4A,QNPbyTAP_FC5_,0.420969571,0.010314875,40.81189267
SNORD94,QNPbyTAP_FC5_,-1.036931429,-0.02545125,40.74186645
LGMNP1,QNPbyTAP_FC5_,1.157365714,0.03077375,37.60886191
HERC3,QNPbyTAP_FC5_,1.344882857,0.03661875,36.72661839
RP11-1391J7.1,QNPbyTAP_FC5_,1.060461429,0.031,34.20843318
HMBOX1,QNPbyTAP_FC5_,1.448294286,0.04242625,34.13674991
ARL6IP1P3,QNPbyTAP_FC5_,-0.635120714,-0.01878625,33.80774313
CTD-2373N4.3,QNPbyTAP_FC5_,2.172442857,0.0648225,33.51371603
RP11-798G7.5,QNPbyTAP_FC5_,-0.097965629,-0.0029785,32.89092784
EBF1,QNPbyTAP_FC5_,2.297414286,0.0719125,31.94735666
ARHGEF9,QNPbyTAP_FC5_,1.743248571,0.054675,31.88383304
C17orf51,QNPbyTAP_FC5_,-0.986142857,-0.0312525,31.5540471
IMMP2L,QNPbyTAP_FC5_,1.473795714,0.04883375,30.17985951
ABCC2,QNPbyTAP_FC5_,-0.880813714,-0.0294375,29.92148499
PDE4D,QNPbyTAP_FC5_,2.176775714,0.073165,29.75159864
ANKRD46,QNPbyTAP_FC5_,1.266655714,0.044255,28.6217538
AC017104.2,QNPbyTAP_FC5_,0.449885429,0.01575775,28.55010573
CPNE5,QNPbyTAP_FC5_,3.380214286,0.1189125,28.42606358
AL136097.1,QNPbyTAP_FC5_,1.193294286,0.0423162,28.19946701
SYTL5,QNPbyTAP_FC5_,2.777312857,0.1033875,26.86313971
L3MBTL4,QNPbyTAP_FC5_,1.688028571,0.0634175,26.61770917
HSPA1L,QNPbyTAP_FC5_,1.578042857,0.05965,26.45503533
ABCG1,QNPbyTAP_FC5_,2.186881429,0.082745,26.42916706
SNORA5C,QNPbyTAP_FC5_,0.840478429,0.031986625,26.27593341
LINC00976,QNPbyTAP_FC5_,1.385257143,0.0532775,26.00079101
RP11-428P16.2,QNPbyTAP_FC5_,-1.997914286,-0.07735375,25.82827963
AC008746.5,QNPbyTAP_FC5_,0.73697,0.028790125,25.59801321
CAMK2A,QNPbyTAP_FC5_,3.917014286,0.1538175,25.46533578
AC005086.2,QNPbyTAP_FC5_,0.892354286,0.0361245,24.70219064
RP11-144C15.1,QNPbyTAP_FC5_,-0.111572571,-0.00456225,24.45560226
RP5-862P8.2,QNPbyTAP_FC5_,-0.310662857,-0.01305,23.80558292
PPP1R3F,QNPbyTAP_FC5_,2.077228571,0.0895875,23.18658933
CTD-3018O17.5,QNPbyTAP_FC5_,0.787154286,0.03411325,23.0747374
RP11-53O19.1,QNPbyTAP_FC5_,2.220342857,0.09643375,23.02454127
RP11-397A15.4,QNPbyTAP_FC5_,-2.785814286,-0.121015,23.02040479
ABHD18,QNPbyTAP_FC5_,1.485628571,0.0645375,23.01961761
ANXA6,QNPbyTAP_FC5_,-2.461919429,-0.10747375,22.90716969
C4orf48,QNPbyTAP_FC5_,-4.520885714,-0.2028625,22.28546781
RP11-378J18.8,QNPbyTAP_FC5_,-0.179213143,-0.0080525,22.25559054
ZNF33B,QNPbyTAP_FC5_,-1.219938571,-0.0552275,22.08933179
UBE2D4,QNPbyTAP_FC5_,1.499157143,0.0701,21.38597921
HMGA1P1,QNPbyTAP_FC5_,1.444978571,0.06864025,21.05147594
SF3A3P1,QNPbyTAP_FC5_,-0.585575714,-0.028091625,20.84520615
CKMT2-AS1,QNPbyTAP_FC5_,1.702077143,0.08286375,20.5406724
PIGFP1,QNPbyTAP_FC5_,1.050672857,0.052429625,20.03967904
TTC39B,QNPbyTAP_FC5_,2.025214286,0.1024625,19.7654194
RASA4DP,QNPbyTAP_FC5_,2.389371429,0.1214975,19.66601312
MYLIP,QNPbyTAP_FC5_,1.340577143,0.06896375,19.43886669
FAXDC2,QNPbyTAP_FC5_,3.542371429,0.18303375,19.3536516
NAIP,QNPbyTAP_FC5_,2.1867,0.1145375,19.0915639
GALT,QNPbyTAP_FC5_,2.280242857,0.1207275,18.88751823
ATP5F1P5,QNPbyTAP_FC5_,-0.548857,-0.02907,18.88052976
BIN1,QNPbyTAP_FC5_,-3.037814286,-0.1631125,18.62404344
RP11-4L24.4,QNPbyTAP_FC5_,1.650125714,0.08944625,18.44823807
PRR19,QNPbyTAP_FC5_,-0.263680571,-0.014377113,18.34030105
POLR2J4,QNPbyTAP_FC5_,1.33427,0.0745625,17.89465214
RNU2-27P,QNPbyTAP_FC5_,-0.722531571,-0.0407,17.75261846
CTD-2329K10.1,QNPbyTAP_FC5_,0.439808571,0.02484625,17.70120527
ADAMTSL5,QNPbyTAP_FC5_,1.970857143,0.112565,17.50861407
GJA3,QNPbyTAP_FC5_,2.681771429,0.155185,17.28112529
RP11-773H22.4,QNPbyTAP_FC5_,-1.514467143,-0.0877975,17.24954746
CTC-260E6.6,QNPbyTAP_FC5_,0.496995571,0.029075375,17.09335035
TAB3,QNPbyTAP_FC5_,1.192265714,0.07112375,16.7632572
NDUFA9P1,QNPbyTAP_FC5_,-0.707137857,-0.042251,16.73659457
NACAD,QNPbyTAP_FC5_,2.7379,0.16456125,16.63757416
RRM2P3,QNPbyTAP_FC5_,-1.443364143,-0.08691125,16.60733384
COX5BP6,QNPbyTAP_FC5_,0.632255714,0.038419375,16.45668922
TSHZ3,QNPbyTAP_FC5_,2.355757143,0.1435125,16.4149962
MROH1,QNPbyTAP_FC5_,1.961385714,0.11958,16.40228896
PRKCQ,QNPbyTAP_FC5_,2.220924286,0.13576,16.3591948
CTD-2095E4.5,QNPbyTAP_FC5_,0.65135,0.03986125,16.34043087
LINC00265,QNPbyTAP_FC5_,1.957428571,0.12055275,16.23711256
RASL11A,QNPbyTAP_FC5_,0.976267143,0.06068,16.08877955
LYN,QNPbyTAP_FC5_,1.279337143,0.08188,15.62453765
TRERF1,QNPbyTAP_FC5_,1.13421,0.07315375,15.50446833
PITX1,QNPbyTAP_FC5_,2.3387,0.1516125,15.42550911
BDNF-AS,QNPbyTAP_FC5_,0.793555429,0.0515005,15.40869367
RP11-412D9.4,QNPbyTAP_FC5_,0.525100286,0.03458375,15.18343979
ZGRF1,QNPbyTAP_FC5_,0.814355714,0.0541725,15.03264044
ZKSCAN3,QNPbyTAP_FC5_,1.806842857,0.12172375,14.84379882
Metazoa_SRP,QNPbyTAP_FC5_,0.097864286,0.0066025,14.82230757
SMARCA2,QNPbyTAP_FC5_,0.726444286,0.04946875,14.68491291
SLC45A4,QNPbyTAP_FC5_,1.486885714,0.1030625,14.42702937
RP11-5C23.1,QNPbyTAP_FC5_,2.087642857,0.14764875,14.13925182
Y_RNA,QNPbyTAP_FC5_,1.302667143,0.092225,14.12488092
ZNF658,QNPbyTAP_FC5_,1.866457143,0.13381125,13.94843216
MAOA,QNPbyTAP_FC5_,1.192035714,0.0857375,13.90331785
RP11-173D3.1,QNPbyTAP_FC5_,1.436795714,0.10364125,13.86316466
MTO1,QNPbyTAP_FC5_,1.256491429,0.09087625,13.8264005
CTC-281F24.5,QNPbyTAP_FC5_,-0.408448571,-0.029793375,13.70937571
HNRNPA1P59,QNPbyTAP_FC5_,0.037577143,0.002742375,13.70240863
MRPS18C,QNPbyTAP_FC5_,0.912945714,0.06684125,13.65841773
KAZN,QNPbyTAP_FC5_,3.402457143,0.24946,13.63928944
BICC1,QNPbyTAP_FC5_,-4.155898571,-0.3047875,13.63539703
RPL36AP40,QNPbyTAP_FC5_,-0.68656,-0.050399125,13.62245872
CHTF8P1,QNPbyTAP_FC5_,0.893401429,0.0666875,13.39683492
FAT1,QNPbyTAP_FC5_,-3.9646,-0.30021375,13.20592411
KIF9,QNPbyTAP_FC5_,-0.953118571,-0.072194125,13.20216252
ACVR2B,QNPbyTAP_FC5_,0.73035,0.05533325,13.19911626
ACTR3B,QNPbyTAP_FC5_,1.802085714,0.13942,12.92558969
LINC01551,QNPbyTAP_FC5_,-2.115328571,-0.164975,12.82211591
PRICKLE3,QNPbyTAP_FC5_,1.7688,0.1381,12.80811007
SLC2A13,QNPbyTAP_FC5_,1.891575714,0.14940875,12.66040787
C14orf37,QNPbyTAP_FC5_,-1.076708571,-0.0850625,12.65785242
PCDHGB2,QNPbyTAP_FC5_,3.130285714,0.247345,12.65554474
AF277315.13,QNPbyTAP_FC5_,1.938305714,0.15487125,12.51559417
RSRC1,QNPbyTAP_FC5_,-1.907252857,-0.152755,12.48569839
LRCH4,QNPbyTAP_FC5_,2.147585714,0.17290125,12.42088021
TMPRSS5,QNPbyTAP_FC5_,2.8538,0.232445,12.27731291
TAF9BP1,QNPbyTAP_FC5_,-0.5874,-0.048415125,12.13257221
USP45,QNPbyTAP_FC5_,1.371934286,0.1133275,12.10592562
CTD-2301A4.1,QNPbyTAP_FC5_,-1.387227429,-0.1146375,12.10099164
SNRPCP6,QNPbyTAP_FC5_,-0.559032729,-0.046659,11.9812411
BPHL,QNPbyTAP_FC5_,1.014018571,0.0847825,11.96023438
Metazoa_SRP,QNPbyTAP_FC5_,-0.234093714,-0.019887125,11.77111897
RP3-452M16.1,QNPbyTAP_FC5_,0.737241786,0.06275375,11.748171
PSMG3-AS1,QNPbyTAP_FC5_,2.227828571,0.190885,11.67105101
LINC01278,QNPbyTAP_FC5_,1.766557143,0.15203,11.61979309
LARP1B,QNPbyTAP_FC5_,1.5431,0.1331125,11.59245
C6orf15,QNPbyTAP_FC5_,3.201342857,0.27673625,11.56820929
CH507-39O4.2,QNPbyTAP_FC5_,1.860187143,0.1608675,11.56347393
RP11-212P7.2,QNPbyTAP_FC5_,1.86398,0.1617675,11.52258643
COL6A3,QNPbyTAP_FC5_,-3.337914286,-0.2910725,11.46763877
MDH1B,QNPbyTAP_FC5_,-1.18492,-0.1043275,11.35769572
HIVEP1,QNPbyTAP_FC5_,0.974731429,0.08606375,11.32569088
RP11-88I18.2,QNPbyTAP_FC5_,2.064985714,0.1841025,11.21650013
PIGA,QNPbyTAP_FC5_,0.633141429,0.05645875,11.21423036
MINOS1P2,QNPbyTAP_FC5_,-1.688394286,-0.1510695,11.17627506
TNFSF18,QNPbyTAP_FC5_,-4.763814286,-0.426985,11.15686566
IFITM9P,QNPbyTAP_FC5_,2.200567143,0.1977175,11.12985519
SF3A3P2,QNPbyTAP_FC5_,-0.823222857,-0.074253,11.08672858
Metazoa_SRP,QNPbyTAP_FC5_,1.401868571,0.1268875,11.04812193
SPCS2P1,QNPbyTAP_FC5_,-0.836204571,-0.076658625,10.90816032
TCEAL6,QNPbyTAP_FC5_,0.608342857,0.0558125,10.89976004
EFCAB13,QNPbyTAP_FC5_,0.638405186,0.0587975,10.85769269
C19orf57,QNPbyTAP_FC5_,0.443774286,0.04091375,10.84658057
PHBP9,QNPbyTAP_FC5_,0.964908571,0.089326,10.80210209
SRGN,QNPbyTAP_FC5_,-2.81607,-0.26336125,10.69280314
AC005077.7,QNPbyTAP_FC5_,1.311085714,0.1228425,10.67289997
CTC-510F12.3,QNPbyTAP_FC5_,1.158511429,0.10904775,10.62389117
CTNND2,QNPbyTAP_FC5_,2.025685714,0.19105625,10.60256189
WDR31,QNPbyTAP_FC5_,1.39636,0.1320125,10.57748319
ZNF696,QNPbyTAP_FC5_,1.491328571,0.14148625,10.54044878
GLI1,QNPbyTAP_FC5_,1.787416914,0.16966175,10.53517905
MAST1,QNPbyTAP_FC5_,1.62018,0.155207,10.4388333
GTF2IRD2,QNPbyTAP_FC5_,1.678027143,0.1618025,10.3708357
NBPF3,QNPbyTAP_FC5_,-0.441023143,-0.0425575,10.3629946
SLC38A9,QNPbyTAP_FC5_,1.556814286,0.15045,10.34771875
MFAP2,QNPbyTAP_FC5_,-4.663142857,-0.45099625,10.33964885
KRBA1,QNPbyTAP_FC5_,2.432685714,0.2354375,10.33261785
RP11-196I18.3,QNPbyTAP_FC5_,1.045815714,0.10166,10.28738653
RP11-166P13.3,QNPbyTAP_FC5_,0.614572857,0.0597595,10.28410307
RP11-513M16.8,QNPbyTAP_FC5_,1.225015714,0.11951375,10.24999813
RELL2,QNPbyTAP_FC5_,2.282185714,0.22346,10.21294959
BAG1,QNPbyTAP_FC5_,1.072914286,0.105175,10.20122924
UNC13B,QNPbyTAP_FC5_,1.8469,0.18274875,10.10622508
RNF122,QNPbyTAP_FC5_,1.271468571,0.12883875,9.868681367
E2F5,QNPbyTAP_FC5_,1.5478,0.15790375,9.802173793
MTATP6P2,QNPbyTAP_FC5_,-3.663628571,-0.374075,9.793834315
RP11-90D4.4,QNPbyTAP_FC5_,-0.877015714,-0.089636125,9.784177019
CBX3P2,QNPbyTAP_FC5_,1.310562857,0.13410875,9.772388879
RP13-349O20.2,QNPbyTAP_FC5_,3.101642857,0.3183025,9.744324525
NFIA,QNPbyTAP_FC5_,0.986228571,0.1014975,9.716776979
RAB39A,QNPbyTAP_FC5_,2.137471429,0.220075,9.712468152
TMCC1-AS1,QNPbyTAP_FC5_,-0.940835857,-0.09758375,9.641316891
ACTBP9,QNPbyTAP_FC5_,-1.118829571,-0.116539625,9.600421929
PFN1P6,QNPbyTAP_FC5_,1.153285714,0.12056,9.566072614
RAB39B,QNPbyTAP_FC5_,2.363017143,0.24956375,9.468591263
PPM1K,QNPbyTAP_FC5_,3.186657143,0.337015,9.455535044
HSPA6,QNPbyTAP_FC5_,0.84437,0.0895825,9.425613262
BMS1P22,QNPbyTAP_FC5_,1.229655714,0.1305225,9.421024837
TLE6,QNPbyTAP_FC5_,1.729668571,0.1838275,9.40919379
RP1-198K11.5,QNPbyTAP_FC5_,-1.215794286,-0.129602375,9.380956836
HS3ST5,QNPbyTAP_FC5_,2.147028571,0.22888125,9.380534978
RAB42,QNPbyTAP_FC5_,-0.947567143,-0.1016325,9.323465849
TRABD2A,QNPbyTAP_FC5_,1.7451,0.18729875,9.317200462
CNKSR2,QNPbyTAP_FC5_,2.120315714,0.2277,9.311882803
AC069513.4,QNPbyTAP_FC5_,1.070857143,0.11562625,9.261367059
RP11-384B12.2,QNPbyTAP_FC5_,-0.81412,-0.088375125,9.212094467
CTC-359D24.3,QNPbyTAP_FC5_,-0.263731714,-0.028677875,9.196347857
AC004980.7,QNPbyTAP_FC5_,2.017528571,0.21985125,9.176789176
ANGPTL1,QNPbyTAP_FC5_,1.365268571,0.1492625,9.146762056
LRRC56,QNPbyTAP_FC5_,0.919751429,0.101013125,9.105266554
CADPS,QNPbyTAP_FC5_,1.849407143,0.203625,9.082416908
HIF1A-AS1,QNPbyTAP_FC5_,1.817331429,0.2003125,9.072481391
PHYKPL,QNPbyTAP_FC5_,1.8288,0.203575,8.983421343
CENPC,QNPbyTAP_FC5_,1.648128571,0.1839125,8.961482071
RP11-126K1.6,QNPbyTAP_FC5_,-1.739131429,-0.19437625,8.947242416
CTD-2116N20.1,QNPbyTAP_FC5_,0.76397,0.08593125,8.890479308
ICAM1,QNPbyTAP_FC5_,-1.555754286,-0.175225,8.878609135
RP11-248J18.2,QNPbyTAP_FC5_,0.55782,0.06290875,8.867128976
TAF8,QNPbyTAP_FC5_,1.2024,0.13597375,8.842883277
CDKN2A,QNPbyTAP_FC5_,-5.081371429,-0.57515,8.834862955
DTX2,QNPbyTAP_FC5_,2.335957143,0.26527625,8.805753032
ADAM22,QNPbyTAP_FC5_,3.018085714,0.342975,8.799725094
ACSL1,QNPbyTAP_FC5_,2.583618571,0.2938075,8.793575969
RP4-814D15.1,QNPbyTAP_FC5_,0.833172857,0.09541,8.732552742
GTF2IRD2B,QNPbyTAP_FC5_,1.670681429,0.19190625,8.705716612
MIR590,QNPbyTAP_FC5_,1.129752857,0.12993125,8.695004913
ZBED3,QNPbyTAP_FC5_,2.198985714,0.2548325,8.629141551
AC006547.13,QNPbyTAP_FC5_,1.112762857,0.129978,8.561163098
MAPK10,QNPbyTAP_FC5_,2.140142857,0.25085,8.531564111
ATP6V1G2,QNPbyTAP_FC5_,0.900427,0.10626125,8.473709842
STAMBPL1,QNPbyTAP_FC5_,-0.942452857,-0.11137925,8.461655624
ZNF275,QNPbyTAP_FC5_,1.29723,0.15435,8.40447036
MIR1254-1,QNPbyTAP_FC5_,-0.435717143,-0.05198875,8.380989019
RP11-1348G14.4,QNPbyTAP_FC5_,0.190302714,0.02287575,8.318971587
ZNF137P,QNPbyTAP_FC5_,0.950672857,0.11439,8.310803891
DENND1A,QNPbyTAP_FC5_,2.080742857,0.2518625,8.261423821
LDHAP7,QNPbyTAP_FC5_,-4.375485714,-0.5304,8.249407455
ZNF239,QNPbyTAP_FC5_,1.083642857,0.13137125,8.248706297
RP11-472K17.3,QNPbyTAP_FC5_,1.738905714,0.210825,8.248100151
KLF15,QNPbyTAP_FC5_,1.204103429,0.14633375,8.228473804
TATDN2P2,QNPbyTAP_FC5_,1.872635714,0.2278875,8.217369159
SLC25A52,QNPbyTAP_FC5_,-0.236447029,-0.028866625,8.191017432
FZD4,QNPbyTAP_FC5_,1.7773,0.21801875,8.152051142
GATB,QNPbyTAP_FC5_,1.517598571,0.186425,8.140531428
MIR647,QNPbyTAP_FC5_,1.048455714,0.12926375,8.11098018
RP11-12K11.1,QNPbyTAP_FC5_,-1.991435714,-0.24639125,8.082412481
RP11-378A13.1,QNPbyTAP_FC5_,0.238399857,0.029535125,8.071740246
ZSCAN12,QNPbyTAP_FC5_,1.471505714,0.1826875,8.054769562
FZD6,QNPbyTAP_FC5_,-4.206657143,-0.522575,8.049862973
TIGD5,QNPbyTAP_FC5_,2.086342857,0.260935,7.995642046
EFHC1,QNPbyTAP_FC5_,1.601002857,0.2008125,7.972625495
GM2A,QNPbyTAP_FC5_,1.326542857,0.16745125,7.921964495
GAS6-AS2,QNPbyTAP_FC5_,-0.634341,-0.08024875,7.904683874
UBN2,QNPbyTAP_FC5_,2.620828571,0.3318875,7.896737815
RP11-571M6.17,QNPbyTAP_FC5_,0.486667571,0.06177875,7.877588514
CYP2J2,QNPbyTAP_FC5_,1.673721429,0.2126375,7.871242977
APC2,QNPbyTAP_FC5_,1.635522857,0.20881,7.832588751
FXYD6,QNPbyTAP_FC5_,1.761391143,0.226044,7.792249044
TARSL2,QNPbyTAP_FC5_,-1.037704286,-0.1335875,7.767974442
PAX6,QNPbyTAP_FC5_,-1.939744286,-0.2497975,7.765267009
CRHR1-IT1,QNPbyTAP_FC5_,1.057391429,0.136172375,7.765095002
SNORD17,QNPbyTAP_FC5_,0.330518571,0.04288625,7.706865754
RP11-258C19.4,QNPbyTAP_FC5_,0.5743,0.07462875,7.695425691
TRIM39,QNPbyTAP_FC5_,1.349157143,0.17533875,7.694574889
PCYT1B,QNPbyTAP_FC5_,1.980857143,0.25839875,7.665892899
IL12A,QNPbyTAP_FC5_,-0.205451429,-0.0269,7.637599575
PRSS12,QNPbyTAP_FC5_,1.334074286,0.1749825,7.624044037
RP11-266I3.1,QNPbyTAP_FC5_,1.061172857,0.1393925,7.612840412
CTC-351M12.1,QNPbyTAP_FC5_,1.481105714,0.19503375,7.594099556
RP4-751H13.5,QNPbyTAP_FC5_,2.235557143,0.294429,7.592856488
XIAPP1,QNPbyTAP_FC5_,-0.151413429,-0.019944775,7.591633827
ZNF345,QNPbyTAP_FC5_,0.409834143,0.05402375,7.586184648
CTB-91J4.1,QNPbyTAP_FC5_,2.1692,0.28623725,7.578328816
IL31RA,QNPbyTAP_FC5_,1.191632429,0.157251125,7.577894457
TOX2,QNPbyTAP_FC5_,-6.087285714,-0.8043,7.568426849
AC006128.2,QNPbyTAP_FC5_,3.469142857,0.45883,7.560845754
Metazoa_SRP,QNPbyTAP_FC5_,0.830022857,0.10984325,7.556430251
ZNF34,QNPbyTAP_FC5_,1.489674286,0.19791125,7.52698134
RP11-307C12.12,QNPbyTAP_FC5_,1.44357,0.192657625,7.492929491
GRB14,QNPbyTAP_FC5_,2.421848571,0.3241375,7.471670422
SYNGAP1,QNPbyTAP_FC5_,2.3738,0.318875,7.444296354
RP5-1053E7.3,QNPbyTAP_FC5_,-0.892567143,-0.119967375,7.440082296
HDAC10,QNPbyTAP_FC5_,1.436044286,0.19302125,7.439824816
SPOCK2,QNPbyTAP_FC5_,-1.071180714,-0.1442,7.428437686
WDR17,QNPbyTAP_FC5_,1.605871429,0.2172675,7.39121787
SNORD67,QNPbyTAP_FC5_,-2.012083714,-0.273509313,7.356545545
RPLP0P2,QNPbyTAP_FC5_,-0.469611429,-0.0640775,7.328803848
HEPH,QNPbyTAP_FC5_,3.526171429,0.481725,7.319884641
SIRPA,QNPbyTAP_FC5_,-4.9722,-0.6826,7.284207442
RP1-145M24.1,QNPbyTAP_FC5_,-1.385464286,-0.190229,7.283139194
C9orf3,QNPbyTAP_FC5_,-0.104980571,-0.0145475,7.21639948
TTC4,QNPbyTAP_FC5_,-0.877417143,-0.122996325,7.133685847
KCND3,QNPbyTAP_FC5_,1.728385714,0.2423625,7.131407352
RP11-958N24.1,QNPbyTAP_FC5_,1.236932857,0.173863375,7.114395756
CTB-187L3.1,QNPbyTAP_FC5_,-1.04797,-0.147675,7.096461825
KCTD15,QNPbyTAP_FC5_,1.760157143,0.2485875,7.080634154
MT1E,QNPbyTAP_FC5_,-4.128862857,-0.584665,7.061929237
RP11-295D4.3,QNPbyTAP_FC5_,1.126847143,0.160918875,7.00257905
MIR4458HG,QNPbyTAP_FC5_,2.871757143,0.41043625,6.996840905
RP11-849F2.7,QNPbyTAP_FC5_,1.566244286,0.22491125,6.963832559
AC069257.6,QNPbyTAP_FC5_,1.093998571,0.15753,6.944699876
LA16c-60H5.7,QNPbyTAP_FC5_,1.367184286,0.198245,6.896437669
RP11-329B9.3,QNPbyTAP_FC5_,2.344148571,0.339946,6.895649813
TNRC18P3,QNPbyTAP_FC5_,1.284231429,0.186575,6.883191363
RP11-1094M14.14,QNPbyTAP_FC5_,0.326672857,0.04756975,6.867239309
LL22NC03-2H8.5,QNPbyTAP_FC5_,1.418125714,0.20659375,6.864320505
RP11-76E16.2,QNPbyTAP_FC5_,0.902875714,0.13157,6.862322066
SRGAP1,QNPbyTAP_FC5_,0.902932857,0.131633,6.859471843
CTD-2013N17.6,QNPbyTAP_FC5_,2.154052857,0.315710125,6.822881772
NCR3LG1,QNPbyTAP_FC5_,-1.470722857,-0.2161925,6.802839401
MAATS1,QNPbyTAP_FC5_,0.268628571,0.039559375,6.790516064
GOLGA2P5,QNPbyTAP_FC5_,1.387464286,0.2045875,6.781764701
MAGI2-AS3,QNPbyTAP_FC5_,2.1301,0.3153625,6.754449245
RN7SL356P,QNPbyTAP_FC5_,1.579695714,0.2346025,6.733499065
DPPA4,QNPbyTAP_FC5_,-1.846742857,-0.27495,6.71664978
MTND6P3,QNPbyTAP_FC5_,1.50132,0.2237425,6.710034973
KIAA0922,QNPbyTAP_FC5_,2.392942857,0.3567275,6.708041452
AC002310.12,QNPbyTAP_FC5_,0.369464,0.05514775,6.699529899
RP5-1132H15.3,QNPbyTAP_FC5_,0.561339143,0.08398725,6.683623322
IER3,QNPbyTAP_FC5_,0.978558571,0.14660375,6.67485362
ROBO3,QNPbyTAP_FC5_,1.730797143,0.25936,6.673338768
RP11-378J18.9,QNPbyTAP_FC5_,0.936925714,0.140993125,6.645187234
GIN1,QNPbyTAP_FC5_,1.371414286,0.20765,6.604451171
MOB3B,QNPbyTAP_FC5_,1.699594286,0.2582125,6.582153404
CPPED1,QNPbyTAP_FC5_,-0.650682857,-0.09911875,6.564679812
RNASEH1P2,QNPbyTAP_FC5_,-0.164108,-0.025045,6.552525454
RP11-932O9.10,QNPbyTAP_FC5_,-1.283514286,-0.1959475,6.550296818
HAPLN3,QNPbyTAP_FC5_,1.327668571,0.203365,6.528500831
