"GeneHu","Category"
"ADAT2","PSVZbyQSVZ_Morizur_FC5_"
"ADCK2","QSVZbyPSVZ_Morizur_FC5_"
"ADCK5","PSVZbyQSVZ_Morizur_FC5_"
"ADCY2","QSVZbyPSVZ_Morizur_FC5_"
"ADCY3","PSVZbyQSVZ_Morizur_FC5_"
"ADCY5","QSVZbyPSVZ_Morizur_FC5_"
"ADCY6","PSVZbyQSVZ_Morizur_FC5_"
"ADCY8","QSVZbyPSVZ_Morizur_FC5_"
"ADCY9","QSVZbyPSVZ_Morizur_FC5_"
"ADCYAP1R1","QSVZbyPSVZ_Morizur_FC5_"
"ADGB","PSVZbyQSVZ_Morizur_FC5_"
"ADH5","PSVZbyQSVZ_Morizur_FC5_"
"ADNP","PSVZbyQSVZ_Morizur_FC5_"
"ADNP2","PSVZbyQSVZ_Morizur_FC5_"
"ADORA2B","QSVZbyPSVZ_Morizur_FC5_"
"ADPRHL2","PSVZbyQSVZ_Morizur_FC5_"
"ADRA1B","PSVZbyQSVZ_Morizur_FC5_"
"ADSL","PSVZbyQSVZ_Morizur_FC5_"
"ADSS","PSVZbyQSVZ_Morizur_FC5_"
"AEN","PSVZbyQSVZ_Morizur_FC5_"
"AFAP1","QSVZbyPSVZ_Morizur_FC5_"
"AFF1","PSVZbyQSVZ_Morizur_FC5_"
"AFF3","PSVZbyQSVZ_Morizur_FC5_"
"AFMID","PSVZbyQSVZ_Morizur_FC5_"
"AGAP1","PSVZbyQSVZ_Morizur_FC5_"
"AGGF1","PSVZbyQSVZ_Morizur_FC5_"
"AGL","QSVZbyPSVZ_Morizur_FC5_"
"AGMO","QSVZbyPSVZ_Morizur_FC5_"
"AGO1","PSVZbyQSVZ_Morizur_FC5_"
"AGO2","PSVZbyQSVZ_Morizur_FC5_"
"AGO4","QSVZbyPSVZ_Morizur_FC5_"
"AGPAT3","QSVZbyPSVZ_Morizur_FC5_"
"AGPAT5","QSVZbyPSVZ_Morizur_FC5_"
"AGPS","PSVZbyQSVZ_Morizur_FC5_"
"AGT","QSVZbyPSVZ_Morizur_FC5_"
"AGTPBP1","PSVZbyQSVZ_Morizur_FC5_"
"AGTRAP","QSVZbyPSVZ_Morizur_FC5_"
"AHCTF1","PSVZbyQSVZ_Morizur_FC5_"
"AHCY","PSVZbyQSVZ_Morizur_FC5_"
"AHI1","PSVZbyQSVZ_Morizur_FC5_"
"AHRR","PSVZbyQSVZ_Morizur_FC5_"
"AHSA1","PSVZbyQSVZ_Morizur_FC5_"
"MYORG","QSVZbyPSVZ_Morizur_FC5_"
"C11orf87","QSVZbyPSVZ_Morizur_FC5_"
"C6orf132","PSVZbyQSVZ_Morizur_FC5_"
"AIDA","PSVZbyQSVZ_Morizur_FC5_"
"AIF1L","PSVZbyQSVZ_Morizur_FC5_"
"AIFM2","QSVZbyPSVZ_Morizur_FC5_"
"AIM2","PSVZbyQSVZ_Morizur_FC5_"
"AIMP1","PSVZbyQSVZ_Morizur_FC5_"
"AJAP1","QSVZbyPSVZ_Morizur_FC5_"
"AK1","QSVZbyPSVZ_Morizur_FC5_"
"AK2","PSVZbyQSVZ_Morizur_FC5_"
"AK4","QSVZbyPSVZ_Morizur_FC5_"
"TAF9","PSVZbyQSVZ_Morizur_FC5_"
"AKAP10","PSVZbyQSVZ_Morizur_FC5_"
"AKAP12","PSVZbyQSVZ_Morizur_FC5_"
"AKAP6","PSVZbyQSVZ_Morizur_FC5_"
"AKAP8L","PSVZbyQSVZ_Morizur_FC5_"
"AKIP1","PSVZbyQSVZ_Morizur_FC5_"
"AKIRIN2","PSVZbyQSVZ_Morizur_FC5_"
"AKR1B1","PSVZbyQSVZ_Morizur_FC5_"
"AKR1E2","PSVZbyQSVZ_Morizur_FC5_"
"AKT1","PSVZbyQSVZ_Morizur_FC5_"
"AKT3","PSVZbyQSVZ_Morizur_FC5_"
"ALAD","PSVZbyQSVZ_Morizur_FC5_"
"ALAS1","PSVZbyQSVZ_Morizur_FC5_"
"ALDH16A1","PSVZbyQSVZ_Morizur_FC5_"
"ALDH18A1","PSVZbyQSVZ_Morizur_FC5_"
"ALDH1A1","QSVZbyPSVZ_Morizur_FC5_"
"ALDH1B1","PSVZbyQSVZ_Morizur_FC5_"
"ALDH1L1","QSVZbyPSVZ_Morizur_FC5_"
"ALDH3A2","QSVZbyPSVZ_Morizur_FC5_"
"ALDH6A1","QSVZbyPSVZ_Morizur_FC5_"
