"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"1700017B05Rik",3.67231531096876,4.96330052107511,7.29480307684253,4.91551473466418e-08,4.40266933097067e-06,8.4571561735416,"microgliaBYo",12.7490276241695
"Kcnk6",3.52759390771753,3.09563145297904,7.2444088106871,5.60942328764935e-08,4.92449489653439e-06,8.326516659726,"microgliaBYo",11.5321844156681
"Gpr84",4.74575287510829,2.04273624909044,7.2362146998399,5.73132914664562e-08,5.00934590820449e-06,8.30524679738725,"microgliaBYo",26.8295857635064
"Plau",3.81731120827059,3.97745621249088,7.23121094631131,5.80709272759718e-08,5.03805146716206e-06,8.2922544902894,"microgliaBYo",14.0969505554774
"Spint1",3.72945673805255,1.19110498501402,7.21568539184523,6.04871636215626e-08,5.20683860233396e-06,8.25192383135959,"microgliaBYo",13.2641170501233
"Tspan33",2.61806336058526,2.13461401745669,7.19806045162988,6.33543396797263e-08,5.37006918289113e-06,8.20610604280482,"microgliaBYo",6.1392540031358
"Fmnl3",3.19934620076036,3.11878855808441,7.16748298486303,6.86605814141693e-08,5.73199261368176e-06,8.12653264514408,"microgliaBYo",9.18542325478251
"Cxxc5",2.97299646058222,3.04527425725927,7.15224994720468,7.14704934692065e-08,5.87785028631694e-06,8.08685122314114,"microgliaBYo",7.85165324804922
"Rcan1",2.54952456194273,2.98090585581357,7.1002764344961,8.19683132918769e-08,6.57199259175198e-06,7.95126556869147,"microgliaBYo",5.85441315248713
"Icosl",3.10657787135224,3.60164187549443,7.0590020646407,9.1412839662811e-08,7.24848118946368e-06,7.84337648550507,"microgliaBYo",8.61337039203367
"Fam105a",3.35646994209201,3.56177121581799,7.04758201547409,9.42163010122568e-08,7.39130222444737e-06,7.81349181160373,"microgliaBYo",10.242315089273
"Ch25h",3.48371297339013,1.59646066706205,7.02428039589461,1.00210566621917e-07,7.77880128202337e-06,7.75247034914671,"microgliaBYo",11.186702827117
"Gadd45b",2.67396141922735,6.54392626082176,7.01522797961038,1.0264249871939e-07,7.9397202768149e-06,7.7287482043799,"microgliaBYo",6.38179125334717
"Tmem173",3.85665167735014,5.10823002712961,6.99664934830559,1.07823146250321e-07,8.1690803578625e-06,7.68003441853894,"microgliaBYo",14.4866456667643
"Hspa1b",3.83945835868016,7.33508188595378,6.99127505621064,1.09370732926077e-07,8.24588784828249e-06,7.66593587621737,"microgliaBYo",14.3150257333312
"Spry1",3.6379698226167,4.4430543709608,6.98680466437225,1.10675209099837e-07,8.29989034208707e-06,7.65420618656334,"microgliaBYo",12.4491024197047
"Golm1",3.40485470364357,3.09865179455754,6.96594434139438,1.16974435826102e-07,8.57758785485639e-06,7.59944314803325,"microgliaBYo",10.5916445262871
"Fam110a",2.94762059780495,3.72416524650573,6.96334483101365,1.17784524449848e-07,8.59982519605275e-06,7.59261557645036,"microgliaBYo",7.71475637119678
"Ccrl2",4.95175321776481,5.46593581390174,6.95632154679851,1.20001807438938e-07,8.70426224908732e-06,7.5741654204715,"microgliaBYo",30.9475483183226
"Ldhb",3.62187223080809,5.22218356620741,6.94439842086042,1.2386351641863e-07,8.92583900237576e-06,7.54283133448209,"microgliaBYo",12.3109674185816
"Ly86",2.45360597834848,3.6288172285374,6.92793374345396,1.29404572083539e-07,9.29486152014331e-06,7.499537165104,"microgliaBYo",5.47783563648035
"Gatm",3.17396443706261,5.03874460541336,6.87957951540521,1.47177536768289e-07,1.02390208991348e-05,7.37222366303815,"microgliaBYo",9.02523462171968
"Gm42944",2.92677246520741,1.41767495526678,6.8581926014379,1.55810628296388e-07,1.06061493224646e-05,7.31583549297177,"microgliaBYo",7.60407343805912
