PSID Gene Module kTotal kWithin kOut kDiff rank
ADGRL4 ADGRL4 lightgreen 22.1034752515348 4.12054535742284 17.9829298941119 -13.8623845366891 28
CDH5 CDH5 lightgreen 20.2906770174514 4.10179705728814 16.1888799601632 -12.0870829028751 29
USHBP1 USHBP1 lightgreen 21.8215237888306 3.98274066774042 17.8387831210902 -13.8560424533497 30
ARHGEF15 ARHGEF15 lightgreen 18.6631989109809 3.9342239950674 14.7289749159135 -10.7947509208461 31
ICAM2 ICAM2 lightgreen 19.3907847507142 3.89051043833103 15.5002743123831 -11.6097638740521 32
ENG ENG lightgreen 20.0184647015593 3.85895071904895 16.1595139825103 -12.3005632634614 33
GIMAP6 GIMAP6 lightgreen 21.0211022235561 3.85625389006585 17.1648483334902 -13.3085944434244 34
TINAGL1 TINAGL1 lightgreen 19.6973669517456 3.79765349775152 15.899713453994 -12.1020599562425 35
COBLL1 COBLL1 lightgreen 23.8324648253001 3.79292405967498 20.0395407656251 -16.2466167059501 36
ABCG2 ABCG2 lightgreen 19.7634698985867 3.75787984466056 16.0055900539261 -12.2477102092656 37
RGS5 RGS5 lightgreen 22.3983150015438 3.74263763872864 18.6556773628152 -14.9130397240865 38
ADCY4 ADCY4 lightgreen 19.3703664160219 3.58611496184803 15.7842514541739 -12.1981364923259 39
CLDN5 CLDN5 lightgreen 18.5434864071553 3.52771416692327 15.015772240232 -11.4880580733088 40
PAPSS2 PAPSS2 lightgreen 26.6371173873568 3.50417256892781 23.132944818429 -19.6287722495012 41
ATP10A ATP10A lightgreen 21.4683996667448 3.48393982265235 17.9844598440924 -14.5005200214401 42
EGFL7 EGFL7 lightgreen 21.884860506174 3.35745131968113 18.5274091864929 -15.1699578668117 43
GIMAP7 GIMAP7 lightgreen 18.6068964620537 3.34598154411115 15.2609149179425 -11.9149333738314 44
DOCK6 DOCK6 lightgreen 23.476381963032 3.30876714745217 20.1676148155798 -16.8588476681276 45
KIF26A KIF26A lightgreen 22.1529000353629 3.27423105292291 18.87866898244 -15.6044379295171 46
NOTCH4 NOTCH4 lightgreen 16.8889714987217 3.24405961589175 13.64491188283 -10.4008522669382 47
PKN3 PKN3 lightgreen 22.9183384109455 3.19046675542429 19.7278716555212 -16.5374049000969 48
FLT1 FLT1 lightgreen 20.6471935269541 3.13572465184667 17.5114688751074 -14.3757442232607 49
PTPRB PTPRB lightgreen 19.3108660222938 3.06845003676255 16.2424159855313 -13.1739659487687 50
RAMP2 RAMP2 lightgreen 20.7997300432456 3.05567863071792 17.7440514125277 -14.6883727818097 51
MARVELD2 MARVELD2 lightgreen 17.6802392283665 3.04631770736817 14.6339215209984 -11.5876038136302 52
SRARP SRARP lightgreen 20.635993071604 3.03932329388079 17.5966697777232 -14.5573464838424 53
TEK TEK lightgreen 21.130502389281 2.92481505089417 18.2056873383868 -15.2808722874926 54
STARD8 STARD8 lightgreen 18.9503432968698 2.92370425800325 16.0266390388666 -13.1029347808633 55
SLC38A5 SLC38A5 lightgreen 22.3276051358422 2.90265559998334 19.4249495358588 -16.5222939358755 56
GIMAP4 GIMAP4 lightgreen 25.2969746612376 2.88922591910095 22.4077487421366 -19.5185228230357 57
ELOVL7 ELOVL7 lightgreen 20.6193327818112 2.87855746771188 17.7407753140994 -14.8622178463875 58
AFAP1L2 AFAP1L2 lightgreen 23.3967996763346 2.87051623341622 20.5262834429183 -17.6557672095021 59
ST6GALNAC1 ST6GALNAC1 lightgreen 18.4638219001246 2.82996329719334 15.6338586029313 -12.803895305738 60
GIMAP8 GIMAP8 lightgreen 22.3675262416077 2.82837473896869 19.539151502639 -16.7107767636703 61
ZNF366 ZNF366 lightgreen 22.7656684800157 2.82214291141211 19.9435255686036 -17.1213826571915 62
LEF1 LEF1 lightgreen 19.0858626703385 2.82168937686349 16.264173293475 -13.4424839166115 63
PDGFRB PDGFRB lightgreen 28.8902108480257 2.8003677878892 26.0898430601365 -23.2894752722473 64
AC093278.2 AC093278.2 lightgreen 17.6336602881849 2.79233759430416 14.8413226938807 -12.0489850995766 65
FGD5 FGD5 lightgreen 30.5251974588916 2.7706591382506 27.754538320641 -24.9838791823904 66
SOX17 SOX17 lightgreen 16.3989066506024 2.75362329073124 13.6452833598711 -10.8916600691399 67
TGM2 TGM2 lightgreen 19.032499166777 2.70678733595638 16.3257118308207 -13.6189244948643 68
PLAT PLAT lightgreen 16.4992195717346 2.68952066891946 13.8096989028151 -11.1201782338957 69
SEMA3G SEMA3G lightgreen 18.4825495943256 2.67116746486467 15.8113821294609 -13.1402146645962 70
NOS3 NOS3 lightgreen 16.6036092120247 2.65188023632396 13.9517289757008 -11.2998487393768 71
LAMA5 LAMA5 lightgreen 20.5433162115118 2.59174201758627 17.9515741939256 -15.3598321763393 72
SLC7A1 SLC7A1 lightgreen 23.1620810399106 2.57825430846852 20.5838267314421 -18.0055724229736 73
ST8SIA6 ST8SIA6 lightgreen 22.8429436147788 2.5507866005328 20.292157014246 -17.7413704137132 74
LIMS2 LIMS2 lightgreen 19.9591021699607 2.52258741505608 17.4365147549046 -14.9139273398485 75
RASIP1 RASIP1 lightgreen 17.3664165976283 2.50178845469681 14.8646281429315 -12.3628396882347 76
ITM2A ITM2A lightgreen 16.8760661951062 2.4601801430491 14.4158860520571 -11.955705909008 77
TCN2 TCN2 lightgreen 21.2402100765733 2.44306341975061 18.7971466568227 -16.354083237072 78
JAG2 JAG2 lightgreen 20.0395148965574 2.44027435970117 17.5992405368562 -15.1589661771551 79
TBC1D4 TBC1D4 lightgreen 22.7427348911544 2.42787230172847 20.3148625894259 -17.8869902876974 80
SOX18 SOX18 lightgreen 17.2755430550313 2.36776064174629 14.907782413285 -12.5400217715387 81
CCM2L CCM2L lightgreen 16.6134415032362 2.30870189472794 14.3047396085082 -11.9960377137803 82
RASSF3 RASSF3 lightgreen 31.3898362980296 2.29329630699732 29.0965399910323 -26.803243684035 83
SLC19A1 SLC19A1 lightgreen 22.3971565302277 2.20785161139517 20.1893049188325 -17.9814533074373 84
ANXA3 ANXA3 lightgreen 20.9068048240184 2.20634214471273 18.7004626793057 -16.4941205345929 85
SLC12A7 SLC12A7 lightgreen 18.6450204752151 2.18285563574747 16.4621648394676 -14.2793092037201 86
HIGD1B HIGD1B lightgreen 19.024368717214 2.18275330773002 16.841615409484 -14.658862101754 87
FGR FGR lightgreen 18.3428917423627 2.16472193228499 16.1781698100777 -14.0134478777927 88
CXCL12 CXCL12 lightgreen 17.5532528737049 2.15121916456907 15.4020337091358 -13.2508145445667 89
LINC02185 LINC02185 lightgreen 17.2916311403565 2.13392921626302 15.1577019240934 -13.0237727078304 90
RNF144B RNF144B lightgreen 23.8476752245021 2.10612490896614 21.7415503155359 -19.6354254065698 91
SLCO4A1 SLCO4A1 lightgreen 16.2997903595681 2.09346295100119 14.2063274085669 -12.1128644575657 92
SYDE1 SYDE1 lightgreen 19.7044492212179 2.09002978875992 17.614419432458 -15.5243896436981 93
SCARF1 SCARF1 lightgreen 15.8111983838196 2.08323146032529 13.7279669234943 -11.644735463169 94
HYAL2 HYAL2 lightgreen 14.2842155900964 2.08251256831649 12.20170302178 -10.1191904534635 95
SLC7A5 SLC7A5 lightgreen 17.0370708608699 2.02484097038949 15.0122298904804 -12.987388920091 96
BTNL9 BTNL9 lightgreen 20.4794808196766 2.02293365147352 18.4565471682031 -16.4336135167295 97
RBMS2 RBMS2 lightgreen 19.8336177049136 1.9795479191643 17.8540697857493 -15.874521866585 98
CAVIN2 CAVIN2 lightgreen 15.6084533546726 1.94096388686465 13.667489467808 -11.7265255809433 99
SMAD6 SMAD6 lightgreen 17.3964038150703 1.9374005952766 15.4590032197937 -13.5216026245171 100
PTP4A3 PTP4A3 lightgreen 21.6405570456926 1.93636729666917 19.7041897490234 -17.7678224523542 101
TNFRSF10A TNFRSF10A lightgreen 17.561101096927 1.93382831350272 15.6272727834243 -13.6934444699216 102
FOXF2 FOXF2 lightgreen 19.1493718886634 1.91296619512871 17.2364056935347 -15.323439498406 103
CXorf36 CXorf36 lightgreen 18.4413762991126 1.90740210533601 16.5339741937766 -14.6265720884406 104
NBEAL2 NBEAL2 lightgreen 18.4236350408613 1.87863125850185 16.5450037823595 -14.6663725238576 105
