PSID Gene Module kTotal kWithin kOut kDiff rank
EEF1A1P28 EEF1A1P28 grey60 17.0765075102647 3.44172109137185 13.6347864188929 -10.193065327521 31
AC074051.2 AC074051.2 grey60 19.5256239885971 3.40981614644525 16.1158078421519 -12.7059916957066 32
GAPDHP31 GAPDHP31 grey60 15.1261571698901 3.40165102202721 11.7245061478629 -8.32285512583568 33
AC113347.2 AC113347.2 grey60 20.7567325947504 3.36658700182833 17.390145592922 -14.0235585910937 34
AL512430.3 AL512430.3 grey60 20.3830536409085 3.30036820476195 17.0826854361466 -13.7823172313847 35
AC110768.2 AC110768.2 grey60 19.197824237492 3.27215561403724 15.9256686234548 -12.6535130094175 36
RNY4P18 RNY4P18 grey60 15.3063746496478 3.23357674587435 12.0727979037734 -8.83922115789906 37
FTH1P21 FTH1P21 grey60 22.0884054885203 3.16002056112521 18.9283849273951 -15.7683643662699 38
HNRNPA1P21 HNRNPA1P21 grey60 16.3811387008605 3.05454061778694 13.3265980830735 -10.2720574652866 39
AC004022.1 AC004022.1 grey60 16.2464340919645 2.93062812067132 13.3158059712932 -10.3851778506218 40
GMCL1P2 GMCL1P2 grey60 15.429282166841 2.92643487128179 12.5028472955593 -9.57641242427747 41
MRPS21P6 MRPS21P6 grey60 14.636610196295 2.80317045031655 11.8334397459785 -9.03026929566191 42
RPL32P35 RPL32P35 grey60 18.6221479467594 2.77640242770399 15.8457455190554 -13.0693430913514 43
FAM239B FAM239B grey60 15.7241481871404 2.74562283270907 12.9785253544313 -10.2329025217223 44
AL359792.1 AL359792.1 grey60 16.1039641914139 2.70630376334217 13.3976604280718 -10.6913566647296 45
AL591222.3 AL591222.3 grey60 15.2002738493958 2.68406778438759 12.5162060650082 -9.8321382806206 46
OR2F2 OR2F2 grey60 22.9837463991234 2.67295532347037 20.310791075653 -17.6378357521826 47
RPL39P25 RPL39P25 grey60 12.4816504529564 2.64718695934371 9.83446349361267 -7.18727653426897 48
AC126182.1 AC126182.1 grey60 17.1696066434275 2.62802863750476 14.5415780059227 -11.913549368418 49
RN7SL658P RN7SL658P grey60 15.8941726428538 2.60110873652617 13.2930639063276 -10.6919551698014 50
AL356274.1 AL356274.1 grey60 18.8032556939023 2.48606024657082 16.3171954473315 -13.8311352007607 51
RNU6-934P RNU6-934P grey60 14.4493509769283 2.47323675710024 11.976114219828 -9.50287746272777 52
LINC00456 LINC00456 grey60 25.7054168280594 2.47071963500026 23.2346971930592 -20.7639775580589 53
AC092747.3 AC092747.3 grey60 15.6416008013909 2.40924577638174 13.2323550250091 -10.8231092486274 54
CYP4A27P CYP4A27P grey60 13.2484628050878 2.38492448553625 10.8635383195515 -8.4786138340153 55
C1DP3 C1DP3 grey60 13.0213344781149 2.3683080276802 10.6530264504348 -8.28471842275455 56
AL451107.1 AL451107.1 grey60 14.4412942495187 2.351676456174 12.0896177933447 -9.73794133717072 57
MTCO2P20 MTCO2P20 grey60 15.3943900442297 2.34609771938401 13.0482923248456 -10.7021946054616 58
AC009237.5 AC009237.5 grey60 15.773934663536 2.32629383249703 13.447640831039 -11.121346998542 59
LINC01832 LINC01832 grey60 24.3384000802666 2.3227546495192 22.0156454307474 -19.6928907812282 60
