PSID Gene Module kTotal kWithin kOut kDiff rank
SMC1A SMC1A HuAgeMSNDsplitRnaseq_01 34.0337614717624 17.116034003247 16.9177274685154 0.19830653473165 77
ETF1 ETF1 HuAgeMSNDsplitRnaseq_01 33.3575256765105 17.0759225030734 16.2816031734371 0.794319329636359 78
GPAT4 GPAT4 HuAgeMSNDsplitRnaseq_01 34.2736481379627 16.9932747231336 17.2803734148291 -0.287098691695533 79
LRRC47 LRRC47 HuAgeMSNDsplitRnaseq_01 31.5172576609961 16.922410277614 14.5948473833821 2.32756289423189 80
STARD7 STARD7 HuAgeMSNDsplitRnaseq_01 32.7318464471137 16.8852692588286 15.8465771882851 1.03869207054345 81
USP9X USP9X HuAgeMSNDsplitRnaseq_01 43.037355577147 16.8605012064488 26.1768543706982 -9.31635316424935 82
GDI2 GDI2 HuAgeMSNDsplitRnaseq_01 34.4080438063972 16.7360758618297 17.6719679445675 -0.935892082737787 83
PCIF1 PCIF1 HuAgeMSNDsplitRnaseq_01 32.8301484355135 16.6703223781447 16.1598260573688 0.510496320775829 84
TNIP1 TNIP1 HuAgeMSNDsplitRnaseq_01 36.0991184404463 16.6456502633369 19.4534681771094 -2.8078179137725 85
PPM1G PPM1G HuAgeMSNDsplitRnaseq_01 30.1937390456347 16.6080323556617 13.5857066899729 3.02232566568879 86
KEAP1 KEAP1 HuAgeMSNDsplitRnaseq_01 33.1954702056039 16.5976291144559 16.597841091148 -0.000211976692114035 87
DHX8 DHX8 HuAgeMSNDsplitRnaseq_01 32.5982468544265 16.5775980398656 16.020648814561 0.556949225304614 88
KPNA6 KPNA6 HuAgeMSNDsplitRnaseq_01 39.304124086963 16.5558978702174 22.7482262167456 -6.19232834652814 89
BAZ1B BAZ1B HuAgeMSNDsplitRnaseq_01 31.5973521503772 16.4833963559677 15.1139557944094 1.36944056155829 90
PSMA7 PSMA7 HuAgeMSNDsplitRnaseq_01 33.6188156735154 16.3913949991516 17.2274206743638 -0.836025675212255 91
BECN1 BECN1 HuAgeMSNDsplitRnaseq_01 31.0752475477913 16.2677798727189 14.8074676750724 1.46031219764641 92
