GSM1294118	GSM1294119	GSM1294120	GSM1294121	GSM1294122	GSM1294123	GSM1294124	GSM1294125	GSM1294126	GSM1294127	GSM1294128	GSM1294129	GSM1294130
A_23_P101025	5.452064605	2.359803104	6.158582424	5.651577569	5.633230951	NA	NA	5.535422516	4.896916993	5.320044871	5.360833392	4.839398822	5.178080385
A_23_P101093	6.66063774	4.962371798	6.519630592	7.243494864	7.407674806	6.438374533	7.480137459	6.480192081	5.914722369	4.528179338	6.037880314	6.54876027	6.919293597
A_23_P101111	6.49124383	5.027545112	7.51496569	6.977684051	6.721953613	7.204752081	7.67320447	7.037171338	6.10988246	6.420600466	6.056899083	6.629130289	6.039453839
A_23_P101121	6.666400134	6.480831876	7.464477136	7.572191641	6.540198263	7.439604023	8.072023242	7.287632971	6.310391748	4.98868196	6.908235282	6.908473085	7.480471137
A_23_P101131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101185	8.174963122	9.329119335	9.999124819	9.846593917	9.109559324	9.1014166	9.409012603	9.302673192	7.097056618	9.344684495	8.903343219	9.439751736	7.551147607
A_23_P101208	9.092294136	7.873202925	9.91820702	10.16670666	9.580516741	9.510794426	10.0991479	9.869637177	7.882871051	9.061603139	8.997551823	9.465147003	8.60900989
A_23_P10121	8.505733761	5.405687796	7.207384345	7.176608012	7.030561206	6.465937581	7.809928223	6.45423052	4.80805034	6.563583736	6.343762056	7.187250116	4.464819847
A_23_P101237	6.194945525	5.737619708	7.331614759	7.119350989	6.532106369	7.036838473	7.617251458	6.962974643	5.033624744	6.731982857	6.798496426	7.110743246	6.320445686
A_23_P101240	10.60865218	9.27906497	9.032344432	11.75198584	9.514936703	9.411134482	12.07070025	11.35283299	10.05101856	10.61793666	10.92886106	9.866765055	9.051163253
A_23_P101246	4.340503164	4.301471319	7.138065942	5.199504315	6.068394153	6.744649537	6.501670181	5.919720254	3.715851648	6.725400344	6.268250976	7.453260755	5.272122502
A_23_P10127	8.817362641	7.447692419	8.519309939	8.381500124	8.276630656	8.203407227	9.217395046	7.842640739	6.324366352	7.42983436	7.64919006	8.415591365	6.394673274
A_23_P101272	7.662786563	5.909048695	8.13353373	8.428722371	8.177925265	8.618104278	8.745990556	8.06053112	7.839239698	7.560967098	7.598915997	7.62513165	8.399104
A_23_P101281	6.848003168	4.915095391	6.485672032	6.833082361	6.329604235	6.66890767	6.971742414	6.865499452	5.454157794	4.810706323	5.046159684	5.241393275	5.643332108
A_23_P101297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101303	8.179293077	7.246159129	10.03805201	9.286546673	9.232520461	9.236426366	8.66514473	9.234252455	7.741104919	7.973653174	8.266701288	8.641286266	8.630789495
A_23_P101308	4.087815834	3.077523135	7.119352027	5.323863614	5.408568875	5.915534525	5.291963377	6.452708594	3.704008745	4.919222316	4.509092799	6.064130965	5.570482665
A_23_P101319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101321	5.207509878	4.083544427	5.588161134	6.227075439	5.660205879	5.720716516	6.237414959	5.894174348	2.907364299	4.5501816	4.857245531	5.183189926	5.960042721
A_23_P101342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101351	5.962756528	3.221378005	6.667090248	7.753436731	7.220060972	5.984555174	5.944154492	6.324884752	4.53718174	4.17430574	4.666252697	4.815487819	4.645361578
A_23_P101392	7.634806695	6.013269069	8.903970393	8.142555372	8.321482143	8.725636876	8.561223018	8.649558699	7.878168041	7.453541448	8.049710806	7.753179302	7.441360638
A_23_P1014	7.223091379	6.833915988	7.970593131	6.795052591	7.075586111	8.066895367	8.101363807	7.24368336	5.860280509	6.431235325	6.713768663	7.313846245	7.020224374
A_23_P101407	7.881126812	6.373987271	9.947470671	9.721938067	8.997384436	8.491483158	9.925044029	8.963306493	7.162787071	9.509528201	9.223984304	8.681787972	9.885477512
A_23_P101427	5.797967799	3.74006082	7.117466487	6.350185867	6.231581401	6.279827839	7.023155531	6.52732139	5.36995393	5.153331925	5.640743249	6.307108437	5.420129332
A_23_P101461	10.32904172	9.039277699	11.12699414	11.30600129	11.10438318	11.2727295	11.19010615	10.99225293	10.10764603	10.52932611	10.52713389	10.99603419	11.08315618
A_23_P101480	8.741561702	8.49336593	11.46299348	9.928704159	10.46990632	10.80530132	10.8080093	10.41733461	8.692225616	10.25360052	10.43878769	10.92935015	10.19568225
A_23_P101516	7.940794562	4.048853455	10.24483118	10.02022715	8.658724548	9.4798823	10.10334552	8.881271532	6.519778864	6.449832556	7.939300051	8.397282731	8.433286648
A_23_P101532	13.57270378	11.64166298	14.1139041	NA	14.12843261	13.74093283	14.60103428	13.80175483	13.00940754	13.22691022	12.85479068	13.50851655	13.56405539
A_23_P101551	6.516556214	4.940600903	7.221808463	9.670384855	8.329783335	7.296364712	7.578697992	7.36440259	7.013788281	5.871421322	6.350455345	6.712652178	6.799272554
A_23_P10156	6.06326499	3.694752071	6.969547691	6.660901528	6.63078491	5.897667845	6.698360184	6.682296586	5.662751535	5.121029496	5.621268597	5.999834982	4.901037265
A_23_P101615	6.568626212	5.97583857	7.561345232	8.233138858	6.994488082	7.179591662	7.540932391	6.619518949	5.527666851	6.080933898	6.276400259	6.798365519	6.049650805
A_23_P101623	3.979227849	NA	6.203133014	6.121518598	5.00850661	4.394968171	5.120507881	5.170363354	2.490360899	3.058684829	4.284038783	4.668420411	3.358707106
A_23_P101642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101655	7.653622564	5.072141396	7.994622715	8.75122335	8.24223283	7.560240346	7.203208989	7.885416958	6.69472561	5.861207033	6.181943149	6.66810352	6.394941256
A_23_P101671	9.393496859	9.255779945	12.05109132	11.43356823	11.58650159	11.33480456	11.14268402	11.2211424	9.335017126	10.19221513	10.57045439	11.7826334	9.801122756
A_23_P101699	5.830669086	4.204785527	NA	5.617584713	5.59523122	6.498177614	6.871010705	6.772738164	4.86407122	5.291723262	6.589937822	6.515109711	5.496856014
A_23_P101707	7.996602287	4.917196379	7.552154938	7.910559389	6.885170441	7.818618604	8.295997544	7.717992342	6.812344193	7.208620651	6.520027418	6.283226363	6.289219382
A_23_P101737	3.913260917	NA	5.142681365	5.180332882	4.673520243	4.556145508	5.14418386	4.838890267	3.765360764	4.214493982	3.543773013	3.940636607	4.941721861
A_23_P101742	7.728929988	5.081317469	9.183620495	9.161904809	9.125124386	8.826351454	9.051827495	8.514009397	6.995353359	8.505895692	7.555263231	8.097801971	8.360290963
A_23_P101761	8.166863041	6.041125338	8.834178689	8.163130363	7.33568601	7.44974954	7.598479103	8.516447402	7.042753761	5.622184805	6.767025733	8.036880772	7.012601076
A_23_P101796	3.827615814	3.037872233	5.052240677	5.708813243	5.254742553	4.379298648	4.704346347	4.92752815	3.098418379	4.713143702	3.551038527	4.917332453	3.444205882
A_23_P101806	6.604406302	3.759393422	7.784605403	7.726436165	6.361549062	6.825387509	7.458673185	7.223535497	5.893489873	4.654104962	5.908752154	5.409585093	5.822151935
A_23_P101811	5.445083398	4.52909192	5.905519625	7.026338633	5.960056162	5.6177281	6.344015687	6.28471178	3.896968321	4.838854979	4.632239129	5.511629328	4.424997982
A_23_P101829	1.960966465	NA	3.952547904	4.115502742	3.505583562	2.587845729	3.844754214	4.27368596	1.677196555	2.154681062	3.423393957	3.431449131	3.207958739
A_23_P101871	3.406829152	2.753710852	4.468541612	5.690737504	4.801349588	4.061180855	4.6306565	3.635602337	3.770669442	2.706389536	4.004797092	3.824533663	3.21260669
A_23_P101893	4.348544044	3.347057555	5.663791478	6.22861593	5.819642895	4.578892836	4.824993861	5.599851861	5.186437565	3.780913721	4.44269407	5.322715231	3.416219574
A_23_P101905	NA	NA	13.17100849	13.12044931	13.09158497	13.6068158	12.99422702	12.56328781	12.73770429	12.13155765	12.34766649	12.8968805	12.42541682
A_23_P101908	10.63800684	10.04136757	12.0901604	12.26344087	12.11054693	12.34054641	11.85260792	11.68756508	11.43621182	10.82141446	10.88516861	11.6384237	11.1064347
A_23_P10194	8.662721419	8.083891467	11.52375502	11.30996115	11.20572545	10.60441053	10.7835516	10.50778176	8.934402681	10.6935218	10.33460291	11.28730606	9.149163828
A_23_P101943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101960	10.7769133	8.389472166	10.99886047	11.33969693	11.24158221	10.92929836	11.43646274	10.96135129	10.86855945	9.764053998	10.75701908	9.912141605	10.36767902
A_23_P101972	5.485084146	4.107052575	5.974344146	7.101991424	5.836472558	5.582389505	6.052937073	5.957523468	4.213434385	3.88133376	5.096232753	5.701372729	5.530046077
A_23_P102000	7.061585697	6.36936079	7.47792005	7.463978608	7.186658225	7.147413554	9.297616604	7.495239612	5.937380765	5.70105464	6.94365648	7.192856268	5.918917033
A_23_P102017	12.03446232	11.00097391	11.32243013	NA	10.73115099	11.23174799	12.05510988	11.43033232	9.747848407	8.404433135	10.21041931	10.08089212	9.87869883
A_23_P102037	2.424089813	2.228788836	4.285100331	4.284802821	3.523540629	3.26559922	4.117089915	3.920619156	1.343265678	3.741197299	4.239983769	5.099018675	2.489662385
A_23_P102060	10.21230912	9.854253783	9.612411664	10.87032773	9.717954312	NA	10.54461386	9.773451125	9.222677551	8.166705404	8.764370706	8.370026492	8.846016539
A_23_P102071	3.019979042	8.19008343	5.376716849	7.03249321	4.347641564	3.11304984	3.068166725	3.449179687	5.382344235	3.300287172	4.233335903	5.051440406	4.820316842
A_23_P102109	8.220436373	8.787739023	NA	NA	10.59015006	11.41287412	11.47637814	10.86569771	7.58385601	11.61847727	10.93262225	11.74322546	10.56192942
A_23_P10211	7.259068122	6.08315783	11.68648346	7.622775183	8.979229679	10.49422758	10.28539297	8.145947935	6.247384502	8.840493447	9.497920079	10.25528474	7.815359598
A_23_P102113	3.559560337	3.318570213	5.230065025	5.429822144	5.235495781	4.641600938	4.837555781	4.431424392	3.052705065	3.964715602	2.978649055	4.574551447	4.567726138
A_23_P102117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102160	4.233133392	5.115955031	4.952961114	5.456275881	4.931504364	4.929790998	5.708339279	4.801412192	3.450909021	4.198169589	4.700838069	5.137376873	3.693427855
A_23_P102172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102183	6.076864541	4.591061807	7.121908518	7.317511202	6.043620977	6.481806857	6.96202145	6.564914659	4.712765791	6.115075704	6.32025775	7.337062554	5.757848665
A_23_P102192	7.411727058	4.964268775	7.648865178	7.437107865	7.211949602	7.187431258	7.377076885	6.756296114	6.127342937	4.607299536	5.257639019	5.820132489	6.484315073
A_23_P102202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102258	10.01475419	8.145961178	10.98802283	11.02031676	10.46352744	10.6370532	10.54924079	10.82783014	9.482168835	9.327940379	9.521097666	10.21910437	9.208512627
A_23_P102262	9.272623954	8.978693301	9.85391801	9.941639093	8.909017603	9.681769177	10.41010892	9.100377977	8.438370208	9.249623818	9.272065892	9.57746414	8.494151161
A_23_P102320	6.859446576	6.073447732	7.392179158	7.347562907	6.489609565	7.181945335	8.273023003	7.605755067	6.109039762	6.705380801	6.614542011	6.951003726	6.016980287
A_23_P102331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102351	NA	NA	5.669015424	5.187730935	4.77805189	5.006885486	5.368010141	5.123582605	3.51578687	4.62044272	4.414801239	5.090924971	4.483768708
A_23_P102364	6.621355057	6.063839201	8.211644987	8.586038861	8.106159846	7.690668512	8.49815511	8.205759045	6.60119731	7.506423428	7.340217754	7.539120028	7.183245317
A_23_P102391	5.876477164	5.796476278	6.070947191	6.873927596	6.649046316	5.441999963	7.311905402	6.416814245	5.322935466	5.164540526	6.351568086	5.708349489	4.971551831
A_23_P102412	6.619454389	6.800111701	7.964785017	8.155467935	7.272108128	7.46118392	7.541078025	7.644191577	5.821254837	7.11022646	7.31636481	8.502113758	6.303832246
A_23_P102420	10.93022284	10.50662991	12.43481168	11.79593331	11.02904423	11.95193742	12.37760695	12.13137019	10.29142744	12.35372329	11.6571505	12.44680468	10.37738191
A_23_P102439	3.744718686	NA	4.668095291	4.353049407	4.1291239	3.364300676	4.723754038	5.067407685	3.524090011	3.463390969	3.117188847	4.201258241	4.011109151
A_23_P102462	NA	NA	6.087313048	4.32640288	4.217227614	5.81086053	4.897519739	4.985125135	1.790122262	5.624197422	5.194817121	6.653723584	2.439547876
A_23_P102471	6.813455426	8.032404	8.366842584	7.664106853	7.345156336	7.512981307	8.430763137	7.567425507	5.266735839	7.12391308	7.861306923	8.755207064	6.652970706
A_23_P102508	7.270938146	4.617197378	7.702329243	6.752947911	7.553193828	6.927898823	7.566146155	7.228380045	5.548953498	5.526502056	6.449738812	7.013831819	6.203938176
A_23_P102517	6.937690428	5.321081706	7.770817156	8.402058294	7.581028804	7.144025969	7.701382017	7.542240248	5.524794307	6.699075449	7.434569852	8.113114952	6.096281042
A_23_P102523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102542	7.488710211	7.697212242	8.503701732	8.784886723	NA	8.039600132	8.474108674	8.436744018	6.48792153	7.578020136	7.843088789	8.057377161	6.494099546
A_23_P102571	10.55336626	8.659035084	10.50595641	10.50356241	10.98592019	10.41212416	11.50204611	10.46941288	10.69985871	8.602939325	9.794867125	10.05797548	11.33571414
A_23_P102575	8.293078446	NA	8.063827016	8.444510539	8.776761673	7.887706206	8.691509738	8.007562185	8.22630766	5.491257621	7.154081894	7.21108717	8.218762766
A_23_P102582	8.67269759	7.443047134	10.14782818	10.48447753	9.722186441	9.694566658	10.08799447	10.13916249	8.309941943	9.694877582	9.334111015	10.60662544	8.840628769
A_23_P102611	5.655787148	3.888677991	5.240513163	6.099738508	5.975228694	6.554536054	6.818994956	6.514602658	6.207524129	4.764321736	5.873287592	5.739104967	4.806182772
A_23_P102706	8.295996626	7.43444225	11.22959033	9.298191133	10.02046192	10.47182964	9.702723506	10.32217604	8.592184544	9.287652362	9.489253504	10.29685428	9.455483812
A_23_P102731	8.933479103	7.284505805	9.299684029	10.23885253	9.735405062	9.46737629	NA	8.961521466	9.098392712	8.088023368	8.401639852	8.410224912	9.233623511
A_23_P102743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102770	7.353313586	6.646394541	8.879289167	8.615163559	7.984717506	7.540268329	8.443562312	8.074889115	5.624461231	7.754127215	8.274202946	9.019536522	6.399860653
A_23_P102816	4.832710805	5.55791549	5.420685176	4.991515951	4.207558682	3.97816359	NA	NA	4.613850449	3.502554653	3.977967673	5.44063566	5.033974424
A_23_P102832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102876	8.487799043	8.517282781	10.75549601	9.828838615	9.458250544	9.396505887	9.925154584	9.860434288	7.038711621	10.1169664	9.79866539	10.41961895	8.629272825
A_23_P102884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102890	9.749535273	9.783578773	11.28253653	10.99060393	10.42178293	10.80254706	11.61266212	10.80768738	9.55844463	10.84502502	10.71440438	11.33522229	10.64123261
A_23_P102925	7.423244518	6.110678109	8.536354855	8.019952608	7.733007862	7.505823461	8.481508038	7.628893135	6.847346796	7.641712195	7.174192667	7.525707936	8.302238615
A_23_P102937	6.948107874	6.477277747	9.199850708	8.757900655	8.754613297	8.310875851	8.165404998	8.295378654	6.20136039	7.549040704	7.411294038	8.489742413	6.840993132
A_23_P102950	8.739897033	9.017222655	10.18361677	9.182358844	8.950377426	9.779113427	10.74493556	9.194123259	7.942197781	8.500698897	8.292175285	9.858320486	8.6072985
A_23_P102965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P102994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P103011	6.747219541	5.536045438	8.076084446	7.604110624	8.065740318	7.664566038	7.728554557	7.649904975	7.010244994	6.778125766	7.23003389	7.502505645	7.205327016
A_23_P103062	6.291056661	4.44590544	7.150159549	7.378131825	7.086527969	6.41876745	6.88245353	6.945834745	5.316091785	6.07481838	6.203048812	6.288400831	5.401324298
A_23_P103070	8.497036674	8.744528452	11.70720554	10.29509391	10.5263711	10.42463976	10.34370872	9.884928002	7.080898519	9.8893768	10.74771802	11.65056757	8.699760521
A_23_P103084	3.453442512	2.170701924	5.577883168	4.184972114	3.693891692	4.739393409	4.98371326	4.118736798	2.75268095	3.214201757	4.336074825	5.067734217	3.590374466
A_23_P103099	4.15069208	2.461793344	7.845673199	5.751515138	5.779076614	6.313863473	6.154064066	5.797366084	2.931712175	6.691127931	6.569038204	7.30669424	4.25629513
A_23_P103110	5.142555985	4.661417272	NA	6.866190902	4.054943091	4.542363307	5.935560403	4.621465248	4.399266131	7.910058639	3.564965859	4.261726371	4.47442501
A_23_P103120	8.446461783	6.413793258	8.35476597	8.91443357	8.670018136	8.375544286	9.024496991	8.64262288	8.003376236	7.208375816	7.740574801	8.022317873	7.842075608
A_23_P103131	8.553511416	6.327585517	9.628666439	9.298263087	8.771251091	9.120374233	9.513992033	9.185299165	7.997641295	9.002698583	8.737957106	9.724946085	8.383195372
A_23_P103149	10.7863358	9.727420358	12.48595431	12.02446063	NA	12.09328187	12.14666509	11.8584442	10.7614781	11.46338081	11.58779205	12.36507434	10.98555166
A_23_P103180	7.479697014	4.076718132	7.627933625	7.352849432	6.514165193	7.200813291	7.597101311	6.646488149	5.839059637	5.354831192	5.280324625	5.583870448	5.66359539
A_23_P103201	7.848005047	7.938298732	8.225947758	9.046297876	8.363825504	7.635894389	8.76071396	7.676074137	6.7015047	7.043189185	7.898815395	8.189173223	6.834693521
A_23_P103226	5.219627786	2.486974061	5.926066806	5.241252539	5.558574388	5.462856901	6.098681676	5.362912028	4.008920679	3.437905508	4.577014239	5.129054641	4.165056517
A_23_P103232	9.961528556	8.764480186	11.0852228	11.64384627	10.87660443	11.25567598	10.8451858	11.03140967	10.56765477	10.65631491	10.42403398	11.14601045	10.89972548
A_23_P103248	6.493119867	4.260102457	6.804889931	7.656255377	6.953319956	6.708670077	6.851714067	6.404359387	5.656975664	4.641892211	6.107685777	6.057687453	3.915719748
A_23_P103256	6.780450529	3.777638536	4.894438006	7.383086479	5.797503048	4.659115669	5.578056226	5.607298352	4.963117568	2.490485928	4.209172598	3.530470325	4.324737171
A_23_P103276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P103282	10.41332434	9.063224914	11.13730563	11.28078179	10.64571967	10.59410529	11.05872574	10.80663662	8.981713684	10.73255752	10.33314305	11.05432348	8.338225612
