GSM509547	GSM509548	GSM509549	GSM509550	GSM509551	GSM509552	GSM509553	GSM509554	GSM509555	GSM509556	GSM509557	GSM509558
200008_s_at	115.1	119.6	59.4	69.5	85.9	51.2	63.3	62.3	54	140.3	109.3	102.6
200009_at	839.6	778.5	834.4	706.3	692	715.7	658.3	750.1	848.5	302.2	529.3	722.9
200010_at	1358.5	1598.3	1632.1	2005.7	1396.1	1513.2	1658.4	1165.7	2028.5	234.3	1805.6	1739.6
200011_s_at	521	847.5	768.5	814.2	729.2	926.2	605.5	905.9	860.6	319.3	767.5	712.9
200012_x_at	3489.7	5011.4	4387.2	5315.3	4988.3	5737.4	5179.6	4880.5	6217.2	1337.2	8933.9	6010.7
200013_at	2041.2	1969.2	2485.4	2272.7	2265.1	2545	2600.9	2239.9	2862.6	906.2	2685.1	2562.1
200014_s_at	311.9	230.4	346.2	279.3	406.3	346.6	372.6	346	316.9	141.5	236.3	235.5
200015_s_at	925.8	1284.2	1041.2	1781	1536.4	1286.3	1053.9	1020.7	1469.9	732.1	1218.7	1289.1
200016_x_at	2848.5	3238.3	2528.1	3735.5	4185.1	3359.5	3360.1	2477.3	3758.9	1835.1	5452.8	4118.6
200017_at	1279.4	1960.1	1777.1	1981.9	1618.5	1521.5	2616.6	1114.8	3019	762.5	2183.3	1767.1
200018_at	3460.4	3418.5	3621.4	3643.3	4013.4	4004.3	4689.4	3561.2	4475.2	1332	5432	3708.7
200019_s_at	2357.1	2304.8	2362	3508.8	3803.8	3240.2	3656	3111.2	4025.1	3961.1	3750.9	3293.4
200020_at	417.1	319.1	255	382.2	530.8	426.4	529.7	426.2	460.7	521.1	504.6	471.9
200021_at	7657.5	5575.6	6421.5	7841.8	9005.8	8813.3	8492.2	7046.2	8358.4	17840.6	8211	8647
200022_at	2279.1	1914.6	1171.9	2458.4	2766.6	2384.5	2865.4	1792.4	2734.1	1202.4	2590	2162.7
200023_s_at	465.8	431.5	433.5	563.3	429.5	502.7	496.1	447	478.2	169.3	531.1	593.9
200024_at	869	981.7	502.6	1132.6	818.8	1028.2	1160.9	864.9	988.6	378.2	1310.6	1155.9
200025_s_at	2764.1	3029.5	2989.6	3148.3	3735.2	3375.8	4281.5	3396.7	3925.1	3927.1	5010.5	3901.2
200026_at	5320.8	6786.7	5930.5	8010	10155.3	7419.1	8114.8	7909.5	9863.9	3030.6	9180.1	9570.9
200027_at	920.6	1107.4	1400	1002.8	965.7	904.8	888.3	1077.9	1178.3	435.8	379.4	787.2
200028_s_at	820.3	824	902	756.8	1051.2	1033	863.3	1062.9	838.4	718.4	604.8	766
200029_at	3944.1	4023.1	3070.5	4805.1	4551.6	5211	5180.3	4359.3	5431.9	1732.6	6663.6	5606.3
200030_s_at	1422.2	2009.5	2104.9	1679.8	1218.1	1867.7	1237.9	1609.9	1502.2	339.2	1231.2	1448.7
200031_s_at	2633.1	3580.7	3123.6	4014.5	4501.1	3947.7	5067.8	3610	4588.1	2596.2	5768	4501.9
200032_s_at	3737.8	4094	3495.3	4244.8	4621.2	3763.9	5067.8	3518.3	5040.2	2477.4	5994.3	3365.9
200033_at	754.3	687.5	997.7	858.6	898.8	1025.5	709.8	1042.9	901.6	227.8	670.7	789
200034_s_at	1524.4	2129.2	1890.6	1681.2	1514.2	1493.4	1972.6	1687	2216.5	356.8	3053.8	1921.6
200035_at	293.5	250	213.7	214.3	265.8	243.1	261.8	259.1	303.1	316.5	230.6	321
200036_s_at	634.2	1042.4	893.5	914.4	746.2	907.1	1031.5	923.5	1004	89.7	1572	989.7
200037_s_at	345.5	326.6	414.6	411	568.3	453.5	448.9	527.6	416.4	475.9	363.2	410.8
200038_s_at	2255.9	2367.6	2332.8	2885.9	2600.1	2811.2	3380.6	2133.6	3078.5	708.3	3309.1	2537.8
200039_s_at	410.9	468.5	638.9	433.7	405.8	419.2	424.1	379.3	439.2	331.3	245.5	383.5
200040_at	347.4	333	515.3	477.6	336.7	344.2	288.5	309	384.2	194.9	400.4	468.1
200041_s_at	975	770.3	399.3	567.2	675	664.5	572.7	601.3	678.7	311.2	649.6	817.4
200042_at	212.1	168.7	264.6	320.8	204.7	217.6	272.3	246.2	202.2	457.8	246	232.7
200043_at	684.2	847.6	1057.7	1044.6	723.3	1012.9	945.5	758	1052.2	318	546.5	821.5
200044_at	356	522	504.2	393.5	317.2	345.7	448.5	348.1	355.7	140	328.6	269.6
200045_at	210.4	226.4	197.3	214.3	230.7	250.3	215.8	260.3	218.5	367.7	160.9	238.4
200046_at	354.7	297.6	326.4	257.2	191.4	251.6	322	294.3	290.4	227.9	175.2	201.4
200047_s_at	253.6	219.8	231.4	230.7	370.2	216.7	386.2	270.7	268.8	434.2	124.5	220.7
200048_s_at	779.7	580.5	663.6	600.6	447.4	761.4	920.7	652.5	546.7	256.4	468.9	687.1
200049_at	139.8	150.8	122.1	166.2	89.1	120.4	133.6	150.5	147.4	197.3	190.7	106
200050_at	196.6	131.1	269.2	199	334.8	291.1	197.1	229.7	209.4	286.9	245.6	246.5
200051_at	100.9	131.3	58.8	100.8	128.1	108.5	121.4	99.6	127.7	210.7	199.8	144.8
200052_s_at	160.4	137.2	182.2	136.2	92.7	149.7	129.1	144.3	136.6	68.9	98.3	127.9
200053_at	255.9	249	160.1	247.2	290.8	249.6	228	282.9	270.4	376.4	192.6	262.5
200054_at	91.2	47.9	78.8	70.1	77.5	83.2	110.8	49.4	92.9	99.3	98.5	72.3
200055_at	932	825.4	426.7	686.2	623	815.9	821.8	604.9	666.7	591.5	810.3	894.4
200056_s_at	37	55.7	98.5	29.4	48.9	45.7	39	85.3	53.6	116.2	37.1	51
200057_s_at	841.8	910.2	690.2	919.1	799.2	980.1	867.8	830.4	846.2	489.9	747	915.1
200058_s_at	274.2	273.2	230.1	327.6	370.1	357.3	347.5	329.4	346.9	175.4	158.2	289.9
200059_s_at	1185.2	1011.8	695.8	977.4	914.8	964.7	898.3	915.3	958.2	92.8	1049.1	1017.2
200060_s_at	556.3	517.4	752.3	600.8	617.8	656.6	654.1	587.2	642.6	886.7	468.1	544
200061_s_at	4585.2	5360.8	5092.7	5973.4	6017.9	5940.1	6170.8	5276	6679.8	1875	6828.7	6535.3
200062_s_at	4849.5	5095.8	4194.2	5326.7	5709.8	5314.6	5820	5162.5	6023.2	1281.7	7862.4	5763.7
200063_s_at	1268.2	1378.3	1437.4	1801.9	1958.2	1557.9	1859.3	1290.6	1846.3	811.3	2439.6	1532.6
200064_at	3205.5	2471.7	2003.3	1786.9	1233.2	1407.2	1956.8	1861.4	1621.7	641.4	1677.2	1477
200065_s_at	962.3	957.5	601.7	861.1	506.9	933	583.6	710.1	662.3	288.7	445.6	795.6
200066_at	264.5	355.3	271.7	403.5	256.1	341	287.1	301.3	353.9	282	253.1	266.3
200067_x_at	1173.4	1095.9	1677.6	1081.3	1033.1	1283.4	1092	1438.3	1091.3	314.4	551.2	703.5
200068_s_at	1841	1756.4	2063.1	1888.5	1399.3	1743.3	1689.9	1787.9	1672.2	872.5	890.1	1459.6
200069_at	103.4	61.7	94.6	133.6	63.3	59.5	84.1	82.8	102.9	143.7	119.4	93.6
200070_at	167	123.3	111	114.2	173.3	134.9	178.7	126.7	144.9	307.9	69.2	228
200071_at	140.3	118.6	106.9	109.3	89.7	101.2	144.5	99.4	103.4	133.9	81.2	77.2
200072_s_at	372.8	302.5	260.5	355.6	391.2	336.5	321.8	404.6	362.3	255.2	476.8	372.7
200073_s_at	137.4	259	311.5	243.5	213.6	174.4	200.5	191.7	224.4	155.2	266.5	183.9
200074_s_at	538.6	584.2	588.8	839	491.7	485.1	710.3	515.3	676.1	281	590.3	576.2
200075_s_at	705.9	659.8	326.6	639.5	862.3	622.9	633.5	658.1	560.1	267.7	529.9	726.8
200076_s_at	289.9	226.9	222.2	268.2	277.3	284.1	248.6	247.8	261.2	380.6	456.5	393.4
200077_s_at	2578	2907.3	2623.9	3016.7	1895.2	2447.8	3406	2552.4	2497.8	2559.7	1876.2	2310.5
200078_s_at	525	498.7	501.5	396.3	457.4	389.8	497.9	532.2	414.7	542.2	259.1	366.9
200079_s_at	457.3	381.5	367.3	329.7	303.5	350.4	381.2	367.4	339.8	235.9	302.5	340.6
200080_s_at	1553.7	1687.6	1313.1	1525.4	1635.9	1310.5	1660.6	1235.7	1558.4	685.8	1290.3	1439
200081_s_at	2331.3	2040.6	1128.3	2452.9	2456.4	2649.4	3040.7	2249.3	3043.3	2530.3	3527	2845.1
200082_s_at	2033.5	2297.7	1889.9	2503.1	1837.1	1895.7	2582.1	1959	2250.2	487.6	2315.1	1974
200083_at	551.6	502.7	403.4	492.7	463.4	409.4	435.8	569.8	547.8	526	391.1	548.2
200084_at	622.2	661.3	680.6	615.8	583.3	586.7	465.4	546.7	634.3	336.6	402.7	564.2
200085_s_at	577.2	654.2	722.9	780.9	964.7	800.9	895.6	804	882.9	1370.6	531.2	822.2
200086_s_at	1006.7	1509.6	1496	1635.4	1496.8	1185.3	1278.8	1294.2	1551.4	2519.7	1281.4	1342.5
200087_s_at	539.7	490.8	756.3	518.2	589.9	587.3	555.6	445.9	637.6	443.2	292.7	372.2
200088_x_at	1921.3	1911.1	1493.7	2520.4	2783.8	2672.1	2518.3	2084.5	2495.4	2118.6	2488.3	2394
200089_s_at	1267.8	1300.5	709.2	1511.3	1849.3	1232.3	1637.4	1116	1610.6	1159.6	2403.9	1606
200090_at	1102	776	1095.1	1397	1871	1194.2	1386.8	1474	1355.8	1547.8	906	809.8
200091_s_at	1156.3	1471.3	1166.5	1151.1	1572.5	1259.9	1685.8	1071.3	1411.5	376.6	1586.3	1468
200092_s_at	1973.1	2208.6	1930.3	2620.3	2836.2	2170.7	3106.1	1956.4	3018.1	1901.1	3707.8	2985.3
200093_s_at	548.1	837.7	1305.1	681.2	494.3	530.8	567.3	625.9	673.7	205	375.5	507.5
200094_s_at	1052.8	1572.9	495.2	962	955.3	762	1015.1	925.9	1011.1	620.4	823.2	1195.1
200095_x_at	5004.5	5918.7	5646.8	8435.8	8810.6	8261.1	9014.3	7669.4	10318.8	9998.2	10089.5	7415.6
200096_s_at	532.5	300.4	387.7	372.3	284.3	294.9	517	359.5	305	73.7	308.1	297.4
200097_s_at	451.6	536.5	640.2	538.8	551	552.4	441.1	476.3	542.6	111.5	447.3	455.4
200098_s_at	469.5	521	545.6	643.7	773.8	461.9	332.2	530.1	568.7	942.2	431.4	663.7
200099_s_at	2979.2	2986.1	2611.5	3086.8	3294.1	2558.4	3673.3	2926.9	3496.5	802.4	4187	2855.2
200593_s_at	125.9	118.8	150.2	180.9	157.6	80.8	133.8	136.9	139.1	125.1	172.5	140.6
200595_s_at	198.3	234.8	158.3	253.9	310	259.2	249.6	237.1	260.1	148.6	255.6	265.3
200599_s_at	1231.5	635.8	763.3	588.1	526.1	495	1461.7	452.6	713.1	331.3	279.3	564.6
200600_at	329.6	243.6	112.3	285.7	217.9	350.4	476.8	218.7	284.7	95.6	252.4	336.1
200601_at	519.7	326.6	103.4	206.8	302.4	386.2	281.6	192.7	217.9	545.9	330.7	259.3
200602_at	292.2	363.5	663	508.1	640	326.7	378.8	330.4	523	753.4	317.4	388.8
200603_at	662.1	838.4	846.8	829.5	918.9	678.7	657.7	632	873.3	349.5	540.9	541.4
200606_at	57.4	49.9	34.5	27.5	43.4	41.6	56.8	45.1	31.9	120.4	65.2	64.7
200608_s_at	273.2	387.8	340.6	424.9	354.2	284.7	340.1	386.1	316.3	191.4	179.7	271.1
200609_s_at	479.2	280	349.2	293.4	272.7	473.3	445.3	363.8	247.8	179.5	307.4	324.2
200610_s_at	284.7	633.1	474.1	651.7	588.9	448.9	533	397	694.6	294.6	918.8	694
200612_s_at	358.1	362.9	234.5	323.7	355.4	259	270.6	382.6	328.3	445.6	331.9	368.4
200613_at	464.8	708.1	335.1	497.4	422.9	397.4	386.8	520.1	429.2	346.6	244	407.7
200614_at	1652.1	1846	2828.8	1686.5	1206.6	1462.3	1452.8	1913	1719.4	979.9	778.5	1079.6
200618_at	313.1	347.6	368.1	409.2	305.5	254	297.1	325	257.7	289.2	408.7	346.7
200619_at	232.1	250.2	164.9	180.6	296.2	327.3	209.2	213.7	301.9	83.2	14.8	172.2
200620_at	1656.2	1349.1	1991.2	1684.4	1301.5	1297.9	1368.5	1514.4	1651.1	511	751	1129.5
200621_at	1381	1475.5	1085.5	2039.6	1862.7	2074.9	1187.5	2220.3	1680.7	1395.5	1287.5	1606.8
200623_s_at	823.8	1059.7	1042.3	662.6	490.8	294.2	484.2	694.8	707.8	740	323.7	633.4
200626_s_at	375.3	351.5	482.9	478.9	321.3	298	358.1	392.4	622.8	143.3	238.5	299.5
200627_at	1211.4	875.2	1001	802.2	641.9	622.8	1177.4	753.6	839.3	224.4	429.9	529.1
200629_at	277.2	174.5	323.9	198.9	155.1	297.1	315.4	215.9	183.1	310.9	364.5	335.1
200631_s_at	669.7	950.6	1042.5	1141.2	1148.5	1044.4	879	1089	1076.3	267.3	1162.7	979
200632_s_at	3311.2	2107.3	1571.1	2123.1	2977.9	3476.5	2272.1	3621	3340.3	1974.2	5300.3	3700
200633_at	8130.7	7455.5	9277	7695.8	8383.1	7256.2	8997.6	8526.6	8912	9019.6	6055.1	7717.3
200634_at	371.3	328.1	151.2	168.4	203	190.1	299.6	201.9	207.8	136.5	184.3	333.4
200636_s_at	290.6	432.8	284.9	262.2	432.9	374.9	435.9	332.7	393.5	219.8	124.2	358.3
200640_at	386.3	578.9	676.9	503.4	404.9	357.8	407.6	375.1	426.1	206.5	465.4	395.6
200642_at	2964.2	3417.5	4572.8	3277.1	2239.2	2438.3	3104.4	2961.4	3405	1368.7	1135.4	1633.7
200643_at	210.6	133	36.8	66.7	77.3	84.5	126.7	54.2	79.5	16.9	33.6	87.7
200644_at	2615.8	2758.3	1970.5	3574	2938.8	1950	1085.1	1705.2	2871.1	1631.6	1894.1	2772
200645_at	2107.2	2023.5	1240.1	1648.6	1657.9	1737.4	1755.8	1498.8	1949.5	728.7	1683.1	2338
200649_at	287.3	213.1	107.3	174	190.2	229.8	260.7	191.3	211.1	130.9	153.4	235.9
200650_s_at	1334.2	1402.5	1881.8	1068.1	753.6	1493.4	1539	1134.1	1212.5	137.6	775.3	529.7
200651_at	949.9	1102.4	552.3	1016.2	774.2	1077.1	1342.4	932.6	976.9	191.9	1103.5	1092.1
200652_at	383.3	293.9	195.5	268	327.8	416.2	352.2	330.2	338.2	550	421.7	401
200655_s_at	1560	1380.8	1429.6	1569	2313.7	1581.8	2387	2004.9	1773.5	2155.8	1251	1577.9
200656_s_at	117.8	97.1	54.7	59.1	81.5	81.2	52.5	67.8	57.7	35.2	115	70.7
200657_at	846	1067.6	1684.9	982.6	746.9	1284.4	1055.5	1538.3	1258.2	393.4	745.4	763.1
200658_s_at	198.1	171.7	118.4	120	135.2	141.8	165.4	144.6	129.3	76.5	129.6	133.5
200660_at	171.5	106.6	76.1	75.7	69.3	177	243	88.5	123.5	24.9	132.5	171.7
200661_at	238.8	114.3	149.1	92.9	130.7	161.1	278.2	181.7	165.1	146.8	83.8	166.9
200662_s_at	366.1	661.7	770.6	641.6	698.9	709.8	356.6	672.8	832.5	332.3	462.3	531.9
200663_at	1866.6	1481.3	1419	1397.5	1496.5	2081.3	2960.1	1519.1	1851.2	1459.3	1393.5	1509
200665_s_at	1865.2	2633.4	1828.1	1763.1	2242.2	2862.6	2494.9	2916.6	2593	465.1	1289	2771.6
200666_s_at	1974.7	568.5	279.9	308.7	369.6	499.6	1157.4	460.9	297.3	264.2	190.6	397.4
200668_s_at	768.9	514.9	579.5	427.4	299	501	583.7	412.5	321	195	374	436.2
200670_at	226.2	87.7	108.2	101.1	71.8	120.1	183.4	84.1	101.8	203.7	86.5	96.4
200673_at	783.7	765.2	1272	770.8	851.9	1185.5	1335.9	903.7	796.1	447.3	475.5	709.9
200674_s_at	3790.5	4868	3940.6	5338	5172.3	5189.1	5466.8	4948.1	6150.7	2968.7	7673.8	5714.5
200675_at	2054.6	1265.9	903.6	1352.9	1577.4	1562.7	1911.7	1545.5	1808.8	376.2	1215.4	1517.7
200677_at	1484	845.6	881.2	1175.9	1083.1	2299.9	1924.8	1168.4	1010.5	748	1468.6	1060.2
200679_x_at	288.9	283.7	148.4	264.8	257.5	216.7	242.2	261.5	203.4	101.9	225.6	389
200681_at	646.1	816.5	1253.5	847.3	609.6	869.4	582.4	1029.9	893.7	351	333.8	583.2
200682_s_at	403.6	475.5	697.8	459.6	241.5	342.8	303.9	338.4	283.4	109.8	270	434
200686_s_at	302.2	318.5	293.8	395.7	372.8	357.8	255.1	332.3	322.2	395.6	341	375.4
200687_s_at	131.8	153.1	76.5	95.1	135.1	166.6	144.6	151.1	148.9	252.2	45.4	178.6
200691_s_at	624.9	623	1092.5	550	523.4	815.7	546	830.7	668.8	254.5	341.1	404.8
200694_s_at	694	739.9	1048.6	780.2	781.8	1011.6	645.4	890.7	770.7	868.8	498	692.9
200695_at	309.9	335.4	129.6	165.4	145.2	151.8	147.2	126	92.2	164.3	179.6	219.4
200696_s_at	1649.3	1206.1	1051.1	1597.1	2049.8	1486.3	1052.3	1382.1	1628	1616.8	1011.5	2148.4
200697_at	590.5	669.7	664.5	675.2	473.5	588.8	713.8	853	751.6	609.7	394.8	404.5
200699_at	202.4	187.3	150.4	223	254.3	300.1	269.8	271.3	236	197.3	167.5	215.8
200701_at	964.4	709.9	661.5	973.2	867.8	977.5	1178.7	767.9	919.7	499	845.6	910.3
200703_at	2714.5	2279.3	2005.2	1440.8	1877.8	1142.8	1992.5	1929	1994.9	353.8	1243.3	1778.1
200704_at	786.3	574.9	470.5	731.7	665.5	565.9	564.2	599.3	706	441.6	717.7	685.5
200705_s_at	1394.9	1469.1	1382.9	1954	1644.1	1453.6	1568.6	1335.7	1770.9	517.6	2010.6	1413.8
200707_at	156.9	106.9	37.5	190.8	181.5	108.7	79	105	190.9	142.8	109.7	219.9
200708_at	324.1	600.1	750.9	625.2	323.4	567.2	442.3	540.1	421.9	378.2	316.5	294.6
200709_at	402.6	311.8	150.5	273.8	205.8	224.3	452.2	216.1	241.6	204.6	389.5	288.7
200710_at	261.1	293.2	160.7	255.1	325.6	366.6	271	421.5	327	222.9	201.3	323.1
200713_s_at	574.4	571.5	657.8	625.9	697.1	811.2	662	655.8	656.9	642.5	703.8	767.4
200716_x_at	3580.7	3482.1	2457	3832.4	4726.8	4251.6	5491.8	3893.9	5226.7	3066.8	6210.9	4815.3
200717_x_at	4280.4	5154.4	4224.2	5412.5	6168	5056	5950.6	4771.1	6857.2	3209.5	7470	5833.7
200718_s_at	2444.2	2723	3103.6	2289.8	2792.2	2354.6	2628.5	2387.5	2778.5	1622.8	2152.1	2422.7
200720_s_at	121.8	103.4	158.2	131.9	132	135.8	153.1	113.7	123.3	138.5	90.1	158.4
200722_s_at	53	98.1	42.2	36.7	43.9	68	52.7	22.5	50.8	121.2	123	109.3
200726_at	391.3	590.9	821.8	612.9	644.8	714.3	614.7	765.9	481.4	331.4	460.2	557.1
200728_at	286.2	306.8	356.8	436.2	255.4	235.9	239	316	358.8	242.5	221.8	291.8
200733_s_at	95.3	75.9	97.7	81.5	146.1	72	69.3	46	78.2	53.4	88.1	81.2
200735_x_at	2704.2	3059.2	2481.5	2907.3	3018.4	2946	3088.5	2655.6	3307.9	431.1	3498.2	3161.2
200736_s_at	537.2	479.7	416.2	507.3	331.5	528.8	692.5	455.5	530.2	290	507.4	480.3
200738_s_at	1085.5	1268	1718.6	802.4	705.5	991.2	1043	962.5	818.3	160.5	434.4	583
200740_s_at	551.3	719.8	1348.9	529.1	490	660	640	612.1	631	441.4	279.8	450.8
200741_s_at	4647.7	5149.2	4577.2	5033.2	5222.5	5438.5	5402.1	3894	5687.3	1861.3	9084.1	6198.9
200743_s_at	1032.5	780.6	764.7	714	744.8	796.6	984.1	911.4	611.4	527.5	543.7	698.9
200745_s_at	879.9	1146.8	1075.6	739.2	564.2	690.2	747.5	931.9	756.1	344.4	769	829.2
200747_s_at	368.4	279.8	163.8	328.1	326.7	289.4	272.9	271.3	288	425.6	343.4	390.4
200748_s_at	3606	3708.5	1999.1	3592	4030.3	3645.4	4962.7	3308.7	3782.1	890.9	4024.5	4084.1
200750_s_at	435.5	438.4	694.9	400.9	218.3	353	455.5	366.7	362.3	22.1	84.6	207.5
200752_s_at	104.7	134.6	63.4	109.1	68.9	106.7	79.1	80.2	104.1	33	9.9	159.9
200757_s_at	189.3	178.9	122.7	170.1	159.4	144.6	189	147.2	78.7	207	185.6	123.2
200761_s_at	1063	1046.2	2031.9	879.4	1470.2	1079.4	1681.2	1524	1635.4	764.5	307.4	683.8
200762_at	2545	2825.2	2780.3	3406.6	3527.6	3044.4	2982.7	3339	3492.5	2378.1	2130.2	3254.8
200763_s_at	4313.6	3890.1	3221.4	4384.3	4565.9	4201	5184.3	3933.2	4880.7	2544.5	6449.1	4811.1
200764_s_at	210.4	201.8	137.8	193.6	167.7	250	163.3	166.4	179	90.9	263.2	216.7
200766_at	112.9	107.2	57.4	93.5	77.7	68.9	76.2	71.1	123.2	261.2	13.5	124.4
200768_s_at	572	553.5	580.6	460.5	802.6	493.4	607.4	814.4	690	796.7	415.8	547.6
200771_at	148.4	109.5	107.9	167	109.7	164.2	210.2	153.7	113.6	67.2	233	92.6
200773_x_at	2890.2	2546.6	1640.5	2527.5	2512	2252.3	2513.7	1982.9	2261.1	1695.2	3557	2632.1
200779_at	1073.8	821.9	679.2	1104.4	1024.2	1028.6	1413.3	1080.6	960	1162.4	746.2	961.5
200781_s_at	2662.6	2485.7	2475.3	3530.3	2950.1	3017.2	3656.4	2620.8	3219.4	660.2	3235.2	3351.1
200782_at	540.9	374.6	536.9	373.9	340.1	487.2	664.2	377.4	489.8	39.4	357.9	449.7
200783_s_at	151	165.1	210.5	208.8	195.5	140.6	81.2	176.1	181.2	98.5	158	93.9
200785_s_at	90	90.5	38	63.1	77.2	37.2	60.8	74.6	81.5	174.2	146.7	85
200786_at	373.9	557.9	801.3	476.7	334.4	451.6	345	449.5	514.3	371.3	294.6	388.4
200788_s_at	3948.7	4178.2	3064.6	5022.3	5292.9	3928.4	3799.2	3285.1	5970.5	3365.2	3596.8	5848.2
200789_at	241.6	267	165.8	238.4	281.7	324	267.5	232.2	290.4	269.3	50.7	171
200790_at	524.1	279.4	285.7	235.6	225.3	249.8	322.7	236.3	339.7	145.8	222.7	288.4
200792_at	599	411.9	367.9	482.4	435.9	646.1	503.9	513.3	599	508.4	317.9	638
200793_s_at	528.9	562.9	459.6	447.4	318	450.2	306.5	473	445.1	56.6	143.7	346.5
200795_at	3053.1	2446.4	2917.8	3565.2	3527.8	5508.5	3268.3	3839.5	3859.5	593.8	2350.4	2784.8
200797_s_at	912.8	631.4	538.6	564.9	1002.2	1181.9	1107.4	799.6	595.3	751.7	1295.8	857
200800_s_at	2860.1	779	106.3	548.8	495.1	524.5	2420.8	433.1	270	177.6	58.6	356.4
200802_at	506.6	500.3	500.4	478.5	339.2	502.5	375.9	412.3	426.6	418.1	336.6	367.2
200804_at	1484	1380.8	824.2	1283	1437.9	1707.5	1243.9	1453	1358.7	602.8	849	1170.8
200805_at	87.3	50.2	28	62.9	58.7	65.5	81.1	69.8	68.3	151.6	109.5	92.4
200807_s_at	2486.6	1854.2	2188.4	1235.7	1701	1613.7	2599.7	1630.2	1847.6	1003.5	963.4	1305.4
200808_s_at	147.2	75.4	68.9	92.8	108.3	98.9	125.9	16.2	85.6	25.5	119.9	154.8
200809_x_at	1625.5	1718.1	1549.6	2339.3	2670.9	2669.9	2302.8	2042.2	2519.4	1538.6	2576.9	2391.8
200810_s_at	389.9	603.6	1005.2	837.6	1225.8	1194.2	261.1	308.1	1216.3	1559.7	1766	881.2
200812_at	259.8	225.5	270.1	200.4	188.1	251.1	357.3	263.4	261.9	85.4	57	160.2
200814_at	284.1	216.1	372.3	301.4	254.1	344	407.2	253.1	348	219.1	381.9	367.3
200816_s_at	352.3	506.7	897	444.6	524.8	473.2	353.4	540.3	710.6	189.3	306.5	369.3
200817_x_at	4659.8	5412.3	3389.5	3510.7	3305.5	4240.6	4177.7	3380.4	4165.9	1759.4	5553.7	4431.6
200818_at	1164.5	1818	2446.9	1498.3	1284	1294.2	1135.2	1441.3	1680.8	643.7	679.7	1265.4
200819_s_at	4691.8	4507.8	3990.8	5756.3	5498.3	6154.8	6018	5677.5	6188.9	4410.3	7689.7	6856.5
200820_at	205	221.6	285.5	189.4	211.6	298	163.4	151.7	238.7	194.9	102.5	125.7
200821_at	249.8	276.2	399.4	488	493.2	323.7	454	344.6	354.3	161	179.9	206.1
200823_x_at	670.7	614.8	265.1	701.6	546.4	546.4	789.9	553.4	674.5	167.9	841	711.2
200824_at	466.5	471.3	240	395	516.8	616.9	728.5	684.3	552.3	498.9	555.6	501.7
