GSM506013	GSM506014	GSM506015	GSM506016	GSM506017	GSM506018	GSM506019	GSM506020	GSM506021	GSM506022	GSM506023
200039_s_at	431.5869377	552.6830631	524.6577465	486.0136879	489.4627501	319.0372471	335.7655998	332.1495462	587.8917344	382.4203241	477.8829967
200040_at	294.2757873	238.9265311	300.7308347	280.4299612	191.5016021	313.3184362	230.5104408	225.2232502	241.0861138	207.849466	329.3113377
200041_s_at	569.240054	573.487619	623.010969	414.9281682	494.3767876	664.7063897	680.6136718	809.4700614	559.6204176	503.4160485	600.944778
200042_at	251.1375673	327.6851719	308.8008364	310.0231517	260.7832146	186.1337198	251.3024124	330.5897297	232.5764979	254.4163724	348.6794836
200043_at	835.9636743	882.8722535	853.1657234	868.8987792	699.1104971	933.4385948	658.9435792	651.4603355	931.0138235	720.8046718	740.1510003
200044_at	195.1018733	227.7181353	166.7592234	209.5091969	144.5238025	192.8399708	186.9954524	199.6547462	199.6810289	250.9278933	248.3528197
200045_at	191.1417855	165.2810729	186.8655295	202.2453714	222.8483197	113.0147853	224.5344423	267.9889997	212.4528026	114.2218071	198.6686592
200046_at	448.353167	516.093754	499.6336952	531.5812478	620.3211821	570.4775838	542.3080583	462.5675468	676.2033384	503.8617762	522.7368281
200047_s_at	203.5126186	140.2033428	171.0126702	200.8785035	193.3492731	231.9236678	194.9038082	146.4673637	446.7016415	164.2914809	179.5901644
200048_s_at	524.9641642	703.7686635	658.2856434	696.0430158	625.4196668	621.5327922	766.6510157	485.3304087	667.1744062	565.0712088	677.2752814
200049_at	185.3168743	139.3414103	161.1555024	169.6438138	195.1830558	161.433936	181.1981143	112.2002736	107.8827672	124.4234109	153.5864022
200050_at	161.8216815	165.8344368	151.5265706	157.0655372	151.1437154	265.799888	265.6730036	132.8323361	216.5834962	197.4976962	205.0274882
200051_at	74.95796745	105.5997991	137.4141818	118.0474562	91.60869732	115.9633304	84.61948179	77.81922669	100.2252757	108.3129322	90.91550699
200052_s_at	151.6843453	154.6878134	170.689604	176.4046496	130.9845448	143.9390585	127.4812436	145.5015783	135.5944327	165.7550152	176.7267461
200053_at	409.3190189	486.8613271	389.7129674	383.9306951	306.7938247	386.2395882	384.0913795	385.7999044	323.3570976	466.8059703	441.2119759
200054_at	66.66163161	67.6247221	71.40985663	69.3294347	87.73914157	69.28217869	68.39272491	123.6926643	105.5322045	84.02586792	63.55765459
200055_at	474.1523372	530.3705307	667.6173329	383.8123847	710.4059851	533.5511119	800.7017253	829.371794	697.5080369	534.2598875	546.3710903
200056_s_at	57.74371244	34.07393371	39.6422515	59.7003823	43.01012412	64.2235924	66.37166065	75.92038753	38.17543212	46.02829704	61.12807448
200057_s_at	547.3291276	636.9082841	623.4975532	612.9131279	615.5675063	639.8902157	748.6236764	623.8495889	763.7026512	601.7736304	561.3393887
200058_s_at	200.5698585	206.3864481	318.1771595	234.2257022	184.2661262	198.3692833	201.7366347	125.0128881	184.549645	218.2968227	220.2248583
