"","preoligoBYo","AveExpr","F","P.Value","adj.P.Val"
"Kcnk1",-2.45853232864935,0.48228147107597,58.769188831892,1.90006753250325e-08,1.55685903783591e-05
"Pnlip",-4.60033633137312,0.73654646937372,57.4616458736065,2.36950155400668e-08,1.82631326906986e-05
"Tmem200b",-3.6384451560547,1.43806306222927,57.4011502443164,2.39402815183411e-08,1.82631326906986e-05
"Shc4",-3.58870645637194,0.756498674638994,57.0024059512803,2.56264005645262e-08,1.83827851170218e-05
"Adamtsl3",-1.36080148129695,0.217314660055651,56.9722465865169,2.57589991695374e-08,1.83827851170218e-05
"Stk32a",-2.54002559645055,0.468644257162349,56.3820595155884,2.85071028131334e-08,1.96829296931436e-05
"Pcolce",-2.99053477649189,1.29184494994472,56.2111545969576,2.9360244084154e-08,1.96829296931436e-05
"Megf11",-2.71534930534051,0.645977377914489,55.9480267433229,3.07275819111157e-08,1.99937145476357e-05
"Rimbp3",-2.25720988297895,0.435632162668412,55.7448164171694,3.18301355646779e-08,2.01193739742106e-05
"Itih2",-1.28074032335098,0.208866371746458,54.7658957545409,3.77678646523704e-08,2.32094019362331e-05
"Acan",-3.04789619492778,0.528419034470177,54.1192334729827,4.23333870792872e-08,2.53119330366235e-05
"Galnt3",-2.7119016201112,0.815699182675445,53.1192788060465,5.05945625172317e-08,2.94553554360189e-05
"Tmem255b",-5.09550565879964,0.757108721070088,52.3314411024037,5.83157493113653e-08,3.30631092981184e-05
"Gm7932",-4.05647218784571,0.759340398277557,52.1946296838978,5.97805167438745e-08,3.30631092981184e-05
"Cobl",-1.98600137761787,0.380351515258369,51.0567185958888,7.36034615241843e-08,3.90444005415524e-05
"Ncald",-2.38727894663855,0.527201831022596,51.0183902584405,7.41248846334222e-08,3.90444005415524e-05
"Lnx1",-3.03478878349832,0.685331720208553,50.594256970847,8.01660509614436e-08,4.12445010562794e-05
"Col1a1",-4.58441227062306,1.04033460668431,49.013633467108,1.07760498536204e-07,5.41814888435553e-05
"Gnat1",-2.07870707574469,0.742224356740951,48.8495514835376,1.1116007338558e-07,5.46487623002044e-05
"Slc22a3",-1.3744840461146,0.294420332124752,48.2405027092038,1.24817648208835e-07,6.00291485070447e-05
"Krt17",-1.45271130818398,0.180041053231301,46.4618905890495,1.76043382886185e-07,8.28639948849165e-05
"Prelp",-1.97871714667278,0.317817586118824,46.2720399865816,1.82715141510662e-07,8.42126474091746e-05
"Gm14114",-2.32149868754814,0.398195976388037,45.7872639759784,2.01009503850748e-07,9.07537398712263e-05
"Brinp3",-1.95395568893855,0.45269720062854,45.1045252918699,2.30172877453377e-07,0.000101842291358021
"Dmrta1",-2.98217125630851,0.642300129085472,44.9407631900139,2.3782095554726e-07,0.000102331863202054
"Mc4r",-3.89864329811911,0.688586580019577,44.8840931783282,2.40530528703468e-07,0.000102331863202054
"Frmd7",-1.67569329732961,0.287286931159777,44.2682495461425,2.72201353767189e-07,0.000111955317344016
"Adam12",-1.85229692252037,0.416497810420015,44.2487998304116,2.73271578745055e-07,0.000111955317344016
"Lypd6",-2.16204646730478,0.696291058944989,43.5509893632989,3.14809511639051e-07,0.000126627833199831
"Gm35021",-1.75874820911887,0.4307164119401,43.448646282017,3.21449022958626e-07,0.00012698958455203
"Rnf43",-3.38302058476469,0.725435079822252,43.0004831402585,3.52339436852975e-07,0.000136750971254357
"Lad1",-4.28463033239173,0.743396015104665,42.8688966705223,3.62001347042907e-07,0.000138078548286728
"Gm29595",-1.29910743528192,0.235439517726503,42.2739558597965,4.09364043377007e-07,0.000153497639519145
"D330050G23Rik",-1.79187645778786,0.512299790482095,41.9163654143725,4.40989172032598e-07,0.000162600057547953
"Chst5",-3.50411538103451,0.613768777651688,41.1054022087225,5.22817943327365e-07,0.00018961149770871
"Lamc3",-2.08672724829517,0.403324280576123,40.8177764569559,5.5562489859099e-07,0.000198259510185943
"CT025686.1",-2.70961980961015,0.436596810170918,40.7106307808357,5.68403376447064e-07,0.000199599807891086
"Gm2164",-2.0163343754031,0.344778793508981,40.2827781365331,6.22653771255334e-07,0.000215233896585653
"CT009489.1",-1.28272643976266,0.224728998234626,40.1245504823729,6.44098004425063e-07,0.000219221233106087
"Rpl35a-ps7",-1.38179826733464,0.182510756703954,39.5727127199884,7.25292461677886e-07,0.000243115835298483
"Cys1",-1.59045854643743,0.489942086895735,39.1628705954619,7.92658962946973e-07,0.000261731257272774
"Gm20443",-1.85534838111701,0.39688050482859,38.4797802527692,9.20270152742396e-07,0.000296270457875312
"Col1a2",-4.15143558254264,1.11279661154702,38.4611454482173,9.24045635465194e-07,0.000296270457875312
"Lingo3",-4.29215759023751,1.1156362420299,38.373506757875,9.42025201081795e-07,0.000297720336050465
"Odf3l2",-1.66092021565669,0.260381080011445,38.1122892544527,9.97872170991517e-07,0.000310928535758385
"Irx1",-3.25728433062537,0.592194053606122,37.5804594286243,1.12282904578548e-06,0.000345004819165446
"Plppr1",-2.07561482931017,0.437676438603934,37.398229167092,1.16941448121089e-06,0.000354396665312721
"Gm37811",-1.37438835103003,0.199531831186262,37.175355228445,1.22921999372661e-06,0.000367486944881266
"Slc6a19",-1.84836695609959,0.304987929171376,36.8453504498728,1.32386198517931e-06,0.000390503982641626
"Ripply2",-2.74994867182045,0.611952466345719,36.5465632807742,1.41629559642275e-06,0.000412099052269314
"Pter",-2.71327918419678,1.21345111159953,36.4907126736626,1.43432748834865e-06,0.000412099052269314
"Mmp17",-2.66682900630325,1.51044579872169,36.0089116571816,1.60048000801953e-06,0.000453941272018154
"Pdgfra",-7.77518223140979,1.64522167055646,35.1565691542058,1.94701822437739e-06,0.000545239040226594
"Smoc1",-2.85947357508837,0.699941469975812,34.7006218597648,2.16465915181013e-06,0.000595948513975245
"T2",-1.27096984713415,0.307508414906671,34.5976445264033,2.21733254270128e-06,0.000595948513975245
"Sdr42e1",-2.35508452763848,1.91522053225728,34.5874161266361,2.22263882532473e-06,0.000595948513975245
"C1ql2",-5.26290603796047,1.26294065059551,34.562061884476,2.23585077340077e-06,0.000595948513975245
"Gm42518",-2.66797129692023,0.582310061449429,34.4311138699349,2.30543845558071e-06,0.000600289007847359
"Gria3",-2.72760725246625,0.676223471416851,34.4118136813161,2.31588934314726e-06,0.000600289007847359
"Gm33027",-3.45296473564012,1.18762383558259,34.3794322200114,2.33353770622758e-06,0.000600289007847359
"Gm4876",-1.69610064022719,0.311850772344101,34.162343911769,2.45563564925837e-06,0.000624437097339573
"Me3",-1.36740049049128,0.348231789790295,33.5743728941278,2.82199206519163e-06,0.000709442391570845
"Gm5466",-3.144516013738,0.760619287530997,33.4800098091817,2.88604650796252e-06,0.00071322336707442
"Gm11650",-5.43505710094771,1.24579052777601,33.4575654815749,2.90150987825782e-06,0.00071322336707442
"1700040K01Rik",-3.1473599480148,0.618155597255035,33.3119100872987,3.0040418622298e-06,0.000725180094591499
"Medag",-1.43983097258137,0.250019120842201,33.2602530654161,3.04133102919216e-06,0.000725180094591499
"Ntn1",-2.66208204795482,0.743452258557717,33.250412992847,3.04849020462909e-06,0.000725180094591499
"Mmp15",-4.28639063249931,2.76642452132759,32.6699555596382,3.50445492975434e-06,0.000822630139999028
"Cp",-2.86665618113642,1.16512012715975,32.6347183527988,3.53439077341295e-06,0.000822630139999028
"1700095J03Rik",-1.74234376519655,0.348191080685346,32.5935635018897,3.56970091940093e-06,0.000822630139999028
"B9d1os",-4.75734330267279,1.90197072844153,32.4865903444628,3.66326050406637e-06,0.000835487753932581
"Chrna4",-4.76138234953376,1.10710775279792,32.1340819322134,3.99061083915845e-06,0.000900860036680636
"Pcdh15",-1.72440227975315,0.500050654009608,32.0530528666887,4.07019854009377e-06,0.000909545477802974
"Hrasls",-2.56789564573494,0.594549433832309,31.7901525434064,4.34034071176239e-06,0.000957269001842684
"Mfap4",-4.00838950084623,1.00038680871539,31.7428362986367,4.39096673572839e-06,0.000957269001842684
"Dll3",-4.9022143819234,1.07908660236324,31.6947948287727,4.44301606373782e-06,0.000957269001842684
"Gm23464",-2.91874784798063,0.384498864925256,31.6821350976018,4.4568416213803e-06,0.000957269001842684
"3632451O06Rik",-3.53474635971299,0.787267098000777,31.3307730446091,4.85953943931334e-06,0.00103372683669162
"Nxph1",-2.78423234881708,0.592173987627095,31.1822734085232,5.04129399112291e-06,0.00106217663776773
"Gm25959",-2.44286125071648,0.305311097185559,31.0086569593016,5.26306490627691e-06,0.00109732195438494
"Gm5049",-2.79215255251248,0.807173395433143,30.9749628684351,5.30730231520086e-06,0.00109732195438494
"Foxd1",-1.42566763183358,0.338660079532664,30.902406394391,5.40392004023719e-06,0.00110695299120525
"Serinc2",-2.44107050753264,0.705645911465227,30.7137146123431,5.66411237724404e-06,0.0011496069552456
"Lypd1",-1.52485988541227,0.46004842830181,30.4963461796522,5.98057599768221e-06,0.0012028025708793
"Mc5r",-4.087315324034,1.00819730967503,30.3257544027455,6.2421887123211e-06,0.00124410757551964
"Slc16a12",-1.14337771760448,0.30224668606571,30.2562987271068,6.35218964644429e-06,0.00125472760310971
"Gsx1",-5.36471013534984,1.26120362486057,29.9205830469042,6.91394552686011e-06,0.00135360368929846
"Xkr5",-1.55152234177816,0.625694894893397,29.857682463965,7.02499411359773e-06,0.00136328021732564
"Dcaf12l2",-2.82209154525142,0.623723935334726,29.6072562661868,7.48642046974394e-06,0.00144019200045344
"Aebp1",-2.42115849981204,1.40280088334184,29.2375681133652,8.22789408812e-06,0.00156918707682309
"Gsx2",-3.05283067718806,0.675021463710497,29.1095501809913,8.50267529206344e-06,0.00160773235458393
"Trav3-3",-4.03926679745168,0.782092379206269,28.6895861467271,9.4752942777087e-06,0.00177645707886228
"Lpo",-2.08243156418345,0.597530476482173,28.538821644038,9.85297013918794e-06,0.0018317416671366
"C1ql3",-4.00775026330991,1.14362452905806,28.3563546778464,1.03317543470009e-05,0.00190474501182252
"Gfra2",-1.50365329213538,0.357111275796638,28.3152386204368,1.04430437506516e-05,0.00190935088343524
"Nkx6-1",-1.13104490488668,0.242743713927932,28.1189289847427,1.09923852789743e-05,0.00199331589776023
"Aldh1a1",-1.38918105340657,0.531497848951332,28.0040205169122,1.13282329154991e-05,0.00203751623406169
"Cspg4",-5.5071908614134,1.82619755965171,27.9593871635713,1.1461633301517e-05,0.00204488478652791
"Plppr5",-3.54073929928945,1.02505332363718,27.8493251903948,1.17978297572364e-05,0.00208802710175473
"Gm813",-1.54632208192423,0.29134887192773,27.7558235380685,1.20917413356299e-05,0.00212306026641381
"A230077H06Rik",-1.63950092369515,0.330762436936317,27.5137022539497,1.28898844946164e-05,0.00224537728090077
"Gabra3",-1.87018326659054,0.436763174076178,26.950629105969,1.49726638405313e-05,0.00258781439175058
"Gm45623",-4.56087200609765,1.17667005323504,26.422300563746,1.72572411794039e-05,0.00295954997373606
"Gm2824",-1.97513556259653,0.387360779263041,26.1122754958787,1.87695158594308e-05,0.00319413845660144
"Shh",-1.18102918395014,0.213253780842932,25.9757418044664,1.94799976845351e-05,0.00328974037232802
"Susd5",-3.97615640303587,0.755593139875705,25.7297651435923,2.08337337744788e-05,0.0034915626056717
"Vipr2",-1.43294728610217,0.369887515116678,25.7023529989379,2.09907257855777e-05,0.0034915626056717
"Npm3-ps1",-1.52978389507132,3.30439209400741,25.5180418757117,2.20797653374042e-05,0.00364530334745815
"Rbpjl",-3.28356870339963,0.803519146720527,25.3836471915689,2.29119615176518e-05,0.003754676478926
"Tmem132e",-2.39868803679191,0.536836192094746,24.6587885186366,2.80196682545777e-05,0.00455793471173546
"S100a3",-2.07732493835528,0.489061943200521,24.61350859501,2.83768747613315e-05,0.00458234744777326
"Gm15631",-2.64046483442068,0.758007673067384,24.5098220672187,2.92133530399713e-05,0.00468323919784989
"Bglap",-2.07898059764411,0.423373690954246,24.1948536614762,3.1920449725585e-05,0.00508040366387854
"Alx3",-0.97718220412742,0.166272397277083,24.0151336186216,3.35845613803912e-05,0.00530708036727424
"AC163667.3",-2.03014196301218,0.401055836882152,23.9131726913044,3.45697985016307e-05,0.00542402590249345
"Gm8116",-2.50886551678258,2.5265426099954,23.8073967390773,3.56247132965079e-05,0.00554658595472169
"Rmi2",-0.984800276043757,0.296681999318677,23.7850109446859,3.58523614123402e-05,0.00554658595472169
"Zfp648",-2.09724831000334,0.523732813025898,23.7570520352431,3.61388758838629e-05,0.0055520857720743
"C1qtnf2",-1.18458457866386,0.308369334747978,23.6490065783269,3.72693706500886e-05,0.00568523346364772
"Vstm2b",-3.19684820214403,0.967440585397732,23.6255745777032,3.75195084614459e-05,0.00568523346364772
"Chst11",-2.73376915587881,1.48509699024368,23.4694630377354,3.92326219651669e-05,0.00590437616146522
"Calcrl",-2.95257423271841,1.88024986128287,23.3801556787008,4.02501880029377e-05,0.00601658722424994
"Tshz3",-1.23225213028722,0.507811117296614,23.2012474766839,4.23747548778827e-05,0.00629165571921744
"Prss41",-2.4175494051355,0.773916711041698,23.0373474441361,4.44268029738239e-05,0.00651022152213628
"Emilin3",-2.21679110667103,0.561334992257096,23.0366811595603,4.4435359121393e-05,0.00651022152213628
"Lrfn2",-1.03503561669135,0.249941191996612,22.9027110176827,4.61921588678724e-05,0.00672308638574962
"Klhl13",-1.93821989731637,0.887700026765796,22.7985480714183,4.76095003608339e-05,0.0068840848136126
"Rbp4",-2.01033450221043,0.563719860743535,22.6866550013901,4.91841127676238e-05,0.00706558523868923
"Olfm2",-3.89719424487623,1.27587009609199,22.6531402673733,4.9666541979006e-05,0.00708885747226807
"Snx22",-5.09674852738274,1.43443813115985,22.6081140885971,5.03226730796349e-05,0.00713646472141515
"Ppp4r4",-1.73728044250151,0.509491136995503,22.3981005421661,5.35081752125142e-05,0.00753988127532771
"Ckap2l",-2.30785306201671,1.12490086279884,22.3166994012169,5.48004171346567e-05,0.00767309891310133
"Slitrk1",-5.27746968047939,1.52585843593143,22.2629862867053,5.56714060270696e-05,0.00774602839960289
"Dpp6",-1.76110340898937,0.466537983206372,22.2222166544434,5.63424117900102e-05,0.00779039485018997
"Kbtbd13",-1.17046176334524,0.229140462037954,22.1470507518257,5.76023611348969e-05,0.00789121145412686
"Myt1",-4.18389509688107,1.03104697801015,22.1363047861842,5.77849412633256e-05,0.00789121145412686
"Extl1",-1.87153795473784,0.766598103678244,22.0048367100048,6.00695804566632e-05,0.00815287931559975
"B3gat2",-1.63748388974057,0.616499247063458,21.942358365486,6.118909575329e-05,0.00821950698220052
"Rasl12",-2.46616168768925,0.980616833615856,21.9360394717945,6.13035597370649e-05,0.00821950698220052
"Tdrd7",-1.56348442057617,2.98011144203612,21.856942643765,6.27559467506596e-05,0.00836355307207737
"Dll1",-3.4984838627685,1.95273088941277,21.7653420923548,6.44841680669147e-05,0.00854241467152308
"Elfn1",-2.47117869418299,0.590749533635742,21.7356682180984,6.50549088223701e-05,0.0085667246897458
"Lmo1",-1.88419214613778,0.628967535035522,21.5545745143736,6.86575205135302e-05,0.00898763506698715
"Bves",-1.02954039833363,0.280767724483803,21.4137566583405,7.16066218913682e-05,0.00930733646929723
"Lpar3",-0.99631726857545,0.259862858474192,21.3981760718818,7.19411714618192e-05,0.00930733646929723
"Rasgrf1",-2.6094635632295,1.11178229194661,21.3209006953125,7.36253948709566e-05,0.00945473501346079
"Klc3",-1.46878857183547,0.432051588124983,21.3041487159222,7.39960518296793e-05,0.00945473501346079
"Six4",-1.63943024828781,0.476442473564058,21.2876704902719,7.43626041830755e-05,0.00945473501346079
"Galnt10",-2.41457143872972,1.99686630774007,21.2043658965629,7.62457243957964e-05,0.00963876663318974
"Tmem179",-4.47956822788442,1.49139713909164,21.1781811459674,7.68481480261261e-05,0.00965972487944311
"Brinp1",-2.72719656453615,0.7523177429109,20.9359943706506,8.26682175997822e-05,0.0103325930958191
"Cntn6",-1.09274960790749,0.297238383623482,20.7859303841403,8.65103323813613e-05,0.0107520678835554
"Asic4",-3.81673293703167,0.912463264180497,20.6823686232511,8.92732744474841e-05,0.0110334784949815
"Tmem266",-1.05236771722122,0.323455070123364,20.6122428195838,9.11978162329047e-05,0.0111596913704419
"Nell2",-1.83018229630992,0.490636122240497,20.608443220454,9.13033556954295e-05,0.0111596913704419
"Cemip",-1.1175974185356,0.2612999199445,20.5182269779397,9.38481105577571e-05,0.0114077019223586
"B9d1",-3.66718983727183,2.41925738174135,20.3793198897488,9.79161673205191e-05,0.0117816544160086
"Tmem196",-1.67482055476247,0.435656011177126,20.3768689390548,9.79896222277981e-05,0.0117816544160086
"1110015O18Rik",-2.14451445715325,0.721334555167829,20.3035269503305,0.000100215250349849,0.0119841188296741
"Ascl1",-4.3355903063849,1.33223641775517,20.2591136507633,0.000101589319275315,0.0120831210232677
"Mmp16",-2.18382640266221,0.633675519723775,20.2178042653469,0.000102885505996481,0.0121611666281716
"Dcaf12l1",-4.43893393915583,2.0595144796687,20.1863983149519,0.000103882812341102,0.0121611666281716
"Gpnmb",-1.93565751945386,0.616594589257829,20.1860286848865,0.000103894611613454,0.0121611666281716
"Prss50",-1.96379407182055,0.455105211201168,20.018763416886,0.000109384449255424,0.0127247023670267
"Gm26793",-2.53969871943669,0.736155245427942,19.9986715993127,0.000110064531166152,0.0127247023670267
"5730559C18Rik",-3.95812150312613,0.890392654560017,19.987796821978,0.000110434518576555,0.0127247023670267
"Sstr1",-6.00101426243227,1.74499743273631,19.9521153588828,0.000111657890638184,0.0127375732446099
"Nmrk1",-1.62515473756556,1.95907882540714,19.9509600139317,0.000111697744856228,0.0127375732446099
"Trav3-4",-4.43648104245306,1.16247287588345,19.921902067828,0.000112705147725486,0.0127865435032356
"Trav12-4",-4.61367646979015,1.02191810285169,19.8231924332215,0.000116200717286653,0.0131158595333297
"Zdhhc15",-1.08641861904977,0.433692627918727,19.790905378371,0.000117369182866501,0.0131804996576426
"Gucy2f",-1.49930760511677,0.360289088256919,19.7091793757214,0.000120383535431737,0.0134507320927086
"BB218582",-1.80176342196202,0.5433345940924,19.5889205684712,0.000124971092979381,0.013893143165743
"Chrm1",-1.95088843871749,0.809927180466343,19.5612823169469,0.000126051700121866,0.0139116003040134
"4930527J03Rik",-1.62674753527457,0.256370124698418,19.5525606913112,0.000126394777431031,0.0139116003040134
"Clec3b",-1.87065634849695,0.761714378639956,19.4705651153886,0.000129669600592613,0.0141279111164512
"Lbh",-3.12270844013136,4.00464454581449,19.4669134179016,0.000129817546948711,0.0141279111164512
"Matn4",-6.25848128044028,1.89041911404107,19.4556282114101,0.000130275905969175,0.0141279111164512
"Gm19426",-2.66362379990833,1.02178367138652,19.4119429108856,0.000132066659275032,0.0142522473323977
"Sapcd2",-4.85801869845609,2.27530326256694,19.2755628731801,0.000137829134607307,0.0148019123539682
"AC104325.1",-1.9115620290756,0.739460606519859,19.2283762281125,0.000139885244445447,0.0149501510283412
"Cdo1",-4.60043372602884,2.32302095588305,19.1576139139824,0.00014303055423581,0.0152128122661482
"Kcnj16",-1.77713474505596,0.576998859183596,18.9839466187658,0.000151076052883506,0.0159916531958938
"Cdc25c",-1.94050392455295,0.867064822321523,18.9417617876446,0.000153102773826711,0.0161290126922301
"Cacng4",-4.75400112025762,1.54056173366876,18.917089736464,0.000154301617293181,0.01617826862264
"Gm26682",-2.39342735654262,0.712792806909314,18.7608427454307,0.000162131606116158,0.0169190449156027
"Gm12387",-3.04858044049055,1.12349049976818,18.7064667744682,0.000164955662536236,0.0171329301515922
"Gm43305",-2.8261691309907,3.62699632724821,18.5455872754296,0.000173624598992694,0.0179490514182961
"Grin3a",-2.48563574776584,0.838638938116761,18.5148456062854,0.000175336057727821,0.018041672581919
"Carlr",-1.54246851260052,0.397398976256436,18.4713693263604,0.000177787455282242,0.018209221635227
"Fip1l1",-1.74935241965832,2.28302839619188,18.4189853369751,0.000180790066067385,0.0184314222654782
"Gm7332",-2.42489394970548,4.13546796527577,18.2245410771543,0.000192420357992578,0.0195271356874762
"Gm5648",-3.03712093580116,1.67542855416488,18.0336387761011,0.000204623217646048,0.0206030779502434
"Grik4",-1.30305707914738,0.395746984309649,18.0296741502257,0.000204885284502714,0.0206030779502434
"Itgav",-2.7794779880723,3.54285510890774,18.0050094507696,0.000206523765413769,0.0206184909821243
"Afg1l",-1.38036871864348,1.02475926740756,17.9993374209184,0.000206902544773837,0.0206184909821243
"Scfd2",-1.11548499909453,0.883894976058329,17.968669166754,0.000208963533217783,0.020730494373888
"Gm17052",-2.44489494862487,1.46586436279642,17.7886271401339,0.000221515885749664,0.021877660448392
"Cntn1",-3.94474245223667,1.28439583544472,17.7497083421732,0.000224334233166042,0.0220025227415635
"Slitrk3",-4.14321499072123,1.32614292765626,17.7349709728164,0.000225411481410943,0.0220025227415635
"Htr5a",-1.90376939348395,0.634636627711682,17.7301673825334,0.000225763805195268,0.0220025227415635
"Gm12992",-1.10888436958118,0.5510787523117,17.7063733659621,0.000227517736348034,0.0220762056194191
"Gstt1",-2.56426899631401,1.03472113080164,17.6715352336437,0.000230112199058846,0.0222304461999076
"Nod1",2.36085362432507,2.64473360897615,17.5869706498838,0.000236542919432322,0.022752343506962
"Krt1",-3.35706119578895,1.0612213656024,17.447357862124,0.000247585736164019,0.0237114252863922
"Gm37356",-1.38201407627228,0.314645667933417,17.413560963026,0.000250341308605829,0.0238719860788222
"Frzb",-1.73503840285457,0.608977483404804,17.389431719962,0.000252328780376673,0.0239177657287769
"B3galt4",1.68742953955299,5.12642259066771,17.3815258838502,0.000252983645099389,0.0239177657287769
"Col15a1",-2.42492707286562,0.822875156831034,17.3242091428999,0.000257786279969672,0.0242681100926343
"Cenpm",-2.09851578331481,1.31258838915601,17.1575080171516,0.000272319218606862,0.0255276189544051
"Nmnat2",-2.15261684694427,0.736116916744277,17.1390911272996,0.000273977960951389,0.025574744430918
"Gm22846",-1.66315101263093,0.247293272382,17.0106936271182,0.000285848066739538,0.0265706587415076
"Snx1",-1.67224261375405,4.2992028631656,16.9135338356041,0.000295197004758006,0.0273248675157379
"Aldh1l2",-2.46847065849539,1.04540842927166,16.8769073984745,0.000298806039407525,0.0275436917075528
"AF529169",-1.56650629430981,0.497498524369175,16.8518251129149,0.000301304871555448,0.0276587870266439
"Slc4a1",-1.50196686684063,0.380867515060188,16.8220394818824,0.000304301455699821,0.0278184343158973
"Rlbp1",-4.78821360082866,2.07432655190933,16.7882997402049,0.000307734545704494,0.0280165076321832
"9430021M05Rik",-1.71930579778642,0.440263027390656,16.7730996146548,0.00030929475844539,0.0280431472995383
"G630022F23Rik",-1.71345579357679,0.460281299544616,16.663706557568,0.000320777050975694,0.0289655130560624
"Gm7856",-2.00966238473072,1.00693063426097,16.5673217787229,0.000331273683632652,0.0297917386301023
"Gm27217",-0.907426804870597,0.210372117621906,16.4990121843431,0.000338935903889996,0.0303574048654186
"Pcolce2",-1.28836320881576,0.400408238275041,16.471298767173,0.000342098570674853,0.0305171237058055
"Gm44837",-2.30054196530414,0.686368997789063,16.4473801027228,0.000344853664828929,0.0306393478996401
"Vat1l",-2.09417689838007,0.611293196936135,16.3966262935276,0.000350779039880616,0.0310411387971155
"Fam114a1",-2.01834902628931,1.70868640427962,16.3572118366066,0.000355455988872792,0.0313296925969433
"Kif13a",-1.63129353884979,1.5829072186198,16.3054828846318,0.00036169607597578,0.0317531836857626
"C430049B03Rik",-3.58019880331699,1.91628575077932,16.2908460621377,0.000363483003154364,0.0317839307461818
"Dscam",-2.30588709508703,0.658114997729116,16.2640647577228,0.000366777175700062,0.0319457144016239
"Gm20684",-1.34597410448942,0.33896308473823,16.2285583277294,0.00037119408812259,0.0322036345550434
"Slc35f1",-2.14593029936909,0.712654311293371,16.1917970998674,0.000375827352602852,0.0324782364126285
"Gm35040",-3.20998670715236,1.15203033988216,16.1719260702944,0.000378357662781937,0.032526935063007
"Pmel",-2.67907347054285,1.42209232323938,16.1643168824464,0.000379331430920572,0.032526935063007
"Enpp1",-1.4635277872105,0.918326430919634,16.1403021020655,0.000382422361691795,0.0326653664390254
"Col6a1",-3.02994066300111,0.760790888255368,16.098441998671,0.000387875021108701,0.0329520341393723
"Kcnip3",-3.84468069613732,1.729941348029,16.0793799501185,0.000390385646219054,0.0329520341393723
"Pdgfrl",-1.65262134535954,0.602907169545944,16.0717502629249,0.000391395424097591,0.0329520341393723
"Wnt4",-2.8466821106612,1.12023712560066,16.0691784840848,0.000391736427186861,0.0329520341393723
"Epn2",-3.25488580053003,2.92109574032901,16.0555510731402,0.000393548677269278,0.0329790810122282
"Adcy3",-1.41373103365165,0.643244104852569,15.9998137379479,0.000401055234728578,0.0334813017279258
"B3gnt7",-4.36345005326979,1.70133402453462,15.9692726702202,0.000405233530621433,0.0337029375862329
"Adam9",-2.47441091434739,3.09372692856416,15.9208668772189,0.000411951971511938,0.0341333837668862
"Pxmp4",1.52780473461169,3.27032476400616,15.8962216449775,0.000415418468769265,0.0342921745693375
"Vstm5",-2.54091696255485,0.708582723566786,15.8166567016073,0.00042682531133774,0.0349794043468139
