"","mouse_FVN_Swiss","mouse_C57BL6"
"Ctsl",7.88511700015086,7.37610045140698
"Ctss",3.26249998315498,9.52146519352504
"Cx3cr1",1.68560073313205,3.75146449030722
"Cxcl16",2.67992937702775,5.64531304320084
"Cxcl2",3.93554058415724,5.05281381185533
"Cxxc5",3.93654359734632,2.2654135846831
"Cyth4",3.13706177758703,7.07654847353852
"Daglb",3.02136188237281,3.30145008256478
"Dtx4",3.40885891343485,2.95708681434782
"Duoxa1",0.589783636847903,0.956328440926418
"Dusp2",5.14304893932519,4.51151280003739
"Edn1",2.61279565648915,0.738309784722169
"Efhd2",4.98325791534945,6.53395084474987
"Egr1",9.41075281382708,6.21132534534384
"Egr2",4.29584149467126,2.86845723433525
"Egr3",4.80625270550912,1.47933326702236
"Entpd1",1.88740109943785,3.83200571685406
"Epb41l2",4.43478144195335,3.03303507245248
"Epha2",2.37599443262446,3.37806054336889
"Ermap",0.48658069507742,1.46271730200987
"F11r",2.41092723075029,3.2696134732404
"Fads1",7.26118287220468,2.43053266796581
"Fam105a",1.90885800354883,5.0080702765535
"Fam110a",3.39815924639629,4.0094204966015
"Fam167b",2.13585701817511,2.78950732347375
"Fam46c",2.39800087209831,2.50724883638539
"Fcer1g",3.2956970701796,10.0748638419529
"Fcgr1",1.74102471312727,5.78923807493169
"Fcgr3",2.30624560018765,8.61907388596141
"Fcrls",3.24901050799471,4.94709716098292
"Fgd2",2.06062953650528,5.11452825827723
"Fmnl3",3.76378706728175,2.55441486253674
"Fos",11.6040891286562,9.11772244952378
"Fosb",9.65219899312751,3.28493413004731
"Fscn1",7.78850479312476,3.97770819436214
"Gadd45b",8.41397758891441,4.90763134874069
"Gadd45g",8.3163021240482,4.48510512627123
"Galnt12",0.93132000325723,1.87368954975358
"Gas6",4.5053740667417,1.06335275646254
"Gatm",6.65424030161955,3.62518587123295
"Gcnt1",0.935680676738261,3.24880917245537
"Gdf15",3.72148148774617,3.38349732616162
"Gem",5.65030745733667,2.70607083755283
"Ggt5",1.63995684298057,2.01538513769498
"Glrp1",0.773739589120084,1.11602934856909
"Glul",9.07995788001787,7.8654817058864
"Gm10134",1.66579898099035,2.40918750579976
"Gm10605",1.65120250691046,1.70480915420469
"Gm10790",0.667628095474354,1.638558929076
"Gm11545",0.896069503183029,1.1192515973892
"Gm12148",0.193413291327008,0.98918202257941
"Gm13889",8.68682186743406,2.11038137516252
"Gm25008",0.161378942077084,1.38809857676538
"Gm25099",0.435754089380516,3.8341028406802
"Gm25360",1.81283282774973,1.67783262564127
"Gm27168",0.329241107492385,1.80355786635982
"Gm28872",0.623918265939455,1.58569296998728
"Gm29291",0.825159519406318,1.44187091078154
"Gm38843",0.674342087574501,3.55643276534923
"Gm4065",1.00538229463841,0.783665591955114
"Gm42944",1.1992343938893,1.60881044647207
"Gm43814",2.09000256820136,2.66663578000754
"Gm43936",0.991178117256177,2.41447682675899
"Gm5086",0.321102313483575,2.61039003983366
"Gm6277",1.10143440626022,1.53664137176167
"Gna15",1.32329938669961,3.81414542538485
"Golm1",3.47053659870116,2.77325259093186
"Gp9",2.4093592075854,5.14744507196793
"Gpr157",1.43926609854592,1.38457480452733
"Gpr165",3.12398515097397,1.7828581863786
"Gpr84",1.85166241348048,2.20992585524916
"Grap",2.69977585590313,2.50552568258688
"H2-K2",1.35962626554417,3.72977703188078
"H2-Ob",1.10329290888463,4.89284274435353
"Havcr2",0.99861266780139,3.66112966626658
"Hbegf",5.2051845323167,1.67584539245703
"Hexb",4.9508109437235,4.1494554755147
"Hpgd",0.885215483854924,3.86374344095319
"Hpgds",1.46475117389609,2.82681556024352
"Hps4",2.95740220930777,2.70990551789053
"Hspa1a",5.27118497691635,5.59797108857143
"Hspa1b",7.85248438572834,6.88235469865103
"Hspb1",4.0287152832833,4.20935980056661
"Hspb3",2.96640884309624,2.15767908374192
"Icam1",4.29154401226085,3.77305913301372
"Icosl",2.4628243299523,4.5981072278438
"Ier3",7.15900340580151,7.92323515308607
"Ier5",7.60607246232031,8.61584939354639
"Ifitm10",1.12785764310813,2.06813064512453
