"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Edn1",1.05744338133194,3.43869971082405,2.61279565648915,0.738309784722169,2.1124203690768,0.239855953339156,2.61279565648915,0,2.17895321453706,0.183638096573886
"Efhd2",5.08568783627537,8.19114344236524,4.98325791534945,6.53395084474987,6.06401008210123,5.11257531558291,4.98325791534945,4.67572497733666,7.90532202065897,7.39245070973661
"Egr1",6.7537459874316,10.8279410297362,9.41075281382708,6.21132534534384,8.94933570264528,4.28079493261055,9.41075281382708,3.73214709536908,10.4914257824628,4.90623880819456
"Egr2",2.61443163466315,6.55788129678704,4.29584149467126,2.86845723433525,4.40434060608226,1.142700417619,4.29584149467126,0.906180280539537,5.85599821579298,2.23564859743239
"Egr3",2.61677143338654,4.39587531165641,4.80625270550912,1.47933326702236,3.71408115363658,1.15588559618507,4.80625270550912,0.957643377874773,2.92992196579027,0.654772435231545
"Entpd1",2.19653888990944,5.3164731991254,1.88740109943785,3.83200571685406,2.92938151345024,2.91116419573622,1.88740109943785,2.63061395583058,5.47912727007801,3.6265542768583
"Epb41l2",3.17570282798051,5.36776232900497,4.43478144195335,3.03303507245248,4.37121813792842,1.80608778902018,4.43478144195335,1.21984911001429,5.36072038679696,2.88117291303382
"Epha2",2.54422668506773,4.1136681420124,2.37599443262446,3.37806054336889,2.19144042033021,4.88765018792249,2.37599443262446,5.67730742386741,3.70023084077249,0.296793989367071
"Ermap",0.35708452936851,3.14323748396658,0.48658069507742,1.46271730200987,1.03438898338131,0.932381116106621,0.48658069507742,0.701234023935908,3.49990824591853,0.339306291789969
"F11r",1.6037233082668,7.02588010174485,2.41092723075029,3.2696134732404,3.33701433498632,1.58156017908142,2.41092723075029,0.142977166371884,7.36549910743475,2.92569140728828
"Fads1",4.38045214634864,5.68495479032857,7.26118287220468,2.43053266796581,5.84685385358556,1.48928726492955,7.26118287220468,0.920583930275345,5.29234772130249,1.38065609985771
"Fam105a",2.52201759093781,6.97810455470999,1.90885800354883,5.0080702765535,4.09280063605472,2.10144031016699,1.90885800354883,0.986488059766808,7.38596414352341,7.45607506972762
"Fam110a",3.02672617549723,6.01575076553368,3.39815924639629,4.0094204966015,3.71700005861368,3.74386951320888,3.39815924639629,3.54244979830063,5.43477884033095,3.1444269908331
"Fam167b",1.15312979111041,6.85887574778459,2.13585701817511,2.78950732347375,2.4048567909248,2.70340825371074,2.13585701817511,1.29038152262073,6.64806344878654,0.729902159184585
"Fam46c",1.61292834592202,5.22723451933375,2.39800087209831,2.50724883638539,3.02098161896981,0.903299746775857,2.39800087209831,0.273773093063751,4.86912254121436,2.82554602354239
"Fcer1g",5.96822583560888,10.0097694621081,3.2956970701796,10.0748638419529,5.97706791801088,9.48026078219021,3.2956970701796,9.39124175007853,10.3995945852251,10.57047960893
"Fcgr1",2.84949511876349,7.35196677873266,1.74102471312727,5.78923807493169,3.53004047762209,4.91765808437534,1.74102471312727,4.17790075918757,7.54455424418266,5.96752668457367
