"","PSID","Gene","Module"
"NR6A1","NR6A1","NR6A1","HuAgeMSNDsplit_02"
"NFE2","NFE2","NFE2","HuAgeMSNDsplit_04"
"CES1","CES1","CES1","HuAgeMSNDsplit_08"
"OR7A17","OR7A17","OR7A17","HuAgeMSNDsplit_02"
"HSD11B1","HSD11B1","HSD11B1","HuAgeMSNDsplit_06"
"ADARB2","ADARB2","ADARB2","HuAgeMSNDsplit_05"
"CCL19","CCL19","CCL19","HuAgeMSNDsplit_01"
"DIO2","DIO2","DIO2","HuAgeMSNDsplit_01"
"MOBP","MOBP","MOBP","HuAgeMSNDsplit_06"
"MS4A6A","MS4A6A","MS4A6A","HuAgeMSNDsplit_04"
"CFI","CFI","CFI","HuAgeMSNDsplit_22"
"TGFBI","TGFBI","TGFBI","HuAgeMSNDsplit_08"
"DLK1","DLK1","DLK1","HuAgeMSNDsplit_18"
"SYT1","SYT1","SYT1","HuAgeMSNDsplit_01"
"GPR17","GPR17","GPR17","HuAgeMSNDsplit_05"
"FRZB","FRZB","FRZB","HuAgeMSNDsplit_08"
"DDX3Y","DDX3Y","DDX3Y","HuAgeMSNDsplit_02"
"RNASE3","RNASE3","RNASE3","HuAgeMSNDsplit_04"
"AQP4","AQP4","AQP4","HuAgeMSNDsplit_17"
"RIPK4","RIPK4","RIPK4","HuAgeMSNDsplit_08"
"BCAS1","BCAS1","BCAS1","HuAgeMSNDsplit_06"
"HBG1","HBG1","HBG1","HuAgeMSNDsplit_02"
"CBX8","CBX8","CBX8","HuAgeMSNDsplit_05"
"TH","TH","TH","HuAgeMSNDsplit_18"
"SYCP1","SYCP1","SYCP1","HuAgeMSNDsplit_01"
"CLEC3B","CLEC3B","CLEC3B","HuAgeMSNDsplit_08"
"CAMP","CAMP","CAMP","HuAgeMSNDsplit_01"
"ALOX15","ALOX15","ALOX15","HuAgeMSNDsplit_16"
"FGL2","FGL2","FGL2","HuAgeMSNDsplit_08"
"IGFBP4","IGFBP4","IGFBP4","HuAgeMSNDsplit_02"
"HLA-G","HLA-G","HLA-G","HuAgeMSNDsplit_02"
"CCL14","CCL14","CCL14","HuAgeMSNDsplit_08"
"F3","F3","F3","HuAgeMSNDsplit_22"
"SCGB1D2","SCGB1D2","SCGB1D2","HuAgeMSNDsplit_10"
"BPESC1","BPESC1","BPESC1","HuAgeMSNDsplit_01"
"CCL8","CCL8","CCL8","HuAgeMSNDsplit_01"
"STC1","STC1","STC1","HuAgeMSNDsplit_04"
"C7","C7","C7","HuAgeMSNDsplit_08"
"SLC4A10","SLC4A10","SLC4A10","HuAgeMSNDsplit_12"
"FKBP5","FKBP5","FKBP5","HuAgeMSNDsplit_02"
"CLPTM1","CLPTM1","CLPTM1","HuAgeMSNDsplit_03"
"SLC22A2","SLC22A2","SLC22A2","HuAgeMSNDsplit_08"
"IER3","IER3","IER3","HuAgeMSNDsplit_02"
"RAB3B","RAB3B","RAB3B","HuAgeMSNDsplit_01"
