"","Gene","Category"
"347","S100A4","macrophagesBYo"
"348","S100A6","macrophagesBYo"
"349","S1PR5","macrophagesBYo"
"350","SAMHD1","macrophagesBYo"
"351","SCARF1","macrophagesBYo"
"352","SELENBP1","macrophagesBYo"
"353","SELENOW","macrophagesBYo"
"354","SELL","macrophagesBYo"
"355","SERPINB10","macrophagesBYo"
"356","SERPINB1","macrophagesBYo"
"357","SERPINB2","macrophagesBYo"
"358","SERPINB6","macrophagesBYo"
"359","SERPINB8","macrophagesBYo"
"360","SFXN3","macrophagesBYo"
"361","SH3BGRL","macrophagesBYo"
"362","SH3PXD2B","macrophagesBYo"
"363","SHE","macrophagesBYo"
"364","SIVA1","macrophagesBYo"
"365","SIX5","macrophagesBYo"
"366","SLC25A24","macrophagesBYo"
"367","SLC25A52","macrophagesBYo"
"368","SLC28A2","macrophagesBYo"
"369","SLC2A6","macrophagesBYo"
"370","SLC43A3","macrophagesBYo"
"371","SLC7A2","macrophagesBYo"
"372","SLC7A4","macrophagesBYo"
"373","SLC9A3R2","macrophagesBYo"
"374","SLFN5","macrophagesBYo"
"375","SLPI","macrophagesBYo"
"376","SMC4","macrophagesBYo"
"377","SMPDL3A","macrophagesBYo"
"378","SORCS2","macrophagesBYo"
"379","SOX7","macrophagesBYo"
"380","SPACA9","macrophagesBYo"
"381","RSKR","macrophagesBYo"
"382","SPC24","macrophagesBYo"
"383","SPC25","macrophagesBYo"
"384","SPIB","macrophagesBYo"
"385","SPN","macrophagesBYo"
"386","SPTBN1","macrophagesBYo"
"387","SRGN","macrophagesBYo"
"388","STARD4","macrophagesBYo"
"389","STEAP3","macrophagesBYo"
"390","CSTA","macrophagesBYo"
"391","STMN1","macrophagesBYo"
"392","STOM","macrophagesBYo"
"393","STX11","macrophagesBYo"
"394","STXBP2","macrophagesBYo"
"395","SVIP","macrophagesBYo"
"396","TAGLN2","macrophagesBYo"
"397","TCF19","macrophagesBYo"
"398","TCN2","macrophagesBYo"
"399","TEP1","macrophagesBYo"
"400","TGFB2","macrophagesBYo"
"401","TGFBI","macrophagesBYo"
"402","THBD","macrophagesBYo"
"403","THBS1","macrophagesBYo"
"404","TLN1","macrophagesBYo"
"405","TMC8","macrophagesBYo"
"406","TMEM106A","macrophagesBYo"
"407","TMEM107","macrophagesBYo"
"408","TMEM205","macrophagesBYo"
"409","TMEM51","macrophagesBYo"
"410","TNFAIP8L1","macrophagesBYo"
"411","TNFRSF13C","macrophagesBYo"
"412","TOP2A","macrophagesBYo"
"413","TPBG","macrophagesBYo"
"414","TPPP3","macrophagesBYo"
"415","TPSB2","macrophagesBYo"
"416","TRIB2","macrophagesBYo"
"417","TRIM59","macrophagesBYo"
"418","TSKU","macrophagesBYo"
"419","TSPAN17","macrophagesBYo"
"420","TSPAN32","macrophagesBYo"
"421","TSPO","macrophagesBYo"
"422","TUBA1C","macrophagesBYo"
"423","TUBB","macrophagesBYo"
"424","TUBB6","macrophagesBYo"
"425","TXN","macrophagesBYo"
"426","UAP1","macrophagesBYo"
"427","UBE2C","macrophagesBYo"
"428","UCP2","macrophagesBYo"
"429","UNC119","macrophagesBYo"
"430","UNG","macrophagesBYo"
"431","USP1","macrophagesBYo"
"432","USP3","macrophagesBYo"
"433","VAT1","macrophagesBYo"
"434","VIM","macrophagesBYo"
"435","VNN3","macrophagesBYo"
"436","VSIG4","macrophagesBYo"
"437","WDHD1","macrophagesBYo"
"438","WNT2","macrophagesBYo"
"439","XDH","macrophagesBYo"
"440","YBX3","macrophagesBYo"
"441","YWHAG","macrophagesBYo"
"442","ZBP1","macrophagesBYo"
"443","ZBTB42","macrophagesBYo"
"444","ZYX","macrophagesBYo"
