"","other","preoligo"
"Cbln3",0.638495064663782,0.684530568266958
"Cbln4",0.550719448115034,1.16167762692228
"Cbr1",5.40628982936576,7.28888200701686
"Cbr2",2.99428727224926,4.47308695557221
"Cbr3",2.53365916474966,5.37820940218666
"Cbr4",2.24026944487873,2.68791938499121
"Cbs",1.20381497960436,2.73097318285022
"Cbwd1",1.13460487351403,1.48871462458933
"Cbx1",3.75475835183146,4.69302050385572
"Cbx2",1.52941914891528,3.0935772622752
"Cbx3",4.21709582370171,3.65899534862191
"Cbx3-ps7",1.93643163759753,5.56869851300281
"Cbx3-ps8",0.349362635437729,0.217393083620192
"Cbx4",2.83492199109478,4.52485912319755
"Cbx5",3.02902390322362,5.42020706838419
"Cbx7",1.46421858477174,1.59763044740778
"Cbx8",4.17756985542044,5.73566494195734
"Cby1",3.46037957456107,5.51357152345405
"Cby3",0.207659778230844,0.304258408920796
"Cc2d1a",3.36150393825303,4.45143882231722
"Cc2d1b",3.35542004513812,4.704474892803
"Cc2d2a",1.05325632793711,3.40097444468284
"Ccar1",3.22848787274472,4.07875418061507
"Ccar2",3.83720322912321,5.8104732520883
"Ccbe1",0.261863933336729,0.371400229575094
"Ccdc102a",1.78648115654059,0.866071631720129
"Ccdc106",0.442930361289775,1.88541995264788
"Ccdc107",5.37916221230022,6.38874895614705
"Ccdc112",0.920275383384089,1.88147358079948
"Ccdc114",1.48912794043004,3.11912103212012
"Ccdc115",6.47318530113762,6.06728704090116
"Ccdc116",0.738950656051361,0.645083211988561
"Ccdc117",4.14191731669174,5.08100661234936
"Ccdc12",3.25803978041248,2.06609309683007
"Ccdc120",0.78323523866777,3.12726626461027
"Ccdc121",0.377174430515856,0.0703767738863915
"Ccdc122",0.593226488049665,0.181551307704608
"Ccdc124",5.19545562667063,6.23130985759786
"Ccdc125",1.42838888722031,0.202271676789732
"Ccdc126",1.95765981015189,2.73600239210795
"Ccdc127",3.29251636873992,4.50305720099453
"Ccdc13",0.729476123758303,0.987645351184937
"Ccdc130",3.2457766356276,3.20787714005889
"Ccdc134",3.42371679396056,5.21980411698172
"Ccdc136",1.25567491586145,1.8011513100489
"Ccdc137",4.22032156009751,5.39603938353944
"Ccdc138",0.72300369090595,0.938643945213652
"Ccdc14",0.850139837390153,1.74865096403273
"Ccdc141",0.902004771922209,0.366999706119016
"Ccdc146",0.262898885753914,0.114367662298787
"Ccdc149",0.768713637571183,1.93924216484709
"Ccdc15",0.475403078260107,0.41510697392833
"Ccdc151",0.490545998614605,0.819256969095312
"Ccdc152",1.31967779151724,0.500674984950981
"Ccdc153",0.320631958326441,0
"Ccdc157",2.21187550458967,3.09157768938509
"Ccdc159",1.09658999411475,2.70391941840477
"Ccdc160",0.503466092190667,1.37510692142488
"Ccdc162",0.355948609206633,0.11765552586837
"Ccdc163",1.1618593300078,1.4587858075426
"Ccdc166",3.67033981696457,4.69899934127374
"Ccdc17",2.76167881677075,2.11395990104488
"Ccdc171",0.343362583025462,0.314801375605805
"Ccdc173",0.651254589031704,1.01816753635755
"Ccdc174",2.77035687474433,3.25832345222313
"Ccdc177",0.707657909840566,3.25037880356793
"Ccdc180",0.43272549148314,0.0786503948233417
"Ccdc181",2.38329073042483,3.80517536649775
"Ccdc182",0.120286119862962,0
"Ccdc184",2.24074027506466,6.08520125816361
"Ccdc186",2.98790135256152,3.84348561808952
"Ccdc187",0.25938056462345,0.0104520675470083
"Ccdc188",0.366386137025548,0.221207821225981
"Ccdc189",1.68795379511091,2.81503662187397
"Ccdc190",0.700751066609852,2.41896159696712
"Ccdc191",0.601065984028563,0.656750974266356
"Ccdc25",2.31904300475197,2.93738548717257
"Ccdc27",0.460382243984176,0.187249218564495
"Ccdc28a",1.65038108292361,2.35152900448001
"Ccdc30",0.380334902707839,0.340848330730607
"Ccdc32",3.66350960120973,4.56928716830144
"Ccdc39",1.06978063831057,2.52275925365864
"Ccdc40",0.494425023569486,0.513389661479005
"Ccdc43",3.18726106405661,4.05995311656729
"Ccdc47",3.21286776410287,4.57976797616952
"Ccdc50",4.12443587174644,3.9627184215664
"Ccdc50-ps",2.47945052426701,5.56074295344618
"Ccdc51",2.35103027005925,1.99490920732699
"Ccdc57",0.625303271676236,0.994254013606908
"Ccdc58",2.16930770351594,2.96438602856198
"Ccdc59",4.94220422620724,5.87170755817541
"Ccdc6",1.50442448124029,2.06278644259547
"Ccdc61",2.27157915358866,2.56196268526256
"Ccdc62",0.964137802479816,1.32570652761106
"Ccdc65",0.504184517254895,0.369872446074438
"Ccdc66",1.55303398065398,3.07302670478645
"Ccdc68",0.35024524981854,0
"Ccdc69",1.30237697161631,0.40830745897127
"Ccdc71",4.86210670648639,4.82156029249307
"Ccdc71l",5.02631499228788,5.11426644128034
"Ccdc73",0.842274447550718,0.612179465139547
"Ccdc74a",2.31848393035836,3.18579701497137
"Ccdc77",1.44030108741682,1.85933925817075
"Ccdc78",2.02943542675991,3.86971909727902
"Ccdc8",1.90586365919448,2.37961008057668
"Ccdc80",1.33041844577235,2.2773557161316
"Ccdc82",2.19106821295182,2.60713595216232
"Ccdc84",2.99112808671301,3.95992597296388
"Ccdc85a",0.529407692446627,0.69455242141577
"Ccdc85b",5.62402942783727,9.12141688414527
"Ccdc85c",1.1708301466108,2.49316288645428
"Ccdc86",3.91683086513385,4.66329660492154
"Ccdc87",0.395716781216175,0.336639252175722
"Ccdc88a",2.31583070103361,3.66957954051765
"Ccdc88b",3.18517330848722,3.14102239076179
"Ccdc88c",1.6855254616118,2.48296281960215
"Ccdc89",1.42595614318585,2.51330607998433
"Ccdc9",3.97698306391727,4.94616713531589
"Ccdc90b",1.9804305486472,3.19153514723198
"Ccdc91",0.893021605043228,1.13594537821512
"Ccdc92",1.6920840260638,3.01053116985469
"Ccdc92b",0.94606997665286,2.90695081553023
"Ccdc93",2.14546580159432,2.6399320459787
"Ccdc94",2.89393216474752,3.15275329534829
"Ccdc96",1.00117511149026,1.9876760670213
"Ccdc97",5.53504084679277,5.87945276658678
"Ccer2",0.624573615728768,0.868026640270787
"Cchcr1",1.6742583766614,2.28917706347488
"Ccin",0.714955086677526,0.241265058623807
"Cck",1.60337439618476,3.71761684125858
"Ccl12",2.81749606792308,3.16533976752382
"Ccl17",0.903685961488645,1.1631768042413
"Ccl20",0.133758633498968,0
"Ccl22",0.823837448514588,2.03470547248393
