"","No_data","5_months"
"Gm12261",1.82640646252824,0
"Gm12473",1.15791067779863,0
"Gm12751",5.15417384441128,0
"Gm12778",0.387694742624318,0
"Gm12826",0.139433961643512,0
"Gm13028",0.251019681169815,0
"Gm13052",0.38291838460592,0.0226379929012692
"Gm13148",3.01273482404608,0
"Gm13182",0.107008305890946,0
"Gm13223",0.356812528560605,0
"Gm14150",5.74181717932775,0
"Gm14169",0.422040148332828,0
"Gm14753",3.4948865491358,0
"Gm14808",0.42301252591797,0
"Gm15217",0.537687137827068,0
"Gm15396",0.683449631960803,0.0372105652748095
"Gm15912",3.28561375656229,2.3994565560514
"Gm16401",0.521679371706175,0
"Gm16465",1.56875622081554,0
"Gm17872",0.186206335861388,0
"Gm1826",3.95347766829755,0
"Gm18705",0.628010368300708,0
"Gm19439",0.519426432669119,0.220402181389131
"Gm20684",0.462222388279405,0
"Gm2077",0.243482670366276,0
"Gm21168",0.848468079555784,0
"Gm22246",0.355540378082428,0
"Gm22350",0.116865878006895,0
"Gm23144",0.178504134728392,0
"Gm23431",0.659861206774033,0
"Gm23464",0.524316633988986,0
"Gm23779",0.191165798529246,0
"Gm23814",0.231569728004701,0
"Gm24166",2.36382641079508,0
"Gm24183",0.531937916874551,0
"Gm2423",5.58743747462838,0
"Gm24290",0.26560505816508,0
"Gm24375",0.123179979162238,0
"Gm24480",0.566018721107516,0
"Gm25737",0.222137522964743,0
"Gm26058",0.264574688603008,0
"Gm26210",0.193486319258041,0
"Gm26384",1.03740610130757,0
"Gm2654",1.06956060068438,0
"Gm26583",0.915072693630448,0
"Gm26588",0.789035306723552,0
"Gm26705",0.380478727413599,0
"Gm26834",0.401746880359826,0.0699058329820106
"Gm26840",0.908890595119319,0
"Gm2719",3.42234946267346,0
"Gm2721",0.278677003808431,0
"Gm28386",0.336975209906497,0
"Gm28616",0.195588286236941,0
"Gm29127",0.48935106862722,0
"Gm29718",4.2903480313724,0
"Gm32507",0.252457311041765,0.0361594613092451
"Gm32568",0.218981747515669,0
"Gm33594",0.74436507203896,0
"Gm34144",1.04532708985375,0
"Gm3571",6.05711876953065,0
"Gm36855",0.451548069124567,0.0201188177647884
"Gm36961",1.49389024420957,0
"Gm37120",0.473944751783056,0.110913552208019
"Gm37167",0.24942642475593,0
"Gm37375",0.140528071425577,0
"Gm37459",1.02316071862825,0.0198476932883879
"Gm38040",0.83273846829316,0
"Gm39164",0.17022309628401,0.095870801842729
"Gm42417",0.417047577806922,0
"Gm42429",0.422771008563853,0
"Gm42492",0.354616495525092,0.0830852163600125
"Gm42500",0.433809787319055,0.194522511806451
"Gm42501",0.38934381138467,0
"Gm42528",1.98133264549033,0.176535813720701
"Gm42902",0.597701527284853,0.056734983150752
"Gm42966",0.478298297736808,0.172960798361295
"Gm43037",0.217031951457011,0
"Gm43206",1.57919243833593,0
"Gm43432",0.200409906642048,0
"Gm43520",0.459370321194729,0
"Gm43798",0.106205946863037,0
"Gm4419",2.9508271444653,0.164369472927235
"Gm44268",0.143140258166355,0
"Gm44380",0.241461781616481,0
"Gm45089",0.20111361298725,0
"Gm45869",0.425883324307507,0
"Gm47063",0.536268173088167,0
"Gm47135",1.57805010296967,0.247504369257856
"Gm47169",1.05185489452041,0
"Gm4768",4.95628147444093,0
"Gm47776",0.241128035068887,0
"Gm48016",0.483302883024683,0
"Gm48022",0.192910937274,0
"Gm48300",0.18184695119939,0
"Gm4887",4.08995792565147,0
"Gm4930",0.177114109867732,0
