"GeneName","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"MORC1","-0.0124344387172508","0.0014478096550771","0.0388444645845689","-0.0155498933487188","-0.00991583728566874","0.00554395332045792","0.0186821764171535","0.0303826174207125","0.0089592923801947","-0.431755619104258","0.355225352984788","0.00479998302969084","0.000951210387013393","0.00408839083277083","0.728123926829432","0.967715227290292","0.277337611375916","0.663759439095745","0.781620963372443","0.876833769967212","0.60145319495125","0.395574177722054","0.802227805859731","6.10318975709534e-37","9.90721671786528e-25","0.893255610432454","0.978785631910088","0.909005714057145"
"AZI2","0.00816983353098755","-0.025588461947341","0.0233626630123378","1.39837170402148e-05","-0.00661055819044583","-0.0158293713054053","-0.0559715756850929","0.13149198359128","0.00333777559262155","-0.0923348337152475","0.120449976012083","0.0398555450398888","-0.00377557353614547","-0.0100183991577808","0.819339830767597","0.474330468785522","0.513627364751577","0.999688091497566","0.85338409000364","0.658096367568428","0.117364712853602","0.000222547746054319","0.925658194138254","0.00968779510374538","0.000726100261456732","0.265014336103623","0.91594117537296","0.779420251011046"
"ATF2","-0.000886462875796303","-0.0152020013783096","-0.00383276867852177","0.00427901741430572","0.039663349142675","0.0116134801972895","0.0394692988231338","-0.072189846105156","-0.0171104917221758","-0.00980090413737264","-0.0142906751200777","-0.0101156390283304","-0.00218046688715378","-0.00519336132811429","0.980229357388776","0.670835626287245","0.914672610930304","0.90478269644452","0.267327396150985","0.745431179214276","0.269676790949356","0.0433079763976633","0.632390891873665","0.784089205807101","0.689509456834931","0.777335363135341","0.951394464569944","0.884566325002699"
"CNOT4","-0.00237188715415768","-0.00522470440745216","0.0213601490398517","-0.0056773891183272","-0.00867635762496015","-0.0176830070741211","-0.120469119544514","0.183821061341503","0.218712137516518","-0.11709501258861","0.0918686257719281","0.0100476398395544","-0.000921942375105288","-0.0148250208125248","0.947133435771719","0.883874573100432","0.550375174401645","0.873893787320325","0.80835017827915","0.62104288300283","0.000724672331770698","2.18338862985662e-07","6.04502096300585e-10","0.00102078305116158","0.0100628651539798","0.778793143937807","0.979438235166571","0.678536492461535"
"UXT","-0.000886462875796303","0.0514287168781736","-0.00574915301778265","-0.0129489219792389","0.00234123935911623","0.0395988592420476","-0.305491998123224","0.312635888069893","0.523890230121895","0.152171932659207","0.308270277590247","-0.0012881736431977","-0.0140486457158901","0.0118600166500199","0.980229357388776","0.150247280273596","0.872313333459632","0.717347179696886","0.947815559585048","0.268106621217415","2.13057699300191e-18","3.08786487159344e-19","1.79006803303784e-56","1.87769431318844e-05","1.01158276426005e-18","0.971273327200881","0.69450130833437","0.740219810906977"
"PTPRF","-0.0136802784345862","-0.0104494088149043","0.0220491861056533","0.0137599775675713","-0.00390206559852705","0.0141226700793317","0.153898410144515","-0.204428943239569","-0.15652410805399","0.000515837059861718","-0.308270277590247","-0.0101205583835624","0.0186583575914166","-0.00930016833580751","0.702124258727618","0.770191367591534","0.537586283016773","0.700472404683555","0.913135924988669","0.69297314092356","1.50408394847692e-05","7.65052245064916e-09","1.06839221774294e-05","0.988494589593734","1.01158276426005e-18","0.777229931246382","0.601916934518798","0.794867749923073"
"TBCC","0.01923864025039","-0.0169645522627513","0.00193791674756719","0.00750925605059533","-0.00849273100855888","0.0125402980816474","0.244379857011412","-0.295172108999176","-0.305424033964833","-0.204787312765102","-0.118408450994929","-0.0104208134096066","0.00800480125686655","-0.0100368153327032","0.59066527587829","0.635297619319064","0.95679562530258","0.833724923263754","0.812329942490706","0.725902048257436","4.00037562114811e-12","3.16250411106599e-17","2.16953898406309e-18","7.19416634538206e-09","0.000894261532019614","0.770802670342249","0.822928181147704","0.779025273804111"
"TAF7","-0.00016770919271822","0.0338976304025661","0.00811771793147588","-0.00942502528510476","-0.00583014507074042","0.0263973557185107","-0.0242662171115485","0.083614457368887","0.177042644328632","-0.256371018751274","-0.0571627004803108","0.0046885316120431","-0.00752187906038283","0.0189134116452957","0.99625923972449","0.343184607672713","0.82047259311003","0.792176404984139","0.870530259456145","0.460468718143889","0.497473816776095","0.0192027838427478","6.0773061752165e-07","3.12033500132538e-13","0.109751808480579","0.895719820307887","0.833449500192902","0.596959561195672"
"F8A1","-0.00376147760810864","0.00374542062943859","-0.000796699107333177","0.00455869175511002","-0.000413159886902864","0.0112065845407422","0.103192322496755","-0.202218732341136","-0.125535496762493","0.106778271391376","0.177612676492394","-0.0150089154505343","0.00818040932831518","-0.00694289794574145","0.916253850133541","0.916610040516854","0.982230995673558","0.898591866983213","0.99078462294239","0.754057654856805","0.00382189142681617","1.11521508680558e-08","0.000426156277665123","0.00275721974355508","5.58427590569348e-07","0.674775690439742","0.819110005606295","0.846102825075858"
"TPX2","-0.0140156968200226","0.0117398478552991","0.00971111614614224","-0.00272682482284188","-0.0140474361546974","-0.00428935837943686","0.0165085229924897","-0.0267715686289065","-0.0485207167727407","-0.109873293750546","0.136782176149315","0.00145240538356207","-0.00354142944088063","-0.0154511707598861","0.69518190834024","0.742758508642139","0.786018955262354","0.939236581692244","0.694526288967883","0.904553685156254","0.644416562266612","0.454133271259548","0.174713916974632","0.0020639278759003","0.000122105095799702","0.967612803039539","0.921136587527169","0.665764469811959"
