"","Gene","modulesA1"
"156","HIST1H2BD","blue"
"157","TSPAN15","red"
"158","HAMP","yellow"
"159","SLC6A3","lightgreen"
"160","S100A4","blue"
"161","LHCGR","pink"
"162","TXNIP","purple"
"163","RAB3A","magenta"
"164","BGN","blue"
"165","LILRB3","yellow"
"166","RORA","brown"
"167","HLA-DQB1","yellow"
"168","VSIG4","yellow"
"169","RNASE2","yellow"
"170","GPNMB","yellow"
"171","GRIA3","turquoise"
"172","ALLC","pink"
"173","CD44","darkgreen"
"174","ENSA","tan"
"175","SLC30A4","turquoise"
"176","HSD11B2","blue"
"177","GJA1","purple"
"178","SERPINA5","darkgreen"
"179","NR6A1","blue"
"180","NFE2","yellow"
"181","CES1","pink"
"182","OR7A17","blue"
"183","HSD11B1","red"
"184","ADARB2","green"
"185","CCL19","turquoise"
"186","DIO2","turquoise"
"187","MOBP","red"
"188","MS4A6A","yellow"
"189","CFI","darkgreen"
"190","TGFBI","pink"
"191","DLK1","lightgreen"
"192","SYT1","turquoise"
"193","GPR17","green"
"194","FRZB","pink"
"195","DDX3Y","blue"
"196","RNASE3","yellow"
"197","AQP4","grey60"
"198","RIPK4","pink"
"199","BCAS1","red"
"200","HBG1","blue"
"201","CBX8","green"
"202","TH","lightgreen"
"203","SYCP1","turquoise"
"204","CLEC3B","pink"
"205","CAMP","turquoise"
"206","ALOX15","lightcyan"
"207","FGL2","pink"
"208","IGFBP4","blue"
"209","HLA-G","blue"
"210","CCL14","pink"
"211","F3","darkgreen"
"212","SCGB1D2","purple"
"213","BPESC1","turquoise"
"214","CCL8","turquoise"
"215","STC1","yellow"
"216","C7","pink"
"217","SLC4A10","tan"
"218","FKBP5","blue"
"219","CLPTM1","brown"
"220","SLC22A2","pink"
"221","IER3","blue"
"222","RAB3B","turquoise"
"223","FGF7","turquoise"
"224","COL1A2","pink"
"225","CCL15","pink"
"226","LOX","blue"
"227","KRT5","midnightblue"
"228","FOSB","turquoise"
"229","PEX6","blue"
"230","MICA","purple"
"231","NTRK2","turquoise"
"232","QDPR","darkred"
"233","COL6A3","pink"
"234","DDX43","blue"
"235","CEBPD","blue"
"236","MYBPC1","purple"
"237","RGR","blue"
"238","PLA1A","cyan"
"239","PLXNB3","green"
"240","TSPAN8","red"
"241","MICB","lightcyan"
"242","TF","red"
"243","HOXD1","red"
"244","CCKAR","turquoise"
"245","CD14","yellow"
"246","GBP2","darkgreen"
"247","LCN2","turquoise"
"248","BARX1","blue"
"249","KLF2","blue"
"250","TPM2","blue"
"251","FBXO40","turquoise"
"252","SLAMF8","yellow"
"253","GADD45B","yellow"
"254","MEOX2","pink"
"255","FAM107A","purple"
"256","AZGP1","blue"
"257","MYOT","blue"
"258","CNGA1","turquoise"
"259","STMN2","brown"
"260","RBM3","turquoise"
"261","ALDH1A1","lightgreen"
"262","CALB1","tan"
"263","TNC","brown"
"264","PCDHGA9","magenta"
"265","CFH","pink"
"266","CD36","turquoise"
"267","PCDH8","brown"
"268","CST7","yellow"
"269","TLN1","blue"
"270","KCNC3","turquoise"
"271","FPR1","yellow"
"272","IGFBP5","pink"
"273","SCG2","brown"
"274","IFNA21","blue"
"275","CLEC5A","yellow"
"276","HAND2","blue"
"277","GLI1","blue"
"278","PCDHGB6","magenta"
"279","UCHL1","turquoise"
"280","CD68","yellow"
"281","PRELP","pink"
"282","FOLH1","red"
"283","TIMP1","yellow"
"284","ALX3","pink"
"285","DMBT1","red"
"286","PTK2B","magenta"
"287","NAT1","blue"
"288","CHORDC1","lightcyan"
"289","PDK4","blue"
"290","ST14","yellow"
"291","PDLIM4","blue"
"292","CCR5","yellow"
"293","FCGR2B","pink"
"294","FOS","yellow"
"295","NEFL","brown"
"296","SMAD6","blue"
"297","HBD","turquoise"
"298","CBLN1","lightgreen"
"299","NIN","magenta"
"300","MSR1","yellow"
"301","ZIC1","pink"
"302","CD86","yellow"
"303","KCNJ16","purple"
"304","RPE65","turquoise"
"305","BASP1","brown"
"306","RAMP2","greenyellow"
"307","ABCA8","red"
"308","IL18","yellow"
"309","ID3","blue"
"310","S100A11","yellow"
"311","SLC17A6","brown"
"312","DUSP6","midnightblue"
"313","BDNF","midnightblue"
"314","CIRBP","turquoise"
"315","MMP10","blue"
"316","FOXC1","pink"
"317","PRKY","blue"
"318","MPZ","blue"
"319","USH1C","red"
"320","GLUL","purple"
"321","GBP1","darkgreen"
"322","TFPI2","pink"
"323","ATP12A","turquoise"
"324","MBNL1","turquoise"
"325","FOXA1","lightgreen"
"326","PTGFR","pink"
"327","AEBP1","yellow"
"328","GDAP1","tan"
"329","PLA2G5","turquoise"
"330","APOC2","yellow"
"331","PITPNB","tan"
"332","SCGN","blue"
"333","NEK2","turquoise"
"334","C5AR1","yellow"
"335","NEUROD6","midnightblue"
"336","IFI30","yellow"
"337","DUSP1","blue"
"338","MAG","red"
"339","KCNJ6","lightgreen"
"340","CD74","yellow"
"341","CALB2","brown"
"342","ATP1A2","royalblue"
"343","KLK5","turquoise"
"344","CPVL","yellow"
"345","HLA-DRA","yellow"
"346","APOC1","yellow"
"347","PDLIM7","blue"
"348","PCSK7","brown"
"349","SS18","turquoise"
"350","HES1","blue"
"351","PTGIS","pink"
"352","CST3","royalblue"
"353","RARA","magenta"
"354","CD180","yellow"
"355","RLBP1","turquoise"
"356","MATN3","blue"
"357","EMP1","darkgreen"
"358","EFEMP1","purple"
"359","CNTFR","magenta"
"360","NOV","pink"
"361","EVI2A","red"
"362","NEFH","brown"
"363","MAP2","turquoise"
"364","CHRM5","brown"
"365","POMC","turquoise"
"366","CA2","blue"
"367","GPRC5A","pink"
"368","LMO3","tan"
"369","CFB","pink"
"370","S100A10","yellow"
"371","FCGR2A","yellow"
"372","SORD","brown"
"373","GADD45G","purple"
"374","ADH1A","pink"
"375","CAMK2A","brown"
"376","SYN2","tan"
"377","IMPDH2","turquoise"
"378","PGAM2","blue"
"379","MX2","turquoise"
"380","EDIL3","red"
"381","APBB1IP","yellow"
"382","CRLF1","purple"
"383","RAC3","turquoise"
"384","THBS1","yellow"
"385","TWIST1","pink"
"386","TNS1","blue"
"387","CLUL1","turquoise"
"388","HSPH1","lightcyan"
"389","GJA4","blue"
"390","LHX1","blue"
"391","TYMS","red"
"392","RHAG","blue"
"393","GMNN","purple"
"394","GREM1","red"
"395","HAPLN2","green"
"396","GADD45A","darkgreen"
"397","KLF5","pink"
"398","SLC38A2","blue"
"399","CD226","turquoise"
"400","ALOX5AP","yellow"
"401","C21orf62","blue"
"402","CISH","brown"
"403","NDRG1","darkred"
"404","TRIP10","blue"
"405","COL1A1","pink"
"406","HLA-C","black"
"407","PLP1","red"
"408","TNF","yellow"
"409","CNN2","blue"
"410","KRT19","pink"
"411","SPINK2","turquoise"
"412","TYROBP","yellow"
"413","ARNT","turquoise"
"414","PDE11A","red"
"415","SYNGR3","brown"
"416","LILRB2","yellow"
"417","ENOSF1","red"
"418","FABP5","darkgreen"
"419","CD99","blue"
"420","CA14","red"
"421","TLR8","yellow"
"422","WISP2","blue"
"423","S100A6","blue"
"424","CHGB","brown"
"425","NFKBIA","blue"
"426","KLK7","turquoise"
"427","SLC11A1","yellow"
"428","HS3ST2","turquoise"
"429","FOXF1","blue"
"430","NR4A3","midnightblue"
"431","DLG4","brown"
"432","PPP1R3C","purple"
"433","SLC1A3","purple"
"434","PDE6B","red"
"435","RELN","midnightblue"
"436","PMP2","darkgreen"
"437","POSTN","pink"
"438","COL9A3","red"
"439","KCNQ1DN","red"
"440","IL10","pink"
"441","MSX1","pink"
"442","CSF3R","yellow"
"443","MTHFD2","blue"
"444","SLC16A1","blue"
"445","PHLDA2","turquoise"
"446","PCDHB11","brown"
"447","NDRG4","brown"
"448","H1F0","brown"
"449","NEUROD2","magenta"
"450","GCG","blue"
"451","HOXB1","turquoise"
"452","IL10RA","yellow"
"453","FGF12","turquoise"
"454","SERPINA1","yellow"
"455","EDAR","blue"
"456","CDA","blue"
"457","IGF1","midnightblue"
"458","ADAMTS1","blue"
"459","ACTB","magenta"
"460","MRC2","pink"
"461","DLX2","turquoise"
"462","IL17RB","blue"
"463","CD48","yellow"
"464","AQP9","yellow"
"465","ANXA3","blue"
"466","SLC7A2","blue"
"467","ANXA2","yellow"
"468","VAV3","royalblue"
"469","MUC4","pink"
"470","HMOX1","yellow"
"471","IFITM1","yellow"
"472","IFI44L","turquoise"
"473","CCDC19","brown"
"474","VHL","turquoise"
"475","PCP4","turquoise"
"476","FFAR3","green"
"477","THY1","brown"
"478","NTSR1","lightgreen"
"479","MMRN1","blue"
"480","FGF13","brown"
"481","HYAL2","cyan"
"482","C3","yellow"
"483","KCNJ15","yellow"
"484","FZD7","blue"
"485","CITED2","turquoise"
"486","IL15RA","blue"
"487","CHRNA5","blue"
"488","SIX3","blue"
"489","ID1","cyan"
"490","IFITM3","yellow"
"491","ATP2A3","lightgreen"
"492","SELL","yellow"
"493","CD69","yellow"
"494","TREM2","yellow"
"495","CLEC2B","blue"
"496","EBI3","yellow"
"497","ID4","purple"
"498","SCD","turquoise"
"499","ADORA3","yellow"
"500","KMO","midnightblue"
"501","EDNRB","royalblue"
"502","STX11","yellow"
"503","HMGA2","blue"
"504","TNFRSF8","turquoise"
"505","DNAJB4","lightcyan"
"506","NPTXR","magenta"
"507","DTNA","darkgreen"
"508","SLCO1C1","royalblue"
"509","IL1RAPL2","turquoise"
"510","CDKN1A","yellow"
"511","IL15","blue"
"512","ABCA1","purple"
"513","COL15A1","pink"
"514","RHO","salmon"
"515","SNCG","magenta"
"516","SDC4","royalblue"
"517","CTSC","yellow"
"518","SCN3B","turquoise"
"519","PRRX2","pink"
"520","SLC7A7","yellow"
"521","RGS4","turquoise"
"522","AIF1","yellow"
"523","GNMT","turquoise"
"524","FXYD1","royalblue"
"525","ZFP36","yellow"
"526","SEMA3E","turquoise"
"527","TPD52L1","blue"
"528","PDPN","darkgreen"
"529","INADL","blue"
"530","CYTL1","yellow"
"531","COL10A1","turquoise"
"532","COCH","pink"
"533","PKP2","pink"
"534","IRF5","yellow"
"535","CRHBP","midnightblue"
"536","PDYN","brown"
"537","RAB5C","brown"
"538","CHGA","brown"
"539","TRH","turquoise"
"540","LCP1","yellow"
"541","STMN4","red"
"542","AKR1C3","blue"
"543","TEX14","blue"
"544","BHMT","red"
"545","CRYM","midnightblue"
"546","GAPDH","turquoise"
"547","AKT3","blue"
"548","EFNA2","turquoise"
"549","SPAG6","red"
"550","CLSTN2","lightgreen"
"551","TINAGL1","blue"
"552","RAC1","turquoise"
"553","INA","brown"
"554","MSLN","blue"
"555","SEMA3G","red"
"556","ITPKB","blue"
"557","GPX3","turquoise"
"558","HOXB2","blue"
"559","LRP2","green"
"560","COLEC12","pink"
"561","RARRES3","darkgreen"
"562","CLEC10A","yellow"
"563","THBS2","red"
"564","FGF4","turquoise"
"565","HIST2H2BE","blue"
"566","SERPINB9","brown"
"567","FABP7","brown"
"568","SPARC","lightgreen"
"569","UBE2C","blue"
"570","DKK1","brown"
"571","SERPINA6","darkgreen"
"572","SLC2A5","yellow"
"573","OR12D3","turquoise"
"574","FA2H","red"
"575","LAMB3","turquoise"
"576","KLKB1","blue"
"577","OAS1","turquoise"
"578","UCP2","yellow"
"579","A4GALT","blue"
"580","SOX18","cyan"
"581","TTPA","blue"
"582","ROR1","blue"
"583","KRT18","pink"
"584","CYBB","yellow"
"585","FGF2","blue"
"586","PTPRN","magenta"
"587","CA4","red"
"588","P4HA1","lightcyan"
"589","MET","turquoise"
"590","APLP1","greenyellow"
"591","OSR2","blue"
"592","CNTN6","turquoise"
"593","TNFRSF12A","blue"
"594","CNTN2","red"
"595","TUBB3","brown"
"596","GABRA1","turquoise"
"597","CLCA4","turquoise"
"598","ANXA1","yellow"
"599","HLA-DMB","yellow"
"600","MEPE","brown"
"601","MMP1","turquoise"
"602","TPBG","turquoise"
"603","ARSF","turquoise"
"604","PLA2R1","pink"
"605","POU2F3","brown"
"606","SLC6A14","blue"
"607","PLAT","cyan"
"608","BCAP29","blue"
"609","DIO3","blue"
"610","ECM2","pink"
"611","JUN","turquoise"
"612","THBD","yellow"
"613","NOTCH3","blue"
"614","MYBPH","blue"
"615","DYSF","green"
"616","ADAM12","pink"
"617","HIPK2","green"
"618","CYB5R2","red"
"619","RHOH","brown"
"620","LAMP2","blue"
"621","RNASE6","yellow"
"622","GAD2","turquoise"
"623","MAFB","yellow"
"624","VWF","cyan"
"625","RFPL2","brown"
"626","CDKN1C","green"
"627","CSF1R","yellow"
"628","NCF2","yellow"
"629","PLSCR1","yellow"
"630","B3GALT2","tan"
"631","P2RX7","blue"
"632","IFI27","black"
"633","JUP","salmon"
"634","POU4F3","blue"
"635","EPHA2","blue"
"636","DAB2","pink"
"637","C3AR1","yellow"
"638","C1R","pink"
"639","CXCL14","turquoise"
"640","GZMK","blue"
"641","SDC1","lightgreen"
"642","CD209","turquoise"
"643","IL3RA","blue"
"644","CCL20","turquoise"
"645","UGT8","red"
"646","CDC42","brown"
"647","DEFA4","turquoise"
"648","CYP24A1","turquoise"
"649","U2AF1","darkred"
"650","CLPS","blue"
"651","HSPA2","red"
"652","CCR1","yellow"
"653","EDN3","turquoise"
"654","MEF2C","tan"
"655","EMCN","cyan"
"656","FZD9","blue"
"657","IL7","blue"
"658","LRRC32","cyan"
"659","DNMT3B","blue"
"660","B2M","yellow"
"661","RGS16","blue"
"662","FYB","yellow"
"663","GPR4","blue"
"664","RTN1","turquoise"
"665","CXCL5","blue"
"666","HTR2B","red"
"667","ASPA","red"
"668","SGK2","red"
"669","BCL6","blue"
"670","ADRBK2","turquoise"
"671","ST8SIA3","turquoise"
"672","SRPX2","purple"
"673","GSTM2","turquoise"
"674","TNS3","purple"
"675","HIST1H4D","blue"
"676","HOXD11","blue"
"677","IL21R","brown"
"678","COL9A2","red"
"679","PTGS2","blue"
"680","CRABP2","pink"
"681","ASPN","pink"
"682","DUSP2","midnightblue"
"683","CYP2A7","turquoise"
"684","DNM1","brown"
"685","DPP4","turquoise"
"686","TRIO","brown"
"687","PTN","pink"
"688","PDE1A","turquoise"
"689","PKD2L1","turquoise"
"690","COL13A1","red"
"691","SDPR","blue"
"692","BRD8","blue"
"693","INSIG1","red"
"694","PDGFB","blue"
"695","LPL","yellow"
"696","SLC18A1","brown"
"697","LRRC2","turquoise"
"698","TNFRSF10D","blue"
"699","CTSS","yellow"
"700","CETP","turquoise"
"701","MDK","turquoise"
"702","SLC17A7","midnightblue"
"703","GABRA6","red"
"704","HSPA4L","lightcyan"
"705","SERPINB7","turquoise"
"706","CTSH","purple"
"707","NRGN","midnightblue"
"708","LILRB4","yellow"
"709","KRTAP1-3","blue"
"710","C1S","pink"
"711","KLK14","lightcyan"
"712","NPTX1","midnightblue"
"713","PLSCR4","purple"
"714","DHCR24","green"
"715","FAS","blue"
"716","SIGLEC8","turquoise"
"717","ITGB2","yellow"
"718","SCN1B","brown"
"719","BBOX1","purple"
"720","MSX2","blue"
"721","KLK6","red"
"722","CYP26B1","pink"
"723","SLC12A5","brown"
"724","COL11A1","pink"
"725","ALOX15B","yellow"
"726","OLFM1","turquoise"
"727","VSNL1","brown"
"728","OPRK1","blue"
"729","NEUROD1","yellow"
"730","AMPD2","brown"
"731","SCGB1D1","blue"
"732","HTR2C","turquoise"
"733","SPARCL1","purple"
"734","INHBA","turquoise"
"735","COL18A1","pink"
"736","IL1RN","turquoise"
"737","ACOT7","brown"
"738","SAA1","turquoise"
"739","TGFB3","green"
"740","SLC4A4","royalblue"
"741","COX7A1","turquoise"
"742","OLR1","yellow"
"743","MOG","red"
"744","IL4R","cyan"
"745","TFRC","black"
"746","CDR1","brown"
"747","FOLR2","pink"
"748","RFPL3","brown"
"749","GSTM3","brown"
"750","GABRG2","turquoise"
"751","CHIA","brown"
"752","MYL5","turquoise"
"753","KLRG1","blue"
"754","POMZP3","green"
"755","PSMB1","darkred"
"756","SLC22A8","pink"
"757","UBE2G1","blue"
"758","RPS3A","black"
"759","IGFBP1","blue"
"760","SLC12A1","turquoise"
"761","RPS6KA2","black"
"762","HIGD1B","blue"
"763","GRIA1","tan"
"764","FXYD3","blue"
"765","MSMB","turquoise"
"766","PTX3","turquoise"
"767","CACNA1G","brown"
"768","MRAS","blue"
"769","PTMA","green"
"770","MMP14","blue"
"771","LHX2","purple"
"772","LGALS8","turquoise"
"773","PRL","brown"
"774","SULT1B1","yellow"
"775","KTN1","green"
"776","HIST1H2AC","blue"
"777","ACSL5","cyan"
"778","FBP2","turquoise"
"779","ALOX5","yellow"
"780","LIMK2","darkgreen"
"781","MTTP","blue"
"782","CD300C","yellow"
"783","LY86","yellow"
"784","LIG4","tan"
"785","MAPRE3","magenta"
"786","FTCD","turquoise"
"787","KCNQ3","turquoise"
"788","MAP4K4","green"
"789","DNASE1L3","pink"
"790","HIST1H4E","turquoise"
"791","PYY2","turquoise"
"792","IBSP","turquoise"
"793","EGR3","turquoise"
"794","GBE1","lightgreen"
"795","TP53","magenta"
"796","LYPD1","brown"
"797","SULT4A1","brown"
"798","TNFAIP6","brown"
"799","SCG3","turquoise"
"800","ACADL","pink"
"801","TUBA8","brown"
"802","FMO3","blue"
"803","FGFR4","lightcyan"
"804","PLTP","yellow"
"805","HSP90AA1","lightcyan"
"806","ITGB3BP","blue"
"807","RGS2","lightcyan"
"808","IL13RA2","turquoise"
"809","IGFBP2","pink"
"810","MGAM","yellow"
"811","GJB1","red"
"812","MDFI","pink"
"813","KCNA1","turquoise"
"814","COX6A2","turquoise"
"815","SLIT3","turquoise"
"816","RASL12","blue"
"817","BIRC7","blue"
"818","CASP1","yellow"
"819","GPSM3","yellow"
"820","AMPH","brown"
"821","NPL","purple"
"822","CPLX2","brown"
"823","SLC13A1","green"
"824","STXBP1","brown"
"825","CAPN3","red"
"826","FOXA2","lightgreen"
"827","SFRP5","brown"
"828","PRKAR2B","brown"
"829","HEYL","blue"
"830","SYPL1","blue"
"831","PLOD2","blue"
"832","LEPR","pink"
"833","EMP2","cyan"
"834","CLDN5","cyan"
"835","CCNE2","red"
"836","PIP5K1B","lightgreen"
"837","HPSE2","purple"
"838","GREM2","turquoise"
"839","ABCC3","blue"
"840","LMNB1","blue"
"841","SLC22A6","pink"
"842","RPLP2","turquoise"
"843","CPA2","green"
"844","GABBR2","brown"
"845","IGLL1","blue"
"846","SLA","yellow"
"847","PPAP2C","green"
"848","FZD2","pink"
"849","ITGBL1","pink"
"850","TFF3","pink"
"851","TBXAS1","yellow"
"852","RCC1","lightcyan"
"853","LMOD1","blue"
"854","LGALS3","yellow"
"855","CH25H","turquoise"
"856","CA5A","cyan"
"857","KCNJ4","brown"
"858","AOC3","blue"
"859","MFAP2","pink"
"860","MYC","blue"
"861","LGALS1","brown"
"862","INSL5","brown"
"863","NTSR2","royalblue"
"864","GALNT6","blue"
"865","CLIC5","cyan"
"866","LILRA2","yellow"
"867","ING1","blue"
"868","TNFSF10","cyan"
"869","HCK","yellow"
"870","ACP5","blue"
"871","BCL3","blue"
"872","IFI16","yellow"
"873","CCNI","turquoise"
"874","PDHA2","turquoise"
"875","SORBS1","purple"
"876","IRF1","blue"
"877","HOXD13","turquoise"
"878","SOCS3","blue"
"879","EPHX1","blue"
"880","HSPB3","midnightblue"
"881","TAC3","turquoise"
"882","MYBPC2","turquoise"
"883","CACNB4","turquoise"
"884","PPEF1","midnightblue"
"885","UCP1","turquoise"
"886","TCAP","blue"
"887","ADH6","turquoise"
"888","RPS12","black"
"889","MAN2A1","green"
"890","ZFP36L1","blue"
"891","KIF5A","turquoise"
"892","ATP1B1","turquoise"
"893","NDUFA4","turquoise"
"894","COL4A1","yellow"
"895","ERBB2IP","blue"
"896","OSM","brown"
"897","PNOC","midnightblue"
"898","SLCO1A2","red"
"899","ITGA5","blue"
"900","IFNA16","turquoise"
"901","CSHL1","turquoise"
"902","ITM2C","royalblue"
"903","PHEX","purple"
"904","KIT","turquoise"
"905","GPC3","pink"
"906","SOX9","purple"
"907","ALDH1A3","turquoise"
"908","CSF3","turquoise"
"909","ISG20","blue"
"910","IL2RB","turquoise"
"911","PYGM","blue"
"912","NUMA1","blue"
"913","PGR","blue"
"914","CSRP2","brown"
"915","GPR65","yellow"
"916","ELF2","blue"
"917","FCN1","yellow"
"918","ITM2A","cyan"
"919","HDC","brown"
"920","TFPI","pink"
"921","P2RY6","darkgreen"
"922","FABP6","brown"
"923","EMP3","yellow"
"924","ARHGAP29","cyan"
"925","ENPP2","red"
"926","SRD5A1","brown"
"927","CD9","red"
"928","TNNI3","turquoise"
"929","HCLS1","yellow"
"930","NDUFS1","grey60"
"931","SLC25A32","turquoise"
"932","ABCG2","cyan"
"933","IGFBP3","cyan"
"934","BLNK","yellow"
"935","GDI1","magenta"
"936","PODXL","cyan"
"937","CHN1","brown"
"938","TNK1","green"
"939","FLT1","cyan"
"940","ATP1A3","turquoise"
"941","KLF10","turquoise"
"942","CYP4F12","green"
"943","PMAIP1","blue"
"944","RET","brown"
"945","ISLR","pink"
"946","TLR7","yellow"
"947","KCNH2","turquoise"
"948","GNB5","turquoise"
"949","CEBPB","yellow"
"950","CENPF","salmon"
"951","GDF10","purple"
"952","GNG3","turquoise"
"953","CAMK4","tan"
"954","ANGPTL2","red"
"955","CRYZ","yellow"
"956","KCNB2","brown"
"957","BTG2","yellow"
"958","FCER1G","yellow"
"959","ADA","green"
"960","SLC9A3R2","green"
"961","CNGB1","turquoise"
"962","CD37","yellow"
"963","EN1","lightgreen"
"964","SLC22A18AS","turquoise"
"965","S100B","red"
"966","BTN3A2","yellow"
"967","GUCY1B3","turquoise"
"968","MCAM","red"
"969","SRPX","purple"
"970","MYLK","blue"
"971","KRT15","black"
"972","ICAM2","cyan"
"973","GALR1","turquoise"
"974","GPR22","turquoise"
"975","CLCF1","darkgreen"
"976","CDH8","turquoise"
"977","FABP1","turquoise"
"978","RPL3L","turquoise"
"979","LAD1","turquoise"
"980","GPX1","darkred"
"981","SMTN","blue"
"982","THEG","turquoise"
"983","CABP1","brown"
"984","KCNMB3","blue"
"985","TMPRSS4","turquoise"
"986","ELAVL2","brown"
"987","PCOLCE","pink"
"988","HLA-A","turquoise"
"989","GRIK2","tan"
"990","PYGL","yellow"
"991","RAPGEF4","turquoise"
"992","HSD17B2","turquoise"
"993","HSPE1","darkred"
"994","RGS10","yellow"
"995","TKT","darkred"
"996","PPAP2B","purple"
"997","GNAS","turquoise"
"998","ADORA2B","blue"
"999","TGFB2","blue"
"1000","KCNQ1","yellow"
"1001","ENG","blue"
"1002","SLCO2A1","cyan"
"1003","SOD3","blue"
"1004","AKAP5","turquoise"
"1005","CIDEA","tan"
"1006","RASGRP1","midnightblue"
"1007","AADAC","turquoise"
"1008","CSRP1","blue"
"1009","NT5C2","purple"
"1010","PGF","blue"
"1011","VILL","turquoise"
"1012","KLK12","brown"
"1013","DCC","tan"
"1014","MARCKSL1","red"
"1015","CDK5R2","turquoise"
"1016","PCSK5","blue"
"1017","FKBP2","darkred"
"1018","CLDN10","royalblue"
"1019","COL5A3","blue"
"1020","CLIC3","pink"
"1021","USP9Y","turquoise"
"1022","ROS1","brown"
"1023","RS1","turquoise"
"1024","VAMP1","brown"
"1025","F10","pink"
"1026","DSG2","pink"
"1027","RYBP","blue"
"1028","WNT2B","turquoise"
"1029","ADD2","brown"
"1030","GAL","turquoise"
"1031","ESRRG","turquoise"
"1032","ERBB3","red"
"1033","RHOB","brown"
"1034","HR","brown"
"1035","RIT2","turquoise"
"1036","RNASE1","red"
"1037","ALDH1A2","pink"
"1038","RGS20","turquoise"
"1039","SAMSN1","yellow"
