"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"11","HuAgeMSNDsplit_06","MyeOligoByothers_Zhang_Cuffdiff2FCover20__","User",8.38876199019698e-09,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
"12","HuAgeMSNDsplit_06","npcBYnsc_Walker_FC5___","User",0.00018000392739429,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
"13","HuAgeMSNDsplit_07","PSVZbyQSVZ_Morizur_FC5___","User",2.59279533810368e-05,1.53573849600783e-16,-2.99646375420681e-17,-5.55585850763041e-17,3.25260651745651e-16,-8.44085272597855e-17,-1.52113564799716e-16,0.273948430798222,-0.27129196841544,-0.319684891677461,-0.448290519359613,-0.276604475773918,1.87838026383114e-16,2.64518225032151e-16,-7.83200544349216e-17,0.999999999999997,0.999999999999999,0.999999999999999,0.999999999999993,0.999999999999998,0.999999999999997,5.80234287026491e-15,1.07994493294594e-14,4.35771994295604e-20,5.06782546919589e-40,3.09651985810724e-15,0.999999999999996,0.999999999999994,0.999999999999998
"14","HuAgeMSNDsplit_08","PGBCbyQGBC_Aulestia_FC5___","User",8.26088876354335e-11,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"15","HuAgeMSNDsplit_08","QNSCbyPNSC_Ben_FC5___","User",0.0022493990780189,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"16","HuAgeMSNDsplit_08","npcBYnsc_Walker_FC5___","User",2.49486594853685e-07,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"17","HuAgeMSNDsplit_09","qnpBYtap_Mukherjee_FC5___","User",0.00230518236239479,-5.93600689435814e-17,6.82505267579625e-17,-5.5944832100252e-17,5.36788495597573e-16,-2.12503625807159e-17,-1.03432887255117e-16,0.0396059950486001,-0.129997442848068,0.172708998093366,0.11718507737879,-0.469885749212885,2.05131051034257e-16,1.91036422791946e-16,-9.25366554216378e-17,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999988,1,0.999999999999998,0.268020323418728,0.000262630517717023,1.14608788017988e-06,0.00101160518564606,2.61588119260836e-44,0.999999999999995,0.999999999999996,0.999999999999998
"18","HuAgeMSNDsplit_10","astroBYoFC5__","User",3.84886645220405e-17,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
"19","HuAgeMSNDsplit_10","AstroByothers_Zhang_Cuffdiff2FCover20__","User",1.52744663044419e-05,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
"20","HuAgeMSNDsplit_10","QSVZbyPSVZ_Morizur_FC5___","User",3.35165855516891e-06,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
