"Module","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"MEgreen","5.46437894932694e-17","-4.64309580366917e-17","1.34549489605451e-16","-2.43945488809238e-17","-6.50521303491303e-17","1.13190706807487e-16","-0.295107431832978","0.249382190770272","0.36206193693968","0.733142212709474","-0.353864327720424","-4.7271214720368e-17","-4.74880551548651e-17","-1.28206906896411e-16","0.999999999999999","0.999999999999999","0.999999999999997","0.999999999999999","0.999999999999999","0.999999999999998","3.21532704422508e-17","1.40277769251548e-12","1.07693134164401e-25","4.45799780057295e-133","1.5311911396483e-24","0.999999999999999","0.999999999999999","0.999999999999997"
"MEgreenyellow","2.1967884190335e-16","-2.54774805039885e-16","-1.24713743021934e-16","1.93662224928434e-16","5.47149402608388e-17","-1.18638822724226e-16","-0.234038437072615","0.18777868191885","0.479038615619163","0.592705717339845","-0.432084969192567","4.15832190729659e-16","1.38913403349705e-19","-1.26406114850548e-16","0.999999999999995","0.999999999999994","0.999999999999997","0.999999999999996","0.999999999999999","0.999999999999997","3.2454206119937e-11","1.1797933583753e-07","3.20582436265431e-46","1.55055872271e-75","5.31910558771023e-37","0.999999999999991","1","0.999999999999997"
"MElightyellow","-2.50044126029469e-16","-9.47050597666088e-17","2.83356237779087e-16","-4.44739731153554e-16","-8.64515707285629e-17","3.76868675155961e-16","-0.104550399752066","0.031965458987591","0.0564102900649127","0.116980487854123","0.666624869971853","-5.16513914972094e-16","-2.86988315056913e-16","1.78459677591114e-16","0.999999999999994","0.999999999999998","0.999999999999994","0.99999999999999","0.999999999999998","0.999999999999992","0.00338116709565652","0.371411145947965","0.114513978760728","0.00103256454723597","6.85661076275692e-102","0.999999999999988","0.999999999999994","0.999999999999996"
"MEpink","3.88186729397173e-17","4.89635865489821e-17","3.75337239587326e-17","2.51002967325761e-16","1.51709530083876e-16","-2.88540079416283e-16","-0.170739209793109","0.210546993454077","0.17169668062349","0.125744930141729","0.250824735369693","6.96057794735694e-17","1.35237280358622e-16","7.17267499734942e-18","0.999999999999999","0.999999999999999","0.999999999999999","0.999999999999994","0.999999999999997","0.999999999999994","1.52127824123125e-06","2.63654579098148e-09","1.32617154841677e-06","0.000416727181612076","1.032457730428e-12","0.999999999999998","0.999999999999997","1"
"MEdarkgreen","5.09032919981944e-17","3.16044933279525e-17","-4.20670442924376e-17","5.76795555762288e-17","-7.15573433840433e-17","7.9580439460436e-17","-0.218483376545204","0.275882562535708","0.357175064956045","-0.225904303404259","0.573467603990276","6.72205346941013e-17","3.0140820395097e-17","-1.44198888940572e-17","0.999999999999999","0.999999999999999","0.999999999999999","0.999999999999999","0.999999999999998","0.999999999999998","6.30472394114491e-10","3.67533429342017e-15","5.29035531450798e-25","1.57307188516001e-10","9.51061213382206e-70","0.999999999999998","0.999999999999999","1"
"MEpurple","-2.69568235463681e-16","-1.0045810754436e-18","2.311857844918e-16","-1.2417503006748e-16","-3.54584932379595e-17","-1.01616848616204e-16","-0.330570290514037","0.43383917934949","0.504392286555616","-0.110011109789423","0.53032414998645","2.05971307717934e-16","-1.91903784529934e-16","8.60517711774589e-17","0.999999999999994","1","0.999999999999995","0.999999999999997","0.999999999999999","0.999999999999998","1.90970739052939e-21","2.55065442331699e-37","7.90661203993463e-52","0.00203713924692853","4.49450515902347e-58","0.999999999999995","0.999999999999996","0.999999999999998"
"MEroyalblue","-2.02921989107818e-16","-2.60371151722394e-16","6.46184494801361e-17","3.68845579079569e-16","-2.37535143464418e-16","-1.40187340902376e-16","-0.139645634202605","0.22095373132277","0.227211896009728","-0.253478527195961","0.253270745309204","1.93855348440408e-16","4.90601483049691e-16","-4.02455846426619e-16","0.999999999999995","0.999999999999994","0.999999999999999","0.999999999999992","0.999999999999995","0.999999999999997","8.74252422653961e-05","3.99322521308902e-10","1.22546221649587e-10","5.84494874134514e-13","6.11265989988805e-13","0.999999999999996","0.999999999999989","0.999999999999991"
"MElightcyan","-1.14945759074198e-16","-1.19519736989371e-16","-1.06278917957892e-16","4.63496428737553e-17","-3.06151588455594e-17","-2.8948198005363e-17","-0.258535430397779","0.298466565476438","0.363135062016021","-0.0155229102413415","0.63172571206689","-7.34004870772687e-17","3.26615904461258e-17","2.87042525165537e-17","0.999999999999997","0.999999999999997","0.999999999999998","0.999999999999999","0.999999999999999","0.999999999999999","1.94087652732103e-13","1.35256108856132e-17","7.56434844262631e-26","0.664307221340873","1.48557410680537e-88","0.999999999999998","0.999999999999999","0.999999999999999"
"MEblue","8.863352760069e-18","-6.87790753170492e-17","-5.13098678128765e-17","1.16443313324943e-16","4.11183673915128e-17","-1.04950770296597e-16","-0.478270616035719","0.53787791821963","0.652212940797299","0.163665157438013","0.641820601595416","-7.50267903359969e-17","8.66277535815918e-17","-8.98532550447362e-17","1","0.999999999999998","0.999999999999999","0.999999999999997","0.999999999999999","0.999999999999998","4.66207648435286e-46","5.36400887200177e-60","3.60930416150568e-96","4.09685121990183e-06","3.10943618425558e-92","0.999999999999998","0.999999999999998","0.999999999999998"
"MEyellow","7.34225099338973e-17","5.52367125563474e-17","-4.19789528659231e-17","9.75578667329613e-17","4.47589149988117e-17","-1.63551897719438e-16","-0.376202105199139","0.414361974946269","0.469581099966649","0.130156569428458","0.640308704584729","2.7376104855259e-18","2.02630609773963e-16","1.8702487475375e-18","0.999999999999998","0.999999999999999","0.999999999999999","0.999999999999998","0.999999999999999","0.999999999999996","9.19163837984015e-28","7.03740439551061e-34","3.02173955475459e-44","0.000258061710806315","1.12855373183882e-91","1","0.999999999999996","1"
"MEcyan","-1.96714931670339e-16","1.41596803726607e-16","-1.02267369919695e-16","1.12377555178123e-16","-7.13405029495462e-17","1.29453739394769e-16","-0.28832298716198","0.219763510705413","0.22551536769421","0.547091412071576","0.470438332225988","-1.71954464556201e-16","1.30917412327625e-16","-7.09610321891763e-17","0.999999999999996","0.999999999999997","0.999999999999998","0.999999999999998","0.999999999999998","0.999999999999997","1.78532829490589e-16","4.97942153770035e-10","1.69386034456335e-10","2.07359678124788e-62","2.01298226684262e-44","0.999999999999996","0.999999999999997","0.999999999999998"
"MEsalmon","-3.16885189963201e-16","-1.43846523234514e-16","-6.91720986045752e-17","-1.8702487475375e-17","-4.36797950240098e-17","4.31512464649231e-17","-0.363498593194424","0.324556799931201","0.534413105606041","0.49058152382302","0.518706202397911","-2.51968584885631e-16","-1.07498645401938e-16","-3.86301234056585e-16","0.999999999999993","0.999999999999997","0.999999999999998","1","0.999999999999999","0.999999999999999","6.70915687736266e-26","1.09183346688145e-20","4.14645556908084e-59","1.02577646195168e-48","3.29185452498593e-55","0.999999999999994","0.999999999999998","0.999999999999991"
"MEgrey","2.09203585444656e-16","2.0915615159961e-16","9.35802000126551e-17","-1.19712182874987e-15","3.74984873881268e-16","1.06425285251177e-15","-0.00623123416847133","-0.0798587241173821","-0.141461078278511","0.213139154923946","0.414707977431879","-3.25802752831894e-16","-1.14562222555681e-15","7.21604308424884e-16","0.999999999999995","0.999999999999995","0.999999999999998","0.999999999999973","0.999999999999992","0.999999999999976","0.861709964564787","0.0253485862985838","7.04994413327179e-05","1.66238176079248e-09","6.14096107267248e-34","0.999999999999993","0.999999999999974","0.999999999999984"
