"","macrophagesBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm26863",6.96138630365074,1.56047222502362,424.455001360046,7.92895276005589e-19,9.23222220582718e-16
"Arg1",7.58325880073698,2.1464116267692,420.952478404153,8.87196413398591e-19,9.60604705861933e-16
"mt-Tq",-8.17585711269064,2.89027389956729,418.889974326336,9.48281056877081e-19,9.60604705861933e-16
"Gm20594",-3.49941729947547,0.233294486631698,418.663294700019,9.55263912171157e-19,9.60604705861933e-16
"Serpinb2",7.95239915688813,1.94563513063588,395.933534951693,2.03293599838078e-18,1.9554192648773e-15
"Wnt2",4.14945635484436,0.965328111729267,375.824587325103,4.10504795375616e-18,3.78399899503948e-15
"mt-Te",-5.32124565490841,2.93951554310695,341.53980652911,1.48090914028574e-17,1.31048611642166e-14
"Hal",4.25477269945115,1.08884898685907,317.444899647968,3.92645828798823e-17,3.3409629501986e-14
"Cdkn2a",3.80560751698334,0.914450747223003,307.63176246317,5.95667067259962e-17,4.74754051474004e-14
"mt-Ta",-10.9418308151209,0.922820860171011,307.429877186282,6.00873002814813e-17,4.74754051474004e-14
"F7",6.23963778285846,1.61427982185444,260.579148107497,5.29340391731636e-16,4.03813706423413e-13
"Gm26641",3.46167537193798,1.18098301741991,253.136762060844,7.72429322237324e-16,5.69615129861877e-13
"Gm45751",-3.57083235535192,0.27754005506083,246.336577052353,1.10069594034074e-15,7.8550633187607e-13
"Fabp4",11.1042109761639,2.87225373996062,238.626438720732,1.66242625958492e-15,1.14930800439991e-12
"Platr26",2.94192082935243,0.665330649712542,229.080527344577,2.81693452125245e-15,1.88845583071721e-12
"mt-Ts2",-10.1517384715038,0.879730131382512,227.549675310853,3.07111947340221e-15,1.99830517970815e-12
"Cyp26a1",4.26973752252978,1.01258115137185,222.214899761243,4.16705248979604e-15,2.63393434947879e-12
"Gm35657",3.09737998022504,1.00679292357494,189.278203579826,3.21054709992047e-14,1.96388355660173e-11
"Tpsb2",5.13334869735755,1.32411395574756,188.936319302598,3.28453155513555e-14,1.96388355660173e-11
"Naip1",3.30960858261512,0.850373394629684,182.280936024007,5.15537542003288e-14,3.00137816887862e-11
"mt-Tv",-11.1290024197137,1.14126121312829,179.402490310177,6.29314653744432e-14,3.56982771404822e-11
"C1ra",4.50250292072464,1.81764771230338,172.470768946599,1.02913620352895e-13,5.69189505766776e-11
"Rpsa-ps3",2.48213453331608,1.5807004208218,169.735832366812,1.25543351684103e-13,6.77413553489610e-11
"Gm47854",2.30274988358267,0.833539448342722,163.450462185904,2.0035243114061e-13,1.05533257955327e-10
"Gm13647",3.18420152397379,0.843766018728203,153.844817967797,4.21993640449389e-13,2.17110821108415e-10
"Cyp2e1",2.89211235993915,1.26282622518026,149.894026616964,5.79915749165741e-13,2.90589181540811e-10
"Gm26316",-3.9034592366578,0.322462853309956,149.65974739766,5.91082274977919e-13,2.90589181540811e-10
"Gm43175",6.75721448333701,2.12197702062262,149.088873640438,6.19266118350192e-13,2.9782661600568e-10
"Car6",2.75161873297711,0.658892318124274,145.73988631532,8.16363914240384e-13,3.84264231377447e-10
"Gm26554",2.7560119829137,1.06199980287947,137.535252494068,1.64426108040911e-12,7.57833080872723e-10
"mt-Atp8",-8.62029232069711,4.65869553112434,129.869315823196,3.26638545348919e-12,1.47473970178656e-09
"1700025O08Rik",2.56535079807768,1.09196996984372,129.278468995715,3.44859485175408e-12,1.52586527810711e-09
"Hgsnat",4.85872075795913,4.77392917793017,128.788163717941,3.60805243129719e-12,1.56511654779584e-09
"mt-Tg",-11.8782808512089,1.30915794178835,127.739743212016,3.97609254603419e-12,1.69159798838297e-09
"Adamtsl5",3.66014603564722,1.13698950055924,121.802928383632,6.97964781928624e-12,2.91341035294471e-09
"mt-Tf",-9.36524635329156,1.04999068432981,115.514033851522,1.29877589334956e-11,5.32089242380968e-09
"Gm11410",-3.44290712719104,0.344198774840066,112.101941419037,1.84021518046911e-11,7.4020146250033e-09
"Gm21876",-3.24178750382847,0.352807857513025,108.571979169448,2.66301882745005e-11,1.05203509856567e-08
"mt-Nd4l",-3.4806758175501,0.345528233604615,101.092207423898,6.02144459981236e-11,2.33705998037981e-08
"Ptgis",6.88528898259174,1.9526786150121,100.747429779802,6.25931059051615e-11,2.38749531368946e-08
"Cox8b",-3.13343683040834,0.492368559444785,100.10127783996,6.73259022980796e-11,2.52449311278036e-08
