"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Dbh",2.14010730491685,0.148071215116092,243.660482727248,1.23542302527091e-15,5.2560122284747e-13
"Serpinb6b",5.17034581656797,0.799705937424986,240.543404269786,1.46014461571852e-15,6.09486402519636e-13
"Kank4",2.68912957882342,0.329663887001215,240.058682818352,1.49884990908497e-15,6.14056602568272e-13
"Notumos",2.50765251214656,0.215670184018315,238.106049455697,1.6662443715154e-15,6.63703894662036e-13
"Gm10030",2.60810950578025,0.313823063262898,237.954631570841,1.68003517158948e-15,6.63703894662036e-13
"Fgd5",3.35483237452444,0.46201654167092,235.410441055521,1.93095739831426e-15,7.49448605665025e-13
"Slco1a4",6.22355433697737,0.940052814927608,231.204282781557,2.43787565665999e-15,9.29881433660154e-13
"Tmem252",7.40354022365523,1.11966876212547,228.7223323768,2.80236232250977e-15,1.0507908756082e-12
"Stap2",5.61909404329408,1.04723847001289,227.616452564435,2.98315400620697e-15,1.09993860132195e-12
"Pecam1",5.70595534038189,1.47682601311164,227.058821721931,3.0790104167729e-15,1.11667126967651e-12
"Tbx4",2.21853820584729,0.232678313327085,223.12828266643,3.85557104396749e-15,1.37575480976924e-12
"Thsd1",4.19913360082293,1.17323626510346,222.615198160645,3.97147745874697e-15,1.39461898126761e-12
"Wfdc1",5.30596838188758,0.721742338056841,217.317231193582,5.41176163519615e-15,1.87069379149132e-12
"Gm11567",2.39265767922382,0.193175073925188,214.773743316258,6.29348928852377e-15,2.1420132850771e-12
"Tdrp",5.30244694086088,1.1300653606856,214.021588840292,6.58276533136252e-15,2.20652299129899e-12
"Gm14207",3.22176138328028,0.519134503764138,201.123754822845,1.45503120890934e-14,4.80442618428378e-12
"Hmcn1",2.18558206466442,0.228077491706837,197.532788252917,1.82909204833841e-14,5.87550817978232e-12
"Rps2-ps13",-5.91340917940148,4.92709976436084,197.503570470434,1.83252752522253e-14,5.87550817978232e-12
"Ly75",4.20098363486505,0.577522885490786,196.298857196997,1.98036313280073e-14,6.25879622670723e-12
"Csf3",3.17755028130018,0.436528525891236,195.693072960308,2.05947431001785e-14,6.4171479099331e-12
"Rhod",3.69952283475214,0.675421128464766,193.509710901184,2.37385529557067e-14,7.29400009776528e-12
"Scgb3a1",5.95389156014443,0.66602847760888,191.042318644514,2.79199954133136e-14,8.46128847299638e-12
"Ocln",4.9836892614421,1.19790881083915,189.617675698839,3.06874992047608e-14,9.17431817441789e-12
"Gm12892",-5.21560939046422,4.7495173260867,188.2243353583,3.36795929014217e-14,9.82283325514905e-12
"Robo4",6.52112749548466,0.989459279486626,188.195480502797,3.37447600863955e-14,9.82283325514905e-12
"Tie1",7.41638332071591,1.41601354853176,184.955913796325,4.19932736453325e-14,1.20651583487752e-11
"Tnfrsf10b",4.67742005694785,0.993921262237348,183.354326962063,4.68455839592752e-14,1.32867288965519e-11
"Magix",2.55043957696631,0.336178607980425,181.818152213098,5.20664293375069e-14,1.45700030655756e-11
"Kdr",6.98778303908049,1.37037772977419,181.646523961925,5.26872596504112e-14,1.45700030655756e-11
