"","monocytesBYo","AveExpr","F","P.Value","adj.P.Val"
"Smoc2",0.315343953053185,0.292732641413081,0.745964403297376,0.394953550821289,0.631645876152634
"Hrh1",0.441789010207259,0.541898893250659,0.745665935597701,0.39504692335509,0.631714447650878
"Mecp2",0.43927767332985,2.21521991353988,0.745644801163075,0.395053536285761,0.631714447650878
"Adss",0.655201029942026,3.9373093309477,0.745089790286469,0.395227257096457,0.631916460554275
"9130011E15Rik",0.192430433731035,1.24310226107728,0.745058686408571,0.395236996098608,0.631916460554275
"B230377A18Rik",0.358372439649905,0.822956231172824,0.744801998278779,0.395317381867845,0.631999309080961
"Ecd",-0.309706363475157,3.35702330232232,0.744514413609231,0.39540747217523,0.632094499574215
"Grip2",0.433847594964788,0.477125532587288,0.744366722818303,0.395453750421904,0.632094499574215
"Smarcb1",-0.35591102269596,4.19667819727974,0.744314814509073,0.395470017566822,0.632094499574215
"Thumpd1",-0.516101724811079,5.17218234780156,0.744247190902502,0.395491211097332,0.632094499574215
"March9",-0.816024124894574,2.48912263106939,0.744045346518466,0.395554480025526,0.632149950271236
"Qrfpr",0.281519795284721,0.258444973267901,0.7436510029387,0.395678131951581,0.632299635683092
"Aldh1l2",-0.616100662593257,1.04540842927166,0.743564369674007,0.395705304706975,0.632299635683092
"Elof1",0.247702051916449,5.6362327625717,0.743324830429881,0.39578045125384,0.632374037490155
"Ptprd",0.308853345730576,0.551588927251259,0.742970439861498,0.395891667009658,0.632506055409451
"Pfdn1",-0.330155874936847,2.82451697593988,0.74277232488803,0.395953860181883,0.632559737781903
"Irs2",-0.939869573184131,3.86761009201625,0.742663477968086,0.395988036088188,0.632568656392446
"Cd37",-1.29901270987891,4.36460328035841,0.742513247843789,0.39603521274654,0.632587755266211
"G2e3",-0.656637713336025,2.59192972001919,0.742443303303755,0.396057180228373,0.632587755266211
"Gm37090",0.815246528776886,1.61471797742536,0.742305662689436,0.396100414301645,0.632611136701942
"Nsmaf",-0.465089716346262,2.25519464032151,0.742123769967046,0.396157559087694,0.632656729928322
"Arid5a",-0.617002680581756,4.12967840667341,0.741345582990962,0.39640217849885,0.633001688676921
"Mrpl1",0.352010063530884,1.7588489284924,0.741035378811722,0.396499752287845,0.633111802227643
"Gm11637",0.271457564913906,0.28645799906017,0.740733667470688,0.396594688924248,0.633217689309406
"Gm35025",0.659948006600812,0.82791419672392,0.740508915549608,0.396665431431323,0.633284934657947
"Pdgfc",0.239730967843911,0.356063081433773,0.740001285703191,0.396825281124108,0.633453157518031
"Asb6",-0.33699931716211,4.77240612107453,0.739991316680208,0.396828421270314,0.633453157518031
"Gm8492",-0.22251331909546,0.153625218585772,0.739901547037271,0.396856699507296,0.633453157518031
"Zfp628",-0.313608440104392,3.24910673300657,0.739613739633312,0.396947381606647,0.63355219127652
"Nrg1",0.351744840730883,0.349960831776517,0.739222925848523,0.39707056819827,0.633673432731235
"Ogfod2",-0.397275211293982,5.27206359014564,0.739191009460845,0.39708063092497,0.633673432731235
"Gm44813",0.311104975924604,0.222913987476834,0.738767067865048,0.397214328916965,0.633841070299337
"Gm10660",0.163455893055148,0.249956826027908,0.738499213330965,0.397298836425456,0.633930195329272
"Gm8241",-0.303391870834964,0.167536051232998,0.738370542684914,0.397339441237564,0.633949261394679
"Klri1",0.597606603655218,0.497711865008437,0.737792732768431,0.397521857821571,0.634194566999828
"Col24a1",0.245385257167266,0.192189549594772,0.737429154664234,0.39763670456613,0.6343320460857
"Olfr1004-ps1",0.245447366604924,0.140278135793999,0.736994245164657,0.397774148286678,0.634490540123232
"Mphosph9",-0.493345017408496,1.43333461435513,0.736933287674054,0.397793418230314,0.634490540123232
"Pdlim2",1.13139838877232,4.21154603943774,0.736690645037401,0.397870136442661,0.634508251005439
"Clip3",-1.20037450288029,3.15597333557887,0.736662531267245,0.397879026816184,0.634508251005439
"Grifin",-0.366030176325124,0.23792603286741,0.736626046269058,0.39789056485099,0.634508251005439
"Ripply2",0.554219995030951,0.611952466345719,0.736246621707703,0.398010583804254,0.634552505979017
"Gm10451",-0.229722177730308,0.460418129676426,0.736234558515666,0.398014400497378,0.634552505979017
"Dpm2",-0.326912140139725,6.73763868991191,0.736189813066222,0.398028558059532,0.634552505979017
"Gm44620",0.246607238863783,0.472839973175521,0.736175622301528,0.398033048206429,0.634552505979017
"Gm6645",0.484705125960613,0.896911353986964,0.736042949777156,0.398075031208823,0.634573707697997
"Mipep",-0.204720358715545,1.06859461694315,0.735719266313473,0.398177485542641,0.63468816658214
"Gm8023",0.287307226562248,0.255776858157122,0.735550457621269,0.398230933517286,0.63468816658214
"Vps52",-0.306544253399114,5.44269269778516,0.735506777307554,0.398244765257961,0.63468816658214
"Gm26643",-0.347279144987379,0.379607349413413,0.735448855362463,0.398263107835179,0.63468816658214
"Gm7993",-0.544373972462028,3.74940242719979,0.735363065585172,0.39829027784025,0.63468816658214
"Por",0.313398135973434,3.8657526755541,0.735041847269004,0.398392033640013,0.634804592352205
"Men1",-0.401714371295699,5.5463506793025,0.733969579378458,0.398731988118888,0.635300523813767
"Ngrn",-0.452388603710923,4.75455104581885,0.733780803412582,0.398791882869966,0.635308302256179
"Ankrd39",-0.304165815968128,1.63341651102805,0.733721264526364,0.398810776121812,0.635308302256179
"Khk",-0.524304042344642,4.91176255361173,0.733682677949038,0.398823021368432,0.635308302256179
"Hmbox1",0.392047478250977,2.57652238108478,0.733290523861844,0.398947501194743,0.635460837276355
"Gm37404",0.285431244420957,1.54759471811767,0.733169609572274,0.398985894192457,0.635476237380829
"Gm12946",-0.482964711822529,0.699499827449037,0.733042756643399,0.399026178762337,0.635494647812193
"Hapln4",-0.582136579965402,1.07738398094477,0.732948321535847,0.399056172371735,0.635496667245889
"Gemin2",0.402200265100828,2.30755479631986,0.73285522279329,0.399085744827723,0.635498015750645
"6430573F11Rik",0.341476219199721,0.595986967832036,0.732019776565613,0.39935126739992,0.635875060363353
"Fbn1",0.293992080025432,0.416299053674688,0.731887858996306,0.399393217692262,0.635896088881317
"Hmgcl",-0.279614171102331,4.54923890718527,0.731546128685067,0.399501919814611,0.636011975650387
"Cd46",0.477404344410781,1.00047004739217,0.731478297884913,0.399523501587191,0.636011975650387
"Folr2",0.295863326027072,0.88351492168592,0.731187893761205,0.399615919335401,0.636087390295086
"Zfp850",-0.328084567588903,1.22155024029685,0.731148748153363,0.399628379411083,0.636087390295086
"Thap2",-0.552434317266671,2.38298693622234,0.730814043925168,0.399734939684665,0.636211228103873
"Tada2b",0.430049579404774,2.64735195225667,0.730105112219813,0.399960783377064,0.636524883868124
"Zc3h13",0.538958692656779,2.43788445276778,0.729907162567396,0.400023878021659,0.636579503199048
"Tom1",0.407017146723529,2.71686143031606,0.729281852695143,0.400223287474524,0.636851024152981
"Isy1",-0.141860511037698,0.412167239072116,0.729040431646616,0.400300315642274,0.636927782145715
"Palm3",0.550033314394127,0.628282579191886,0.728736172321667,0.400397424623384,0.636968915199424
"Dtymk",-0.511390766471973,4.44259761078977,0.72870410152502,0.400407662554513,0.636968915199424
"Npc2",0.519906017376759,7.71395892384175,0.728688811624817,0.400412543673028,0.636968915199424
"Ap4e1",-0.422616754742614,1.52481248515761,0.728095634990295,0.400601976878007,0.63719230493065
"Map2k5",0.271154105128567,1.64858668632688,0.728068718805048,0.400610575838739,0.63719230493065
"Lrrn4cl",0.437559434995763,1.39243419642754,0.727801548137827,0.400695944274011,0.637282269962182
"Gm10282",-0.52366523356647,3.9848844087958,0.727696510114599,0.400729514278108,0.637289845760519
"Ehmt1",0.435738922178549,1.9867858300913,0.727418263263165,0.400818461893127,0.637355068794932
"Dusp12",-0.334708411172793,1.00962515590861,0.727355875833182,0.40083840943146,0.637355068794932
"Itfg2",0.302567255929887,1.0871209364167,0.727297875670604,0.400856955531017,0.637355068794932
"Pus10",-0.391765696812454,1.78240028472708,0.726990830892074,0.400955157365193,0.637420683192479
"R3hcc1l",-0.209600163277362,1.58520322969297,0.726941810914226,0.400970838705571,0.637420683192479
"AC161165.6",-0.608533265755997,1.83402362805825,0.726898605736005,0.400984660669427,0.637420683192479
"Gpr65",0.151878876105433,0.329395008377212,0.726744403779333,0.401033997921561,0.63745330766049
"Gm35657",0.464534467384581,1.00679292357494,0.726504313477435,0.401110833401681,0.637529633403649
"Atp5j2",-0.289775362843715,6.57530876819238,0.726002092956184,0.401271628923233,0.637724295853456
"Taf4",0.382529740489205,1.88927315805926,0.725941733473516,0.401290960655244,0.637724295853456
"Gm44844",0.395843058524433,0.258258607646903,0.725732852950752,0.401357870955826,0.637784813902869
"Avp",-0.319723393278581,0.200627720586058,0.725460420863381,0.401445163680702,0.637877709984067
"Xpo7",0.39550932666218,2.53134726884159,0.725225579224766,0.401520434458706,0.637951491778939
"Lrrc1",0.31299934073044,0.724362062372926,0.725005182361955,0.40159109464127,0.638017938007096
"Snapc5",0.404726463393589,4.96559465729331,0.724611185262458,0.401717458163882,0.638172865644088
"AC123724.3",0.493402968900141,1.15662377137291,0.723698559128827,0.402010386001149,0.638592357973966
"Syce2",-0.337026923755678,0.997037066719736,0.723598981742793,0.402042366937807,0.638597306416219
"Wbp2",-0.381138670485297,7.18066707350155,0.723457266843207,0.402087887605369,0.638623758883881
"Gm5873",0.804089982801033,3.57331742439278,0.723155846532253,0.402184733385189,0.638722000251842
"AI464131",-1.07421546314199,2.53862859646964,0.723085051476478,0.402207484767365,0.638722000251842
"Olfr926",0.177119345408191,0.093416422281567,0.722656935471863,0.402345109323861,0.63889469233217
"Aqp10-ps",0.23995403524695,0.562025478611841,0.7224569695605,0.402409415639113,0.63895094395924
"Perm1",0.785333996032027,2.21507504114852,0.722349924553114,0.402443846181179,0.638959753772515
"Plpp2",0.984479984563398,3.4345954030993,0.72184762903502,0.402605466196389,0.639122858770373
"Msl1",-0.215437471278793,2.23375093128271,0.721817158979007,0.40261527345429,0.639122858770373
"Tubb4a",-1.54171754832974,4.0330945986858,0.721761325778606,0.402633245160362,0.639122858770373
"Tmem98",-0.806575286327652,2.49768885995539,0.721465908948855,0.40272835454303,0.639163319104141
"Gm9399",0.485809739717692,0.389008576188671,0.721429246180734,0.402740160460588,0.639163319104141
"Nr1h2",-0.3534501528376,6.55383837668859,0.721412949689629,0.402745408322187,0.639163319104141
"Tpx2",0.57154982887504,1.29730663674509,0.721153047675823,0.402829116861072,0.639250308608959
"Actl6a",-0.334106522179381,3.00967667306153,0.720968275053554,0.402888643782692,0.639298914531953
"Gabrd",-0.398001917518554,0.740115671598801,0.720547081764384,0.403024385997957,0.639468442331838
"Triobp",0.375621129657795,1.59474184185368,0.720397796409104,0.403072514148337,0.639497605096724
"Rfx3",0.452215910189031,1.04637562611092,0.72031075719341,0.403100578722317,0.639497605096724
"Trpv1",0.269651787141038,0.200737178942473,0.719472003026567,0.403371173410244,0.639780262035323
"Gm10193",0.492961301235143,4.30798852118772,0.719411974304273,0.403390550018524,0.639780262035323
"Crlf3",-0.542407424574599,3.64374506488232,0.719357302395688,0.403408198720877,0.639780262035323
"Atf2",-0.502200064852226,2.75435697984988,0.719305501534837,0.403424921685136,0.639780262035323
"Gabrg3",0.314714085834034,0.321471509900854,0.719260216279186,0.403439542056522,0.639780262035323
"Rab27a",0.452428455388253,2.27760777019173,0.719163438390191,0.403470789518129,0.639780262035323
"AC142114.1",0.703523986812577,3.70766325143256,0.719131250153696,0.403481183199242,0.639780262035323
"Ctbp1",-0.356309949786438,5.22030980178345,0.719005398265746,0.403521825017113,0.639798848624209
"Timm17a",-0.394597836771549,3.89879879851224,0.718755298676409,0.403602608831294,0.639881074614785
"Sec24c",-0.331328514220411,2.82403212316907,0.718615943618259,0.403647631955647,0.63990561259115
"Smurf2",0.391030823066384,2.72232615050161,0.718528349591408,0.403675935873168,0.63990561259115
"Cd84",-0.532086518986389,3.15548876601217,0.718433776711455,0.40370649818254,0.639908208016933
"Gm7731",0.270858532388715,0.1597550941945,0.7182588136114,0.403763048663125,0.639951993521587
"Rars",-0.522358557327476,3.72563673337566,0.718119835428277,0.403807976792172,0.63997735300331
"Gm18303",0.568316952043532,0.977607223853469,0.717922393590765,0.403871817637907,0.640032680630617
"Sprtn",-0.402326023727712,3.56823037492049,0.717225432974785,0.40409729400884,0.640344132609238
"Cenpe",0.402915062407595,0.803011163050813,0.716584808380182,0.404304711564622,0.640626925508103
"Gm17766",0.354859343798624,0.293318949804304,0.716481523408945,0.404338167506637,0.640634052836019
"Itgb1bp1",0.210462369722099,2.49467344199421,0.716233910408137,0.404418390935345,0.640689386761779
"Gm11715",0.245746544289446,0.545138614849154,0.716194960604845,0.404431012345895,0.640689386761779
"Gm13577",-0.469677559646546,2.56751587570589,0.715906408425859,0.404524534078198,0.640791655979664
"D430020J02Rik",-0.643529974421221,1.88742196868788,0.715607855282688,0.404621331376384,0.640899098878767
"Gm7212",0.331235028095032,0.217796228414616,0.715176166717698,0.404761355541243,0.641074990595569
"Gm16499",0.263344231993344,0.325978308406707,0.714853060522943,0.404866207140598,0.641169976375771
"Rbbp6",-0.564626622979439,3.99508015863612,0.714812748570294,0.404879291686007,0.641169976375771
"Msh5",-0.70894893082373,1.34104782922822,0.714640523824785,0.404935199941484,0.641212613864823
"Ifnar2",-0.348570306160235,2.4639486098058,0.714511463335888,0.404977103653663,0.641233070722157
"Oprd1",0.246609837253505,0.210338872233912,0.714326180197783,0.40503727328076,0.641282444485097
"Pus7l",0.343858632014315,1.6431408632291,0.714081438347814,0.405116772373009,0.641360741540824
"Cdkl1",0.286742261020726,0.297439618657139,0.713966098015836,0.405154246312423,0.641360741540824
"Pfkfb2",0.186884372371653,0.362352162375923,0.713906233947396,0.405173698132015,0.641360741540824
"Gm29763",-0.35723940117195,0.443957797981378,0.71377392703429,0.405216694011536,0.641382909180597
"Stxbp2",0.863081792751894,4.74627361408208,0.713660350500571,0.405253608535257,0.641395448678315
