"","Gene","modulesA1"
"336","ANGPTL4","midnightblue"
"337","MIR4514","grey60"
"338","BX842568.4","cyan"
"339","AC063943.1","turquoise"
"340","KRT19","tan"
"341","IGHA1","green"
"342","AL136126.1","darkred"
"343","AL021407.1","red"
"344","RNA5SP342","grey60"
"345","IGLV1-51","green"
"346","EDN1","lightgreen"
"347","TMEM88B","pink"
"348","RN7SKP276","magenta"
"349","TRAJ6","grey60"
"350","BX248123.2","cyan"
"351","AL512356.3","brown"
"352","AL359510.1","blue"
"353","AL008723.3","tan"
"354","MT1F","black"
"355","NDUFA5P6","lightgreen"
"356","AC107081.1","yellow"
"357","RNU1-70P","salmon"
"358","RNU1-36P","yellow"
"359","AC002519.2","brown"
"360","RNU6-600P","purple"
"361","RN7SL472P","midnightblue"
"362","AL157834.3","salmon"
"363","AP001372.4","tan"
"364","RNU12-2P","cyan"
"365","RNU6-529P","black"
"366","RNU6-871P","darkred"
"367","SFRP2","tan"
"368","MIR23A","brown"
"369","RNU1-132P","turquoise"
"370","AL365205.3","pink"
"371","Z82188.1","purple"
"372","MIR6129","green"
"373","RN7SL477P","darkred"
"374","AL596442.2","turquoise"
"375","AC108039.2","blue"
"376","SNRPCP13","greenyellow"
"377","IGKV3-15","green"
"378","AL354822.1","yellow"
"379","AL121890.5","cyan"
"380","AP000322.2","green"
"381","KRT18","tan"
"382","AZGP1","cyan"
"383","MT1A","midnightblue"
"384","AC092954.1","yellow"
"385","AC145207.9","lightcyan"
"386","RNA5SP242","yellow"
"387","MT1JP","black"
"388","AC080013.6","turquoise"
"389","RGR","black"
"390","AC025521.1","salmon"
"391","HIST1H4J","brown"
"392","AL645939.1","purple"
"393","AL645933.2","cyan"
"394","AC137630.3","pink"
"395","AC073869.9","purple"
"396","SLC14A1","black"
"397","MIR4478","blue"
"398","NKX6-2","pink"
"399","AL359091.2","pink"
"400","AC008494.2","greenyellow"
"401","MIR4717","grey60"
"402","TAF9P3","magenta"
"403","PLP1","pink"
"404","AL353803.5","turquoise"
"405","CX3CR1","red"
"406","AC069234.4","turquoise"
"407","AC004383.1","turquoise"
"408","RN7SKP160","tan"
"409","RN7SL336P","purple"
"410","AL359091.1","pink"
"411","AC011458.2","turquoise"
"412","CXCR4","tan"
"413","RPS15AP36","blue"
"414","C1QC","red"
"415","AL021997.2","pink"
"416","MOBP","pink"
"417","AC113361.1","salmon"
"418","PENK","yellow"
"419","MIR7-2","purple"
"420","AC138969.2","brown"
"421","AL591926.3","green"
"422","CYP21A1P","pink"
"423","TIMM8AP1","darkorange"
"424","AL135786.1","black"
"425","AC139495.3","brown"
"426","HSPB1P1","grey60"
"427","HIST1H2AE","tan"
"428","AC137800.2","royalblue"
"429","RNASE6","red"
"430","RNU6-247P","yellow"
"431","AC091812.2","yellow"
"432","AC126755.3","red"
"433","C2CD4B","darkgrey"
"434","MOG","pink"
"435","AC104458.1","pink"
"436","AC098479.1","orange"
"437","AC138466.3","grey60"
"438","IGHV4-4","green"
"439","IER3","darkgrey"
"440","HES5","black"
"441","CD24","yellow"
"442","LINC01736","red"
"443","AC009501.2","pink"
"444","MCFD2P1","turquoise"
"445","AL162713.1","tan"
"446","TMEM235","pink"
"447","RNU6-520P","salmon"
"448","MIR376A1","blue"
"449","AC017048.3","blue"
"450","AC010424.1","black"
"451","NPTX2","green"
"452","AC098614.4","blue"
"453","IGHJ3P","green"
"454","RNU6-7","greenyellow"
"455","C1QB","red"
"456","MIR563","salmon"
"457","TRAJ3","greenyellow"
"458","NR4A1","tan"
"459","C1QA","red"
"460","AC245014.3","turquoise"
"461","MUC20P1","green"
"462","AC254633.1","tan"
"463","DSP","tan"
"464","AL513210.1","skyblue"
"465","CR769776.2","brown"
"466","TRBJ1-1","salmon"
"467","IGLV1-40","green"
"468","AC147067.2","turquoise"
"469","AC113403.1","pink"
"470","RNU6-891P","yellow"
"471","ERMN","pink"
"472","MAG","pink"
"473","CNN1","darkgrey"
"474","THNSL2","tan"
"475","AP003355.3","blue"
"476","TMSB4Y","salmon"
"477","VTRNA1-3","orange"
"478","AC008737.2","blue"
"479","AP003392.6","blue"
"480","HIST1H4K","salmon"
"481","AL512598.1","turquoise"
"482","AC018635.2","turquoise"
"483","CARNS1","pink"
"484","SIX3","yellow"
"485","PTGDR","tan"
"486","MAPK15","yellow"
"487","AC245452.2","blue"
"488","AC072052.1","orange"
"489","MIR320A","turquoise"
"490","RNU6-1246P","brown"
"491","AC097359.1","brown"
"492","TUBB2BP1","turquoise"
"493","AP001324.1","brown"
"494","IFITM4P","darkturquoise"
"495","TYMP","brown"
"496","IGLC7","green"
"497","AC116614.1","cyan"
"498","DUSP5","darkgrey"
"499","IGF2","tan"
"500","COL1A1","tan"
"501","AL603650.1","lightcyan"
"502","STC1","midnightblue"
"503","MIR3168","yellow"
"504","AC026803.1","pink"
"505","MIR4689","green"
"506","MIR6087","grey60"
"507","AL021937.2","turquoise"
"508","AC145423.1","blue"
"509","AL445423.1","salmon"
"510","AC106028.5","grey60"
"511","RNU6-30P","red"
"512","AC073261.1","turquoise"
"513","RPL23AP97","turquoise"
"514","AC131212.1","brown"
"515","MTND5P10","royalblue"
"516","AC011468.4","lightcyan"
"517","AL121932.1","purple"
"518","AL132821.1","tan"
"519","SNRPCP16","pink"
"520","AC010733.1","tan"
"521","MIR3685","darkred"
"522","AC023310.4","green"
"523","RNU6-880P","greenyellow"
"524","SERPINH1","midnightblue"
"525","RSL24D1P6","purple"
"526","AC109347.2","pink"
"527","AL009176.1","tan"
"528","CH25H","turquoise"
"529","RPL26P19","turquoise"
"530","MIR3144","darkturquoise"
"531","MTDHP4","lightcyan"
"532","AOC3","darkgrey"
"533","RN7SL138P","red"
"534","RNU6-411P","magenta"
"535","SPP1","pink"
"536","RN7SL605P","brown"
"537","AL133371.2","red"
"538","IGKV3D-20","green"
"539","GPR3","midnightblue"
"540","PTGER4P2","turquoise"
"541","AL157904.1","turquoise"
"542","AL355309.1","turquoise"
"543","AC138907.8","pink"
"544","RNU6-1068P","salmon"
"545","PARD3-AS1","purple"
"546","IFNA11P","yellow"
"547","HIST1H2BG","turquoise"
"548","GADD45B","darkgrey"
"549","CYR61","tan"
"550","AC092814.1","red"
"551","AC012100.1","yellow"
"552","AC242376.2","red"
"553","AL159169.1","darkturquoise"
"554","RNU6-1300P","blue"
"555","FOXS1","darkgrey"
"556","RN7SL40P","salmon"
"557","AC245884.10","salmon"
"558","RPL24P4","greenyellow"
"559","OPALIN","pink"
"560","RNU1-120P","brown"
"561","CD14","red"
"562","RNU6-307P","blue"
"563","IGHG2","green"
"564","AC097493.1","salmon"
"565","HIST1H2APS3","green"
"566","RPL21P16","turquoise"
"567","AC093159.1","pink"
"568","OXT","white"
"569","GSTM5","black"
"570","VTRNA1-1","blue"
"571","AC009974.1","greenyellow"
"572","SEPT14P4","orange"
"573","AC114501.1","grey60"
"574","PKD1P5","brown"
"575","IGHG4","green"
"576","AP005242.4","yellow"
"577","AC099791.2","turquoise"
"578","HNRNPA1P46","blue"
"579","SCT","lightyellow"
"580","CCL4L2","magenta"
"581","AP000553.3","blue"
"582","HLA-DRA","red"
"583","FOXC1","tan"
"584","AL096803.3","magenta"
"585","AC084121.4","red"
"586","RNA5SP379","green"
"587","AC112220.3","blue"
"588","AC004839.1","blue"
"589","AP000894.4","purple"
"590","SIGLEC8","red"
"591","AC073869.3","salmon"
"592","AC012360.2","yellow"
"593","CERCAM","pink"
"594","RNU6-705P","grey60"
"595","AL645608.8","tan"
"596","AC117500.5","cyan"
"597","FOXJ1","yellow"
"598","HLA-K","grey60"
"599","VEGFA","tan"
"600","HMGA1P7","cyan"
"601","AL137784.1","red"
"602","AC005753.1","midnightblue"
"603","MIR4686","darkturquoise"
"604","AC073464.2","yellow"
"605","AC092354.1","pink"
"606","AC005498.1","cyan"
"607","RNU6-1251P","turquoise"
"608","MIR487A","salmon"
"609","VN1R42P","yellow"
"610","AL021918.1","grey60"
"611","AC079922.1","red"
"612","RN7SL251P","purple"
"613","IGHJ6","green"
"614","AP001059.2","cyan"
"615","AC005776.1","pink"
"616","AC011043.1","brown"
"617","AC046185.2","turquoise"
"618","MIR345","turquoise"
"619","RN7SL152P","turquoise"
"620","NEUROD6","pink"
"621","AL353626.2","greenyellow"
"622","RPS23P8","skyblue"
"623","RN7SL493P","blue"
"624","AL355353.1","brown"
"625","AC026585.1","cyan"
"626","AC034236.3","tan"
"627","RPSAP72","green"
"628","OR7E154P","turquoise"
"629","RNU6-1187P","turquoise"
"630","GPIHBP1","pink"
"631","CYP4F32P","yellow"
"632","PABPC1P3","turquoise"
"633","AC135803.1","skyblue"
"634","AL158063.1","greenyellow"
"635","AL627309.6","turquoise"
"636","AL590399.4","yellow"
"637","SIX2","tan"
"638","AC091932.1","pink"
"639","AC104687.2","turquoise"
"640","AL022334.2","green"
"641","AC006960.3","yellow"
"642","AC007029.1","turquoise"
"643","AL354707.3","magenta"
"644","MIR300","greenyellow"
"645","AP003392.5","pink"
"646","AC138207.5","red"
"647","AL161734.1","cyan"
"648","KDM5D","salmon"
"649","HIST1H4D","brown"
"650","HMGN2P15","tan"
"651","AC022296.3","yellow"
"652","PRKXP1","turquoise"
"653","RPL34P34","yellow"
"654","AL031058.1","tan"
"655","MIR147A","brown"
"656","HAPLN2","pink"
"657","IGFBP5","tan"
"658","IGHV4-34","green"
"659","RNU6-6P","greenyellow"
"660","KRT31","pink"
"661","AC010424.2","black"
"662","AC106791.2","pink"
"663","COL1A2","tan"
"664","AC025166.1","brown"
"665","AL117328.1","cyan"
"666","NPIPA5","brown"
"667","RNA5SP478","blue"
"668","AC080078.2","pink"
"669","AC009163.6","pink"
"670","AC245008.1","orange"
"671","LINC01480","red"
"672","AP001065.1","darkred"
"673","IGHV3-15","green"
"674","AL136304.1","purple"
"675","AC009237.8","brown"
"676","AC006466.1","pink"
"677","AC015660.4","pink"
"678","AC026741.1","green"
"679","GADD45G","pink"
"680","RNU6-940P","yellow"
"681","AC022400.4","blue"
"682","AC073534.1","greenyellow"
"683","PHLDA2","darkgrey"
"684","TPM2","darkgrey"
"685","AC100771.1","cyan"
"686","AC104985.2","cyan"
"687","GADD45A","midnightblue"
"688","AC118658.1","cyan"
"689","ETNPPL","black"
"690","AC098679.2","pink"
"691","MIR4472-1","green"
"692","AL627230.1","tan"
"693","IGHJ2","green"
"694","RPS15AP38","brown"
"695","AC087392.5","pink"
"696","RPL12P30","blue"
"697","AC010205.1","darkgrey"
"698","MIR3143","purple"
"699","SLC7A5P1","grey60"
"700","AL021368.1","skyblue"
"701","TMPRSS5","blue"
"702","AVP","royalblue"
"703","MIR4454","darkred"
"704","HGC6.3","brown"
"705","AC069234.5","greenyellow"
"706","RPL23AP25","blue"
"707","KRT5","green"
"708","AC091564.1","salmon"
"709","TBC1D3L","green"
"710","RNU6-562P","salmon"
"711","VN1R85P","cyan"
"712","AC021755.3","red"
"713","GSTT2B","yellow"
"714","AC119751.4","red"
"715","TH","green"
"716","MIR1185-1","grey60"
"717","AC136475.9","green"
"718","HIST1H1D","turquoise"
"719","FMOD","tan"
"720","MIR27A","brown"
"721","RNU6ATAC40P","greenyellow"
"722","LINC01833","yellow"
"723","NPIPB15","turquoise"
"724","ECEL1","tan"
"725","PPIAP32","blue"
"726","AC006511.1","salmon"
"727","AP001767.2","green"
"728","FRZB","tan"
"729","SNRPGP17","red"
"730","AC098818.1","turquoise"
"731","AC004556.1","yellow"
"732","AC002428.2","black"
"733","OR5AO1P","green"
"734","AC073073.1","yellow"
"735","AL627230.4","pink"
"736","ODF3B","brown"
"737","AC006058.2","pink"
"738","HIST1H4C","brown"
"739","AC098476.1","tan"
"740","ISCA1P1","blue"
"741","CDH12P2","turquoise"
"742","AIF1","red"
"743","TRAJ39","yellow"
"744","AC092954.2","pink"
"745","AC079140.5","purple"
"746","STK19B","turquoise"
"747","MRPS18CP6","blue"
"748","MZT1P2","cyan"
"749","LINC02560","magenta"
"750","AC015922.2","darkturquoise"
"751","AL031587.4","cyan"
"752","FOLR2","red"
"753","DNAJB1","midnightblue"
"754","MIR4477B","brown"
"755","AL109838.1","greenyellow"
"756","RF00410","magenta"
"757","AL031008.1","greenyellow"
"758","AC087203.3","pink"
"759","AL121652.1","brown"
"760","MIR101-1","turquoise"
"761","RPLP0P1","pink"
"762","MIR876","turquoise"
"763","AC114341.1","red"
"764","MIR210HG","tan"
"765","RNA5SP25","blue"
"766","AC091812.3","yellow"
"767","AC114810.1","red"
"768","AC022296.2","grey60"
"769","MIR5707","turquoise"
"770","AC027281.1","yellow"
"771","Z69890.1","blue"
"772","RNU6-1245P","blue"
"773","AC148477.7","cyan"
"774","AC005777.1","darkred"
"775","AC090589.1","cyan"
"776","AL008721.1","yellow"
"777","AC009955.2","yellow"
"778","AL139351.1","magenta"
"779","AC215219.1","yellow"
"780","NDUFA3P4","yellow"
"781","AC018641.1","blue"
"782","AL118508.1","blue"
"783","AL137159.1","turquoise"
"784","AC026403.1","purple"
"785","AC008780.2","blue"
"786","AC007969.1","brown"
"787","AL356379.1","turquoise"
"788","IL6","midnightblue"
"789","AC078909.2","yellow"
"790","AC113191.1","white"
"791","NOP56P3","white"
"792","FCGBP","red"
"793","IGKV1-16","green"
"794","SLC1A2","black"
"795","S1PR5","pink"
"796","DYNLT3P2","grey60"
"797","RNU6-1125P","turquoise"
"798","IFI44L","darkorange"
"799","LINC01597","yellow"
"800","RNU6ATAC26P","salmon"
"801","MYL12BP1","turquoise"
"802","RNU6-173P","tan"
"803","RNVU1-15","tan"
"804","AL606753.1","turquoise"
"805","SNHG9","brown"
"806","AC024560.1","green"
"807","SEM1P1","purple"
"808","AC087683.1","yellow"
"809","IL1B","midnightblue"
"810","AC073648.5","turquoise"
"811","TRAJ10","darkturquoise"
"812","AC138207.3","turquoise"
"813","LRRN4CL","tan"
"814","RNU6-686P","cyan"
"815","AP006545.2","cyan"
"816","TRBV26OR9-2","salmon"
"817","RNU6-1029P","yellow"
"818","AC015912.3","midnightblue"
"819","BAG3","midnightblue"
"820","RPS26P45","turquoise"
"821","AL592494.3","purple"
"822","THAP5P1","brown"
"823","CDKN1A","midnightblue"
"824","AP003068.4","yellow"
"825","RN7SL825P","salmon"
"826","IFI6","darkorange"
"827","AC008121.1","red"
"828","CHI3L2","darkorange"
"829","CTAG2","green"
"830","SPTLC1P2","salmon"
"831","BX284632.1","cyan"
"832","MAPK8IP1P1","green"
"833","IGFBP3","darkgrey"
"834","CHCHD2P6","purple"
"835","AC005696.3","greenyellow"
"836","RNU6-1313P","darkred"
"837","AC079448.1","purple"
"838","TPSD1","black"
"839","AC062028.2","tan"
"840","IGFBP4","darkgrey"
"841","AC068870.2","black"
"842","CD163","red"
"843","AC133528.1","brown"
"844","RF00003","skyblue"
"845","IGHJ4","green"
"846","RGS16","turquoise"
"847","RNY3","lightcyan"
"848","NKG7","darkorange"
"849","AC106052.1","pink"
"850","AC125494.2","turquoise"
"851","AC007423.1","black"
"852","AC148477.1","pink"
"853","OR1H1P","green"
"854","RN7SL403P","brown"
"855","AC007663.3","green"
"856","TRAJ19","lightcyan"
"857","TRGJ2","grey60"
"858","RPS24P7","blue"
"859","OR5AK4P","green"
"860","AC005920.4","yellow"
"861","MIR154","brown"
"862","BX649601.1","greenyellow"
"863","AC112187.3","blue"
"864","LINC02123","black"
"865","RNU6-144P","turquoise"
"866","CD74","red"
"867","SNX18P13","darkred"
"868","SUMO2P15","tan"
"869","AC093458.1","brown"
"870","DUSP4","brown"
"871","AL158077.1","blue"
"872","TRAV8-3","blue"
"873","AC005479.2","turquoise"
"874","APLN","black"
"875","AL049794.2","green"
"876","AC005899.6","darkturquoise"
"877","GFAP","black"
"878","RNU6-696P","purple"
"879","SELPLG","red"
"880","AC007250.1","midnightblue"
"881","MIR3188","magenta"
"882","AC021683.1","greenyellow"
"883","MC4R","greenyellow"
"884","MBP","pink"
"885","ST6GALNAC4P1","tan"
"886","RN7SKP140","purple"
"887","AC004449.1","blue"
"888","AC023449.1","grey60"
"889","FO393411.1","turquoise"
"890","AC013400.1","purple"
"891","IGHV2-70D","green"
"892","AC093909.1","brown"
"893","HMGN1P26","yellow"
"894","AL450311.2","salmon"
"895","IGHV4-28","green"
"896","IGHV2-70","green"
"897","IGHV2-5","green"
"898","AC016575.1","tan"
"899","AC015922.3","black"
"900","AC046176.1","midnightblue"
"901","AC100793.4","tan"
"902","AL355974.1","green"
"903","AC004233.4","greenyellow"
"904","MIR668","darkred"
"905","IGLV2-18","green"
"906","AC080038.1","tan"
"907","SLC17A7","pink"
"908","PTP4A2P1","blue"
"909","OSR1","tan"
"910","RNU6-878P","salmon"
"911","ELOCP2","black"
"912","FEZF2","pink"
"913","FFAR1","pink"
"914","RN7SKP272","greenyellow"
"915","AL355355.1","brown"
"916","AC013553.4","pink"
"917","RNU6-246P","purple"
"918","IGHV1-18","green"
"919","AC243428.1","turquoise"
"920","AL354877.1","magenta"
"921","RNA5SP67","turquoise"
"922","AC125494.3","tan"
"923","AC139795.3","tan"
"924","AL157788.1","cyan"
"925","AL133215.3","turquoise"
"926","BX322562.1","tan"
"927","IFNWP2","blue"
"928","AC107294.1","cyan"
"929","IGLV2-14","green"
"930","BMP4","tan"
"931","AC007450.3","lightcyan"
"932","TCIM","darkgrey"
"933","EIF5AL1","brown"
"934","CD93","darkgrey"
"935","AL445991.1","yellow"
"936","AC005740.1","salmon"
"937","MIR588","purple"
"938","GJB1","pink"
"939","PNMA5","yellow"
"940","AL354694.1","black"
"941","AC112220.2","tan"
"942","SEMA3G","lightgreen"
"943","AL450998.1","green"
"944","RNU5E-4P","grey60"
"945","HIST1H3E","tan"
"946","AC092681.3","turquoise"
"947","AC002984.1","brown"
"948","AL359715.4","black"
"949","AL157770.1","pink"
"950","AC005332.8","turquoise"
"951","CAVIN3","darkgrey"
"952","AL391095.3","purple"
"953","AC097468.3","salmon"
"954","NOV","tan"
