"Module","StudyGSE53697","StudyGSE64810","StudyGSE68719","StudyGSE67333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissueprefrontal_cortex","p.value.StudyGSE53697","p.value.StudyGSE64810","p.value.StudyGSE68719","p.value.StudyGSE67333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissueprefrontal_cortex"
"MEHuAgeMSNDsplitRnaseq_08","-1.73472347597681e-17","1.94289029309402e-16","-2.1987620058006e-16","1.08853898117545e-16","4.0766001685455e-16","0.0372256076270575","0.0875425068845351","0.0174610801481254","0.00830000959391301","-0.612314912575265","-2.60208521396521e-16","3.05745012640912e-17","1","0.999999999999998","0.999999999999998","0.999999999999999","0.999999999999996","0.670543822404413","0.316350964760349","0.841883074527562","0.924459018560598","4.8257241483518e-15","0.999999999999998","1"
"MEHuAgeMSNDsplitRnaseq_14","5.89805981832114e-17","-2.68014777038417e-16","1.84314369322536e-17","1.95590071916385e-16","-5.23019128007007e-16","0.0258812119094385","-0.309017290016309","0.0188466644148818","0.0122435165201049","0.077903078244514","1.29670579829266e-16","-3.21357523924704e-16","0.999999999999999","0.999999999999998","1","0.999999999999998","0.999999999999995","0.767452474709294","0.000295612900881803","0.829519549323374","0.888761500300121","0.372769814590249","0.999999999999999","0.999999999999997"
"MEHuAgeMSNDsplitRnaseq_12","1.07986536379556e-16","-2.64545330086463e-17","2.42861286636753e-17","-3.32579016409928e-17","7.15573433840433e-17","-0.0769848365979243","0.30885746494566","0.173814923730659","0.0547054975840071","-0.513053053457927","2.05998412772246e-17","1.46855184263162e-16","0.999999999999999","1","1","1","0.999999999999999","0.378447793898635","0.000297869904549515","0.0454066953617941","0.531703378128862","2.717059608183e-10","1","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_18","8.23993651088983e-17","3.68195057776077e-16","-2.2291196666302e-16","-2.82705716475595e-16","4.17634676841416e-16","-0.016697626960584","0.369780043304245","-0.029228408640824","0.0167534319006533","-0.28805879726448","-2.47414935761192e-16","2.90674602443364e-16","0.999999999999999","0.999999999999997","0.999999999999998","0.999999999999997","0.999999999999996","0.848712050766047","1.18377129021557e-05","0.73840369949442","0.848212496944943","0.000773075942301568","0.999999999999998","0.999999999999997"
"MEHuAgeMSNDsplitRnaseq_24","-2.55871712706579e-16","4.81385764583564e-17","1.6154612370034e-17","1.30158470806885e-16","-9.75781955236954e-17","0.0503132399349858","0.343630055227604","-0.107145994299706","-0.0126445584041803","-0.336654116351403","-7.80625564189563e-18","-1.58076676748387e-16","0.999999999999998","1","1","0.999999999999999","0.999999999999999","0.565204791242224","5.13162207527424e-05","0.219619278576169","0.885142420429913","7.4284853392094e-05","1","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_03","2.31802424477401e-16","-2.24687347720465e-16","2.09935421911084e-16","-3.02221355580334e-18","-2.12612046024407e-16","0.128403671352713","-0.151062312867636","-0.236105657222618","-0.0411418458926606","0.0593679569714193","6.0712611153757e-16","1.07383448921111e-16","0.999999999999998","0.999999999999998","0.999999999999998","1","0.999999999999998","0.140764548219023","0.0826229509682115","0.00621920543472003","0.638218304338805","0.497263998160813","0.999999999999994","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_16","-1.04083408558608e-16","-3.12250225675825e-17","-9.10729824887824e-17","3.32199545649559e-16","-2.18575157973078e-16","0.158447687453496","-0.154759254167385","-0.181046439271256","-0.016737492493586","-0.478859754189594","1.73472347597681e-16","-2.48065457064683e-16","0.999999999999999","1","0.999999999999999","0.999999999999997","0.999999999999998","0.0685180801812778","0.0752962371136828","0.0370250956007571","0.848355176949196","5.5290184964175e-09","0.999999999999998","0.999999999999998"
"MEHuAgeMSNDsplitRnaseq_23","4.47558656802016e-16","-8.8037216405823e-17","-3.10840762851594e-16","-1.60190870984733e-16","1.34007388519208e-16","0.0733610164774815","-0.155396452644692","0.130904847848309","0.0195481692755528","-0.657539928784135","-4.81819445452558e-16","-9.04224611852911e-17","0.999999999999996","0.999999999999999","0.999999999999997","0.999999999999999","0.999999999999999","0.40136497018766","0.0740880713166574","0.133125875929454","0.823275719835889","8.16975251698594e-18","0.999999999999996","0.999999999999999"
"MEHuAgeMSNDsplitRnaseq_25","-3.81639164714898e-17","-3.29597460435593e-17","-9.97465998686664e-17","6.11490025281825e-17","2.88831458750138e-16","0.0545617347623471","0.00379498427825884","-0.013825385494216","0.0191077800466456","-0.568429804179223","-5.84601811404184e-16","-1.65015570652294e-16","1","1","0.999999999999999","0.999999999999999","0.999999999999997","0.532783959163905","0.965420203522957","0.874500429122635","0.827194191904839","9.55075079796672e-13","0.999999999999995","0.999999999999998"
"MEHuAgeMSNDsplitRnaseq_09","9.71445146547012e-17","8.50014503228635e-17","-1.99493199737333e-17","-1.06034972469082e-16","5.60315682740509e-16","-0.0741253804278462","0.326347461130614","0.136276887824646","0.111528427324674","-0.65562905408986","-4.18068357710411e-16","1.12323345069498e-16","0.999999999999999","0.999999999999999","1","0.999999999999999","0.999999999999995","0.396463796391373","0.000126281179399365","0.117795792365156","0.201228678482698","1.09371110471127e-17","0.999999999999996","0.999999999999999"
