"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE53697","StudyGSE64810","StudyGSE68719","StudyGSE67333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissueprefrontal_cortex","p.value.StudyGSE53697","p.value.StudyGSE64810","p.value.StudyGSE68719","p.value.StudyGSE67333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissueprefrontal_cortex"
"9","black","AstroByothers_Zhang_Cuffdiff2FCover20__","User",2.42503688506149e-45,-6.93889390390723e-18,-1.26634813746307e-16,-3.90312782094782e-17,1.60895602396849e-16,1.66533453693773e-16,0.00593218384088434,-0.0489656385313712,0.125611759826077,0.0356984790441509,-0.739880621135418,-3.57353036051222e-16,-2.37657116208823e-16,1,0.999999999999999,1,0.999999999999999,0.999999999999998,0.945970242241902,0.575680819117605,0.149679604334431,0.683318554664568,2.62114359192052e-24,0.999999999999997,0.999999999999998
"10","black","PNSCbyQNSC_Ben_FC5___","User",0.00213861372675614,-6.93889390390723e-18,-1.26634813746307e-16,-3.90312782094782e-17,1.60895602396849e-16,1.66533453693773e-16,0.00593218384088434,-0.0489656385313712,0.125611759826077,0.0356984790441509,-0.739880621135418,-3.57353036051222e-16,-2.37657116208823e-16,1,0.999999999999999,1,0.999999999999999,0.999999999999998,0.945970242241902,0.575680819117605,0.149679604334431,0.683318554664568,2.62114359192052e-24,0.999999999999997,0.999999999999998
"11","black","PGBObyQGBO_GSE114574_Tejero_FC5___","User",9.13966967638595e-06,-6.93889390390723e-18,-1.26634813746307e-16,-3.90312782094782e-17,1.60895602396849e-16,1.66533453693773e-16,0.00593218384088434,-0.0489656385313712,0.125611759826077,0.0356984790441509,-0.739880621135418,-3.57353036051222e-16,-2.37657116208823e-16,1,0.999999999999999,1,0.999999999999999,0.999999999999998,0.945970242241902,0.575680819117605,0.149679604334431,0.683318554664568,2.62114359192052e-24,0.999999999999997,0.999999999999998
"12","brown","PSVZbyQSVZ_Morizur_FC5___","User",1.03548647098065e-12,2.31802424477401e-16,-2.24687347720465e-16,2.09935421911084e-16,-3.02221355580334e-18,-2.12612046024407e-16,0.128403671352713,-0.151062312867636,-0.236105657222618,-0.0411418458926606,0.0593679569714193,6.0712611153757e-16,1.07383448921111e-16,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999998,0.140764548219023,0.0826229509682115,0.00621920543472003,0.638218304338805,0.497263998160813,0.999999999999994,0.999999999999999
"13","cyan","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",9.8227132030569e-24,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
"14","cyan","npcBYnsc_Walker_FC5___","User",7.19665276320874e-06,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
"15","cyan","PGBCbyQGBC_Aulestia_FC5___","User",0.0213550696995442,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
"16","cyan","neuronBYoFC5__","User",3.64560835439265e-80,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
"17","cyan","MicroByMono_Zhang_Cuffdiff2FCover20__","User",2.00326505891136e-05,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
"18","cyan","qRG_BY_aRG_ThanTrong_up__","User",0.000134099231131508,5.89805981832114e-17,-2.68014777038417e-16,1.84314369322536e-17,1.95590071916385e-16,-5.23019128007007e-16,0.0258812119094385,-0.309017290016309,0.0188466644148818,0.0122435165201049,0.077903078244514,1.29670579829266e-16,-3.21357523924704e-16,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999995,0.767452474709294,0.000295612900881803,0.829519549323374,0.888761500300121,0.372769814590249,0.999999999999999,0.999999999999997
