"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1110038B12Rik",5.66468809154985,6.28820469193939,6.4057289428201,5.25009607183446,5.69381121489878,6.05223695263246,6.4057289428201,6.28820469193939,5.02747759742151,4.22698420212151
"1110038F14Rik",5.74046346367241,6.26271791374475,5.697668083074,5.97375484047314,5.77497593307383,6.03724501037276,5.697668083074,6.26271791374475,5.78406770660809,5.81668628641225
"1110051M20Rik",1.46443199544493,0.519488354831725,1.60471766221478,0.987328171791354,1.53969743833032,0.548744297050182,1.60471766221478,0.519488354831725,1.25538048513578,1.28068363879849
"1110059E24Rik",1.86348838290044,2.54932652961988,1.35507455793953,2.56553978476102,1.91924607448779,2.2245333410748,1.35507455793953,2.54932652961988,2.29506346785203,2.85547200783939
"1110059G10Rik",4.11079281497948,4.27303051148784,3.62801463988614,4.59406285437679,4.10261797915303,4.25495188588351,3.62801463988614,4.27303051148784,5.15552481968363,4.4178397005367
"1110060G06Rik",0.244143101810152,0,0.300481599299084,0.103293253328529,0.266337929247438,0,0.300481599299084,0,0,0.330538410651294
"1110065P20Rik",3.7568970949368,0,5.07719189430802,1.19280273488568,4.09843319447651,0,5.07719189430802,0,1.60465051257306,2.21231823906113
"1190001M18Rik",0.445428201843738,1.61638386794269,0.315168567054685,0.998513757071266,0.430080612604002,1.36585082182722,0.315168567054685,1.61638386794269,0.24570067339233,1.00988270770449
"1190002N15Rik",3.38463375309119,2.44332745176893,3.53689290013101,2.89841713643549,3.48917701304163,2.39116006223579,3.53689290013101,2.44332745176893,3.41929922117643,2.92364267329444
"1190007I07Rik",2.32730143964232,2.97069494065716,1.93930853708714,2.90806779225867,2.26417453160619,2.98344556250281,1.93930853708714,2.97069494065716,3.49928753836808,2.24169546807106
"1200007C13Rik",0.375599883525166,0.38051544783837,0.117918959507197,0.60291402865834,0.382683400850392,0.359806884115698,0.117918959507197,0.38051544783837,0.266799086179433,1.20590726812121
"1300002E11Rik",2.14353055190872,0.968683798314432,2.16778884242711,1.68173701510728,2.22355604170875,1.04232538976293,2.16778884242711,0.968683798314432,2.58972542311282,1.62941246725315
"1300014J16Rik",1.45084634117375,0.707064124381027,0.777322924463916,1.76126099949759,1.58274146309864,0.53029809328577,0.777322924463916,0.707064124381027,2.15086336414577,2.63669488498928
"1300017J02Rik",0.327016793144589,0.061310365028625,0.0667962888415222,0.455069823866286,0.35276808698453,0.0569209139977783,0.0667962888415222,0.061310365028625,0.534532284777292,0.848118713560475
"1500002C15Rik",1.10121117628678,0,1.21265021308513,0.590747827980681,1.20132128322194,0,1.21265021308513,0,1.04527640478265,0.845116644755527
"1500004A13Rik",0.812740961410965,1.40029165747081,0.619100829142659,1.20250758816817,0.851038486062069,1.14808579066531,0.619100829142659,1.40029165747081,1.08214636809465,1.08552792507854
"1500009C09Rik",2.75971289574613,0,4.63125105155199,0.0872246735112066,2.98814528970022,0.0617391405627975,4.63125105155199,0,0.205889868208801,0.0732290870270604
"1500009L16Rik",0.734730217846282,0.50614045636679,1.08726182141179,0.340543904171656,0.787116195175124,0.419226459082347,1.08726182141179,0.50614045636679,0.150590609793432,0.331781335915718
"1500011B03Rik",3.98170087232595,2.41721323899416,4.26650064720502,3.14581820680734,4.09705467842007,2.49111218056827,4.26650064720502,2.41721323899416,3.15650176311722,4.00946061187325
"1500011K16Rik",6.01981641485177,7.92301158550364,6.38042606640892,6.41798115873372,5.91223872031243,7.74305145282387,6.38042606640892,7.92301158550364,6.61999366163963,4.40993214370392
"1500015A07Rik",2.61595944583933,0.595712561541098,3.31845632980364,1.24368209075872,2.85377394091563,0.446784421155823,3.31845632980364,0.595712561541098,1.44449774373702,1.82042987284158
"1500015O10Rik",0.655224084524017,0.341391591665375,0.269702072626609,0.874868660112259,0.714789910389837,0.256043693749031,0.269702072626609,0.341391591665375,0.563667421988781,1.826242380372
"1500026H17Rik",0.651665624116739,1.00667102572491,0.553197884827049,0.870951921598283,0.614435765971091,1.0203017852234,0.553197884827049,1.00667102572491,0.807494370315237,0.771546547929374
"1600002K03Rik",4.29494917401905,7.29950995486443,3.89188899092193,5.77433712704604,4.18682347978541,6.84571541879558,3.89188899092193,7.29950995486443,5.22455351978671,4.49391334092331
"1600010M07Rik",0.520325091897863,0.391092407163196,0.151933313659647,0.794205641080802,0.55342602052926,0.332373024610522,0.151933313659647,0.391092407163196,0.62669886013192,1.44544830273081
"1600012H06Rik",3.48729900318526,2.92184671697729,3.25192941154233,3.48120278854483,3.60683741911392,2.73447914472548,3.25192941154233,2.92184671697729,3.58839913375824,4.04523372921247
"1600014C10Rik",1.53376405418777,2.79613620338445,0.697543482550561,2.73884661031908,1.35211063470297,2.98009006966848,0.697543482550561,2.79613620338445,3.00016904308085,2.40877666587887
"1600014C23Rik",0.452180434738168,0,0.775166459551144,0,0.493287746987092,0,0.775166459551144,0,0,0
"1600017P15Rik",0.89605328628467,0,0.575805357763024,0.840250241384358,0.977512675946912,0,0.575805357763024,0,2.68880077242995,0
"1600020E01Rik",1.89223131344052,0.617264642212547,1.45310659369414,1.79835294150812,2.02034549510263,0.583692310448747,1.45310659369414,0.617264642212547,1.90426330323539,3.10974853893553
"1600023N17Rik",0.800385002732737,0,1.13982320287558,0.203232201582969,0.87314727570844,0,1.13982320287558,0,0.18291279923366,0.467430245831842
"1600027J07Rik",0.241333671769388,0,0,0.362000507654082,0.263273096475696,0,0,0,0.140842770069724,1.01755885442334
"1600029O15Rik",0.574299551627965,0.197401003564568,0.534256708564483,0.468000083784737,0.586022677886152,0.259387043370402,0.534256708564483,0.197401003564568,0.280630661593888,0.980088402239788
"1700001C19Rik",0.525111917581251,0.216564542940919,0.178819913289196,0.712412155846675,0.506362724518376,0.345261667523909,0.178819913289196,0.216564542940919,1.51996284473654,0.499878602443716
"1700001G11Rik",1.01972438319367,0.776325811986744,1.13524214234594,0.827371879732841,1.04646569148011,0.763636857000778,1.13524214234594,0.776325811986744,1.43771521567053,0.278283825090472
