"","other","macrophages"
"Apoe",11.1975547268824,13.1470421454826
"App",4.0210741645337,4.0968368821925
"Arg1",0.772544994080799,7.6418781575228
"Arhgap11a",3.11128852465672,3.59734882136827
"Arhgap23",2.58230737672411,1.27866826605428
"Arhgap29",1.67432711984092,2.77851219990555
"Arhgdib",2.1415683433468,8.78648576649935
"Arhgef1",5.63941035480178,4.59341439324576
"Arhgef12",2.60534716559193,1.83723752527611
"Arhgef3",1.26354972686198,0.958582253358161
"Arhgef39",2.40042963584355,3.86542744091898
"Arhgef5",0.834742982454336,1.14980768838689
"Armc2",0.324018295907995,1.07285444599511
"Arpin",2.44142212968891,1.65431140594244
"Arrb1",3.65704312108463,3.59734131129294
"Art2a-ps",1.46795343270757,1.87099295362991
"Asb5",0.318645727207785,0.744079092390796
"Asf1b",1.4612974806022,4.47980156514965
"Aspa",1.41126759783001,3.74920285579067
"Aspm",0.969546305825573,1.69088815660625
"Asz1",0.114745503399112,1.22403482968021
"Atad2",2.22964252955995,3.51232205585304
"Atp1a1",5.98784056048877,7.37786717944861
"Atp1a3",4.31445727019768,3.82833043804554
"Atp2a3",2.26615981347894,5.03447341558904
"Atpif1",5.98611542687524,9.96735323418561
"Aunip",0.505456467522093,1.5082145093147
"Aurka",1.72745577550183,3.68758967348171
"Aurkb",2.6252660214743,5.67435313961577
"Avpi1",2.90821112473985,4.65070168233579
"B3gnt3",0.484437779828878,2.03454741082809
"B3gnt5",2.17671304499928,1.33340227452887
"B430306N03Rik",2.23414541309736,4.38592739349781
"B4galt5",2.68420737605049,3.6755001122278
"BC024386",0.149532381677024,0.51970267342485
"BC030867",0.606815853785971,1.00143150270176
"BC048507",0.400339628977122,1.01991905245277
"BC064078",1.09972861944706,3.53480881479891
"Baiap2",2.59795974862711,4.1302914481507
"Bbs10",2.1598924015883,2.17951787315865
"Bcam",1.89069402796709,8.1158708040525
"Bcl3",2.04416711069529,2.49167415946421
"Bend4",1.26563552576664,1.72622683675884
"Best3",0.116325653749895,0.928782584733887
"Bhlhe40",5.7295319402257,8.67424954245687
"Birc5",2.31797997288299,6.04434406421964
"Blk",0.368239543803744,1.09249838249413
"Blvrb",3.24901441302934,5.92003144986847
"Bmp2",1.92295465116036,2.83813971716605
"Bora",1.62359816339526,1.20783066809269
"Brca1",1.07900478533501,0.771060507882266
"Bst1",0.836497075106494,6.08191021325573
"Bub1",0.94923880501531,1.98346057621334
"Bub1b",1.15120129789925,1.82415396755045
"Bzw2",2.75759219873606,2.48705276701614
"C1qtnf6",2.88708812170391,1.3057198183515
"C1ra",0.931659163634664,5.36160190697826
"C1rb",0.0443230121707288,1.02479017102038
"C230035I16Rik",1.37691358869118,0.676439119254105
"C3",1.85534111999874,5.45633538051146
"C330027C09Rik",1.42862328143058,2.00228638719969
"C430042M11Rik",0.941778665081205,0.61614226790915
"C430049B03Rik",2.22865055562776,0.666826531385558
