"","turquoise....HuAgeMSNDsplitRnaseq_01__"
"330","UROS"
"331","USP14"
"332","USP32"
"333","USP7"
"334","VBP1"
"335","VCP"
"336","VPREB3"
"337","WBP11"
"338","WDR61"
"339","XPA"
"340","XRCC5"
"341","XRCC6"
"342","YME1L1"
"343","YTHDF2"
"344","ZBTB11"
"345","ZDHHC3"
"346","ZNF132"
"347","ZNF155"
"348","ZNF16"
"349","ZNF221"
"350","ZNF230"
"351","ZNF287"
"352","ZNF43"
"353","ZW10"
