"","Module","Gene"
"AC126544.1","HuAgeMSNDsplitRnaseq_05","AC126544.1"
"MIR4666A","HuAgeMSNDsplitRnaseq_19","MIR4666A"
"RNU6-892P","HuAgeMSNDsplitRnaseq_11","RNU6-892P"
"AC093909.6","HuAgeMSNDsplitRnaseq_01","AC093909.6"
"RNU6-722P","HuAgeMSNDsplitRnaseq_01","RNU6-722P"
"MIR3149","HuAgeMSNDsplitRnaseq_01","MIR3149"
"DES","HuAgeMSNDsplitRnaseq_24","DES"
"MIR4645","HuAgeMSNDsplitRnaseq_06","MIR4645"
"CARTPT","HuAgeMSNDsplitRnaseq_12","CARTPT"
"SFN","HuAgeMSNDsplitRnaseq_15","SFN"
"RN7SL3","HuAgeMSNDsplitRnaseq_03","RN7SL3"
"CSF3","HuAgeMSNDsplitRnaseq_15","CSF3"
"TRGJP1","HuAgeMSNDsplitRnaseq_02","TRGJP1"
"RNU6-45P","HuAgeMSNDsplitRnaseq_08","RNU6-45P"
"MT1H","HuAgeMSNDsplitRnaseq_07","MT1H"
"TRBJ2-4","HuAgeMSNDsplitRnaseq_02","TRBJ2-4"
"AC084121.3","HuAgeMSNDsplitRnaseq_08","AC084121.3"
"MIR4678","HuAgeMSNDsplitRnaseq_10","MIR4678"
"RNU6-794P","HuAgeMSNDsplitRnaseq_13","RNU6-794P"
"MIR4482","HuAgeMSNDsplitRnaseq_15","MIR4482"
"HSPA7","HuAgeMSNDsplitRnaseq_15","HSPA7"
"RNU6-483P","HuAgeMSNDsplitRnaseq_04","RNU6-483P"
"CCL2","HuAgeMSNDsplitRnaseq_15","CCL2"
"AC233266.2","HuAgeMSNDsplitRnaseq_08","AC233266.2"
"RNU6-1011P","HuAgeMSNDsplitRnaseq_01","RNU6-1011P"
"S100A9","HuAgeMSNDsplitRnaseq_12","S100A9"
"RNU6-1085P","HuAgeMSNDsplitRnaseq_09","RNU6-1085P"
"AC008060.4","HuAgeMSNDsplitRnaseq_08","AC008060.4"
"RNA5SP18","HuAgeMSNDsplitRnaseq_04","RNA5SP18"
"CYP4F29P","HuAgeMSNDsplitRnaseq_21","CYP4F29P"
"RNU6-925P","HuAgeMSNDsplitRnaseq_09","RNU6-925P"
"AF246928.1","HuAgeMSNDsplitRnaseq_01","AF246928.1"
"HLA-DQB1","HuAgeMSNDsplitRnaseq_06","HLA-DQB1"
"HBA1","HuAgeMSNDsplitRnaseq_24","HBA1"
"AP001542.1","HuAgeMSNDsplitRnaseq_04","AP001542.1"
"BCRP9","HuAgeMSNDsplitRnaseq_10","BCRP9"
"CHI3L1","HuAgeMSNDsplitRnaseq_01","CHI3L1"
"RNA5SP508","HuAgeMSNDsplitRnaseq_04","RNA5SP508"
"RNU6ATAC","HuAgeMSNDsplitRnaseq_28","RNU6ATAC"
"RNU6-703P","HuAgeMSNDsplitRnaseq_16","RNU6-703P"
"RNU7-160P","HuAgeMSNDsplitRnaseq_02","RNU7-160P"
"MIR138-2","HuAgeMSNDsplitRnaseq_14","MIR138-2"
"RNU5B-2P","HuAgeMSNDsplitRnaseq_14","RNU5B-2P"
"RNU6-510P","HuAgeMSNDsplitRnaseq_12","RNU6-510P"
"AC015726.2","HuAgeMSNDsplitRnaseq_25","AC015726.2"
"AL021997.1","HuAgeMSNDsplitRnaseq_04","AL021997.1"
"IGLV3-19","HuAgeMSNDsplitRnaseq_05","IGLV3-19"
"RN7SL471P","HuAgeMSNDsplitRnaseq_03","RN7SL471P"
"RNU6-325P","HuAgeMSNDsplitRnaseq_04","RNU6-325P"
"RNU4-39P","HuAgeMSNDsplitRnaseq_07","RNU4-39P"
"AC097493.4","HuAgeMSNDsplitRnaseq_09","AC097493.4"
"MIR621","HuAgeMSNDsplitRnaseq_17","MIR621"
"AC127455.1","HuAgeMSNDsplitRnaseq_02","AC127455.1"
"CR392039.2","HuAgeMSNDsplitRnaseq_02","CR392039.2"
"AL158151.4","HuAgeMSNDsplitRnaseq_17","AL158151.4"
"AC024257.2","HuAgeMSNDsplitRnaseq_01","AC024257.2"
"RNA5SP490","HuAgeMSNDsplitRnaseq_08","RNA5SP490"
"FOS","HuAgeMSNDsplitRnaseq_15","FOS"
"CCL19","HuAgeMSNDsplitRnaseq_24","CCL19"
"MIR548AY","HuAgeMSNDsplitRnaseq_12","MIR548AY"
"MTCO1P40","HuAgeMSNDsplitRnaseq_15","MTCO1P40"
"MIR4521","HuAgeMSNDsplitRnaseq_09","MIR4521"
"RNVU1-19","HuAgeMSNDsplitRnaseq_03","RNVU1-19"
"SOCS3","HuAgeMSNDsplitRnaseq_15","SOCS3"
"IGKV4-1","HuAgeMSNDsplitRnaseq_05","IGKV4-1"
"RPL39P38","HuAgeMSNDsplitRnaseq_02","RPL39P38"
"TRBJ2-2","HuAgeMSNDsplitRnaseq_02","TRBJ2-2"
"RNY4P37","HuAgeMSNDsplitRnaseq_14","RNY4P37"
"CXCL8","HuAgeMSNDsplitRnaseq_12","CXCL8"
"ISCA1P4","HuAgeMSNDsplitRnaseq_01","ISCA1P4"
"AL355480.1","HuAgeMSNDsplitRnaseq_12","AL355480.1"
"IGKV3-11","HuAgeMSNDsplitRnaseq_05","IGKV3-11"
"RPL39P18","HuAgeMSNDsplitRnaseq_17","RPL39P18"
"MIR4502","HuAgeMSNDsplitRnaseq_04","MIR4502"
"AL023803.1","HuAgeMSNDsplitRnaseq_10","AL023803.1"
"VN1R84P","HuAgeMSNDsplitRnaseq_16","VN1R84P"
"MIR645","HuAgeMSNDsplitRnaseq_01","MIR645"
"MLLT10P1","HuAgeMSNDsplitRnaseq_08","MLLT10P1"
"RNU4-65P","HuAgeMSNDsplitRnaseq_10","RNU4-65P"
"MIR219A1","HuAgeMSNDsplitRnaseq_21","MIR219A1"
"AC011904.1","HuAgeMSNDsplitRnaseq_04","AC011904.1"
"MIR3671","HuAgeMSNDsplitRnaseq_17","MIR3671"
"RNU6-8","HuAgeMSNDsplitRnaseq_10","RNU6-8"
"MIR4787","HuAgeMSNDsplitRnaseq_01","MIR4787"
"CXCL1","HuAgeMSNDsplitRnaseq_18","CXCL1"
"TRBJ2-6","HuAgeMSNDsplitRnaseq_08","TRBJ2-6"
"SMIM32","HuAgeMSNDsplitRnaseq_08","SMIM32"
"KRT17","HuAgeMSNDsplitRnaseq_08","KRT17"
"RPS29P6","HuAgeMSNDsplitRnaseq_13","RPS29P6"
"AC015813.4","HuAgeMSNDsplitRnaseq_08","AC015813.4"
"MIR4278","HuAgeMSNDsplitRnaseq_10","MIR4278"
"RNU6-945P","HuAgeMSNDsplitRnaseq_01","RNU6-945P"
"RNU6-1004P","HuAgeMSNDsplitRnaseq_09","RNU6-1004P"
"RNY3P16","HuAgeMSNDsplitRnaseq_21","RNY3P16"
"MIR4530","HuAgeMSNDsplitRnaseq_05","MIR4530"
"RNU6-29P","HuAgeMSNDsplitRnaseq_08","RNU6-29P"
"RNU6-204P","HuAgeMSNDsplitRnaseq_08","RNU6-204P"
"TRBD1","HuAgeMSNDsplitRnaseq_05","TRBD1"
"AQP1","HuAgeMSNDsplitRnaseq_08","AQP1"
"GJB2","HuAgeMSNDsplitRnaseq_12","GJB2"
"HLA-U","HuAgeMSNDsplitRnaseq_17","HLA-U"
"AL132822.1","HuAgeMSNDsplitRnaseq_04","AL132822.1"
"S100A12","HuAgeMSNDsplitRnaseq_12","S100A12"
"IGHV4-39","HuAgeMSNDsplitRnaseq_05","IGHV4-39"
"CYP3A52P","HuAgeMSNDsplitRnaseq_10","CYP3A52P"
"AC112204.1","HuAgeMSNDsplitRnaseq_04","AC112204.1"
"RNU6-967P","HuAgeMSNDsplitRnaseq_12","RNU6-967P"
"AC139426.1","HuAgeMSNDsplitRnaseq_01","AC139426.1"
"FOXC2","HuAgeMSNDsplitRnaseq_12","FOXC2"
"MIR1208","HuAgeMSNDsplitRnaseq_11","MIR1208"
"AC092807.2","HuAgeMSNDsplitRnaseq_08","AC092807.2"
"DND1P1","HuAgeMSNDsplitRnaseq_05","DND1P1"
"AL133373.1","HuAgeMSNDsplitRnaseq_26","AL133373.1"
"MIR548A3","HuAgeMSNDsplitRnaseq_01","MIR548A3"
"AL357137.1","HuAgeMSNDsplitRnaseq_04","AL357137.1"
"XIST","HuAgeMSNDsplitRnaseq_21","XIST"
"RNU1-23P","HuAgeMSNDsplitRnaseq_13","RNU1-23P"
"MIR4801","HuAgeMSNDsplitRnaseq_07","MIR4801"
"MIR3178","HuAgeMSNDsplitRnaseq_12","MIR3178"
"AL627309.7","HuAgeMSNDsplitRnaseq_01","AL627309.7"
"MTRNR2L1","HuAgeMSNDsplitRnaseq_27","MTRNR2L1"
"TAGLN","HuAgeMSNDsplitRnaseq_24","TAGLN"
"AC117490.1","HuAgeMSNDsplitRnaseq_12","AC117490.1"
"TRBJ2-5","HuAgeMSNDsplitRnaseq_02","TRBJ2-5"
"IGKV3-20","HuAgeMSNDsplitRnaseq_05","IGKV3-20"
"AL390729.2","HuAgeMSNDsplitRnaseq_09","AL390729.2"
"RNY3P8","HuAgeMSNDsplitRnaseq_08","RNY3P8"
"AC100757.2","HuAgeMSNDsplitRnaseq_17","AC100757.2"
"TTR","HuAgeMSNDsplitRnaseq_12","TTR"
"RN7SL585P","HuAgeMSNDsplitRnaseq_07","RN7SL585P"
"ADM","HuAgeMSNDsplitRnaseq_12","ADM"
"UQCRHP1","HuAgeMSNDsplitRnaseq_10","UQCRHP1"
"AC109583.2","HuAgeMSNDsplitRnaseq_09","AC109583.2"
"MT1XP1","HuAgeMSNDsplitRnaseq_01","MT1XP1"
"AL355480.3","HuAgeMSNDsplitRnaseq_10","AL355480.3"
"RPS29P5","HuAgeMSNDsplitRnaseq_17","RPS29P5"
"AC233266.1","HuAgeMSNDsplitRnaseq_01","AC233266.1"
"AL161669.2","HuAgeMSNDsplitRnaseq_26","AL161669.2"
"MIR1179","HuAgeMSNDsplitRnaseq_01","MIR1179"
"IGHV3-7","HuAgeMSNDsplitRnaseq_05","IGHV3-7"
"MIR331","HuAgeMSNDsplitRnaseq_02","MIR331"
"RNU6-1200P","HuAgeMSNDsplitRnaseq_21","RNU6-1200P"
"RNU6-1017P","HuAgeMSNDsplitRnaseq_08","RNU6-1017P"
"AC007318.2","HuAgeMSNDsplitRnaseq_04","AC007318.2"
"MFAP4","HuAgeMSNDsplitRnaseq_12","MFAP4"
"VGF","HuAgeMSNDsplitRnaseq_03","VGF"
"Z99497.1","HuAgeMSNDsplitRnaseq_10","Z99497.1"
"MT1G","HuAgeMSNDsplitRnaseq_07","MT1G"
"CTGF","HuAgeMSNDsplitRnaseq_18","CTGF"
"AL162574.1","HuAgeMSNDsplitRnaseq_08","AL162574.1"
"AL591926.8","HuAgeMSNDsplitRnaseq_04","AL591926.8"
"EGR1","HuAgeMSNDsplitRnaseq_12","EGR1"
"AL033523.1","HuAgeMSNDsplitRnaseq_09","AL033523.1"
"AC005000.1","HuAgeMSNDsplitRnaseq_08","AC005000.1"
"IGHJ5","HuAgeMSNDsplitRnaseq_05","IGHJ5"
"NPY","HuAgeMSNDsplitRnaseq_14","NPY"
"HLA-DRB1","HuAgeMSNDsplitRnaseq_06","HLA-DRB1"
"RNU1-59P","HuAgeMSNDsplitRnaseq_01","RNU1-59P"
"AC092903.1","HuAgeMSNDsplitRnaseq_17","AC092903.1"
"CRH","HuAgeMSNDsplitRnaseq_12","CRH"
"RNU6-3P","HuAgeMSNDsplitRnaseq_17","RNU6-3P"
"LHB","HuAgeMSNDsplitRnaseq_05","LHB"
"IGHGP","HuAgeMSNDsplitRnaseq_05","IGHGP"
"IGLV3-1","HuAgeMSNDsplitRnaseq_05","IGLV3-1"
"AC009963.2","HuAgeMSNDsplitRnaseq_03","AC009963.2"
"AC005363.2","HuAgeMSNDsplitRnaseq_17","AC005363.2"
"RNU6-781P","HuAgeMSNDsplitRnaseq_13","RNU6-781P"
"CRABP1","HuAgeMSNDsplitRnaseq_12","CRABP1"
"EIF3FP3","HuAgeMSNDsplitRnaseq_02","EIF3FP3"
"CXCL2","HuAgeMSNDsplitRnaseq_24","CXCL2"
"MIR3197","HuAgeMSNDsplitRnaseq_15","MIR3197"
"RNU6-1091P","HuAgeMSNDsplitRnaseq_04","RNU6-1091P"
"AL732292.1","HuAgeMSNDsplitRnaseq_14","AL732292.1"
"MIR892A","HuAgeMSNDsplitRnaseq_12","MIR892A"
"PRSS3P4","HuAgeMSNDsplitRnaseq_02","PRSS3P4"
"AP006289.1","HuAgeMSNDsplitRnaseq_04","AP006289.1"
"DDX3Y","HuAgeMSNDsplitRnaseq_13","DDX3Y"
"HAMP","HuAgeMSNDsplitRnaseq_06","HAMP"
"EGR4","HuAgeMSNDsplitRnaseq_15","EGR4"
"AC136628.3","HuAgeMSNDsplitRnaseq_12","AC136628.3"
"AL390728.3","HuAgeMSNDsplitRnaseq_11","AL390728.3"
"RNU6-415P","HuAgeMSNDsplitRnaseq_09","RNU6-415P"
"AC006023.2","HuAgeMSNDsplitRnaseq_01","AC006023.2"
"SNORD3B-2","HuAgeMSNDsplitRnaseq_10","SNORD3B-2"
"GAPDHP35","HuAgeMSNDsplitRnaseq_20","GAPDHP35"
"AL360181.4","HuAgeMSNDsplitRnaseq_01","AL360181.4"
"AC112204.3","HuAgeMSNDsplitRnaseq_04","AC112204.3"
"APLNR","HuAgeMSNDsplitRnaseq_07","APLNR"
"MIR4424","HuAgeMSNDsplitRnaseq_23","MIR4424"
"SST","HuAgeMSNDsplitRnaseq_14","SST"
"RNU6-158P","HuAgeMSNDsplitRnaseq_10","RNU6-158P"
"LDHAP4","HuAgeMSNDsplitRnaseq_08","LDHAP4"
"HIST2H2AC","HuAgeMSNDsplitRnaseq_12","HIST2H2AC"
"IGLV2-11","HuAgeMSNDsplitRnaseq_05","IGLV2-11"
"RRAD","HuAgeMSNDsplitRnaseq_15","RRAD"
"H19","HuAgeMSNDsplitRnaseq_12","H19"
"HIST2H2AA4","HuAgeMSNDsplitRnaseq_09","HIST2H2AA4"
"PTGES3P1","HuAgeMSNDsplitRnaseq_26","PTGES3P1"
"MIR5695","HuAgeMSNDsplitRnaseq_05","MIR5695"
"MTCYBP2","HuAgeMSNDsplitRnaseq_13","MTCYBP2"
"RNU6-9","HuAgeMSNDsplitRnaseq_11","RNU6-9"
"RPL7AP28","HuAgeMSNDsplitRnaseq_16","RPL7AP28"
"MIR3680-2","HuAgeMSNDsplitRnaseq_09","MIR3680-2"
"AC015722.2","HuAgeMSNDsplitRnaseq_04","AC015722.2"
"WDR86-AS1","HuAgeMSNDsplitRnaseq_12","WDR86-AS1"
"CCL4","HuAgeMSNDsplitRnaseq_09","CCL4"
"AP001059.3","HuAgeMSNDsplitRnaseq_01","AP001059.3"
"LSP1P2","HuAgeMSNDsplitRnaseq_01","LSP1P2"
"LINC02470","HuAgeMSNDsplitRnaseq_04","LINC02470"
"RNU7-113P","HuAgeMSNDsplitRnaseq_13","RNU7-113P"
"AC004947.2","HuAgeMSNDsplitRnaseq_23","AC004947.2"
"AF228730.6","HuAgeMSNDsplitRnaseq_11","AF228730.6"
"RNVU1-6","HuAgeMSNDsplitRnaseq_02","RNVU1-6"
"AL136380.1","HuAgeMSNDsplitRnaseq_26","AL136380.1"
"AP000350.6","HuAgeMSNDsplitRnaseq_01","AP000350.6"
"SERPINE1","HuAgeMSNDsplitRnaseq_24","SERPINE1"
"AC139453.1","HuAgeMSNDsplitRnaseq_11","AC139453.1"
"TMEM191B","HuAgeMSNDsplitRnaseq_08","TMEM191B"
"NAMPTP1","HuAgeMSNDsplitRnaseq_06","NAMPTP1"
"RNA5SP515","HuAgeMSNDsplitRnaseq_04","RNA5SP515"
"HNRNPKP5","HuAgeMSNDsplitRnaseq_15","HNRNPKP5"
"RNASE2","HuAgeMSNDsplitRnaseq_06","RNASE2"
"AC022432.1","HuAgeMSNDsplitRnaseq_10","AC022432.1"
"RPL39P40","HuAgeMSNDsplitRnaseq_08","RPL39P40"
"AC135048.3","HuAgeMSNDsplitRnaseq_03","AC135048.3"
"AC067747.1","HuAgeMSNDsplitRnaseq_01","AC067747.1"
"IGHV3-23","HuAgeMSNDsplitRnaseq_05","IGHV3-23"
"ZNF603P","HuAgeMSNDsplitRnaseq_08","ZNF603P"
"RNU6-293P","HuAgeMSNDsplitRnaseq_08","RNU6-293P"
"AC008759.3","HuAgeMSNDsplitRnaseq_06","AC008759.3"
"AC103564.3","HuAgeMSNDsplitRnaseq_04","AC103564.3"
"AC099513.1","HuAgeMSNDsplitRnaseq_01","AC099513.1"
"IGHG3","HuAgeMSNDsplitRnaseq_05","IGHG3"
"MIR892B","HuAgeMSNDsplitRnaseq_02","MIR892B"
"AL353807.4","HuAgeMSNDsplitRnaseq_17","AL353807.4"
"DYNLL1P4","HuAgeMSNDsplitRnaseq_14","DYNLL1P4"
"DDX11L2","HuAgeMSNDsplitRnaseq_06","DDX11L2"
"AC027020.2","HuAgeMSNDsplitRnaseq_01","AC027020.2"
"MIR138-1","HuAgeMSNDsplitRnaseq_01","MIR138-1"
"ZFP36","HuAgeMSNDsplitRnaseq_24","ZFP36"
"RNVU1-7","HuAgeMSNDsplitRnaseq_01","RNVU1-7"
"KLF4","HuAgeMSNDsplitRnaseq_12","KLF4"
"RNU6-1148P","HuAgeMSNDsplitRnaseq_02","RNU6-1148P"
"RNU6-1086P","HuAgeMSNDsplitRnaseq_13","RNU6-1086P"
"PSPHP1","HuAgeMSNDsplitRnaseq_04","PSPHP1"
"RN7SL262P","HuAgeMSNDsplitRnaseq_08","RN7SL262P"
"AC093424.1","HuAgeMSNDsplitRnaseq_25","AC093424.1"
"MIR4737","HuAgeMSNDsplitRnaseq_11","MIR4737"
"SIX3-AS1","HuAgeMSNDsplitRnaseq_04","SIX3-AS1"
"GPR6","HuAgeMSNDsplitRnaseq_04","GPR6"
"GAS1","HuAgeMSNDsplitRnaseq_12","GAS1"
"RNU6-242P","HuAgeMSNDsplitRnaseq_01","RNU6-242P"
"Z99497.2","HuAgeMSNDsplitRnaseq_08","Z99497.2"
"IGKV1-9","HuAgeMSNDsplitRnaseq_05","IGKV1-9"
"AL512329.2","HuAgeMSNDsplitRnaseq_07","AL512329.2"
"RF00086","HuAgeMSNDsplitRnaseq_25","RF00086"
"AC009220.1","HuAgeMSNDsplitRnaseq_02","AC009220.1"
"AC134684.3","HuAgeMSNDsplitRnaseq_16","AC134684.3"
"RNU6-758P","HuAgeMSNDsplitRnaseq_01","RNU6-758P"
"AC092013.1","HuAgeMSNDsplitRnaseq_08","AC092013.1"
"GJB6","HuAgeMSNDsplitRnaseq_07","GJB6"
"AC012486.1","HuAgeMSNDsplitRnaseq_03","AC012486.1"
"KLF2","HuAgeMSNDsplitRnaseq_12","KLF2"
"HLA-Z","HuAgeMSNDsplitRnaseq_01","HLA-Z"
"HSPA1A","HuAgeMSNDsplitRnaseq_15","HSPA1A"
"RPL31P12","HuAgeMSNDsplitRnaseq_04","RPL31P12"
"AC024941.1","HuAgeMSNDsplitRnaseq_08","AC024941.1"
"AL450063.1","HuAgeMSNDsplitRnaseq_14","AL450063.1"
"AC004890.1","HuAgeMSNDsplitRnaseq_11","AC004890.1"
"AC141002.1","HuAgeMSNDsplitRnaseq_09","AC141002.1"
"RNU6-1176P","HuAgeMSNDsplitRnaseq_16","RNU6-1176P"
"ARC","HuAgeMSNDsplitRnaseq_15","ARC"
"AL592183.1","HuAgeMSNDsplitRnaseq_06","AL592183.1"
"PTGS2","HuAgeMSNDsplitRnaseq_24","PTGS2"
"AC093899.1","HuAgeMSNDsplitRnaseq_13","AC093899.1"
"AC061999.1","HuAgeMSNDsplitRnaseq_02","AC061999.1"
"PPIAP39","HuAgeMSNDsplitRnaseq_04","PPIAP39"
"ADAMTS1","HuAgeMSNDsplitRnaseq_24","ADAMTS1"
"HSPA1B","HuAgeMSNDsplitRnaseq_15","HSPA1B"
"PCK1","HuAgeMSNDsplitRnaseq_12","PCK1"
"RNU5D-1","HuAgeMSNDsplitRnaseq_04","RNU5D-1"
"AC009779.1","HuAgeMSNDsplitRnaseq_13","AC009779.1"
"RNU5E-1","HuAgeMSNDsplitRnaseq_09","RNU5E-1"
"AC087741.2","HuAgeMSNDsplitRnaseq_11","AC087741.2"
"AC073648.6","HuAgeMSNDsplitRnaseq_01","AC073648.6"
"ANGPTL4","HuAgeMSNDsplitRnaseq_15","ANGPTL4"
"MIR4514","HuAgeMSNDsplitRnaseq_17","MIR4514"
"BX842568.4","HuAgeMSNDsplitRnaseq_14","BX842568.4"
"AC063943.1","HuAgeMSNDsplitRnaseq_01","AC063943.1"
"KRT19","HuAgeMSNDsplitRnaseq_12","KRT19"
"IGHA1","HuAgeMSNDsplitRnaseq_05","IGHA1"
"AL136126.1","HuAgeMSNDsplitRnaseq_21","AL136126.1"
"AL021407.1","HuAgeMSNDsplitRnaseq_06","AL021407.1"
"RNA5SP342","HuAgeMSNDsplitRnaseq_17","RNA5SP342"
"IGLV1-51","HuAgeMSNDsplitRnaseq_05","IGLV1-51"
"EDN1","HuAgeMSNDsplitRnaseq_18","EDN1"
"TMEM88B","HuAgeMSNDsplitRnaseq_08","TMEM88B"
"RN7SKP276","HuAgeMSNDsplitRnaseq_09","RN7SKP276"
"TRAJ6","HuAgeMSNDsplitRnaseq_17","TRAJ6"
"BX248123.2","HuAgeMSNDsplitRnaseq_14","BX248123.2"
"AL512356.3","HuAgeMSNDsplitRnaseq_03","AL512356.3"
"AL359510.1","HuAgeMSNDsplitRnaseq_02","AL359510.1"
"AL008723.3","HuAgeMSNDsplitRnaseq_12","AL008723.3"
"MT1F","HuAgeMSNDsplitRnaseq_07","MT1F"
"NDUFA5P6","HuAgeMSNDsplitRnaseq_18","NDUFA5P6"
"AC107081.1","HuAgeMSNDsplitRnaseq_04","AC107081.1"
"RNU1-70P","HuAgeMSNDsplitRnaseq_13","RNU1-70P"
"RNU1-36P","HuAgeMSNDsplitRnaseq_04","RNU1-36P"
"AC002519.2","HuAgeMSNDsplitRnaseq_03","AC002519.2"
"RNU6-600P","HuAgeMSNDsplitRnaseq_10","RNU6-600P"
"RN7SL472P","HuAgeMSNDsplitRnaseq_15","RN7SL472P"
"AL157834.3","HuAgeMSNDsplitRnaseq_13","AL157834.3"
"AP001372.4","HuAgeMSNDsplitRnaseq_12","AP001372.4"
"RNU12-2P","HuAgeMSNDsplitRnaseq_14","RNU12-2P"
"RNU6-529P","HuAgeMSNDsplitRnaseq_07","RNU6-529P"
"RNU6-871P","HuAgeMSNDsplitRnaseq_21","RNU6-871P"
"SFRP2","HuAgeMSNDsplitRnaseq_12","SFRP2"
"MIR23A","HuAgeMSNDsplitRnaseq_03","MIR23A"
"RNU1-132P","HuAgeMSNDsplitRnaseq_01","RNU1-132P"
"AL365205.3","HuAgeMSNDsplitRnaseq_08","AL365205.3"
"Z82188.1","HuAgeMSNDsplitRnaseq_10","Z82188.1"
"MIR6129","HuAgeMSNDsplitRnaseq_05","MIR6129"
"RN7SL477P","HuAgeMSNDsplitRnaseq_21","RN7SL477P"
"AL596442.2","HuAgeMSNDsplitRnaseq_01","AL596442.2"
"AC108039.2","HuAgeMSNDsplitRnaseq_02","AC108039.2"
"SNRPCP13","HuAgeMSNDsplitRnaseq_11","SNRPCP13"
"IGKV3-15","HuAgeMSNDsplitRnaseq_05","IGKV3-15"
"AL354822.1","HuAgeMSNDsplitRnaseq_04","AL354822.1"
"AL121890.5","HuAgeMSNDsplitRnaseq_14","AL121890.5"
"AP000322.2","HuAgeMSNDsplitRnaseq_05","AP000322.2"
"KRT18","HuAgeMSNDsplitRnaseq_12","KRT18"
"AZGP1","HuAgeMSNDsplitRnaseq_14","AZGP1"
"MT1A","HuAgeMSNDsplitRnaseq_15","MT1A"
"AC092954.1","HuAgeMSNDsplitRnaseq_04","AC092954.1"
"AC145207.9","HuAgeMSNDsplitRnaseq_16","AC145207.9"
"RNA5SP242","HuAgeMSNDsplitRnaseq_04","RNA5SP242"
"MT1JP","HuAgeMSNDsplitRnaseq_07","MT1JP"
"AC080013.6","HuAgeMSNDsplitRnaseq_01","AC080013.6"
"RGR","HuAgeMSNDsplitRnaseq_07","RGR"
