"","other","newoligo"
"Fam3c",2.964953117111,6.15278386470714
"Fbn2",0.309165384936558,2.1173988434303
"Fbxo32",1.97325710017475,4.69841974026444
"Ffar3",0.0238865047962611,1.3403489574696
"Frmd4a",1.30444122907277,3.69150395789757
"Fyn",1.84602349066868,6.08776617758195
"Galnt5",0.205146606640013,1.22381058581511
"Gbp11",0.201099766820519,2.2512826918488
"Gjc3",1.43498713067488,9.10624516773905
"Gm10863",0.607982120864604,3.59810239030374
"Gm11274",1.47112990340559,3.48260633767107
"Gm11295",1.2826723879585,5.69463944248313
"Gm11331",0.984403701339796,0.866835257955975
"Gm11936",0.565107982586017,0.63534719838037
"Gm12656",0.144100027933969,0.680050454418795
"Gm12778",0.195112364963664,1.5330690593762
"Gm12826",0.0690979578433611,0.56640216827158
"Gm13052",0.192004526125163,1.61459083651792
"Gm13148",1.82076068789272,7.64943343400878
"Gm13182",0.0379281762014671,0.64609689797987
"Gm14843",0.447650656094105,0.51892309960251
"Gm15217",0.253981028065379,2.35882412318244
"Gm15912",2.73795357959146,7.40822743211029
"Gm16401",0.238457904280871,2.40006242883574
"Gm17872",0.0929750164430968,0.746619464271915
"Gm2077",0.118493707463236,1.01939746954374
"Gm22033",0.251246065431364,0.906064877473545
"Gm22890",0.370306414734467,2.44985377090276
"Gm23144",0.0550580351378704,1.19273299008213
"Gm24183",0.129997143395981,4.03135707807633
"Gm24480",0.214447651711736,3.22393880821837
"Gm24900",0.196588020256584,1.0644428153071
"Gm25042",0.117822845921626,0.76005633211741
"Gm25072",2.021838765829,0.97908197680493
"Gm25737",0.0898553187677504,1.18553828986367
"Gm26187",0.258429271375902,0.847565323865445
"Gm26210",0.0881654674034618,0.894032968189985
"Gm26490",0.397688925110439,2.07359429600278
"Gm2654",0.589857490154539,3.50716174536465
"Gm26583",0.55256256714156,2.32992368995309
"Gm26834",0.200931923168591,1.88579209152585
"Gm28513",0.511476570117191,1.38733162781033
"Gm28875",3.46629444689649,4.85165303840886
"Gm29127",0.116314659606556,3.75445652040763
"Gm29325",1.18725320058576,0.957927001756272
"Gm29596",0.392752874025423,1.85342495324148
