"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Tarbp1",1.27751380159665,1.99349011996597,1.91316370604894,0.810817174997058,1.71868856857994,0.243277271984931,1.91316370604894,0.283467655478781,0.911990899116246,1.3424628742998
"Tas1r1",0.534244178630332,0.479563297510952,0.792171164084309,0.301722956218179,0.709684535817373,0.038112976086122,0.792171164084309,0.0284601137125565,0.459930484187944,0.471430839255161
"Tbc1d24",1.06540251129947,2.1585803154821,1.9866966264784,0.395917386040731,1.52657446024959,0.0704741027322747,1.9866966264784,0.0637028848075782,0.656272855265151,0.534219318296096
"Tbc1d30",0.589296145784288,0.608802709649015,0.811329699353609,0.397455106894224,0.716194875176301,0.245201280922433,0.811329699353609,0.303228741746507,0.327619361513999,0.580362490451708
"Tbc1d4",1.01176456350489,0.43367891415879,1.15303087593151,0.81589583396333,1.24273708781033,0.232068709328396,1.15303087593151,0.262726642961977,1.21092696031567,1.08466773681261
"Tbr1",1.121208977461,0.567543797726975,1.9823410257315,0.298510287757571,1.46563673424162,0.0356163513808159,1.9823410257315,0.0474884685077545,0.278193018601264,0.620053740013656
"Tcaf1",2.22297601422644,4.55832366360275,4.37681651289693,0.630284034061792,3.13368437493631,0.302364934618366,4.37681651289693,0.23450577089934,1.52826582145319,0.207236162465339
"Tceal5",1.76413428517167,4.76392157181529,3.90749310346954,0.26366872999148,2.62835203977922,0.137482281661814,3.90749310346954,0,0.397875382497128,0.445864553475609
"Tceal6",1.71662211269694,5.24123160569074,3.98875113655202,0.16908540344797,2.66126738031345,0,3.98875113655202,0,0.541073291033504,0
"Tceal7",0.203009499535164,0.0142598573248114,0.235632249432181,0.150870888098981,0.24020072174435,0.0535462279073164,0.235632249432181,0.0713949705430885,0.091473770621031,0.305639106644001
"Tcp11",1.07641683247128,0.119143931513809,0.658909852510266,1.32207632731748,1.27856268466548,0.28119751369785,0.658909852510266,0.304798162930868,1.03458201884219,2.83030443305671
"Tdrd6",0.440875955569455,0.341244899247835,0.766277939430163,0.143695337651134,0.586518125839678,0.0154522232459382,0.766277939430163,0.0206029643279177,0.0836012451098012,0.351500278180325
"Tead1",0.681827372252879,0.301536816416762,1.23449663268915,0.150705449891625,0.863522845033057,0.0870921831483591,1.23449663268915,0.100394063335553,0.0672377414486686,0.294546822201868
"Tead3",1.2433218736289,1.01363045791683,2.29779869326613,0.291943229482318,1.55843117561026,0.319348439252163,2.29779869326613,0.231785905643987,0.528033398232378,0.128041849338255
"Tekt2",0.714902321691434,1.91164896785055,1.54775699605062,0.135747812397032,1.05803659365668,0.0704697353267699,1.54775699605062,0,0.434392999670503,0
"Tenm4",0.300485552330005,0.271528533006246,0.481632724250103,0.138362149484449,0.39227168453763,0.0408344339280971,0.481632724250103,0.0454918516001737,0.0527095735919268,0.335459082838101
"Tert",0.595899869115072,0.807701341020463,0.984830736587479,0.282060544064889,0.810921060459097,0.0575419608953498,0.984830736587479,0.0767226145271331,0.166231757720923,0.644294845854162
"Tex15",0.467247778108388,0.189868587587842,0.42169500968349,0.472434051665105,0.589486918498779,0.0617453444046749,0.42169500968349,0.0658021171175336,0.101562366334442,1.33126405845285
"Tex29",0.364427025777331,0.0104585631512354,0.326382917659992,0.35346956255174,0.433322896523888,0.086471265567775,0.326382917659992,0.0740599411346237,0.357692364533471,0.684538306270548
"Tfr2",0.516278558214655,0.323166200522161,0.587238887592023,0.430049225297896,0.438844359661587,0.680944514812468,0.587238887592023,0.907926019749958,0.088666339802894,0.197979957450425
"Tgfb3",0.621342303460642,0.915831933615355,1.12483960186965,0.217593371122099,0.866504933785966,0.0207674776046786,1.12483960186965,0.0276899701395715,0.211535275627559,0.451535547795672
"Th",0.177152259094824,0.00418449979814955,0.302810178543803,0.0455806096648831,0.218012962057982,0.0215433861219721,0.302810178543803,0.00824531123301453,0.0630948621572976,0.072868715290711
"Thbs2",0.938116767761163,1.4166755800274,1.68272329576341,0.34640590729248,1.28183128028917,0.112541561375701,1.68272329576341,0.0517305870206771,0.916799623155221,0.129622575755903
"Thpo",0.679517883376169,0.577309621608578,1.32174029384583,0.10479724149427,0.917323635352268,0,1.32174029384583,0,0.0514790404693822,0.28387213231228
"Thsd7a",0.3747650302104,1.16254239799922,0.753958190685074,0.141443185768663,0.55801126647239,0.0677822224371327,0.753958190685074,0.0714126885514344,0.0548653274688143,0.312057640729187
"Thsd7b",0.329688361084157,0.130155004766596,0.486286972704497,0.167722906376665,0.40632788614549,0.0690463280861019,0.486286972704497,0.0741218158297942,0.0742152500540098,0.373551871355566
"Thy1",2.67600946386242,3.5383577977631,5.07577816582922,0.684005391379057,3.49004245891131,0.653005810953141,5.07577816582922,0.564592235358255,0.464393593437742,1.04691297654534
"Timeless",1.84074263762136,1.38804016847559,2.28966047276241,1.39135172322971,2.07751743008628,1.07643634105637,2.28966047276241,1.30925457252787,0.490003243504685,2.39121678379694
"Timm9",2.55932377245637,3.96102280813419,3.57920200915896,1.84214269480133,3.41695246064877,0.551269638846726,3.57920200915896,0.628264531601714,2.20677447118718,2.93416471425504
"Tktl1",0.756196909386409,0.0559798097581155,0.60664503890141,0.799527658607246,0.958814052780701,0.02394549014503,0.60664503890141,0.0240666325774857,0.382262105115891,2.14734644333431
