"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"2810403A07Rik",6.82614201870817,3.6994832634762,4.6378819227784,3.26921678099078,4.8881516809245,1.21230980430137,4.6378819227784,1.28148882172052,3.74542110472048,5.17828600838538
"2810459M11Rik",6.71485224966723,1.23754874803117,3.07307358791882,0.316127450833986,2.1747710114459,0.0295133990496809,3.07307358791882,0,0.271824756457733,0.739783086211021
"2810474O19Rik",4.23091937855309,3.10062252462618,2.22394908594375,4.00899889021417,3.66478732967979,1.8317435242105,2.22394908594375,2.07202893629865,4.13879511752421,6.20356660760276
"2900005J15Rik",3.97128683231779,0.98180972130897,0.890396257677686,1.43548114086245,1.54867571684259,0.170297511343722,0.890396257677686,0.227063348458295,1.06020098450667,3.2608626481032
"2900052N01Rik",5.71695104765855,0.477617218994754,1.40494491272389,0.321122215564733,1.11682581669541,0.0296270324838988,1.40494491272389,0.0221506431738462,0.635262312004521,0.365748005994009
"2900076A07Rik",5.46555206297741,2.07642274813118,2.91414224302407,1.76705935445568,3.13958823061945,0,2.91414224302407,0,1.82166773424581,3.83292220001238
"3110079O15Rik",4.20589195209275,0.212024922783136,0.863274003076265,0.14141535619035,0.652203715550605,0,0.863274003076265,0,0.0401906426769802,0.412338497132139
"3110082J24Rik",5.76426945760748,0.755757215768157,2.14309577797119,0.167900004070416,1.4858973162147,0,2.14309577797119,0,0.0440370342962488,0.493242978729082
"3930402G23Rik",4.40535168450716,0.214950846818165,0.948975967866577,0.0964789706119279,0.674060321814678,0,0.948975967866577,0,0.022068332326581,0.286664373631588
"4833420G17Rik",5.86195447769716,3.49966130461729,3.84671016633509,3.4912801972492,4.29607657667002,1.90009259974225,3.84671016633509,2.12026029804101,3.450998899907,5.17678537364124
"4921530L21Rik",2.58742321383761,0.164672479882431,0.522612515202389,0.154318790721864,0.444803448381058,0,0.522612515202389,0,0,0.493820130309966
"4930412L05Rik",2.89442498414875,0.194248250396421,0.65573305223543,0.127971140506329,0.470899335853605,0.108501948827246,0.65573305223543,0.144669265102995,0.0460764491860381,0.189828082310621
"4930426I24Rik",3.63098882667371,0.804364421941671,1.58489905050143,0.474724672543386,1.35382643035065,0,1.58489905050143,0,1.14908633654584,0.370032615593
"4930429H19Rik",4.09810980283215,0.43172644475083,1.3504377456589,0.086151976216431,0.909218603977983,0.0352188463964896,1.3504377456589,0,0.0563501542343834,0.219336169658196
"4930432E11Rik",4.47329997979628,0.0717706514148254,0.677756885394495,0.0917238627302972,0.490957873581834,0.019388122550918,0.677756885394495,0.0258508300678907,0.00912561437741688,0.253369750278065
"4930447K03Rik",3.0640150591823,0.696546619995669,0.529154543914196,1.13894824146529,0.626427515341283,1.48124126759189,0.529154543914196,1.56298822734465,1.28179535894567,0.487253140929676
"4930527E20Rik",4.0693753700258,0.600504341576143,1.24446235799484,0.470649955765995,1.13422146837198,0,1.24446235799484,0,0.442033930440939,1.06404592801024
"4933416E14Rik",4.69710398152183,0.300697147293101,1.03329761070084,0.209222596089918,0.775272729686759,0.0947160042677259,1.03329761070084,0.126288005690301,0.0465633263169726,0.471403374342403
"5930409G06Rik",4.80314280026509,1.10068288864235,2.79318124601462,0.08255431489446,1.837518476478,0,2.79318124601462,0,0,0.264173807662272
"5930412G12Rik",3.6065260134532,0.278277764325187,1.04561479545457,0.0228888932279794,0.675011635785544,0.0193216800912088,1.04561479545457,0.0144677828328182,0.0135533487465523,0.0423297701836001
"6720483E21Rik",3.9853595080841,0.463305133799446,1.27784831527295,0.190836646795711,0.95196648920694,0,1.27784831527295,0,0,0.610677269746276
"9330132A10Rik",5.63933873311849,1.37816522960866,3.13218793658067,0.376042048946881,2.24657386644784,0.0553348541783618,3.13218793658067,0.073779805571149,0.587711029960039,0.527087759984601
"9330182L06Rik",4.5122721410931,0.892961858896476,1.72504663582004,0.617301464362931,1.22318762061287,0.889668584725536,1.72504663582004,0.954224633292729,0.328717199884646,0.501577926125458
"9430041J12Rik",4.02490751107723,0.417530268011326,1.06115812961137,0.305278044494523,0.872888940034379,0.0671382307144056,1.06115812961137,0.0620476506830973,0.650441027979696,0.25199153358306
"A030012G06Rik",2.9829016993203,0.0192543379469171,0.447535027640076,0.0149646546370752,0.29567840277974,0,0.447535027640076,0,0.0478868948386406,0
"A2m",4.73686497413735,0.225299018633152,0.92397224745034,0.177905687856137,0.691102918861032,0.0722297818825319,0.92397224745034,0.0726642725991138,0.135159060028115,0.346942013992589
