"","astro","other"
"6720483E21Rik",3.9853595080841,0.463305133799446
"9330132A10Rik",5.63933873311849,1.37816522960866
"9330154J02Rik",1.29299984616784,0.164443118079933
"9330182L06Rik",4.5122721410931,0.892961858896476
"9430041J12Rik",4.02490751107723,0.417530268011326
"9530052E02Rik",2.54230881684139,0.460390374992796
"9630013D21Rik",1.8881624615909,0.134847548750053
"9630028B13Rik",1.91058021453088,0.200648010977635
"9830144P21Rik",1.55723967572421,0.133345931053539
"A030012G06Rik",2.9829016993203,0.0192543379469171
"A230107N01Rik",2.01988176973199,0.243904072334898
"A2m",4.73686497413735,0.225299018633152
"A330041J22Rik",3.48842170268772,0.26390269830265
"A330048O09Rik",3.70448812924464,0.370386475611873
"A430105I19Rik",5.72473631150269,2.00418585847503
"A430110L20Rik",3.23278839093151,1.12455075430526
"A530076I17Rik",1.2742134977128,0.27724772194933
"A730020M07Rik",1.6977555924035,0.255613543162341
"A930014E01Rik",1.04637489678141,0.105642947767616
"A930017M01Rik",1.90888084156767,0.228264394879569
"AC112142.1",3.76039087834543,0.355760359673592
"AC122018.1",2.90109611892356,0.167850776037125
"AC122858.2",6.95007495356917,1.92536905586197
"AC125371.1",1.00032597998689,0.149600077159259
"AC130671.1",4.41686822281548,0.584173832685446
"AC139294.1",3.37789936286813,0.906295436955432
"AC139845.1",4.19622508641157,0.551984228913596
"AC140304.2",4.67326266874598,0.481081471026462
"AC153911.1",4.46677214736386,1.15613143346991
"AC154586.1",2.72637740271136,0.184571239715595
"AC154636.1",6.70582636370554,2.87650478716116
"AC154718.1",5.30224346611243,1.56350907308189
"AC156016.1",0.969697445508229,0.108939460277539
"AC160550.2",3.24995854610417,0.352199981606848
"AC163667.1",4.04155059036263,0.830638148684079
"AC164433.1",1.94773684270496,0.172677485477699
"AI182371",2.2509624786562,0.344021719542954
"AI464131",9.31840221233957,2.05435905247894
"AI849053",6.25810739950203,0.821912721520889
"AL626769.3",4.77698616211467,0.937515699611443
"AU020206",5.21100400343084,3.32865144694549
"AW011738",8.42419999620846,3.24226432827955
"Aass",2.56868262555153,0.171189928338979
"Abca1",6.48625619815674,2.56840765741253
"Abcd2",5.3980612409127,2.9294873603254
"Abhd1",4.75596803727969,1.25976432809471
"Abhd3",5.52364040349934,1.29282269919791
"Acaa2",5.14905745084908,3.30171248354684
"Acadl",5.62858848219547,3.34251334294876
"Acot1",7.57332509108038,2.44069425162525
"Acot11",3.16155120287535,0.62469092642756
"Acsbg1",7.5178501870152,1.2720088884432
"Acsf2",4.10356136358985,0.976804810714676
"Acsl6",6.56808549366781,0.991819710774446
"Acss1",6.8721668213441,2.66375434609823
"Actr3b",4.16216840354281,0.662185477726101
"Adamts3",1.72828935249189,0.235353024867635
"Adamts5",3.08822922485348,0.415271649277157
"Adcy2",2.71856096982267,0.388329323604677
"Adcyap1r1",8.47814473924569,1.67276335046471
"Adgrb1",6.70283203363944,1.72690064793563
"Adgrb2",7.36061553208891,1.86807834145369
"Adgrb3",2.52725694686314,0.355648622074982
"Adgrg1",8.87347414760423,4.25828688982224
"Adgrl1",5.76132658283123,1.30875730694997
"Adhfe1",4.78006224021424,0.936289010372445
"Adora2b",5.64582676840039,1.92513116299249
"Adra2a",7.79975748125744,1.86057797937588
"Adrb1",7.34397068556149,2.7258017189569
"Afap1l2",4.40058419420945,0.962781232698928
"Aff1",3.84250667644288,1.46608188086565
"Agl",5.0419024431702,1.98807108597521
"Agrn",8.75313173339882,3.70307884230294
"Agt",4.29362457325233,0.716783942064133
"Aifm3",7.84433716416326,0.88444508950705
"Ajuba",3.86238869018706,1.33076778555298
